,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,69.95M,,69.95M,,5.115M,1.632B,103.38M,,,,1.811B,0.00,100.56M,1.073B,909.88M,,125.94M,2.209B,-1.128B,1.082B,,,124.49M,20.74M,29.90M,1.257B,3.067B,,649.66M,35.00M,684.66M,205.35M,890.01M,,25.00M,25.00M,3.714M,28.71M,,,,941.49M,516.41M,30.64M,547.05M,,,107.83M,65.00M,719.88M,1.661B,,1.366M,3.036B,746.41M,2.383B,,5.742M,1.406B,,AOR,Restated
2018-03,132.40M,,132.40M,,4.815M,1.760B,86.82M,,,,1.984B,0.00,99.34M,1.055B,884.61M,,98.60M,2.138B,-1.088B,1.050B,,,124.49M,18.58M,30.22M,1.224B,3.208B,,732.52M,29.54M,762.06M,200.05M,962.12M,,25.00M,25.00M,3.545M,28.54M,,,,1.014B,679.56M,31.72M,711.28M,,,106.54M,62.78M,880.61M,1.895B,,1.364M,2.866B,728.59M,2.288B,,5.19M,1.313B,,AOR,Restated
2017-12,109.15M,,109.15M,,4.76M,1.453B,88.25M,,,,1.655B,0.00,99.34M,1.038B,872.86M,,83.82M,2.094B,-1.049B,1.045B,,,124.49M,18.49M,25.91M,1.213B,2.869B,,576.57M,10.77M,587.34M,201.66M,789.00M,,25.00M,25.00M,3.545M,28.54M,,,,849.21M,401.07M,32.62M,433.69M,,,105.91M,61.29M,600.88M,1.450B,,1.363M,2.829B,716.23M,2.131B,,3.358M,1.419B,,AOR,Restated
2017-09,70.05M,,70.05M,,4.776M,1.592B,75.62M,,,,1.742B,0.00,99.32M,1.014B,852.84M,,56.01M,2.022B,-1.025B,996.84M,,,124.49M,40.59M,24.44M,1.186B,2.928B,,609.88M,15.73M,625.62M,186.04M,811.65M,,22.50M,22.50M,3.545M,26.04M,,,,872.19M,487.23M,33.51M,520.74M,,,104.62M,59.40M,684.76M,1.557B,,1.362M,2.753B,703.29M,2.088B,,1.557M,1.371B,,AOR,Restated
2017-06,67.79M,,67.79M,,4.066M,1.468B,90.41M,,,,1.631B,0.00,99.27M,995.72M,827.85M,,48.52M,1.971B,-989.00M,982.36M,,,125.72M,52.96M,24.02M,1.185B,2.816B,,510.82M,73.16M,583.98M,184.83M,768.81M,,20.00M,20.00M,3.418M,23.42M,,,,806.49M,433.68M,33.86M,467.54M,,,102.52M,56.46M,626.52M,1.433B,,1.361M,2.696B,693.78M,2.010B,,1.521M,1.383B,,AOR,Restated
2017-03,72.70M,,72.70M,,7.339M,1.658B,86.46M,,,,1.824B,0.00,96.54M,975.16M,809.44M,,26.07M,1.907B,-950.16M,957.04M,,,125.72M,46.83M,22.56M,1.152B,2.976B,,563.52M,31.41M,594.93M,187.25M,782.18M,,12.50M,12.50M,1.356M,13.86M,,,,817.08M,598.92M,25.52M,624.44M,,,101.00M,54.38M,779.82M,1.597B,,1.361M,2.569B,683.01M,1.876B,,1.673M,1.379B,,AOR,Restated
2016-12,53.92M,,53.92M,,3.68M,1.370B,90.56M,,,,1.518B,0.00,94.94M,965.58M,792.02M,,21.32M,1.874B,-911.56M,962.31M,,,125.72M,45.22M,23.89M,1.157B,2.675B,,519.52M,5.482M,525.00M,215.65M,740.65M,,10.00M,10.00M,1.294M,11.29M,,,,777.19M,263.85M,25.92M,289.77M,,,100.08M,54.68M,444.53M,1.222B,,1.36M,2.540B,671.52M,1.761B,,1.392M,1.453B,,AOR,Restated
2016-09,55.51M,,55.51M,,16.34M,1.490B,67.98M,,,,1.630B,0.00,94.36M,906.62M,765.49M,,50.17M,1.817B,-893.49M,923.16M,10.26M,,10.26M,53.19M,19.36M,1.006B,2.636B,,484.01M,,484.01M,199.33M,683.34M,,10.00M,10.00M,1.294M,11.29M,,,,712.26M,283.78M,26.25M,310.03M,,,91.68M,57.02M,458.73M,1.171B,,1.359M,2.448B,661.66M,1.645B,,-1.111M,1.465B,,AOR,Restated
2016-06,151.11M,,151.11M,,3.311M,1.366B,67.61M,,,,1.589B,0.00,94.39M,870.05M,743.78M,,55.01M,1.763B,-861.27M,901.96M,10.26M,,10.26M,58.81M,19.20M,990.23M,2.579B,,430.39M,54.14M,484.53M,201.08M,685.61M,,10.00M,10.00M,1.081M,11.08M,,,,724.44M,186.21M,21.49M,207.71M,,,89.32M,55.38M,352.40M,1.077B,,1.358M,2.391B,647.72M,1.537B,,-1.362M,1.502B,,AOR,Restated
2016-03,74.50M,,74.50M,,0.00,1.471B,80.86M,,,,1.626B,0.00,87.00M,838.34M,721.81M,,37.14M,1.684B,-828.79M,855.50M,10.26M,,10.26M,55.80M,16.92M,938.48M,2.565B,,582.74M,29.83M,612.58M,178.75M,791.32M,,10.00M,10.00M,1.081M,11.08M,,,,813.40M,238.64M,21.76M,260.40M,,,86.96M,51.07M,398.43M,1.212B,,1.354M,2.267B,613.69M,1.529B,,,1.353B,,AOR,Restated
2015-12,63.81M,,63.81M,,3.763M,1.284B,87.51M,,,,1.439B,0.00,86.99M,814.80M,703.40M,,38.72M,1.644B,-796.34M,847.58M,,,10.26M,55.19M,18.34M,931.36M,2.371B,,427.25M,5.449M,432.70M,195.02M,627.72M,,,,0.878M,0.878M,,,,671.28M,150.00M,16.99M,166.99M,,,84.79M,54.46M,306.25M,977.53M,,1.352M,2.226B,596.13M,1.430B,,0.00,1.393B,,AOR,Restated
2015-09,51.35M,,51.35M,,,1.415B,64.82M,,42.63M,,1.573B,0.00,86.20M,750.17M,661.53M,,85.53M,1.583B,-774.77M,808.66M,10.26M,,10.26M,29.92M,18.39M,867.22M,2.441B,,527.14M,18.26M,545.40M,192.34M,737.73M,,,,0.54M,0.54M,,,,765.72M,190.00M,10.75M,200.75M,,,82.90M,53.95M,337.60M,1.103B,,1.351M,2.141B,576.18M,1.381B,,,1.337B,,AOR,Restated
2015-06,56.32M,,56.32M,,,1.293B,62.04M,,38.00M,,1.450B,0.00,84.39M,723.46M,641.66M,,74.24M,1.524B,-754.85M,768.90M,10.26M,,10.26M,22.98M,19.63M,821.76M,2.271B,,452.67M,77.95M,530.62M,185.63M,716.25M,,,,0.441M,0.441M,,,,745.60M,,8.652M,8.652M,,,81.45M,52.12M,142.22M,887.82M,,1.349M,2.081B,563.10M,1.262B,,,1.383B,,AOR,Restated
2015-03,57.13M,,57.13M,,,1.371B,64.97M,,33.85M,,1.527B,0.00,80.70M,713.13M,628.55M,,52.52M,1.475B,-725.16M,749.75M,10.26M,,10.26M,15.54M,19.55M,795.10M,2.322B,,585.55M,28.68M,614.24M,180.83M,795.06M,,,,0.441M,0.441M,,,,804.99M,60.00M,8.761M,68.76M,,,80.95M,52.44M,202.14M,1.007B,,1.347M,1.955B,544.04M,1.185B,,,1.315B,,AOR,Restated
2014-12,51.13M,,51.13M,,,1.115B,66.44M,,40.96M,,1.274B,0.00,79.57M,698.46M,608.51M,,30.80M,1.417B,-696.35M,721.00M,10.26M,,10.26M,8.782M,20.54M,760.58M,2.035B,,370.82M,12.44M,383.26M,182.56M,565.82M,,,,0.213M,0.213M,,,,603.09M,,4.957M,4.957M,,,79.81M,53.15M,137.92M,741.01M,,1.342M,1.918B,511.00M,1.137B,,,1.294B,,AOR,Restated
2014-09,47.51M,,47.51M,,,1.296B,49.94M,,33.32M,,1.427B,0.00,73.42M,684.70M,598.79M,,25.02M,1.382B,-675.13M,706.80M,10.26M,,10.26M,24.93M,20.12M,762.11M,2.189B,,483.04M,19.01M,502.06M,154.63M,656.69M,,,,0.125M,0.125M,,,,676.34M,150.00M,3.048M,153.05M,,,78.36M,50.74M,282.15M,958.49M,,1.337M,1.828B,483.80M,1.083B,,,1.230B,,AOR,Restated
2014-06,55.96M,,55.96M,,,1.155B,48.12M,,25.52M,,1.284B,0.00,75.84M,607.03M,583.70M,,84.05M,1.351B,-657.23M,693.39M,10.26M,,10.26M,17.40M,20.30M,741.34M,2.026B,,390.17M,73.17M,463.34M,144.36M,607.70M,,,,0.125M,0.125M,,,,628.99M,,3.078M,3.078M,,,77.86M,49.67M,130.62M,759.60M,,1.335M,1.773B,476.74M,985.58M,,,1.266B,,AOR,Restated
2014-03,47.79M,,47.79M,,,1.225B,47.15M,0.00,19.96M,,1.340B,0.00,74.40M,594.15M,566.28M,,74.87M,1.310B,-630.00M,679.69M,10.26M,,10.26M,7.351M,18.95M,716.25M,2.056B,,477.51M,22.48M,499.99M,138.70M,638.68M,,,,0.042M,0.042M,,,,645.42M,80.00M,1.19M,81.19M,,,77.39M,47.84M,206.41M,851.84M,,1.333M,1.662B,464.06M,923.04M,,,1.205B,,AOR,Restated
2013-12,142.74M,,142.74M,,,979.31M,57.36M,,29.84M,,1.209B,0.00,73.35M,581.94M,548.24M,,65.31M,1.269B,-603.91M,664.93M,10.26M,,10.26M,0.092M,18.86M,694.14M,1.903B,,316.49M,9.424M,325.91M,155.62M,481.53M,,,,0.042M,0.042M,,,,532.14M,,1.20M,1.20M,,,76.93M,46.23M,124.36M,656.50M,,1.331M,1.631B,452.67M,838.59M,,,1.247B,,AOR,Restated
2013-09,45.99M,,45.99M,,,1.142B,45.79M,0.00,19.82M,,1.254B,0.00,72.22M,556.15M,537.14M,,55.02M,1.221B,-586.15M,634.40M,10.26M,,10.26M,5.283M,15.75M,665.69M,1.919B,,403.52M,2.323M,405.84M,136.23M,542.08M,,,,0.039M,0.039M,,,,570.52M,40.00M,1.214M,41.21M,0.00,,76.91M,46.15M,164.28M,734.80M,,1.326M,1.554B,429.14M,799.77M,,,1.185B,,AOR,Restated
2013-06,55.70M,,55.70M,,,1.083B,52.68M,0.00,14.45M,,1.206B,0.00,65.29M,531.14M,504.44M,,74.39M,1.175B,-563.79M,611.48M,10.26M,,10.26M,2.646M,16.36M,640.74M,1.846B,,360.81M,53.48M,414.29M,138.42M,552.71M,,,,0.039M,0.039M,,,,579.53M,,1.224M,1.224M,0.00,,76.47M,45.45M,123.14M,702.68M,,0.661M,1.507B,414.36M,778.48M,,,1.144B,,AOR,Restated
2013-03,57.02M,,57.02M,,,1.143B,51.86M,8.40M,7.214M,,1.267B,0.00,64.14M,522.28M,476.01M,,61.80M,1.124B,-540.93M,583.29M,10.26M,,10.26M,3.696M,16.69M,613.94M,1.881B,,476.04M,3.749M,479.79M,135.19M,614.98M,,,,0.039M,0.039M,,,,624.13M,105.00M,1.233M,106.23M,0.00,,76.20M,44.53M,226.97M,851.10M,,0.658M,1.402B,386.79M,759.04M,,,1.030B,,AOR,Restated
2012-12,138.63M,,138.63M,,,908.12M,51.81M,8.40M,23.10M,,1.130B,0.00,61.52M,511.19M,459.34M,,37.12M,1.069B,-519.18M,550.00M,10.26M,,10.26M,0.00,16.50M,576.76M,1.707B,,320.39M,43.36M,363.75M,148.32M,512.07M,,,,0.038M,0.038M,,,,560.50M,,1.242M,1.242M,1.477M,,77.71M,42.37M,121.33M,681.83M,,1.307M,1.372B,361.11M,709.17M,,,1.025B,,AOR,Restated
2012-09,70.18M,,70.18M,,,1.020B,50.89M,8.40M,12.31M,,1.162B,0.00,51.66M,499.70M,452.81M,,33.00M,1.037B,-508.17M,529.00M,10.26M,,10.26M,0.00,15.12M,554.38M,1.716B,,362.06M,24.83M,386.89M,125.88M,512.78M,,,,0.035M,0.035M,0.00,0.00,,542.03M,,1.255M,1.255M,2.478M,77.41M,79.89M,38.91M,120.06M,662.09M,,0.652M,1.306B,348.45M,601.21M,,,1.054B,,AOR,Restated
2012-06,179.10M,,179.10M,,,946.93M,56.33M,8.80M,7.084M,,1.198B,0.00,41.82M,492.38M,448.08M,,16.02M,998.31M,-497.28M,501.03M,10.26M,,10.26M,,12.88M,524.16M,1.722B,,314.76M,64.16M,378.92M,126.44M,505.36M,,,,0.035M,0.035M,0.00,0.00,,534.72M,,1.263M,1.263M,6.157M,76.67M,82.82M,36.46M,120.55M,655.27M,,0.652M,1.270B,335.90M,539.91M,,,1.067B,,AOR,Restated
2012-03,126.70M,0.00,126.70M,,,1.032B,50.34M,21.87M,1.431M,,1.232B,0.00,39.01M,472.75M,432.46M,,20.52M,964.74M,-476.07M,488.67M,10.26M,,10.26M,0.00,12.61M,511.54M,1.744B,,423.91M,6.526M,430.44M,121.86M,552.30M,,,,0.035M,0.035M,0.00,0.00,,565.55M,,1.272M,1.272M,10.50M,76.78M,87.27M,34.40M,122.95M,688.50M,,0.649M,1.178B,317.72M,441.52M,,,1.055B,,AOR,Restated
2011-12,176.96M,,176.96M,,,830.82M,51.73M,21.87M,8.867M,,1.090B,0.00,36.96M,459.70M,420.46M,,19.31M,936.44M,-455.58M,480.86M,10.26M,,10.26M,,13.47M,504.58M,1.595B,,266.41M,11.87M,278.28M,134.05M,412.33M,,,,0.033M,0.033M,,,,460.62M,,1.284M,1.284M,13.83M,,89.56M,35.08M,125.92M,586.54M,,0.643M,1.147B,298.43M,437.37M,,,1.008B,,AOR,Restated
2011-09,96.59M,0.00,96.59M,,,913.74M,40.20M,21.87M,,,1.072B,0.00,32.63M,433.38M,395.09M,,27.86M,888.95M,-438.50M,450.45M,10.26M,,10.26M,2.112M,12.64M,475.45M,1.548B,,340.21M,2.85M,343.06M,119.59M,462.65M,,,,0.032M,0.032M,3.314M,3.314M,,502.82M,,1.292M,1.292M,,73.09M,73.09M,33.75M,108.13M,610.94M,,0.641M,1.085B,281.10M,429.47M,,,936.90M,,AOR,Restated
2011-06,185.52M,0.00,185.52M,,,875.48M,46.36M,21.87M,,,1.129B,0.00,31.15M,395.70M,379.37M,,47.28M,853.50M,-421.88M,431.61M,10.26M,,10.26M,0.00,11.76M,453.63M,1.583B,,351.76M,42.43M,394.19M,114.88M,509.07M,,,,0.033M,0.033M,7.348M,7.348M,,535.77M,,1.30M,1.30M,0.124M,72.30M,72.42M,32.67M,106.40M,642.17M,,0.639M,1.050B,269.86M,380.25M,,,940.70M,,AOR,Restated
2011-03,140.45M,15.91M,156.36M,,,941.38M,40.70M,,,,1.138B,0.00,30.35M,385.19M,363.86M,,38.40M,817.79M,-403.98M,413.82M,10.26M,,10.26M,2.78M,11.86M,438.72M,1.577B,,406.41M,0.00,406.41M,122.44M,528.85M,,,,0.058M,0.058M,14.29M,14.29M,,560.22M,,1.302M,1.302M,,71.70M,71.70M,31.82M,104.83M,665.05M,,0.636M,967.93M,254.06M,310.52M,,,912.11M,,AOR,Restated
2010-12,257.34M,15.91M,273.25M,,,736.52M,33.94M,,,,1.044B,0.00,30.35M,380.23M,351.25M,,20.96M,782.79M,-387.00M,395.79M,10.26M,,10.26M,5.75M,7.96M,419.76M,1.463B,,247.39M,8.269M,255.66M,161.96M,417.62M,,,,0.091M,0.091M,8.854M,8.854M,,426.56M,,1.316M,1.316M,,70.70M,70.70M,31.66M,103.67M,530.23M,,0.631M,954.70M,235.28M,257.38M,,,933.24M,,AOR,Restated
2010-09,170.92M,15.91M,186.83M,,,758.68M,50.57M,,15.58M,,1.012B,0.00,30.29M,371.75M,344.62M,,22.67M,769.33M,-384.10M,385.22M,10.26M,,10.26M,13.21M,7.697M,416.39M,1.428B,,348.61M,0.00,348.61M,134.20M,482.82M,,,,0.344M,0.344M,,,,483.16M,,1.151M,1.151M,,67.57M,67.57M,29.84M,98.56M,581.72M,,0.628M,863.70M,224.11M,242.10M,,,846.34M,,AOR,Restated
2010-06,181.08M,15.91M,196.99M,,,702.40M,40.25M,,17.57M,,957.22M,0.00,28.76M,362.56M,338.22M,,9.91M,739.45M,-366.90M,372.54M,10.26M,,10.26M,17.83M,5.391M,406.02M,1.363B,,289.54M,51.60M,341.14M,110.40M,451.54M,,,,0.344M,0.344M,,,,451.88M,,1.238M,1.238M,,66.38M,66.38M,27.36M,94.98M,546.86M,,0.334M,836.77M,212.18M,232.90M,,,816.38M,,AOR,Restated
2010-03,138.06M,,138.06M,,,755.62M,38.77M,,13.47M,,945.92M,0.00,27.65M,351.94M,323.82M,,12.51M,715.91M,-350.07M,365.84M,10.26M,,10.26M,13.67M,4.856M,394.62M,1.341B,,394.96M,0.872M,395.83M,102.90M,498.72M,,,,0.36M,0.36M,,,,499.08M,,1.324M,1.324M,,64.35M,64.35M,30.61M,96.28M,595.37M,,0.333M,765.37M,202.48M,223.01M,,,745.18M,,AOR,Restated
2009-12,172.85M,0.00,172.85M,,,676.47M,30.75M,,,,880.06M,0.00,27.65M,350.50M,315.67M,,11.56M,705.38M,-335.14M,370.24M,10.26M,,10.26M,11.09M,4.922M,396.52M,1.277B,,261.64M,7.265M,268.90M,123.42M,392.32M,,,,0.392M,0.392M,11.50M,11.50M,,404.22M,,1.407M,1.407M,,63.47M,63.47M,28.34M,93.21M,497.43M,,0.619M,807.09M,190.65M,219.20M,,,779.15M,,AOR,Restated
2009-09,94.87M,,94.87M,,,703.99M,40.43M,,11.36M,,850.65M,0.00,27.65M,340.45M,300.24M,,12.99M,681.33M,-318.59M,362.74M,10.26M,,10.26M,13.18M,5.259M,391.44M,1.242B,,356.82M,0.00,356.82M,119.42M,476.24M,,,,0.414M,0.414M,,,,476.65M,,1.534M,1.534M,,,,70.37M,71.90M,548.56M,,0.33M,722.89M,185.02M,214.69M,,,693.54M,,AOR,Restated
2009-06,91.84M,,91.84M,,,644.92M,32.50M,,7.101M,,776.37M,0.00,25.41M,334.41M,289.72M,,16.70M,666.25M,-302.35M,363.90M,10.26M,,10.26M,15.90M,5.093M,395.14M,1.172B,,294.78M,32.67M,327.45M,109.54M,436.98M,,,,0.476M,0.476M,,,,437.46M,,1.599M,1.599M,,,,68.04M,69.64M,507.10M,,0.328M,700.91M,176.95M,213.78M,,,664.41M,,AOR,Restated
2009-03,37.36M,,37.36M,,,730.13M,33.71M,,4.142M,,805.35M,0.00,25.41M,328.42M,276.55M,,20.80M,651.18M,-286.46M,364.72M,10.26M,,10.26M,15.14M,4.969M,395.09M,1.200B,,382.62M,2.217M,384.84M,103.14M,487.97M,,,,0.521M,0.521M,0.00,0.00,,488.49M,40.00M,1.694M,41.69M,,,,64.59M,106.28M,594.77M,,0.327M,646.14M,172.22M,213.03M,,,605.66M,,AOR,Restated
2008-12,36.99M,,36.99M,,,603.44M,41.90M,,,1.676M,684.00M,0.00,25.41M,325.08M,273.47M,,12.62M,636.58M,-274.54M,362.03M,10.26M,,10.26M,13.73M,5.977M,392.00M,1.076B,,286.83M,0.00,286.83M,113.46M,400.29M,,,,0.55M,0.55M,,,,400.84M,,1.797M,1.797M,,,,63.23M,65.02M,465.87M,,0.327M,645.67M,168.04M,203.92M,,,610.13M,,AOR,Restated
2008-09,16.58M,,16.58M,,,716.81M,40.50M,,,,773.89M,0.00,25.41M,305.66M,192.42M,68.80M,24.48M,616.77M,-259.50M,357.27M,10.26M,,10.26M,17.40M,6.183M,391.11M,1.165B,,366.14M,,366.14M,107.95M,474.09M,,,0.545M,,0.545M,2.434M,2.434M,0.962M,478.03M,23.14M,1.96M,25.10M,,,,61.11M,86.21M,564.24M,,0.327M,629.37M,163.62M,192.55M,,,600.76M,,,
2008-06,62.96M,,62.96M,,,683.32M,38.96M,,,,785.23M,0.00,25.41M,297.68M,187.90M,67.62M,23.46M,602.07M,-244.92M,357.15M,10.26M,,10.26M,17.66M,6.012M,391.09M,1.176B,,394.01M,,394.01M,101.31M,495.32M,,,0.629M,,0.629M,2.60M,2.60M,25.52M,524.07M,,2.093M,2.093M,,,,58.46M,60.56M,584.63M,,0.326M,609.61M,159.61M,177.86M,,,591.69M,,,
2008-03,17.38M,,17.38M,,,747.53M,43.06M,,,,807.98M,0.00,25.41M,291.15M,180.32M,64.84M,14.45M,576.17M,-231.04M,345.12M,10.26M,,10.26M,18.04M,6.669M,380.09M,1.188B,,360.78M,,360.78M,98.27M,459.05M,,,0.724M,,0.724M,1.133M,1.133M,,460.91M,102.50M,2.221M,104.72M,,,,56.82M,161.54M,622.45M,,0.326M,562.59M,155.61M,152.90M,,,565.62M,,,
2007-12,13.70M,,13.70M,,,635.99M,41.96M,,0.277M,,691.92M,0.00,23.15M,279.31M,237.67M,,10.01M,550.14M,-217.22M,332.93M,10.26M,,10.26M,16.69M,6.169M,366.05M,1.058B,,258.35M,5.062M,263.41M,115.60M,379.01M,,,,0.847M,0.847M,,,,379.86M,55.00M,2.351M,57.35M,,,,55.43M,112.78M,492.63M,,0.326M,563.74M,151.32M,150.05M,,,565.34M,,,Restated
2007-09,25.72M,,25.72M,,,699.31M,43.94M,,1.061M,,770.04M,0.00,23.15M,270.70M,167.31M,50.77M,26.19M,538.13M,-206.37M,331.76M,10.26M,,10.26M,15.83M,5.72M,363.57M,1.134B,,292.21M,,292.21M,111.45M,403.66M,,,0.803M,,0.803M,,,,404.46M,88.55M,2.236M,90.79M,,,,53.53M,144.32M,548.78M,,0.325M,533.73M,145.70M,94.92M,,,584.82M,,,
