,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2014-03,48.81M,-0.057M,-0.057M,27.22M,27.22M,2.616M,3.941M,-1.69M,2.251M,,-245.92M,10.20M,158.75M,,,-41.95M,-118.92M,-38.08M,,-41.86M,0.082M,0.082M,,,-41.78M,,79.99M,79.99M,6.972M,-85.67M,-78.69M,-18.08M,-18.08M,1.69M,-15.10M,,142.74M,-94.95M,47.79M,,6.972M,80.00M,-0.01M,-85.67M,11.99M,0.172M,,AOR,Restated
2013-12,95.88M,0.205M,0.205M,26.97M,26.97M,-4.824M,3.544M,-11.89M,-8.347M,,162.70M,-11.56M,-54.70M,,,28.75M,125.19M,235.07M,,-61.41M,0.146M,0.146M,,0.00,-61.26M,,-40.01M,-40.01M,8.294M,-39.02M,-30.72M,-18.21M,-18.21M,11.89M,-77.05M,,45.99M,96.76M,142.74M,,8.294M,10.00M,-50.01M,-39.02M,39.48M,0.374M,,AOR,Restated
2013-09,64.77M,0.008M,0.008M,26.14M,26.14M,-8.014M,3.415M,-6.822M,-3.407M,,-59.15M,6.882M,5.03M,,,3.536M,-43.70M,35.79M,,-58.16M,0.096M,0.096M,,0.00,-58.07M,,39.99M,39.99M,5.216M,-21.30M,-16.08M,-18.16M,-18.16M,6.822M,12.57M,,55.70M,-9.71M,45.99M,,5.216M,40.00M,-0.01M,-21.30M,89.52M,0.13M,,AOR,Restated
2013-06,123.58M,-0.022M,-0.022M,24.22M,24.22M,-6.182M,3.537M,-12.81M,-9.274M,,60.04M,-0.821M,-58.03M,,,24.61M,25.80M,158.12M,,-49.29M,0.05M,0.05M,,8.40M,-40.84M,,-105.01M,-105.01M,11.22M,-19.44M,-8.223M,-18.18M,-18.18M,12.81M,-118.60M,,57.02M,-1.324M,55.70M,,11.22M,10.00M,-115.01M,-19.44M,17.35M,0.128M,,AOR,Restated
2013-03,44.01M,-0.156M,-0.156M,22.70M,22.70M,10.71M,3.397M,-11.99M,-8.596M,,-234.78M,-0.047M,113.74M,,,-42.87M,-163.96M,-95.30M,,-49.34M,0.185M,0.185M,,,-49.15M,,104.99M,104.99M,13.59M,-53.80M,-40.22M,-13.93M,-13.93M,11.99M,62.84M,,138.63M,-81.61M,57.02M,,13.59M,125.00M,-20.01M,-53.80M,41.65M,0.148M,,AOR,Restated
2012-12,79.49M,0.141M,0.141M,22.60M,22.60M,-11.79M,3.59M,-6.098M,-2.508M,,112.02M,-0.916M,3.397M,,,20.03M,134.54M,222.46M,,-41.75M,0.058M,0.058M,,0.00,-41.69M,,-0.01M,-0.01M,3.867M,-108.20M,-104.33M,-14.08M,-14.08M,6.098M,-112.33M,,70.18M,68.44M,138.63M,,3.867M,0.00,-0.01M,-108.20M,32.73M,0.076M,,AOR,Restated
2012-09,50.02M,-0.211M,-0.211M,22.21M,22.21M,-8.902M,4.742M,-3.241M,1.501M,,-73.21M,5.439M,6.026M,,,0.795M,-60.95M,3.671M,,-45.61M,0.321M,0.321M,,0.40M,-44.89M,,-0.008M,-0.008M,4.564M,-61.30M,-56.74M,-14.19M,-14.19M,3.241M,-67.70M,,179.10M,-108.92M,70.18M,,4.564M,0.00,-0.008M,-61.30M,72.96M,1.057M,,AOR,Restated
2012-06,106.62M,0.059M,0.059M,22.43M,22.43M,-9.993M,4.75M,-6.563M,-1.813M,,84.85M,-5.994M,-41.45M,,,17.76M,55.16M,172.47M,,-33.74M,0.00,0.00,,13.07M,-20.67M,,-0.009M,-0.009M,6.872M,-98.39M,-91.52M,-14.43M,-14.43M,6.563M,-99.40M,,126.70M,52.40M,179.10M,,6.872M,0.00,-0.009M,-98.39M,8.204M,0.058M,,AOR,Restated
2012-03,40.33M,0.087M,0.087M,21.74M,21.74M,4.106M,4.559M,-9.934M,-5.375M,,-200.96M,1.391M,152.16M,,,-33.77M,-81.18M,-20.30M,,-31.83M,0.00,0.00,,,-31.83M,,-0.01M,-0.01M,11.27M,-10.72M,0.55M,-8.617M,-8.617M,9.934M,1.857M,,176.96M,-50.27M,126.70M,,11.27M,0.00,-0.01M,-10.72M,14.41M,0.028M,,AOR,Restated
2011-12,,0.768M,0.768M,23.66M,23.66M,3.758M,4.348M,-5.533M,-154.62M,,82.92M,-11.53M,-42.62M,,,16.52M,45.30M,142.81M,,-58.83M,0.031M,0.031M,0.00,0.00,-58.80M,,-0.007M,-0.007M,7.424M,-9.019M,-1.595M,,-8.55M,6.514M,-3.638M,,96.59M,80.38M,176.96M,,7.424M,,-0.007M,-9.019M,21.69M,0.049M,,AOR,Restated
2011-09,,-0.382M,-0.382M,19.59M,19.59M,-6.27M,3.704M,-3.005M,42.73M,,-38.26M,6.165M,-31.26M,,,0.945M,-62.40M,-6.029M,,-33.24M,0.583M,0.583M,0.00,0.00,-32.66M,,-0.009M,-0.009M,4.527M,-49.22M,-44.69M,,-8.542M,3.005M,-50.24M,,185.52M,-88.93M,96.59M,,4.527M,,-0.009M,-49.22M,67.35M,0.351M,,AOR,Restated
2011-06,,0.524M,0.524M,18.83M,18.83M,-4.035M,3.377M,-4.067M,91.16M,,65.89M,-5.665M,-5.416M,,,1.561M,56.37M,162.16M,,-45.18M,0.082M,0.082M,15.91M,-21.87M,-51.05M,,-0.027M,-0.027M,8.404M,-69.73M,-61.32M,,-8.647M,3.958M,-66.04M,,140.45M,45.07M,185.52M,,8.404M,,-0.027M,-69.73M,6.343M,0.181M,,AOR,Restated
2011-03,,0.045M,0.045M,18.26M,18.26M,8.403M,3.612M,-4.83M,18.34M,,-204.86M,-6.753M,125.66M,,,-2.681M,-88.63M,-44.80M,,-28.90M,0.056M,0.056M,,,-28.85M,,-0.047M,-0.047M,11.10M,-53.15M,-42.04M,,-5.111M,3.958M,-43.24M,,257.34M,-116.89M,140.45M,,11.10M,,-0.047M,-53.15M,8.253M,0.033M,,AOR,Restated
2010-12,167.97M,0.43M,0.43M,18.48M,18.48M,2.498M,3.017M,,-115.81M,,97.30M,8.824M,-59.08M,,,16.22M,63.27M,128.09M,,-29.42M,0.021M,0.021M,0.00,,-29.40M,,-0.088M,-0.088M,5.506M,-16.06M,-10.56M,,-5.102M,3.479M,-12.27M,,170.92M,86.42M,257.34M,,5.506M,,-0.088M,-16.06M,6.44M,0.177M,,AOR,Restated
2010-09,,0.032M,0.032M,17.50M,17.50M,5.275M,2.528M,,29.86M,,-52.83M,-2.516M,23.53M,,,0.145M,-31.66M,23.54M,,-30.16M,0.002M,0.002M,0.00,,-30.16M,,-0.087M,-0.087M,6.435M,-9.196M,-2.761M,,-5.086M,4.396M,-3.538M,,181.08M,-10.16M,170.92M,,6.435M,-0.253M,0.166M,-9.196M,68.12M,0.033M,,AOR,Restated
2010-06,-10.58M,0.193M,0.193M,17.16M,17.16M,-7.925M,3.072M,,84.75M,,51.89M,-1.481M,-47.03M,,,-1.231M,2.141M,91.96M,,-23.99M,0.002M,0.002M,-15.91M,,-39.90M,,-0.102M,-0.102M,5.75M,-9.893M,-4.143M,,-5.093M,0.299M,-9.039M,,138.06M,43.02M,181.08M,,5.75M,0.111M,-0.213M,-9.893M,1.496M,0.059M,,AOR,Restated
2010-03,10.58M,0.407M,0.407M,16.65M,16.65M,2.842M,3.154M,,3.154M,,-156.42M,-8.028M,105.84M,,,3.991M,-54.61M,-20.98M,,-12.94M,0.288M,0.288M,,,-12.65M,,-0.115M,-0.115M,6.187M,-3.803M,2.384M,,-5.074M,1.641M,-1.164M,,172.85M,-34.79M,138.06M,,6.187M,0.142M,-0.257M,-3.803M,6.764M,0.036M,,AOR,Restated
2009-12,42.53M,0.048M,0.048M,17.50M,17.50M,-1.996M,2.971M,,2.971M,,95.81M,8.135M,-68.21M,,,7.507M,43.24M,104.29M,,-24.54M,0.053M,0.053M,0.00,,-24.49M,,-0.149M,-0.149M,1.48M,-4.514M,-3.034M,,0.00,1.356M,-1.827M,,94.87M,77.98M,172.85M,,1.48M,0.00,-0.149M,-4.514M,13.58M,0.062M,,AOR,Restated
2009-09,21.98M,0.059M,0.059M,16.42M,16.42M,-1.55M,3.033M,,3.033M,,-59.06M,-6.38M,37.13M,,,2.941M,-25.37M,14.57M,,-15.29M,0.038M,0.038M,0.00,,-15.25M,,-0.127M,-0.127M,2.827M,-0.915M,1.912M,,0.00,1.925M,3.71M,,91.84M,3.026M,94.87M,,2.827M,0.00,-0.127M,-0.915M,47.57M,0.131M,,AOR,Restated
2009-06,54.76M,0.047M,0.047M,16.14M,16.14M,-3.709M,2.824M,,2.824M,,85.20M,1.942M,-52.21M,,,4.203M,39.14M,109.20M,,-15.29M,0.003M,0.003M,0.00,,-15.29M,,-40.14M,-40.14M,1.149M,-0.742M,0.407M,,0.00,0.683M,-39.05M,,36.98M,54.86M,91.84M,,1.149M,74.46M,-114.60M,-0.742M,5.319M,0.282M,,AOR,Restated
2009-03,0.47M,0.059M,0.059M,16.20M,16.20M,-3.884M,3.302M,,3.302M,,-126.69M,7.467M,88.21M,,,2.118M,-28.89M,-12.74M,,-18.86M,0.003M,0.003M,,,-18.85M,,39.87M,39.87M,0.523M,-9.118M,-8.595M,,0.00,0.316M,31.59M,,36.99M,-0.008M,36.98M,,0.523M,199.58M,-159.71M,-9.118M,0.426M,0.363M,,AOR,Restated
2008-12,16.30M,,-0.363M,16.01M,16.01M,-0.439M,,,3.065M,,113.37M,-0.43M,-83.27M,,7.648M,2.234M,39.55M,74.12M,,-22.93M,3.074M,71.90M,,,-19.86M,,,-23.30M,0.652M,-11.37M,-10.71M,,,0.672M,-33.34M,,16.58M,20.93M,36.99M,,0.652M,,,-11.37M,,,,AOR,Restated
2008-09,19.76M,,0.027M,15.34M,15.34M,0.101M,,,3.041M,,-33.49M,-1.557M,-31.98M,,-13.82M,2.379M,-78.46M,-40.18M,,-15.36M,0.016M,-15.34M,,,-15.34M,,,22.92M,0.722M,-14.69M,-13.97M,,,0.202M,9.154M,,62.96M,-46.37M,16.58M,,0.722M,,,-14.69M,,,,,
2008-06,47.02M,,-0.144M,15.01M,15.01M,1.843M,,,3.00M,,64.21M,3.174M,33.23M,,29.49M,2.22M,132.33M,199.06M,,-26.98M,0.222M,-26.75M,,,-26.75M,,,-102.72M,0.862M,-24.96M,-24.10M,,,0.09M,-126.73M,,17.38M,45.57M,62.96M,,0.862M,,,-24.96M,,,,,
2008-03,-1.152M,,0.055M,14.37M,14.37M,0.061M,,,3.151M,,-111.54M,-0.18M,102.44M,,-23.33M,0.856M,-31.76M,-15.27M,,-26.49M,0.012M,-26.48M,,,-26.48M,,,47.25M,0.914M,-2.851M,-1.937M,,,0.121M,45.43M,,13.70M,3.683M,17.38M,,0.914M,,,-2.851M,,,,,
2007-12,30.02M,,0.098M,13.79M,13.79M,1.798M,,,1.968M,,63.32M,1.99M,-24.80M,,11.36M,-0.006M,51.87M,99.55M,,-15.18M,0.008M,68.37M,,,-15.18M,,,-33.39M,2.876M,-55.12M,-52.25M,,,0.462M,-85.18M,,25.72M,-0.81M,13.70M,,2.876M,,,-55.12M,,,,,Restated
2007-09,17.47M,,0.213M,12.90M,12.90M,5.168M,,,3.173M,,-6.924M,-3.393M,-67.03M,,-16.36M,4.01M,-89.70M,-50.78M,,-23.66M,0.003M,-23.66M,,,-23.66M,,,88.28M,0.696M,-31.20M,-30.51M,,,0.254M,58.03M,,30.91M,-16.40M,25.72M,,0.696M,,,-31.20M,,,,,
2007-06,43.76M,,-0.57M,12.36M,12.36M,1.487M,,,2.816M,,30.54M,-7.607M,27.09M,,15.42M,4.207M,69.65M,129.50M,,-28.29M,0.876M,-27.42M,,,-27.42M,,,-53.69M,2.492M,-42.39M,-39.90M,,,1.971M,-91.61M,,20.44M,10.47M,30.91M,,2.492M,,,-42.39M,,,,,
2007-03,4.999M,,0.289M,12.01M,12.01M,-1.406M,,,2.663M,,-128.08M,4.453M,91.76M,,-10.42M,0.476M,-41.81M,-23.25M,,-16.41M,0.087M,-16.32M,,,-16.32M,,,53.12M,1.37M,-21.33M,-19.96M,,,0.462M,33.62M,,26.39M,-5.953M,20.44M,,1.37M,,,-21.33M,,,,,
2006-12,29.50M,,-1.416M,11.37M,11.37M,-3.452M,,,2.821M,,10.86M,-0.911M,-0.883M,,10.91M,9.486M,29.47M,68.29M,,-30.38M,3.739M,-26.64M,,0.746M,-26.64M,,,-31.40M,1.127M,,1.127M,,,0.454M,-29.82M,,26.18M,11.83M,26.39M,,1.127M,,,,,,,,
2006-09,18.06M,,-0.077M,10.72M,10.72M,7.363M,,,2.378M,,-32.45M,-0.77M,-24.26M,,-14.98M,-5.10M,-77.57M,-39.13M,,-17.20M,3.769M,-13.43M,,0.00,-13.43M,,,30.80M,2.465M,,2.465M,,,2.121M,35.39M,,43.35M,-17.17M,26.18M,,2.465M,,,,,,,,
2006-06,42.93M,,-2.064M,10.58M,10.58M,-5.867M,,,1.675M,,17.22M,-4.747M,-12.64M,,35.92M,5.10M,40.85M,88.10M,,-22.71M,1.258M,-21.45M,,0.00,-21.45M,,,-64.99M,1.46M,,1.46M,,,0.611M,-62.92M,,39.62M,3.733M,43.35M,,1.46M,,,,,,,,
2006-03,0.525M,,1.951M,9.623M,9.623M,-1.574M,,,2.79M,,-129.73M,6.485M,93.18M,,-12.96M,,-43.03M,-29.71M,,-18.61M,0.044M,-18.56M,,-0.746M,-19.31M,,,56.15M,5.021M,,5.021M,,,6.27M,67.44M,,21.20M,18.42M,39.62M,,5.021M,,,,,,,,
2005-12,30.90M,,-11.80M,9.416M,9.416M,-0.618M,,,12.52M,,30.60M,1.339M,-34.92M,,4.457M,,10.76M,51.18M,,-24.34M,2.041M,-22.30M,,,-39.91M,,,-12.06M,1.627M,,1.627M,,,,-10.44M,,25.66M,0.835M,9.584M,,1.627M,,,,,,,,
2005-09,18.33M,,2.778M,8.893M,8.893M,-9.249M,,,,,-12.83M,-7.327M,-29.36M,,-6.899M,,-56.41M,-35.66M,,-27.00M,0.443M,-26.56M,,,-26.56M,,,19.73M,1.795M,,1.795M,,,,21.52M,,66.36M,-40.70M,25.66M,,1.795M,,,,,,,,
