,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2004-03,171.48M,,171.48M,83.25M,1.735M,84.99M,,,17.44M,81.20M,,,,355.10M,,,,,,,6.024B,-1.323B,4.701B,,1.235B,1.235B,,,155.62M,6.092B,6.447B,37.24M,37.24M,39.09M,76.32M,,46.46M,,46.46M,274.09M,274.09M,,396.87M,,3.139B,,3.139B,,,,,210.32M,507.04M,222.16M,3.868B,4.265B,2.222M,-1.675B,3.348B,,,,296.16M,1.972B
2003-12,409.58M,26.60M,436.18M,37.29M,0.93M,38.22M,,,9.615M,27.94M,,,2.055B,2.567B,0.0,114.57M,,101.73M,4.459B,,4.675B,-1.082B,3.594B,,270.44M,270.44M,,,181.42M,4.045B,6.612B,9.785M,9.785M,62.46M,72.24M,,267.14M,,267.14M,106.38M,106.38M,353.54M,799.32M,,3.183B,,3.183B,,,,,176.64M,506.70M,152.37M,3.842B,4.641B,2.208M,-1.796B,3.349B,,,,239.13M,1.794B
2003-09,255.67M,,255.67M,89.12M,0.962M,90.08M,,,25.31M,67.59M,,,,438.66M,,,,,,,5.837B,-1.128B,4.709B,,1.142B,1.142B,,,141.01M,5.992B,6.431B,47.17M,47.17M,,47.17M,,37.75M,,37.75M,228.23M,228.23M,47.60M,360.75M,,3.117B,,3.117B,,,,,202.49M,553.14M,200.67M,3.871B,4.232B,2.194M,-1.442B,3.320B,,,,115.61M,1.996B
2003-06,459.70M,63.46M,523.16M,82.86M,1.702M,84.56M,,,36.63M,62.40M,,,,706.75M,,,,,,,5.818B,-1.048B,4.770B,,1.138B,1.138B,,,139.63M,6.048B,6.754B,41.54M,41.54M,60.05M,101.59M,,28.38M,,28.38M,252.88M,252.88M,,382.85M,,3.158B,,3.158B,,,,,202.12M,729.94M,197.44M,4.086B,4.469B,2.19M,-1.332B,3.318B,,,,95.85M,2.084B
2003-03,476.95M,78.26M,555.21M,123.61M,8.937M,132.55M,,,41.22M,58.03M,,,,787.01M,,,,,,,5.753B,-956.57M,4.796B,,1.051B,1.051B,,,124.93M,5.972B,6.759B,50.74M,50.74M,43.86M,94.60M,,19.00M,,19.00M,218.17M,218.17M,,331.77M,,3.193B,,3.193B,,,,,174.79M,751.54M,184.66M,4.129B,4.461B,2.237M,-1.232B,3.347B,,,,5.354M,2.123B
2002-12,516.17M,115.70M,631.87M,125.95M,9.914M,135.86M,30.04M,15.58M,45.62M,53.73M,,,,867.08M,0.0,193.24M,5.377B,138.35M,,,5.709B,-880.71M,4.828B,,1.067B,1.067B,,,130.45M,6.026B,6.893B,63.85M,63.85M,74.47M,138.32M,,14.25M,,14.25M,208.20M,208.20M,,360.77M,,3.213B,,3.213B,,,,,171.38M,756.01M,183.23M,4.152B,4.513B,2.16M,-1.148B,3.315B,,,,39.32M,2.208B
2002-09,605.32M,78.80M,684.12M,163.29M,7.886M,171.18M,,,77.56M,58.45M,,,,991.30M,,,,,,,5.656B,-799.42M,4.856B,,1.040B,1.040B,,,157.16M,6.053B,7.044B,75.68M,75.68M,44.28M,119.96M,,369.09M,,369.09M,,,218.51M,707.56M,,2.998B,,2.998B,,,,,169.17M,837.55M,166.95M,4.003B,4.710B,2.153M,-1.144B,3.309B,,,,-2.65M,2.165B
2002-06,701.38M,87.46M,788.84M,170.75M,7.934M,178.69M,,,102.70M,54.50M,,,,1.125B,,,,,,,5.648B,-721.06M,4.927B,,1.040B,1.040B,,,208.46M,6.175B,7.300B,77.07M,77.07M,61.55M,138.62M,,351.71M,,351.71M,,,246.32M,736.65M,,3.117B,,3.117B,,,,,170.51M,898.63M,164.96M,4.181B,4.917B,2.215M,-1.108B,3.321B,,,,-2.842M,2.212B
2002-03,780.02M,72.46M,852.48M,186.31M,7.92M,194.23M,,,105.39M,50.49M,,,,1.203B,,,,,,,5.447B,-635.61M,4.812B,,1.035B,1.035B,,,232.70M,6.080B,7.282B,93.48M,93.48M,,93.48M,,342.74M,,342.74M,229.63M,229.63M,52.60M,718.45M,,3.095B,,3.095B,,,,,166.83M,888.60M,159.71M,4.143B,4.862B,2.204M,-1.019B,3.313B,,,,-42.49M,2.254B
2001-12,804.60M,72.96M,877.56M,188.50M,2.364M,190.86M,,,102.77M,44.86M,,,,1.216B,0.0,168.25M,5.243B,,,,5.412B,-566.84M,4.845B,,1.051B,1.051B,,,263.05M,6.159B,7.375B,104.15M,104.15M,,104.15M,,29.09M,,29.09M,,,278.22M,411.45M,,3.394B,,3.394B,,,,,168.94M,878.86M,157.55M,4.430B,4.842B,2.188M,-895.32M,3.301B,,,,-43.25M,2.365B
