,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.299B,1.299B,433.00M,866.00M,134.00M,134.00M,,,-80.00M,158.00M,1.00M,-159.00M,,508.00M,358.00M,1.00M,158.00M,-159.00M,-81.00M,-159.00M,118.00M,4.00M,114.00M,,,,28.00M,114.00M,191.29M,650.00M,374.00M,276.00M,0.21,,,,0.399,0.21,0.21,,,,0.3985,0.21,409.00M,410.00M,1.05
2017-12,1.137B,1.137B,418.00M,719.00M,,126.00M,,,-41.00M,148.00M,6.00M,-155.00M,,487.00M,232.00M,6.00M,148.00M,-155.00M,-43.00M,-155.00M,34.00M,14.00M,20.00M,,,,28.00M,20.00M,44.60M,543.00M,361.00M,182.00M,0.17,,,,0.2306,0.17,0.17,,,,0.2304,0.17,406.00M,407.00M,1.05
2017-09,1.063B,1.063B,388.00M,675.00M,,100.00M,,,-18.00M,152.00M,11.00M,-143.00M,,396.00M,279.00M,11.00M,152.00M,-143.00M,-18.00M,-143.00M,118.00M,3.00M,115.00M,,,,30.00M,115.00M,132.54M,566.00M,296.00M,270.00M,0.22,,,,0.2644,0.22,0.21,,,,0.2542,0.21,395.00M,397.00M,0.95
2017-06,1.038B,1.038B,373.00M,665.00M,98.00M,98.00M,,,-12.00M,139.00M,1.00M,-141.00M,,394.00M,271.00M,1.00M,139.00M,-141.00M,-13.00M,-141.00M,117.00M,5.00M,112.00M,,,,,112.00M,123.49M,552.00M,295.00M,256.00M,0.31,,,,0.3416,0.31,0.31,,,,0.3414,0.31,364.00M,366.00M,0.95
2017-03,1.016B,1.016B,364.00M,652.00M,101.00M,101.00M,,,-11.00M,132.00M,0.00,-134.00M,,390.00M,262.00M,0.00,132.00M,-134.00M,-5.00M,-134.00M,123.00M,4.00M,119.00M,,,,,119.00M,129.64M,544.00M,289.00M,255.00M,0.33,,,,0.3595,0.33,0.33,,,,0.3594,0.33,361.00M,362.00M,0.95
2016-12,1.032B,1.032B,392.71M,639.48M,92.09M,92.09M,,,-11.00M,119.64M,0.546M,-128.80M,,366.37M,273.11M,0.546M,119.64M,-128.80M,-15.38M,-128.80M,128.94M,4.203M,124.74M,,,,0.009M,124.74M,135.38M,522.85M,274.28M,248.58M,0.35,0.0,,,0.3803,0.35,0.35,0.0,,,0.3802,0.35,350.72M,352.77M,0.95
2016-09,992.02M,992.02M,365.98M,626.04M,89.94M,89.94M,,,-21.29M,126.62M,0.175M,-129.74M,,370.76M,255.27M,0.175M,126.62M,-129.74M,-22.12M,-129.74M,103.41M,5.041M,98.37M,,,,11.00M,98.37M,118.62M,510.85M,280.82M,230.02M,0.26,,,,0.32,0.26,0.26,,,,0.3199,0.26,337.56M,338.41M,0.885
2016-06,962.41M,962.41M,348.72M,613.69M,91.39M,91.39M,,,-26.56M,125.58M,0.105M,-129.26M,,367.41M,246.28M,0.105M,125.58M,-129.26M,-27.08M,-129.26M,89.94M,3.884M,86.06M,,,,11.00M,86.06M,111.47M,491.55M,276.03M,215.52M,0.22,,,,0.2953,0.22,0.22,,,,0.2951,0.22,337.56M,338.61M,0.885
2016-03,934.38M,934.38M,333.59M,600.79M,97.58M,97.58M,,,-44.15M,121.27M,0.174M,-126.20M,,375.46M,225.34M,0.174M,121.27M,-126.20M,-47.42M,-126.20M,51.71M,3.872M,47.84M,,,,11.00M,47.84M,88.68M,450.86M,277.88M,172.98M,0.11,,,,0.2322,0.11,0.11,,,,0.2319,0.11,334.16M,334.93M,0.885
2015-12,945.84M,945.84M,342.00M,603.83M,87.04M,87.04M,,,-17.49M,118.81M,0.736M,-127.61M,,356.60M,247.23M,0.736M,118.81M,-127.61M,-18.98M,-127.61M,100.65M,-42.08M,142.72M,-1.659M,,0.00,11.00M,141.07M,153.22M,489.01M,269.56M,219.46M,0.39,0.0,,,0.4215,0.39,0.39,0.0,,,0.4213,0.39,333.16M,335.04M,0.885
2015-09,918.11M,918.11M,333.86M,584.25M,76.70M,76.70M,,,-15.08M,121.29M,0.789M,-125.34M,,338.36M,245.89M,0.789M,121.29M,-125.34M,-20.04M,-125.34M,100.50M,-3.801M,104.30M,-0.522M,,,11.00M,103.78M,115.60M,483.45M,261.66M,221.79M,0.28,0.0,,,0.3139,0.28,0.28,0.0,,,0.3139,0.28,333.05M,333.71M,0.82
2015-06,899.44M,899.44M,326.43M,573.01M,73.12M,73.12M,,,-10.18M,122.40M,0.325M,-126.65M,,326.28M,246.73M,0.325M,122.40M,-126.65M,42.30M,-126.65M,162.38M,-4.144M,166.53M,987.85M,,-1.018M,11.00M,1.153B,176.11M,537.93M,253.15M,284.78M,0.47,2.96,,,0.5018,3.43,0.47,2.95,,,0.5018,3.42,333.09M,333.73M,0.82
2015-03,900.47M,900.47M,319.13M,581.34M,74.06M,74.06M,,,-10.57M,122.70M,0.056M,-126.89M,,325.86M,255.48M,0.056M,122.70M,-126.89M,-18.29M,-126.89M,110.30M,-1.435M,111.73M,13.38M,,-2.325M,11.00M,122.79M,120.25M,484.81M,251.81M,233.00M,0.3,0.04,,,0.3326,0.34,0.3,0.04,,,0.3325,0.34,332.71M,333.48M,0.82
2014-12,925.87M,925.87M,354.82M,571.05M,70.12M,70.12M,,,-8.866M,121.30M,-0.014M,-125.83M,,316.94M,254.11M,-0.014M,121.30M,-125.83M,-2.776M,-125.83M,125.50M,-3.126M,128.63M,23.96M,,-4.517M,11.00M,148.07M,139.79M,493.62M,246.82M,246.80M,0.41,0.06,,,0.4572,0.41,0.41,0.06,,,0.4569,0.41,332.42M,334.00M,0.82
2014-09,892.88M,892.88M,332.41M,560.47M,65.21M,65.21M,,,-9.00M,120.56M,0.107M,-125.63M,,312.42M,248.05M,0.107M,120.56M,-125.63M,-25.24M,-125.63M,97.18M,-1.977M,99.16M,8.882M,,-1.10M,11.00M,106.94M,114.01M,464.94M,247.21M,217.74M,0.27,0.02,,,0.318,0.29,0.26,0.02,,,0.3079,0.29,332.41M,333.24M,0.35
2014-06,878.24M,878.24M,328.93M,549.31M,63.32M,63.32M,,,-66.86M,122.85M,0.108M,-128.26M,,309.90M,239.41M,0.108M,122.85M,-128.26M,-88.94M,-128.26M,22.20M,-3.101M,25.30M,10.05M,,-1.348M,11.00M,34.01M,77.92M,391.64M,241.57M,145.05M,0.04,0.03,,,0.2024,0.07,0.04,0.03,,,0.202,0.07,332.34M,333.08M,0.35
2014-03,875.95M,875.95M,300.95M,575.00M,64.85M,64.85M,,,-8.392M,124.56M,0.173M,-130.04M,,315.04M,259.96M,0.173M,124.56M,-130.04M,-27.31M,-130.04M,102.60M,-0.188M,102.79M,,,-1.296M,11.00M,101.50M,117.47M,477.36M,250.19M,227.17M,0.27,,,,0.3181,0.27,0.27,,,,0.318,0.27,332.03M,333.04M,0.35
2013-12,641.79M,641.79M,222.86M,418.93M,41.98M,41.98M,,,-15.92M,118.60M,0.095M,-126.69M,,210.80M,208.13M,0.095M,118.60M,-126.69M,-35.27M,-126.69M,46.16M,102.75M,-56.58M,,,-0.865M,,-23.55M,-36.57M,333.59M,168.82M,164.77M,-0.11,,,,-0.0447,-0.11,-0.11,,,,-0.045,-0.11,319.63M,321.04M,
2013-09,748.98M,748.98M,263.96M,485.01M,58.50M,58.50M,,,-8.263M,120.43M,0.236M,-125.56M,,253.91M,231.10M,0.236M,120.43M,-125.56M,-25.12M,-125.56M,80.43M,33.96M,46.47M,,,-0.632M,,45.84M,61.75M,396.26M,195.41M,200.86M,0.16,,,,0.2148,0.16,0.16,,,,0.2146,0.16,290.37M,291.38M,
2013-06,734.93M,734.93M,249.21M,485.71M,54.79M,54.79M,,,-10.89M,119.00M,0.328M,-123.69M,,245.44M,240.27M,0.328M,119.00M,-123.69M,-26.62M,-123.69M,89.96M,36.59M,53.38M,,,-1.017M,,52.36M,69.99M,399.62M,190.65M,208.96M,0.18,,,,0.2406,0.18,0.18,,,,0.2402,0.18,291.22M,292.71M,
2013-03,740.06M,740.06M,254.98M,485.08M,58.25M,58.25M,,,-41.23M,138.88M,0.297M,-147.81M,,244.70M,240.37M,0.297M,138.88M,-147.81M,-58.12M,-147.81M,34.44M,17.71M,16.74M,,,-1.275M,,15.46M,52.83M,359.79M,186.46M,173.33M,0.05,,,,0.1784,0.05,0.05,,,,0.1777,0.05,291.10M,292.57M,
2012-12,674.09M,674.09M,217.42M,456.67M,58.63M,58.63M,,,-130.87M,149.97M,3.529M,-153.87M,,234.47M,222.19M,3.529M,149.97M,-153.87M,-148.59M,-153.87M,-80.27M,-70.62M,-9.644M,,,-9.861M,0.00,-19.50M,76.15M,245.54M,175.84M,69.70M,-0.07,,,,0.2589,-0.07,-0.07,,,,0.2559,-0.07,290.82M,293.50M,
2012-09,621.34M,621.34M,185.34M,435.99M,55.86M,55.86M,,,-4.497M,123.36M,0.291M,-128.36M,,210.73M,225.26M,0.291M,123.36M,-128.36M,-21.43M,-128.36M,75.48M,32.30M,43.18M,,,-1.133M,,42.04M,55.56M,353.70M,154.87M,198.83M,0.14,,,,0.1865,0.14,0.14,,,,0.1863,0.14,290.76M,292.10M,
2012-06,585.51M,585.51M,171.83M,413.68M,47.08M,47.08M,,,-18.66M,123.34M,0.382M,-128.24M,,199.56M,214.12M,0.382M,123.34M,-128.24M,-37.23M,-128.24M,48.65M,-68.43M,117.08M,,,-1.071M,,116.01M,138.75M,324.48M,152.48M,172.00M,0.4,,,,0.4782,0.4,0.4,,,,0.4781,0.4,290.65M,291.20M,
2012-03,551.74M,551.74M,154.39M,397.35M,51.00M,51.00M,,,-11.79M,116.77M,0.354M,-120.78M,,190.40M,206.95M,0.354M,116.77M,-120.78M,-29.21M,-120.78M,56.96M,6.695M,50.27M,,,-0.239M,2.629M,50.03M,74.85M,313.14M,139.40M,173.74M,0.17,,,,0.2571,0.17,0.17,,,,0.2568,0.17,284.91M,285.85M,
2011-12,519.47M,519.47M,148.86M,370.62M,,44.57M,,,-4.797M,117.67M,0.112M,-55.48M,,183.53M,187.08M,0.112M,117.67M,-55.48M,-82.08M,-55.48M,49.52M,0.584M,48.94M,,,-0.028M,4.996M,48.91M,53.65M,306.15M,138.96M,167.19M,0.15,,,,0.1669,0.15,0.15,,,,0.1667,0.15,280.97M,283.18M,
2011-09,513.88M,513.88M,146.84M,367.04M,,42.92M,,3.09M,-4.444M,101.38M,0.175M,-126.94M,,181.44M,185.60M,0.175M,101.38M,-126.94M,-4.444M,-126.94M,54.21M,2.825M,51.38M,,,-0.105M,7.541M,51.28M,55.49M,294.11M,138.52M,155.59M,0.16,0.0,,,0.1749,0.16,0.15,0.0,,,0.1648,0.15,282.03M,283.90M,
2011-06,500.34M,500.34M,147.05M,353.29M,,41.26M,,6.205M,-10.79M,126.48M,0.208M,-126.28M,,179.45M,173.84M,0.208M,126.48M,-126.28M,-10.79M,-126.28M,36.77M,5.755M,31.01M,,,-0.143M,5.202M,30.87M,39.97M,301.44M,138.19M,163.25M,0.09,0.0,,,0.1219,0.09,0.09,0.0,,,0.1217,0.09,285.28M,287.03M,
2011-03,499.04M,499.04M,145.64M,353.40M,,44.74M,,4.401M,-5.561M,100.88M,0.171M,-126.52M,,182.02M,171.38M,0.171M,100.88M,-126.52M,-5.561M,-126.52M,39.31M,-0.817M,40.12M,,,-0.107M,5.201M,40.02M,43.63M,277.46M,137.27M,140.19M,0.12,0.0,,,0.1326,0.12,0.12,0.0,,,0.1325,0.12,287.00M,289.00M,
2010-12,496.31M,496.31M,152.93M,343.38M,,43.91M,,,286.23M,116.12M,1.219M,-70.56M,,181.17M,162.21M,1.219M,116.12M,-70.56M,-54.97M,-70.56M,36.68M,-4.224M,40.90M,,,-0.032M,5.202M,40.87M,-145.18M,290.06M,137.26M,152.80M,0.12,,,,-0.5296,0.12,0.12,,,,-0.5296,0.12,286.41M,286.41M,
2010-09,481.89M,481.89M,143.00M,338.89M,,41.42M,,4.429M,-181.65M,101.01M,0.847M,-122.35M,,177.64M,161.25M,0.847M,101.01M,-122.35M,-181.65M,-122.35M,-142.75M,-7.597M,-135.15M,,,0.141M,5.201M,-135.01M,36.97M,94.48M,136.22M,-41.74M,-0.49,0.0,,,0.1111,-0.49,-0.49,0.0,,,0.1111,-0.49,286.12M,286.12M,
2010-06,456.13M,456.13M,145.39M,310.74M,,40.56M,,2.597M,-117.71M,101.67M,,-120.34M,,174.98M,135.75M,,101.67M,-120.34M,-117.71M,-120.34M,-102.30M,-4.686M,-97.61M,,,0.085M,5.202M,-97.53M,14.79M,133.79M,134.43M,-0.634M,-0.36,0.0,,,0.0326,-0.36,-0.36,0.0,,,0.0326,-0.36,286.08M,286.08M,
2010-03,444.33M,444.33M,140.05M,304.28M,,39.47M,,1.562M,-140.89M,101.91M,,-120.78M,,172.34M,131.94M,,101.91M,-120.78M,-140.89M,-120.78M,-129.74M,-10.34M,-119.40M,,,0.125M,5.201M,-119.28M,10.39M,105.04M,132.87M,-27.83M,-0.43,0.0,,,0.0195,-0.43,-0.43,0.0,,,0.0195,-0.43,288.45M,288.45M,
2009-12,443.54M,443.54M,146.71M,296.84M,,39.10M,,,15.41M,118.88M,-0.159M,-119.04M,,172.61M,124.23M,-0.159M,118.88M,-119.04M,15.41M,-119.04M,20.61M,1.876M,18.73M,,,-0.584M,5.202M,18.15M,4.140M,272.99M,133.50M,139.48M,0.05,0.0,,,0.0013,0.05,0.05,0.0,,,0.0013,0.05,287.42M,287.42M,
2009-09,429.08M,429.08M,136.51M,292.57M,,39.23M,,,-66.25M,111.17M,2.569M,-108.60M,,170.69M,121.87M,2.569M,111.17M,-108.60M,-66.25M,-108.60M,-52.97M,-21.84M,-31.14M,,,-0.501M,5.202M,-31.64M,11.42M,189.66M,131.46M,58.20M,-0.13,0.0,,,0.0202,-0.13,-0.13,0.0,,,0.0202,-0.13,286.71M,286.71M,
2009-06,409.87M,409.87M,134.39M,275.48M,,38.10M,,7.295M,-165.50M,110.25M,,-110.25M,,169.70M,105.78M,,110.25M,-110.25M,-165.50M,-110.25M,-166.72M,-54.95M,-111.77M,,,0.349M,5.201M,-111.42M,-0.4669M,75.13M,131.60M,-56.47M,-0.41,0.0,,,-0.0227,-0.41,-0.41,0.0,,,-0.0227,-0.41,286.45M,286.45M,
2009-03,402.91M,402.91M,131.76M,271.15M,,36.64M,,4.091M,13.05M,105.83M,,-105.83M,,169.81M,101.34M,,105.83M,-105.83M,13.05M,-105.83M,8.559M,-1.491M,10.05M,,,0.527M,5.201M,10.58M,2.092M,247.57M,133.18M,114.39M,0.02,0.0,,,-0.0097,0.02,0.02,0.0,,,-0.0095,0.02,285.91M,287.61M,
2008-12,392.02M,392.02M,135.92M,256.10M,,38.67M,,,-77.69M,,,,,160.27M,95.83M,,,,-77.69M,,-81.10M,-17.28M,-63.82M,,,,5.202M,-63.82M,-2.686M,115.62M,130.80M,-15.17M,-0.25,0.0,,,-0.036,-0.25,-0.25,0.0,,,-0.036,-0.25,285.69M,285.69M,
2008-09,384.35M,384.35M,136.30M,248.05M,,37.44M,,,-26.62M,,,,2.902M,172.05M,76.00M,,,,-26.62M,,-34.30M,-2.096M,-32.21M,,,,5.201M,-32.21M,-7.214M,207.71M,131.71M,76.00M,-0.13,0.0,,,-0.0419,-0.13,-0.13,0.0,,,-0.0419,-0.13,283.57M,283.57M,
2008-06,379.51M,379.51M,135.57M,243.95M,,38.49M,,4.993M,-4.993M,88.76M,0.206M,-88.55M,,170.39M,73.56M,0.206M,88.76M,-88.55M,-4.993M,-88.55M,-19.98M,-80.32M,60.34M,,,0.00,5.201M,60.34M,63.58M,200.67M,131.90M,68.77M,0.2,0.0,,,0.2116,0.2,0.19,0.0,,,0.2013,0.19,279.43M,288.43M,
2008-03,370.62M,370.62M,130.79M,239.83M,,34.99M,,1.304M,-3.808M,89.14M,2.31M,-86.84M,,167.02M,72.81M,2.31M,89.14M,-86.84M,-3.808M,-86.84M,-17.83M,-4.659M,-13.17M,,,0.00,5.202M,-13.17M,-10.36M,203.35M,132.03M,71.31M,-0.07,0.0,,,-0.0599,-0.07,-0.07,0.0,,,-0.0599,-0.07,279.34M,279.34M,
2007-12,375.16M,375.16M,134.98M,240.19M,,38.64M,,,-83.84M,,,,-20.59M,172.45M,67.74M,,,,-83.84M,,-104.50M,-24.33M,-80.17M,,,0.00,5.201M,-80.17M,-15.85M,222.14M,153.00M,67.74M,-0.3,0.0,,,-0.0717,-0.3,-0.3,0.0,,,-0.0717,-0.3,281.69M,281.69M,
2007-09,351.74M,351.74M,128.90M,222.85M,,32.88M,,,-67.25M,,,,59.31M,227.73M,-4.878M,,,,-67.25M,,-99.26M,-31.92M,-67.01M,,,0.324M,5.201M,-67.01M,-21.39M,130.66M,126.28M,-4.878M,-0.26,0.0,,,-0.0986,-0.26,-0.26,0.0,,,-0.0986,-0.26,282.58M,282.58M,
2007-06,342.87M,342.87M,126.84M,216.02M,,34.22M,2.111M,,-8.46M,,,,3.391M,173.04M,42.98M,,,,-8.46M,,-47.97M,-15.62M,-32.74M,,,-0.39M,5.202M,-32.74M,-27.03M,181.10M,138.12M,42.98M,-0.13,0.0,,,-0.1098,-0.13,-0.13,0.0,,,-0.1098,-0.13,282.02M,282.02M,
2007-03,315.71M,315.71M,118.37M,197.34M,,35.00M,,,-10.20M,,,,1.352M,175.05M,22.29M,,,,-10.20M,,-65.27M,-22.16M,-42.89M,,,0.217M,5.201M,-42.89M,-36.15M,165.45M,143.16M,22.29M,-0.18,0.0,,,-0.1554,-0.18,-0.18,0.0,,,-0.1554,-0.18,273.46M,273.46M,
2006-12,210.84M,210.84M,72.68M,138.16M,,15.97M,,,-14.70M,,,,0.14M,87.72M,50.44M,,,,-14.70M,,-7.396M,-0.855M,-6.275M,0.00,,0.266M,5.202M,-6.275M,6.725M,124.58M,74.15M,50.44M,-0.06,0.0,,,0.0048,-0.06,-0.06,0.0,,,0.0048,-0.06,200.76M,200.76M,
2006-09,200.94M,200.94M,70.00M,130.94M,,25.43M,,,-1.385M,,,,0.948M,98.54M,32.40M,,,,-1.385M,,-15.47M,0.575M,-15.56M,,,0.485M,5.201M,-15.56M,-14.73M,106.55M,74.15M,32.40M,-0.1,0.0,,,-0.0959,-0.1,-0.1,0.0,,,-0.0959,-0.1,201.07M,201.07M,
2006-06,193.78M,193.78M,66.81M,126.97M,,25.82M,2.686M,,-4.461M,,,,1.522M,99.41M,27.56M,,,,-4.461M,,-12.83M,0.507M,-13.34M,,,0.004M,5.202M,-13.34M,-10.66M,98.67M,71.11M,27.56M,-0.09,0.0,,,-0.0774,-0.09,-0.09,0.0,,,-0.0774,-0.09,212.68M,212.68M,
2006-03,182.66M,182.66M,63.48M,119.19M,,24.16M,1.678M,,-0.335M,,,,0.335M,98.27M,20.92M,,,,-0.335M,,-12.67M,0.616M,-12.38M,5.657M,,0.911M,5.201M,-6.722M,-12.18M,95.36M,74.44M,20.92M,-0.08,0.02,,,-0.0791,-0.06,-0.08,0.02,,,-0.0791,-0.06,214.47M,214.47M,
2005-12,178.63M,178.63M,65.38M,113.24M,,33.45M,,,5.089M,,,,0.773M,101.76M,11.49M,,,,5.089M,,-10.60M,2.817M,-12.66M,0.00,,0.76M,20.71M,-21.69M,-15.71M,84.46M,72.97M,11.49M,-0.16,0.0,,,-0.1743,-0.2,-0.1979,0.0,,,-0.2122,-0.2,213.54M,214.19M,
2005-09,172.26M,172.26M,64.00M,108.26M,,33.98M,1.172M,,-3.837M,,,,1.161M,106.52M,1.73M,,,,-3.837M,,-26.25M,0.117M,-25.54M,,,0.834M,9.429M,-25.54M,-23.23M,73.75M,72.02M,1.73M,-0.16,0.0,,,-0.1493,-0.16,-0.16,0.0,,,-0.1493,-0.16,215.66M,215.66M,
2005-06,168.23M,168.23M,62.80M,105.42M,,23.99M,0.795M,,-203.19M,,,,0.555M,96.07M,9.35M,,,,-203.19M,,-228.68M,0.147M,-228.10M,2.347M,,0.727M,9.568M,-225.75M,-106.18M,80.08M,69.62M,9.35M,-1.09,0.01,,,-0.5314,-1.08,-1.09,0.01,,,-0.5314,-1.08,218.24M,218.24M,
2005-03,157.65M,157.65M,59.79M,97.86M,,22.49M,0.489M,,-8.913M,,,,0.436M,93.60M,4.255M,,,,-8.913M,,-126.51M,0.144M,-125.45M,-1.499M,,1.204M,9.653M,-126.95M,-120.10M,77.92M,73.67M,4.255M,-0.6,-0.01,,,-0.5761,-0.61,-0.6,-0.01,,,-0.5761,-0.61,223.60M,223.60M,
2004-12,158.38M,158.38M,61.14M,97.24M,,24.08M,,,-86.31M,,,,8.711M,108.09M,-10.86M,,,,-86.31M,,-88.37M,0.149M,-87.57M,-2.562M,,1.35M,9.754M,-90.13M,-35.79M,64.53M,75.38M,-10.86M,-0.44,-0.01,,,-0.2076,-0.45,-0.44,-0.0114,,,-0.2089,-0.45,222.78M,224.06M,
2004-09,150.18M,150.18M,56.52M,93.66M,,23.15M,,,0.445M,,,,,93.07M,0.592M,,,,0.445M,,-64.80M,-6.856M,-58.48M,509.14M,,-0.544M,9.836M,450.66M,-58.88M,72.72M,72.13M,0.592M,-0.31,2.29,,,-0.3118,1.98,-0.31,2.29,,,-0.3118,1.98,222.84M,222.84M,
2004-06,150.76M,150.76M,57.72M,93.03M,,27.37M,0.371M,,-3.179M,,,,1.868M,100.08M,-7.048M,,,,-3.179M,,-64.93M,0.684M,-65.89M,15.11M,,-0.277M,9.332M,-50.78M,-63.98M,66.24M,73.29M,-7.048M,-0.34,0.07,,,-0.3314,-0.27,-0.34,0.07,,,-0.3314,-0.27,221.85M,221.85M,
