,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-03,20.78M,,,0.001M,6.653M,2.808M,9.461M,9.461M,-2.606M,,,,3.542M,-4.573M,-15.34M,-5.125M,0.543M,-20.95M,6.688M,-5.345M,0.418M,-4.927M,-0.213M,,-5.14M,,,25.82M,1.974M,-28.35M,-26.38M,,,-0.555M,67.18M,0.993M,-0.389M,67.78M,1.974M,,,-28.35M
2004-12,36.29M,,,0.713M,7.029M,3.627M,10.66M,10.66M,,,,,-16.90M,8.959M,20.31M,3.519M,-19.48M,-3.594M,44.06M,-10.36M,0.104M,-10.26M,0.00,,-10.26M,,,5.734M,14.67M,-42.30M,-27.63M,,,-21.90M,54.05M,11.90M,1.225M,67.18M,14.67M,,,-42.30M
2004-09,24.63M,,,-0.425M,6.728M,2.925M,9.653M,9.653M,,,,,8.329M,-2.491M,-5.863M,3.549M,9.626M,13.15M,47.01M,-6.85M,0.339M,-6.511M,-1.296M,,-7.807M,,,3.424M,3.993M,-40.52M,-36.53M,,,-33.11M,47.61M,6.093M,0.342M,54.05M,3.993M,,,-40.52M
2004-06,28.42M,,,-0.052M,6.438M,2.896M,9.334M,9.334M,,,,,-8.207M,1.82M,1.565M,2.571M,10.05M,7.80M,45.50M,-4.798M,1.013M,-3.785M,-0.991M,,-4.776M,,,-40.25M,5.148M,-2.981M,2.167M,,,-38.08M,44.77M,2.643M,0.202M,47.61M,5.148M,,,-2.981M
2004-03,18.62M,,,0.333M,6.473M,2.808M,9.281M,9.281M,,,,,5.441M,-3.839M,-3.081M,-5.055M,7.721M,1.187M,29.42M,-5.869M,0.363M,-5.506M,,,-5.506M,,,-9.514M,1.758M,-16.59M,-14.83M,,,-24.35M,45.12M,-0.43M,0.082M,44.77M,1.758M,,,-16.59M
2003-12,32.94M,,,2.632M,6.234M,3.148M,9.382M,9.382M,,,,,-11.58M,15.33M,6.904M,4.313M,-21.14M,-6.178M,38.78M,-9.51M,0.238M,-9.272M,-0.964M,,-10.24M,,,-18.20M,1.447M,,1.447M,,,-19.83M,35.40M,8.709M,1.012M,45.12M,1.447M,,,
2003-09,24.18M,,,-2.791M,6.163M,2.909M,9.072M,9.072M,,,,,-0.126M,5.969M,-5.267M,5.792M,2.232M,8.60M,39.06M,-7.04M,1.25M,-5.79M,-1.514M,,-7.304M,,,-33.63M,0.954M,,0.954M,,,-32.68M,35.15M,-0.916M,1.161M,35.40M,0.954M,,,
2003-06,25.78M,,,-0.024M,6.387M,2.84M,9.227M,9.227M,,,,,2.894M,-6.885M,0.432M,-0.292M,-0.412M,-4.263M,30.72M,-5.865M,0.509M,-5.356M,-1.775M,,-7.131M,,,-21.99M,1.017M,,1.017M,,,-20.97M,32.02M,2.619M,0.51M,35.15M,1.017M,,,
2003-03,12.94M,,,0.196M,6.302M,2.827M,9.129M,9.129M,,,,,12.33M,-5.641M,-10.52M,-8.105M,-1.655M,-13.59M,8.671M,-4.737M,0.095M,-4.642M,-0.197M,,-4.839M,,,-3.402M,0.159M,,0.159M,,,-3.243M,31.43M,0.589M,0.005M,32.02M,0.159M,,,
2002-12,31.29M,,,3.063M,6.505M,2.852M,9.357M,9.357M,,,,,-2.491M,5.602M,16.89M,7.815M,-35.34M,-7.519M,36.19M,-7.887M,1.577M,-6.31M,-0.331M,,-6.641M,,,-26.41M,0.408M,,0.408M,,,-26.00M,28.28M,3.552M,-0.407M,31.43M,0.408M,,,
2002-09,22.98M,,,-0.18M,6.699M,2.805M,9.504M,9.504M,,,,,7.875M,1.472M,-3.99M,2.682M,-5.602M,2.437M,34.74M,-7.492M,0.193M,-7.299M,-1.702M,,-9.001M,,,-23.18M,1.86M,,1.86M,,,-21.32M,23.88M,4.421M,-0.014M,28.28M,1.86M,,,
2002-06,27.48M,,,0.126M,6.221M,1.901M,8.122M,8.122M,,,,,4.319M,-3.83M,1.133M,-1.805M,-2.678M,-2.861M,32.86M,-8.445M,0.187M,-8.258M,-2.789M,,-11.05M,,,-21.28M,0.391M,,0.391M,,,-20.89M,23.46M,0.93M,-0.516M,23.88M,0.391M,,,
2002-03,18.67M,,,-0.059M,5.967M,1.774M,7.741M,7.741M,,,,,3.96M,4.134M,-13.12M,-2.631M,-7.088M,-14.74M,11.61M,-9.333M,0.038M,-9.295M,-16.48M,,-25.78M,,,9.679M,0.873M,,0.873M,,,10.55M,27.72M,-3.612M,-0.648M,23.46M,0.873M,,,
2001-12,30.70M,,,1.63M,5.96M,4.408M,10.37M,10.37M,,,,,-3.109M,7.407M,6.855M,5.332M,-14.59M,1.896M,44.59M,-11.47M,0.662M,-10.80M,-157.62M,,-168.42M,,,119.49M,7.089M,,7.089M,,,126.58M,24.71M,2.75M,0.263M,27.72M,7.089M,,,
2001-09,20.38M,,,0.129M,5.531M,3.469M,9.00M,9.00M,,,,,-7.721M,0.593M,-3.839M,0.00,8.76M,-2.207M,27.31M,-6.595M,0.939M,-5.656M,-6.922M,,-12.58M,,,-13.75M,0.808M,,0.808M,,,-12.94M,23.21M,1.785M,-0.289M,24.71M,0.808M,,,
2001-06,6.682M,,,0.122M,5.721M,3.025M,8.746M,8.746M,,,,,-1.015M,2.088M,-5.49M,-0.784M,17.14M,11.94M,27.49M,-9.08M,0.206M,-8.874M,0.00,,-8.874M,,,-22.47M,4.036M,,4.036M,,,-18.43M,22.98M,0.182M,0.045M,23.21M,4.036M,,,
2001-03,14.50M,,,-0.826M,5.646M,3.212M,8.858M,8.858M,,,,,0.343M,-6.557M,-12.35M,-3.978M,2.197M,-20.35M,2.184M,-6.086M,1.711M,-4.375M,-0.934M,,-5.309M,,,0.118M,4.907M,,4.907M,,,5.025M,21.72M,1.90M,-0.64M,22.98M,4.907M,,,
2000-12,23.30M,,,0.312M,,,8.84M,8.84M,1.775M,,,,-2.377M,-4.081M,16.19M,2.639M,0.275M,12.65M,46.88M,-10.99M,0.833M,-10.15M,-8.207M,,-18.36M,,,-28.47M,5.619M,,5.619M,,,-22.85M,15.68M,5.665M,0.377M,21.72M,5.619M,,,
2000-09,17.13M,,,0.063M,,,7.778M,7.778M,-0.093M,,,,-14.27M,-1.405M,0.686M,-2.295M,1.906M,-15.38M,9.503M,-8.771M,0.335M,-8.436M,-1.415M,,-9.851M,,,0.097M,0.00,,0.00,,,0.097M,16.05M,-0.251M,-0.117M,15.68M,0.00,,,
2000-06,17.93M,,,-0.068M,,,8.04M,8.04M,-0.112M,,,,-3.084M,-5.136M,3.97M,-0.965M,3.984M,-1.231M,24.56M,-5.026M,0.266M,-4.76M,-7.336M,,-12.10M,,,-15.30M,0.502M,,0.502M,,,-14.79M,18.38M,-2.33M,0.003M,16.05M,0.502M,,,
2000-03,11.75M,,,0.096M,,,8.596M,8.596M,-0.083M,,,,7.295M,-6.652M,-23.81M,-1.157M,7.733M,-16.59M,3.774M,-4.52M,0.034M,-4.486M,-9.419M,,-13.90M,,,11.29M,0.352M,,0.352M,,,11.64M,17.18M,1.512M,-0.313M,18.38M,0.352M,,,
1999-12,12.90M,,,0.00,,,8.80M,8.80M,-1.60M,,,-0.10M,-15.60M,-5.70M,22.90M,8.90M,9.70M,20.20M,40.20M,-12.40M,0.50M,-11.90M,,,-11.90M,,,-26.90M,1.20M,,1.20M,,-0.10M,-25.80M,14.90M,2.50M,-0.40M,17.20M,1.20M,,,
1999-09,13.70M,,,0.00,,,8.70M,8.70M,0.90M,,,0.20M,4.10M,1.90M,0.80M,2.20M,-4.50M,4.50M,28.00M,-4.90M,0.20M,-4.70M,,-0.10M,-4.80M,,,-22.70M,0.90M,,0.90M,,0.10M,-21.70M,0.00,1.50M,0.10M,14.90M,0.90M,,,
1999-06,13.40M,,,1.30M,,,9.00M,9.00M,-0.30M,,,-0.40M,-4.00M,-1.70M,2.50M,0.60M,-1.00M,-3.60M,19.40M,-24.80M,0.30M,-24.50M,,0.10M,-24.40M,,,1.50M,0.50M,,0.50M,,,2.00M,16.30M,-3.00M,0.00,0.00,0.50M,,,
1999-03,8.10M,,,-3.20M,,,8.80M,8.80M,-0.60M,,,0.20M,-3.90M,-4.00M,-10.00M,-0.30M,8.60M,-9.60M,3.70M,-5.60M,9.20M,3.60M,,,3.60M,,,-11.70M,,,,,,-11.70M,21.20M,-4.40M,-0.40M,16.30M,,,,
1998-12,16.80M,,,0.30M,,,8.70M,8.70M,-0.30M,,,0.00,-10.70M,-1.80M,21.00M,0.30M,-0.80M,8.00M,33.50M,-25.20M,6.60M,-18.60M,,-0.10M,-18.70M,,,-9.90M,0.30M,,0.30M,,0.10M,-9.50M,0.00,5.30M,0.30M,21.20M,0.30M,,,
1998-09,2.60M,,,9.50M,,,8.10M,8.10M,0.30M,,,0.30M,4.60M,-2.10M,1.60M,-0.50M,-7.70M,-4.10M,16.70M,-28.40M,15.90M,-12.50M,,-0.10M,-12.60M,,,-3.60M,0.20M,,0.20M,,0.10M,-3.30M,0.00,0.80M,0.40M,0.00,0.20M,,,
1998-06,11.40M,,,0.30M,,,7.70M,7.70M,-0.60M,,,-0.20M,-10.10M,-1.00M,1.60M,5.70M,-5.20M,-9.00M,9.60M,6.10M,-12.20M,-6.10M,,-0.70M,-6.80M,,,-9.40M,,,,,-0.10M,-9.50M,0.00,-6.70M,-0.20M,0.00,,,,
