,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2018-03,660.82M,660.82M,285.89M,374.93M,200.67M,34.71M,,11.74M,-4.413M,8.359M,-8.359M,247.12M,127.81M,8.359M,-8.359M,-2.013M,-8.359M,117.44M,24.14M,93.30M,,93.30M,96.79M,146.69M,20.89M,125.80M,3.66,,3.7969999999999997,3.66,3.58,,3.714,3.58,25.47M,26.10M
2017-12,778.03M,778.03M,322.26M,455.78M,206.55M,32.32M,,11.66M,-3.932M,8.625M,-8.625M,250.53M,205.24M,8.625M,-8.625M,-2.718M,-8.625M,193.90M,116.92M,76.98M,,76.98M,79.34M,223.22M,20.70M,202.52M,3.01,,3.102,3.01,2.93,,3.02,2.93,25.56M,26.24M
2017-09,698.80M,698.80M,297.82M,400.98M,207.03M,32.20M,,10.72M,-3.385M,8.248M,-8.248M,249.95M,151.02M,8.248M,-8.248M,-3.148M,-8.248M,139.63M,34.68M,104.95M,,104.95M,107.49M,167.09M,19.22M,147.88M,4.1,,4.199,4.1,3.99,,4.087,3.99,25.61M,26.30M
2017-06,653.66M,653.66M,278.04M,375.61M,195.62M,32.58M,,10.25M,-4.023M,8.171M,-8.171M,238.46M,137.16M,8.171M,-8.171M,-2.139M,-8.171M,126.85M,25.27M,101.58M,,101.58M,104.80M,153.22M,18.20M,135.02M,3.94,,4.065,3.94,3.84,,3.9619999999999997,3.84,25.75M,26.44M
2017-03,594.57M,594.57M,251.18M,343.39M,185.66M,31.20M,,10.04M,-1.432M,7.741M,-7.741M,226.90M,116.49M,7.741M,-7.741M,5.101M,-7.741M,113.85M,21.38M,92.47M,,92.47M,93.63M,139.60M,18.01M,121.59M,3.57,,3.615,3.57,3.48,,3.5239999999999996,3.48,25.93M,26.59M
2016-12,709.70M,709.70M,288.94M,420.76M,200.96M,29.38M,,9.886M,-1.656M,7.407M,-7.407M,240.23M,180.53M,7.407M,-7.407M,8.164M,-7.407M,181.28M,43.51M,137.78M,,137.78M,139.03M,206.79M,18.10M,188.69M,5.27,,5.318,5.27,5.17,,5.2170000000000005,5.17,26.14M,26.64M
2016-09,650.60M,650.60M,281.10M,369.49M,187.68M,30.14M,,9.087M,-1.494M,7.167M,-7.167M,226.91M,142.59M,7.167M,-7.167M,-2.097M,-7.167M,133.32M,31.99M,101.33M,,101.33M,102.47M,157.99M,17.50M,140.49M,3.84,,3.883,3.84,3.77,,3.812,3.77,26.38M,26.89M
2016-06,608.29M,608.29M,260.71M,347.58M,187.80M,30.70M,,8.655M,-2.205M,6.872M,-6.872M,227.15M,120.42M,6.872M,-6.872M,-10.38M,-6.872M,103.17M,23.58M,79.59M,,79.59M,81.29M,126.69M,16.65M,110.04M,2.99,,3.054,2.99,2.93,,2.9930000000000003,2.93,26.63M,27.14M
2016-03,539.67M,539.67M,239.77M,299.91M,168.92M,28.97M,,8.424M,-0.88M,6.58M,-6.58M,206.32M,93.59M,6.58M,-6.58M,-0.596M,-6.58M,86.41M,20.74M,65.67M,,65.67M,66.34M,109.54M,16.55M,92.99M,2.44,,2.465,2.44,2.4,,2.424,2.4,26.93M,27.42M
2015-12,673.54M,673.54M,282.79M,390.75M,177.42M,31.11M,,8.022M,-5.96M,6.755M,-6.755M,216.55M,174.20M,6.755M,-6.755M,-5.951M,-6.755M,161.49M,38.14M,123.35M,,123.35M,127.90M,184.38M,16.13M,168.25M,4.51,,4.677,4.51,4.41,,4.574,4.41,27.22M,27.75M
2015-09,604.15M,604.15M,264.62M,339.53M,175.55M,29.71M,,7.767M,-2.561M,7.029M,-7.029M,213.02M,126.50M,7.029M,-7.029M,-2.553M,-7.029M,116.92M,28.06M,88.86M,,88.86M,90.81M,140.04M,16.09M,123.95M,3.23,,3.301,3.23,3.16,,3.2289999999999996,3.16,27.55M,28.11M
2015-06,582.06M,582.06M,259.14M,322.91M,174.81M,29.79M,,7.634M,-1.72M,6.942M,-6.942M,212.24M,110.68M,6.942M,-6.942M,-1.687M,-6.942M,102.05M,24.49M,77.56M,,77.56M,78.86M,124.98M,15.99M,108.99M,2.79,,2.8369999999999997,2.79,2.73,,2.7760000000000002,2.73,27.84M,28.46M
2015-03,535.70M,535.70M,236.90M,298.80M,173.04M,28.46M,,7.528M,-0.907M,6.725M,-6.725M,209.03M,89.78M,6.725M,-6.725M,-0.09M,-6.725M,82.96M,19.91M,63.05M,,63.05M,63.74M,105.52M,15.83M,89.69M,2.24,,2.265,2.24,2.19,,2.214,2.19,28.12M,28.76M
2014-12,697.43M,697.43M,303.05M,394.38M,186.79M,31.32M,,7.61M,-1.468M,6.924M,-6.924M,225.72M,168.66M,6.924M,-6.924M,-2.35M,-6.924M,159.39M,38.21M,121.17M,,121.17M,122.29M,182.07M,15.76M,166.31M,4.27,,4.309,4.27,4.17,,4.208,4.17,28.39M,29.04M
2014-09,629.10M,629.10M,285.55M,343.55M,186.50M,30.35M,,7.198M,-1.05M,5.991M,-5.991M,224.05M,119.50M,5.991M,-5.991M,-1.675M,-5.991M,111.84M,26.84M,85.00M,,85.00M,85.79M,133.62M,15.79M,117.83M,2.96,,2.988,2.96,2.89,,2.917,2.89,28.73M,29.41M
2014-06,608.83M,608.83M,280.66M,328.18M,183.10M,32.12M,,7.283M,-1.905M,5.956M,-5.956M,222.51M,105.66M,5.956M,-5.956M,-2.311M,-5.956M,97.40M,23.38M,74.02M,,74.02M,75.47M,119.09M,15.74M,103.35M,2.55,,2.6,2.55,2.49,,2.539,2.49,29.07M,29.75M
2014-03,550.62M,550.62M,257.98M,292.64M,172.19M,29.50M,,7.094M,-1.492M,5.666M,-5.666M,208.78M,83.86M,5.666M,-5.666M,-1.809M,-5.666M,76.38M,18.33M,58.05M,,58.05M,59.18M,97.56M,15.51M,82.05M,1.98,,2.019,1.98,1.93,,1.9680000000000002,1.93,29.37M,30.09M
2013-12,684.25M,684.25M,308.90M,375.36M,179.79M,30.60M,,6.935M,-6.10M,6.211M,-6.211M,217.32M,158.04M,6.211M,-6.211M,-6.922M,-6.211M,144.90M,34.74M,110.16M,,110.16M,114.80M,166.79M,15.68M,151.12M,3.72,,3.877,3.72,3.63,,3.783,3.63,29.59M,30.41M
2013-09,591.69M,591.69M,273.11M,318.57M,173.45M,29.05M,,6.675M,-5.532M,5.557M,-5.557M,209.17M,109.41M,5.557M,-5.557M,-6.053M,-5.557M,97.80M,23.47M,74.33M,,74.33M,78.53M,118.60M,15.25M,103.35M,2.49,,2.6310000000000002,2.49,2.43,,2.5669999999999997,2.43,29.82M,30.58M
2013-06,578.68M,578.68M,269.84M,308.84M,173.43M,29.00M,,5.807M,-3.196M,5.543M,-5.543M,208.24M,100.60M,5.543M,-5.543M,-4.183M,-5.543M,90.87M,21.81M,69.06M,,69.06M,71.49M,110.79M,14.37M,96.42M,2.29,,2.371,2.29,2.24,,2.319,2.24,30.12M,30.85M
2013-03,524.36M,524.36M,245.20M,279.16M,166.02M,27.70M,,5.122M,-5.002M,5.40M,-5.40M,198.85M,80.31M,5.40M,-5.40M,-5.775M,-5.40M,69.14M,16.59M,52.54M,,52.54M,56.35M,88.54M,14.00M,74.54M,1.73,,1.855,1.73,1.69,,1.8119999999999998,1.69,30.30M,31.10M
2012-12,657.29M,657.29M,300.50M,356.79M,175.38M,28.00M,,5.586M,-5.426M,5.667M,-5.667M,208.97M,147.82M,5.667M,-5.667M,-6.193M,-5.667M,135.96M,31.33M,104.63M,,104.63M,108.81M,156.36M,14.73M,141.63M,3.43,,3.5669999999999997,3.43,3.35,,3.484,3.35,30.53M,31.27M
2012-09,578.55M,578.55M,270.40M,308.16M,171.02M,27.90M,,5.215M,-3.118M,5.568M,-5.568M,204.13M,104.02M,5.568M,-5.568M,-2.852M,-5.568M,95.60M,23.42M,72.18M,,72.18M,74.54M,114.56M,13.39M,101.17M,2.34,,2.416,2.34,2.28,,2.354,2.28,30.85M,31.60M
2012-06,570.28M,570.28M,271.28M,299.01M,169.98M,27.97M,,5.357M,-7.835M,5.706M,-5.706M,203.31M,95.70M,5.706M,-5.706M,-8.268M,-5.706M,81.73M,20.02M,61.70M,,61.70M,67.62M,101.12M,13.69M,87.43M,1.97,,2.1590000000000003,1.97,1.93,,2.115,1.93,31.27M,32.04M
2012-03,535.40M,535.40M,258.30M,277.10M,167.64M,28.67M,,5.199M,-0.308M,5.823M,-5.823M,201.51M,75.60M,5.823M,-5.823M,-0.464M,-5.823M,69.31M,16.98M,52.33M,,52.33M,52.56M,88.10M,12.97M,75.13M,1.66,,1.6669999999999998,1.66,1.62,,1.6269999999999998,1.62,31.53M,32.39M
2011-12,648.36M,648.36M,302.20M,346.16M,184.37M,30.12M,,5.066M,-0.796M,5.93M,-5.93M,219.55M,126.61M,5.93M,-5.93M,-3.176M,-5.93M,117.50M,23.22M,94.28M,,94.28M,94.92M,136.82M,13.38M,123.43M,2.98,,3.0,2.98,2.9,,2.92,2.9,31.54M,32.39M
2011-09,601.11M,601.11M,286.70M,314.42M,185.83M,30.07M,,4.795M,-0.771M,5.893M,-5.893M,220.70M,93.72M,5.893M,-5.893M,-0.771M,-5.893M,87.06M,18.86M,68.20M,,68.20M,68.80M,106.26M,13.31M,92.95M,2.15,0.0,2.169,2.15,2.09,0.0,2.108,2.09,31.76M,32.66M
2011-06,561.09M,561.09M,264.90M,296.19M,172.05M,29.60M,,4.325M,-3.178M,5.692M,-5.692M,205.98M,90.21M,5.692M,-5.692M,-3.178M,-5.692M,81.34M,21.15M,60.19M,,60.19M,62.54M,98.82M,11.80M,87.03M,1.88,0.0,1.953,1.88,1.82,0.0,1.891,1.82,32.00M,33.01M
2011-03,498.77M,498.77M,237.26M,261.51M,161.38M,26.35M,,3.622M,0.171M,5.711M,-5.711M,191.35M,70.16M,5.711M,-5.711M,0.171M,-5.711M,63.28M,16.45M,46.83M,,46.83M,46.70M,79.99M,11.00M,68.99M,1.45,0.0,1.446,1.45,1.41,0.0,1.406,1.41,32.29M,33.29M
2010-12,592.76M,592.76M,276.18M,316.59M,164.81M,26.47M,,4.229M,-1.533M,5.30M,-5.30M,195.50M,121.09M,5.30M,-5.30M,-5.697M,-5.30M,110.09M,29.24M,80.85M,,80.85M,81.98M,127.04M,11.65M,115.39M,2.46,,2.494,2.46,2.39,,2.424,2.39,32.66M,33.60M
2010-09,490.21M,490.21M,234.16M,256.06M,145.30M,24.99M,,3.667M,-0.439M,4.792M,-4.792M,173.96M,82.09M,4.792M,-4.792M,-0.439M,-4.792M,76.86M,14.78M,62.08M,,62.08M,62.44M,93.12M,11.46M,81.65M,1.87,0.0,1.881,1.87,1.82,0.0,1.83,1.82,33.17M,34.03M
2010-06,468.55M,468.55M,221.92M,246.62M,143.60M,23.10M,,3.565M,-2.256M,4.711M,-4.711M,170.27M,76.35M,4.711M,-4.711M,-2.256M,-4.711M,69.39M,18.04M,51.35M,,51.35M,53.02M,84.68M,10.58M,74.10M,1.53,0.0,1.58,1.53,1.49,0.0,1.5390000000000001,1.49,33.54M,34.40M
2010-03,416.65M,416.65M,198.72M,217.93M,135.01M,22.46M,,3.381M,-0.13M,5.254M,-5.254M,160.86M,57.07M,5.254M,-5.254M,-0.13M,-5.254M,51.17M,13.31M,37.87M,,37.87M,37.96M,67.26M,10.83M,56.43M,1.12,0.0,1.123,1.12,1.1,0.0,1.103,1.1,33.76M,34.53M
2009-12,511.68M,511.68M,241.69M,269.99M,138.97M,23.73M,,3.11M,-2.735M,6.142M,-6.142M,165.81M,104.18M,6.142M,-6.142M,-2.735M,-6.142M,94.83M,25.39M,69.44M,,69.44M,71.44M,111.79M,10.82M,100.97M,2.06,0.0,2.119,2.06,2.01,0.0,2.068,2.01,33.82M,34.56M
2009-09,435.65M,435.65M,210.46M,225.19M,129.69M,22.31M,,3.237M,-6.051M,6.974M,-6.974M,155.23M,69.96M,6.974M,-6.974M,-6.051M,-6.974M,56.91M,15.36M,41.54M,,41.54M,45.96M,74.69M,10.81M,63.88M,1.23,0.0,1.361,1.23,1.21,0.0,1.338,1.21,33.73M,34.41M
2009-06,407.44M,407.44M,201.21M,206.23M,122.49M,22.08M,,2.814M,-14.11M,6.76M,-6.76M,147.38M,58.86M,6.76M,-6.76M,-14.11M,-6.76M,37.99M,10.26M,27.73M,,27.73M,38.03M,54.86M,10.12M,44.75M,0.82,0.0,1.126,0.82,0.81,0.0,1.111,0.81,33.69M,34.19M
2009-03,374.08M,374.08M,186.16M,187.92M,114.04M,21.57M,,2.683M,-7.35M,5.241M,-5.241M,138.29M,49.63M,5.241M,-5.241M,-7.35M,-5.241M,35.03M,1.154M,33.88M,,33.88M,40.99M,50.01M,9.732M,40.27M,1.01,0.0,1.2209999999999999,1.01,1.0,0.0,1.209,1.0,33.63M,34.00M
2008-12,509.69M,509.69M,245.45M,264.24M,138.50M,24.77M,,2.753M,6.361M,6.667M,-6.667M,-1.292B,1.556B,6.667M,-6.667M,6.361M,-6.667M,85.19M,22.27M,62.92M,,62.92M,58.23M,101.40M,9.546M,91.86M,1.86,0.0,1.72,1.86,1.83,0.0,1.692,1.83,33.55M,34.15M
2008-09,509.10M,509.10M,260.42M,248.68M,145.61M,26.55M,,2.728M,0.445M,6.846M,-6.846M,174.89M,73.79M,6.846M,-6.846M,0.445M,-6.846M,66.50M,13.77M,52.72M,,52.72M,52.37M,83.27M,9.928M,73.34M,1.56,0.0,1.55,1.56,1.52,0.0,1.51,1.52,33.86M,34.73M
2008-06,515.60M,515.60M,256.59M,259.01M,157.10M,26.70M,,2.667M,0.50M,6.028M,-6.028M,186.47M,72.54M,6.028M,-6.028M,0.50M,-6.028M,66.02M,17.16M,48.85M,,48.85M,48.48M,82.40M,10.36M,72.04M,1.42,0.0,1.409,1.42,1.38,0.0,1.37,1.38,34.47M,35.32M
2008-03,438.96M,438.96M,217.80M,221.15M,138.60M,24.25M,,2.405M,1.675M,5.849M,-5.849M,165.26M,55.89M,5.849M,-5.849M,1.675M,-5.849M,48.37M,10.09M,38.28M,,38.28M,36.95M,63.92M,9.709M,54.22M,1.09,0.0,1.052,1.09,1.06,0.0,1.023,1.06,35.12M,35.99M
2007-12,532.84M,532.84M,262.24M,270.60M,149.32M,25.89M,,2.974M,0.187M,,,178.18M,92.42M,,,0.187M,,86.58M,23.31M,63.27M,,63.27M,63.14M,102.56M,10.14M,92.42M,1.74,0.0,1.736,1.74,1.69,0.0,1.686,1.69,35.93M,36.87M
2007-09,442.60M,442.60M,223.59M,219.01M,129.52M,22.70M,,2.825M,-0.058M,,,155.04M,63.96M,,,-0.058M,,58.39M,14.62M,43.77M,,43.77M,43.82M,73.37M,9.409M,63.96M,1.19,0.0,1.1909999999999998,1.19,1.16,0.0,1.161,1.16,36.65M,37.60M
2007-06,430.54M,430.54M,215.45M,215.09M,128.86M,22.46M,,2.958M,0.384M,,,154.27M,60.82M,,,0.384M,,56.21M,15.18M,41.03M,,41.03M,40.75M,70.25M,9.421M,60.82M,1.1,0.0,1.093,1.1,1.07,0.0,1.063,1.07,37.45M,38.41M
2007-03,387.76M,387.76M,196.28M,191.48M,121.44M,21.34M,,2.925M,0.362M,,,145.70M,45.78M,,,0.362M,,41.68M,11.25M,30.43M,,30.43M,30.17M,55.16M,9.379M,45.78M,0.8,0.0,0.7931,0.8,0.78,0.0,0.7732,0.78,38.07M,38.93M
2006-12,462.28M,462.28M,228.68M,233.60M,134.24M,21.82M,,3.005M,1.385M,,,159.07M,74.53M,,,1.385M,,1.915B,19.24M,52.02M,,52.02M,50.65M,84.29M,9.757M,74.53M,1.32,0.0,1.285,1.32,1.3,0.0,1.265,1.3,38.88M,39.68M
2006-09,397.32M,397.32M,203.26M,194.06M,117.76M,20.48M,,2.793M,1.441M,,,141.03M,53.02M,,,1.441M,,50.06M,3.016M,47.04M,,47.04M,45.69M,62.24M,9.215M,53.02M,1.18,0.0,1.146,1.18,1.16,0.0,1.127,1.16,39.80M,40.46M
2006-06,389.16M,389.16M,196.72M,192.44M,117.58M,20.56M,,2.85M,2.557M,,,140.99M,51.45M,,,2.557M,,49.65M,14.90M,34.76M,,34.76M,32.97M,60.84M,9.391M,51.45M,0.86,0.0,0.8158,0.86,0.84,0.0,0.7966,0.84,40.54M,41.24M
2006-03,346.16M,346.16M,175.82M,170.34M,112.13M,19.94M,,2.855M,2.538M,,,134.92M,35.42M,,,2.538M,,33.88M,10.16M,23.72M,,23.72M,21.94M,44.62M,9.209M,35.42M,0.58,0.0,0.5367,0.58,0.57,0.0,0.5275,0.57,41.05M,41.77M
2005-12,411.25M,411.25M,203.15M,208.09M,118.49M,20.84M,,2.821M,0.772M,,,142.15M,65.94M,,,0.772M,,63.12M,18.92M,44.19M,,44.19M,43.65M,75.28M,9.34M,65.94M,1.05,0.0,1.037,1.05,1.03,0.0,1.0170000000000001,1.03,41.55M,42.42M
2005-09,365.43M,365.43M,186.42M,179.01M,108.78M,19.32M,,2.816M,0.249M,,,130.91M,48.10M,,,0.249M,,44.34M,18.72M,25.62M,,25.62M,25.47M,57.26M,9.158M,48.10M,0.61,0.0,0.6064,0.61,0.6,0.0,0.5965,0.6,41.79M,42.89M
2005-06,368.64M,368.64M,188.21M,180.42M,108.12M,20.94M,,2.991M,-21.58M,,,132.04M,48.38M,,,-21.58M,,23.04M,4.727M,18.31M,,18.31M,35.46M,57.84M,9.454M,48.38M,0.43,0.0,0.835,0.43,0.42,0.0,0.8149,0.42,42.36M,43.44M
2005-03,337.16M,337.16M,174.36M,162.80M,106.32M,20.80M,,2.808M,0.336M,,,129.93M,32.87M,,,0.336M,,29.69M,8.907M,20.78M,,20.78M,20.55M,42.33M,9.461M,32.87M,0.48,0.0,0.4745,0.48,0.47,0.0,0.4647,0.47,43.14M,44.39M
2004-12,399.20M,399.20M,200.75M,198.46M,117.27M,22.21M,,3.627M,-0.273M,,,143.10M,55.35M,,,-0.273M,,51.84M,15.55M,36.29M,,36.29M,36.48M,66.01M,10.66M,55.35M,0.83,0.0,0.8344,0.83,0.8,0.0,0.8043,0.8,43.60M,44.83M
2004-09,342.05M,342.05M,176.29M,165.76M,104.68M,20.19M,,2.925M,0.135M,,,127.80M,37.96M,,,0.135M,,35.18M,10.56M,24.63M,,24.63M,24.53M,47.61M,9.653M,37.96M,0.56,0.0,0.5579,0.56,0.54,0.0,0.5379,0.54,44.32M,45.52M
2004-06,344.49M,344.49M,176.57M,167.92M,101.02M,20.16M,,2.896M,0.032M,,,124.08M,43.84M,,,0.032M,,40.60M,12.18M,28.42M,,28.42M,28.40M,53.17M,9.334M,43.84M,0.64,0.0,0.6395,0.64,0.62,0.0,0.6195,0.62,44.47M,45.75M
2004-03,318.71M,318.71M,168.43M,150.28M,96.81M,20.66M,,2.808M,0.064M,,,120.27M,30.00M,,,0.064M,,26.60M,7.98M,18.62M,,18.62M,18.58M,39.28M,9.281M,30.00M,0.42,0.0,0.419,0.42,0.41,0.0,0.409,0.41,44.56M,45.84M
2003-12,370.45M,370.45M,194.20M,176.24M,101.23M,20.92M,,3.148M,-0.417M,,,125.29M,50.95M,,,-0.417M,,47.06M,14.12M,32.94M,,32.94M,33.23M,60.33M,9.382M,50.95M,0.73,0.0,0.7365,0.73,0.73,0.0,0.7364,0.73,44.58M,45.71M
2003-09,320.81M,320.81M,168.95M,151.86M,92.78M,19.28M,,2.909M,0.753M,,,114.97M,36.90M,,,0.753M,,34.55M,10.36M,24.18M,,24.18M,23.65M,45.97M,9.072M,36.90M,0.54,0.0,0.5282,0.54,0.53,0.0,0.5184,0.53,44.49M,45.57M
2003-06,321.36M,321.36M,164.95M,156.41M,94.01M,19.34M,,2.84M,0.276M,,,116.19M,40.22M,,,0.276M,,36.83M,11.05M,25.78M,,25.78M,25.59M,49.45M,9.227M,40.22M,0.58,0.0,0.5757,0.58,0.57,0.0,0.5658,0.57,44.43M,45.47M
2003-03,291.81M,291.81M,158.15M,133.66M,84.80M,18.47M,,2.827M,-5.175M,,,106.10M,27.56M,,,-5.175M,,18.48M,5.541M,12.94M,,12.94M,16.56M,36.68M,9.129M,27.56M,0.29,0.0,0.3716,0.29,0.29,0.0,0.37,0.29,44.39M,45.29M
2002-12,337.31M,337.31M,178.71M,158.60M,88.52M,18.70M,,2.852M,0.206M,,,110.06M,48.53M,,,0.206M,,44.70M,13.41M,31.29M,,31.29M,31.15M,57.89M,9.357M,48.53M,0.71,0.0,0.7068,0.71,0.69,0.0,0.6868,0.69,44.38M,45.32M
2002-09,306.99M,306.99M,164.07M,142.92M,85.26M,17.47M,,2.805M,-0.139M,,,105.54M,37.39M,,,-0.139M,,32.82M,9.841M,22.98M,,22.98M,23.07M,46.89M,9.504M,37.39M,0.52,0.0,0.5222,0.52,0.51,0.0,0.5122,0.51,44.36M,45.24M
2002-06,296.45M,296.45M,155.37M,141.08M,82.36M,17.70M,,1.901M,-28.56M,,,101.96M,39.12M,,,-28.56M,,6.212M,-21.27M,27.48M,,27.48M,44.61M,47.24M,8.122M,39.12M,0.62,0.0,1.008,0.62,0.61,0.0,0.9873,0.61,44.21M,45.41M
2002-03,272.96M,272.96M,147.82M,125.14M,75.82M,16.76M,,1.774M,0.286M,,,94.36M,30.78M,,,0.286M,,26.68M,8.003M,18.67M,,18.67M,18.47M,38.52M,7.741M,30.78M,0.42,0.0,0.4155,0.42,0.41,0.0,0.4056,0.41,44.17M,45.52M
2001-12,318.28M,318.28M,165.58M,152.70M,79.09M,18.15M,,4.408M,-0.06M,,,134.16M,18.53M,,,-0.06M,,47.23M,16.53M,30.70M,,30.70M,30.74M,28.90M,10.37M,18.53M,0.74,0.0,0.7409,0.74,0.7,0.0,0.7009,0.7,42.45M,44.44M
2001-09,285.06M,285.06M,154.04M,131.02M,75.97M,16.17M,,3.469M,0.004M,,,95.61M,35.41M,,,0.004M,,31.36M,10.98M,20.38M,,20.38M,20.38M,44.41M,9.00M,35.41M,0.51,0.0,0.5099,0.51,0.48,0.0,0.4799,0.48,40.16M,42.46M
2001-06,279.03M,279.03M,152.18M,126.85M,70.93M,15.50M,,3.025M,-15.29M,,,89.46M,37.39M,,,-15.29M,,17.54M,10.86M,6.682M,,6.682M,15.86M,46.14M,8.746M,37.39M,0.17,0.0,0.3987,0.17,0.16,0.0,0.376,0.16,40.11M,42.47M
2001-03,265.64M,265.64M,141.69M,123.96M,73.20M,14.81M,5.646M,3.212M,-0.007M,,,96.86M,27.10M,,,-0.007M,,22.30M,7.807M,14.50M,,14.50M,14.50M,35.95M,8.858M,27.10M,0.37,0.0,0.3701,0.37,0.34,0.0,0.3401,0.34,39.72M,42.54M
2000-12,297.87M,297.87M,151.34M,146.53M,79.49M,14.96M,,,-1.791M,,,103.29M,43.24M,,,-1.791M,,36.62M,13.32M,23.30M,-0.014M,23.30M,24.44M,52.08M,8.84M,43.24M,0.59,0.0,0.6189,0.59,0.55,0.0,0.5768,0.55,39.37M,42.47M
