,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,98.95M,98.95M,483.92M,483.92M,122.85M,51.87M,103.60M,278.32M,,,66.19M,927.37M,,,,,,,,696.89M,544.78M,224.73M,769.51M,41.72M,76.42M,1.585B,2.512B,164.64M,63.02M,227.66M,159.85M,387.50M,14.88M,14.88M,130.70M,130.70M,,,636.88M,978.72M,978.72M,46.69M,46.69M,,288.87M,1.314B,1.951B,0.448M,3.526B,751.49M,3.481B,,,-236.52M,560.75M
2017-12,148.69M,148.69M,528.62M,528.62M,118.79M,43.04M,93.56M,255.39M,,,74.03M,1.007B,0.0,58.05M,300.85M,818.48M,,1.177B,-509.11M,668.27M,539.84M,226.72M,766.56M,41.42M,66.83M,1.543B,2.550B,167.63M,72.21M,239.84M,152.83M,392.67M,19.68M,19.68M,107.17M,107.17M,,,689.67M,960.17M,960.17M,51.23M,51.23M,,301.45M,1.313B,2.003B,0.448M,3.433B,747.14M,3.368B,,,-265.41M,547.28M
2017-09,169.09M,169.09M,483.17M,483.17M,119.15M,50.21M,94.17M,263.53M,,,70.78M,986.56M,,,,,,,,641.71M,538.42M,229.98M,768.39M,43.10M,57.43M,1.511B,2.497B,148.52M,72.08M,220.60M,137.67M,358.28M,18.53M,18.53M,123.73M,123.73M,,,652.36M,1.051B,1.051B,31.09M,31.09M,,250.09M,1.332B,1.984B,0.448M,3.360B,742.38M,3.313B,,,-277.64M,512.98M
2017-06,146.33M,146.33M,448.10M,448.10M,113.11M,50.24M,90.38M,253.73M,,,65.59M,913.75M,,,,,,,,600.90M,483.76M,164.13M,647.89M,39.33M,46.08M,1.334B,2.248B,143.61M,53.82M,197.43M,124.88M,322.31M,21.61M,21.61M,126.19M,126.19M,,,588.81M,947.78M,947.78M,37.11M,37.11M,,212.34M,1.197B,1.786B,0.448M,3.257B,738.35M,3.235B,,,-298.39M,461.92M
2017-03,164.89M,164.89M,439.41M,439.41M,107.26M,46.37M,88.75M,242.38M,,,66.18M,912.86M,,,,,,,,572.06M,478.65M,165.48M,644.13M,38.03M,36.69M,1.291B,2.204B,137.83M,46.31M,184.14M,128.67M,312.81M,19.48M,19.48M,132.93M,132.93M,,,561.16M,944.21M,944.21M,56.85M,56.85M,,201.69M,1.203B,1.764B,0.448M,3.157B,734.38M,3.121B,,,-331.12M,439.85M
2016-12,158.67M,158.67M,454.99M,454.99M,100.41M,41.45M,80.18M,222.05M,,,61.08M,896.78M,0.0,55.88M,247.88M,719.41M,,1.023B,-459.47M,563.71M,476.38M,167.06M,643.43M,33.95M,28.90M,1.270B,2.167B,146.59M,47.99M,194.58M,133.17M,327.75M,18.97M,18.97M,100.33M,100.33M,,,587.52M,875.06M,875.06M,64.31M,64.31M,,204.96M,1.144B,1.732B,0.448M,3.066B,730.56M,3.007B,,,-355.00M,434.94M
2016-09,146.13M,146.13M,414.61M,414.61M,109.60M,43.18M,87.21M,239.98M,,71.63M,73.75M,946.10M,,,,,,,,527.48M,482.14M,169.12M,651.26M,22.73M,73.41M,1.275B,2.221B,129.65M,70.99M,200.64M,126.60M,327.24M,21.78M,21.78M,113.34M,136.26M,22.92M,,620.85M,826.02M,826.02M,65.34M,65.34M,,208.25M,1.100B,1.720B,0.448M,2.934B,725.60M,2.893B,,,-266.40M,500.52M
2016-06,114.65M,114.65M,407.97M,407.97M,101.37M,41.43M,91.20M,234.01M,,70.94M,72.70M,900.26M,,,,,,,,514.31M,444.28M,114.00M,558.28M,22.96M,65.94M,1.161B,2.062B,131.89M,69.18M,201.07M,120.28M,321.34M,20.94M,20.94M,117.91M,140.82M,22.91M,,591.11M,693.26M,693.26M,78.03M,78.03M,,207.38M,978.68M,1.570B,0.448M,2.835B,715.97M,2.776B,,,-282.78M,491.96M
2016-03,110.60M,110.60M,387.30M,387.30M,101.76M,39.84M,85.73M,227.32M,,70.04M,71.45M,866.70M,,,,,,,,521.50M,448.18M,115.99M,564.17M,23.28M,59.63M,1.169B,2.035B,120.54M,64.96M,185.49M,126.14M,311.63M,17.38M,17.38M,102.77M,125.62M,22.85M,,544.79M,681.87M,681.87M,64.09M,64.09M,,201.19M,947.15M,1.492B,0.448M,2.756B,707.03M,2.661B,,,-259.82M,543.33M
2015-12,98.89M,98.89M,411.42M,411.42M,98.25M,35.10M,81.03M,214.38M,,,70.64M,795.33M,0.0,47.36M,211.49M,695.38M,,954.22M,-437.00M,517.23M,446.28M,115.25M,561.54M,33.05M,52.19M,1.164B,1.959B,142.08M,48.76M,190.83M,127.65M,318.48M,14.49M,14.49M,88.83M,88.83M,,,558.21M,575.14M,575.14M,50.98M,50.98M,,194.55M,820.67M,1.379B,0.448M,2.692B,697.57M,2.543B,,,-266.65M,580.46M
2015-09,123.30M,123.30M,390.54M,390.54M,101.66M,42.18M,81.70M,225.54M,,62.75M,66.18M,868.32M,,,,,,,,513.57M,448.34M,114.36M,562.70M,27.21M,81.76M,1.185B,2.054B,136.56M,76.26M,212.82M,126.68M,339.50M,21.06M,21.06M,88.55M,112.01M,23.46M,,593.42M,601.73M,601.73M,63.88M,63.88M,,208.16M,873.78M,1.467B,0.448M,2.576B,682.18M,2.434B,,,-238.04M,586.35M
2015-06,149.31M,149.31M,402.40M,402.40M,100.03M,41.62M,81.62M,223.28M,,63.04M,74.64M,912.66M,,,,,,,,522.20M,442.48M,109.66M,552.14M,27.24M,82.72M,1.184B,2.097B,138.59M,69.16M,207.74M,122.06M,329.80M,23.35M,23.35M,98.11M,121.68M,23.57M,,579.54M,605.14M,605.14M,55.20M,55.20M,,202.82M,863.16M,1.443B,0.448M,2.489B,678.68M,2.316B,,,-197.42M,654.25M
2015-03,75.36M,75.36M,382.38M,382.38M,100.94M,43.14M,74.58M,218.66M,,62.80M,75.64M,814.85M,,,,,,,,510.52M,437.70M,110.48M,548.18M,26.62M,75.49M,1.161B,1.976B,131.67M,57.08M,188.75M,123.34M,312.09M,114.69M,114.69M,98.37M,121.64M,23.28M,,637.70M,409.18M,409.18M,60.64M,60.64M,,202.02M,671.83M,1.310B,0.448M,2.416B,674.36M,2.205B,,,-219.20M,666.13M
2014-12,85.26M,85.26M,435.65M,435.65M,97.97M,34.97M,71.59M,204.53M,,62.34M,61.65M,849.43M,0.0,51.12M,210.01M,673.64M,,934.77M,-423.31M,511.46M,444.08M,112.78M,556.87M,30.27M,61.08M,1.160B,2.009B,145.90M,59.30M,205.19M,120.53M,325.72M,116.16M,116.16M,82.22M,100.90M,18.68M,,678.89M,335.79M,335.79M,56.73M,56.73M,,218.11M,610.62M,1.290B,0.448M,2.357B,670.42M,2.096B,,,-212.95M,719.60M
2014-09,126.31M,126.31M,410.90M,410.90M,99.95M,41.12M,78.64M,219.71M,,59.41M,56.57M,872.91M,,,,,,,,512.09M,449.54M,111.21M,560.75M,21.24M,140.46M,1.235B,2.107B,129.17M,49.60M,178.77M,119.64M,298.42M,120.02M,120.02M,93.01M,109.11M,16.09M,,650.88M,365.01M,365.01M,64.75M,64.75M,,177.87M,607.63M,1.259B,0.448M,2.243B,673.49M,1.992B,,,-76.03M,848.94M
2014-06,111.01M,111.01M,427.50M,427.50M,101.37M,41.24M,81.83M,224.45M,,59.03M,64.41M,886.39M,,,,,,,,521.88M,457.76M,114.26M,572.02M,22.09M,141.04M,1.257B,2.143B,140.10M,42.26M,182.36M,117.76M,300.13M,121.31M,121.31M,97.78M,113.98M,16.20M,,640.38M,345.36M,345.36M,61.74M,61.74M,,188.22M,595.32M,1.236B,0.448M,2.162B,669.32M,1.889B,,,-35.57M,907.71M
2014-03,115.80M,115.80M,425.16M,425.16M,102.51M,42.04M,79.87M,224.42M,,58.70M,66.02M,890.10M,,,,,,,,517.69M,456.94M,112.92M,569.86M,22.20M,135.28M,1.245B,2.135B,119.13M,51.38M,170.51M,117.91M,288.42M,16.26M,16.26M,98.56M,114.96M,16.39M,,509.20M,449.58M,449.58M,63.12M,63.12M,,189.63M,702.34M,1.212B,0.448M,2.092B,660.95M,1.797B,,,-33.18M,923.60M
2013-12,111.87M,111.87M,466.70M,466.70M,98.24M,38.06M,74.11M,210.41M,,57.93M,67.06M,913.99M,0.0,56.21M,212.28M,664.66M,,933.15M,-418.71M,514.44M,455.84M,114.42M,570.26M,24.12M,130.01M,1.239B,2.153B,145.99M,61.50M,207.50M,116.83M,324.33M,17.07M,17.07M,83.08M,99.30M,16.22M,,564.19M,395.96M,395.96M,64.45M,64.45M,,193.17M,653.58M,1.218B,0.448M,2.037B,653.25M,1.721B,,,-35.04M,935.05M
2013-09,92.22M,92.22M,402.71M,402.71M,97.85M,43.54M,77.79M,219.18M,,60.36M,74.41M,848.88M,,,,,,,,497.28M,452.10M,114.01M,566.11M,126.06M,105.69M,1.295B,2.144B,120.66M,69.94M,190.60M,113.22M,303.82M,16.02M,16.02M,81.90M,98.29M,16.39M,,538.98M,384.87M,384.87M,139.55M,139.55M,,232.98M,757.40M,1.296B,0.448M,1.935B,647.69M,1.655B,,,-80.54M,847.64M
2013-06,120.22M,120.22M,418.03M,418.03M,92.96M,39.54M,70.79M,203.29M,,59.14M,74.70M,875.38M,,,,,,,,474.05M,447.17M,114.50M,561.66M,125.09M,97.26M,1.258B,2.133B,122.76M,59.63M,182.38M,107.81M,290.19M,17.93M,17.93M,85.14M,101.20M,16.05M,,509.03M,443.73M,443.73M,138.23M,138.23M,,231.35M,813.31M,1.322B,0.448M,1.864B,644.56M,1.589B,,,-108.74M,811.10M
2013-03,93.21M,93.21M,410.65M,410.65M,93.78M,36.86M,68.94M,199.57M,,58.64M,66.87M,828.94M,,,,,,,,466.16M,445.71M,115.49M,561.20M,125.72M,88.58M,1.242B,2.071B,116.68M,50.69M,167.37M,109.46M,276.83M,17.96M,17.96M,82.42M,98.26M,15.85M,,478.30M,421.91M,421.91M,137.85M,137.85M,,232.33M,792.09M,1.270B,0.448M,1.798B,641.51M,1.525B,,,-114.58M,800.22M
2012-12,101.70M,101.70M,437.39M,437.39M,94.45M,36.90M,67.59M,198.94M,,57.01M,69.20M,864.24M,0.0,54.80M,206.74M,587.88M,,849.43M,-380.00M,469.42M,452.35M,117.56M,569.92M,32.68M,86.03M,1.158B,2.022B,142.36M,64.00M,206.36M,109.84M,316.21M,41.60M,41.60M,71.44M,86.78M,15.35M,,561.99M,347.13M,347.13M,45.06M,45.06M,,240.89M,633.08M,1.195B,0.448M,1.749B,638.70M,1.464B,,,-97.46M,827.22M
2012-09,105.37M,105.37M,406.57M,406.57M,99.10M,36.37M,79.42M,214.89M,,52.65M,58.88M,838.36M,,,,,,,,445.02M,451.02M,118.43M,569.45M,114.96M,93.61M,1.223B,2.061B,129.98M,69.46M,199.44M,103.71M,303.15M,36.57M,36.57M,84.77M,102.95M,18.18M,,555.24M,379.06M,379.06M,121.86M,121.86M,,207.00M,707.92M,1.263B,0.448M,1.654B,625.93M,1.408B,,,-74.11M,798.24M
2012-06,134.77M,134.77M,397.24M,397.24M,97.74M,36.74M,82.76M,217.23M,,51.49M,60.25M,860.98M,,,,,,,,427.67M,446.28M,118.44M,564.72M,114.65M,87.61M,1.195B,2.056B,129.99M,58.59M,188.58M,98.42M,286.99M,27.08M,27.08M,95.69M,113.61M,17.92M,,523.00M,431.73M,431.73M,120.66M,120.66M,,205.26M,757.65M,1.281B,0.448M,1.584B,622.45M,1.341B,,,-90.88M,774.97M
2012-03,156.19M,156.19M,389.12M,389.12M,105.86M,42.15M,90.17M,238.18M,69.73M,52.36M,,905.58M,,,,,,,,425.75M,451.68M,120.45M,572.13M,116.08M,93.90M,1.208B,2.113B,131.98M,56.12M,188.10M,190.32M,378.43M,28.82M,28.82M,99.71M,118.17M,18.47M,,525.42M,444.86M,444.86M,122.98M,122.98M,,213.21M,781.05M,1.306B,0.448M,1.523B,619.80M,1.270B,,,-66.15M,806.97M
2011-12,235.60M,235.60M,425.15M,425.15M,101.72M,40.82M,98.88M,241.42M,,51.12M,65.57M,1.019B,0.0,53.39M,195.84M,501.52M,,750.75M,-340.74M,410.01M,447.74M,121.41M,569.15M,118.90M,86.55M,1.185B,2.203B,168.11M,55.14M,223.25M,100.32M,323.57M,28.30M,28.30M,99.58M,118.04M,18.45M,,609.84M,476.72M,476.72M,125.83M,125.83M,,209.94M,812.49M,1.422B,0.448M,1.477B,616.20M,1.225B,,,-86.94M,781.14M
2011-09,262.47M,262.47M,398.40M,398.40M,111.14M,50.60M,103.61M,265.35M,75.05M,51.87M,,1.053B,,,,,,,,408.16M,452.16M,123.91M,576.06M,99.28M,158.79M,1.242B,2.295B,167.92M,58.45M,226.37M,238.18M,464.55M,31.14M,31.14M,103.17M,121.59M,18.42M,,617.28M,550.55M,550.55M,130.35M,130.35M,,177.84M,858.74M,1.476B,0.448M,1.392B,613.39M,1.211B,,,24.60M,819.41M
2011-06,328.76M,328.76M,382.09M,382.09M,114.84M,51.01M,102.30M,268.15M,67.23M,51.93M,,1.098B,,,,,,,,416.87M,447.60M,113.69M,561.28M,100.26M,164.69M,1.243B,2.341B,151.50M,54.28M,205.78M,221.34M,427.12M,12.63M,12.63M,107.25M,126.25M,19.00M,,566.00M,621.36M,621.36M,129.91M,129.91M,,185.61M,936.88M,1.503B,0.448M,1.325B,608.54M,1.160B,,,64.26M,838.40M
2011-03,388.10M,388.10M,365.58M,365.58M,111.87M,43.76M,91.55M,247.19M,64.57M,51.76M,,1.117B,,,,,,,,380.74M,444.18M,113.22M,557.40M,97.00M,146.50M,1.182B,2.299B,134.26M,51.74M,186.00M,195.11M,381.11M,22.58M,22.58M,103.38M,120.72M,17.34M,,524.41M,677.83M,677.83M,126.66M,126.66M,,180.96M,985.46M,1.510B,0.448M,1.267B,602.96M,1.109B,,,27.12M,788.98M
2010-12,447.58M,447.58M,368.94M,368.94M,101.66M,36.62M,78.83M,217.10M,66.73M,44.55M,,1.145B,0.0,53.64M,186.97M,442.20M,,682.81M,-318.34M,364.47M,434.70M,104.37M,539.07M,96.00M,138.63M,1.138B,2.283B,138.10M,49.58M,187.68M,239.15M,426.83M,10.90M,10.90M,86.75M,104.45M,17.70M,,542.19M,670.30M,670.30M,124.52M,124.52M,,174.47M,969.29M,1.511B,0.448M,1.223B,597.20M,1.057B,,,8.201M,771.58M
2010-09,142.88M,142.88M,331.95M,331.95M,98.12M,37.06M,80.14M,215.32M,57.38M,39.20M,,786.73M,,,,,,,,334.80M,448.33M,106.35M,554.68M,101.78M,129.64M,1.121B,1.908B,121.34M,62.02M,183.36M,226.35M,409.70M,89.35M,89.35M,93.78M,106.97M,13.19M,,606.02M,245.87M,245.87M,119.86M,119.86M,,180.33M,546.06M,1.152B,0.448M,1.153B,587.46M,985.13M,,,-0.245M,755.54M
2010-06,111.59M,111.59M,310.07M,310.07M,84.99M,32.17M,68.01M,185.17M,48.00M,36.03M,,690.86M,,,,,,,,302.61M,439.27M,106.82M,546.10M,92.31M,113.92M,1.055B,1.746B,110.97M,46.56M,157.53M,182.91M,340.44M,90.84M,90.84M,86.47M,97.70M,11.23M,,528.97M,204.25M,204.25M,115.58M,115.58M,,179.80M,499.63M,1.029B,0.448M,1.093B,583.58M,914.04M,,,-45.77M,717.19M
2010-03,85.88M,85.88M,304.12M,304.12M,81.36M,30.71M,64.98M,177.05M,47.70M,35.02M,,649.77M,,,,,,,,310.63M,442.53M,108.20M,550.73M,92.90M,111.37M,1.066B,1.715B,100.93M,41.23M,142.16M,167.40M,309.56M,92.77M,92.77M,85.39M,96.59M,11.20M,,498.92M,203.87M,203.87M,117.12M,117.12M,,183.68M,504.67M,1.004B,0.448M,1.045B,578.23M,880.65M,,,-31.69M,711.82M
2009-12,85.03M,85.03M,313.00M,313.00M,80.15M,29.70M,58.20M,168.04M,45.81M,34.22M,,646.11M,0.0,50.67M,177.62M,376.77M,,605.05M,-288.72M,316.33M,440.95M,105.28M,546.23M,95.69M,114.42M,1.073B,1.719B,103.16M,38.69M,141.85M,188.27M,330.11M,89.97M,89.97M,63.29M,74.60M,11.30M,,494.68M,203.59M,203.59M,119.79M,119.79M,,189.59M,512.97M,1.008B,0.448M,1.010B,574.03M,857.13M,,,-16.21M,711.14M
2009-09,113.95M,113.95M,284.96M,284.96M,75.90M,30.30M,58.57M,164.76M,45.77M,39.07M,,648.52M,,,,,,,,303.22M,431.59M,94.41M,526.00M,93.01M,109.94M,1.032B,1.681B,92.01M,53.50M,145.51M,191.70M,337.21M,10.65M,10.65M,70.07M,76.56M,6.486M,,424.42M,318.78M,318.78M,110.82M,110.82M,,175.28M,604.89M,1.029B,0.448M,946.92M,569.21M,862.50M,,,-2.69M,651.38M
2009-06,119.73M,119.73M,286.30M,286.30M,73.34M,26.49M,58.02M,157.85M,41.96M,37.76M,,643.60M,,,,,,,,290.91M,430.23M,95.02M,525.25M,91.31M,106.54M,1.014B,1.658B,84.55M,49.43M,133.98M,166.56M,300.54M,6.006M,6.006M,70.35M,78.42M,8.069M,,384.97M,398.46M,398.46M,110.19M,110.19M,,172.70M,681.35M,1.066B,0.448M,907.04M,565.99M,865.63M,,,-16.56M,591.29M
2009-03,130.77M,130.77M,288.89M,288.89M,75.86M,27.33M,55.02M,158.21M,38.10M,35.93M,,651.90M,,,,,,,,274.75M,419.52M,95.66M,515.18M,86.63M,93.33M,969.90M,1.622B,77.98M,44.28M,122.25M,153.85M,276.11M,9.70M,9.70M,67.06M,74.84M,7.774M,,360.64M,467.65M,467.65M,104.50M,104.50M,,168.38M,740.53M,1.101B,0.448M,880.36M,563.08M,868.33M,,,-54.93M,520.62M
2008-12,78.07M,78.07M,348.61M,348.61M,77.28M,32.40M,60.93M,170.61M,37.81M,35.76M,,670.86M,0.0,49.52M,173.62M,321.47M,,544.62M,-259.61M,285.01M,424.43M,96.30M,520.72M,92.96M,94.50M,993.19M,1.664B,111.44M,44.51M,155.95M,196.55M,352.50M,12.49M,12.49M,51.66M,59.88M,8.218M,,424.87M,441.59M,441.59M,111.05M,111.05M,,183.30M,735.94M,1.161B,0.448M,848.49M,559.77M,873.60M,,,-31.86M,503.25M
2008-09,111.04M,111.04M,340.48M,340.48M,84.81M,37.70M,71.76M,194.27M,,43.00M,43.36M,732.15M,,,,,,507.06M,-239.42M,267.64M,437.56M,97.31M,534.87M,68.02M,141.09M,1.012B,1.744B,107.06M,,107.06M,199.02M,306.08M,24.05M,24.05M,65.32M,72.86M,7.537M,69.33M,472.31M,495.63M,495.63M,102.70M,102.70M,,162.53M,760.86M,1.233B,0.448M,789.60M,557.56M,878.51M,,,41.49M,510.60M
2008-06,85.52M,85.52M,348.27M,348.27M,88.02M,38.87M,77.59M,204.48M,,42.64M,45.01M,725.93M,,,,,,510.87M,-239.42M,271.44M,445.74M,98.74M,544.48M,67.08M,139.63M,1.023B,1.749B,107.23M,,107.23M,183.59M,290.82M,14.70M,14.70M,75.88M,83.68M,7.791M,64.24M,453.43M,468.51M,468.51M,105.47M,105.47M,,172.44M,746.42M,1.200B,0.448M,737.62M,554.29M,810.59M,,,66.95M,548.72M
2008-03,80.68M,80.68M,342.87M,342.87M,93.70M,27.72M,78.45M,199.87M,,37.91M,48.64M,709.97M,,,,,,495.68M,-239.42M,256.26M,447.93M,99.80M,547.73M,67.16M,157.24M,1.028B,1.738B,106.18M,,106.18M,165.92M,272.10M,19.69M,19.69M,78.76M,86.54M,7.786M,49.30M,427.63M,471.86M,471.86M,107.37M,107.37M,,172.50M,751.73M,1.179B,0.448M,-754.60M,551.11M,-689.84M,,,72.21M,559.01M
2007-12,81.22M,81.22M,354.60M,354.60M,90.78M,21.07M,61.88M,173.72M,,37.64M,36.02M,683.21M,0.0,57.19M,166.65M,260.79M,4.395M,489.03M,-239.42M,249.60M,440.77M,100.02M,540.79M,65.13M,139.48M,995.00M,1.678B,127.11M,,127.11M,203.80M,330.91M,11.57M,11.57M,52.70M,62.86M,10.15M,42.44M,447.77M,385.07M,385.07M,101.50M,101.50M,,162.58M,649.16M,1.097B,0.448M,652.24M,548.38M,662.39M,34.97M,7.648M,42.62M,581.29M
2007-09,75.38M,75.38M,299.91M,299.91M,85.38M,23.49M,62.42M,171.29M,,37.91M,34.61M,619.10M,,,,,,450.61M,-213.47M,237.14M,438.71M,100.83M,539.54M,71.91M,89.98M,938.57M,1.558B,95.94M,,95.94M,177.56M,273.51M,12.51M,12.51M,57.73M,64.09M,6.361M,55.99M,406.11M,359.29M,359.29M,84.30M,84.30M,,173.98M,617.58M,1.024B,0.448M,595.97M,541.33M,603.68M,,,-0.069M,533.99M
