,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2011-03,676.00M,,676.00M,1.464B,,97.00M,1.561B,130.00M,130.00M,,44.00M,137.00M,2.548B,,,,,,26.57B,-14.71B,11.86B,5.771B,318.00M,6.089B,,1.156B,19.10B,21.65B,546.00M,546.00M,1.074B,1.62B,285.00M,285.00M,458.00M,458.00M,,2.363B,,8.882B,8.882B,1.67B,1.67B,334.00M,2.101B,12.65B,15.02B,6.00M,6.424B,4.536B,4.925B,,,257.00M,6.298B
2010-12,539.00M,,539.00M,1.51B,,146.00M,1.656B,130.00M,130.00M,,40.00M,117.00M,2.482B,0.0,13.43B,3.064B,7.789B,2.277B,26.56B,-14.69B,11.87B,5.726B,295.00M,6.021B,,1.105B,18.99B,21.48B,692.00M,692.00M,1.10B,1.792B,233.00M,233.00M,460.00M,460.00M,,2.485B,,8.674B,8.674B,1.662B,1.662B,331.00M,2.064B,12.40B,14.88B,6.00M,6.40B,4.528B,4.904B,,,230.00M,6.26B
2010-06,1.169B,,1.169B,1.485B,,156.00M,1.641B,110.00M,110.00M,,113.00M,123.00M,3.156B,,,,,,25.89B,-14.32B,11.58B,5.667B,256.00M,5.923B,,1.105B,18.60B,21.76B,543.00M,543.00M,1.098B,1.641B,758.00M,758.00M,459.00M,459.00M,,2.858B,,8.827B,8.827B,1.518B,1.518B,309.00M,2.148B,12.49B,15.35B,6.00M,6.176B,4.522B,4.769B,,,164.00M,6.099B
2010-03,871.00M,,871.00M,1.38B,,113.00M,1.493B,107.00M,107.00M,,105.00M,143.00M,2.719B,,,,,,25.71B,-14.20B,11.52B,5.675B,245.00M,5.92B,,841.00M,18.28B,21.00B,500.00M,500.00M,1.088B,1.588B,632.00M,632.00M,450.00M,450.00M,,2.67B,,8.191B,8.191B,1.514B,1.514B,308.00M,2.079B,11.78B,14.45B,6.00M,6.082B,4.514B,4.603B,,,234.00M,6.233B
2009-12,1.14B,,1.14B,1.408B,,119.00M,1.527B,110.00M,110.00M,,116.00M,117.00M,3.01B,0.0,12.93B,2.745B,7.593B,2.264B,25.54B,-13.99B,11.54B,5.632B,238.00M,5.87B,,733.00M,18.14B,21.15B,567.00M,567.00M,1.128B,1.695B,749.00M,749.00M,457.00M,457.00M,,2.901B,,8.124B,8.124B,1.509B,1.509B,306.00M,2.029B,11.66B,14.56B,6.00M,6.053B,4.543B,4.525B,,,208.00M,6.285B
2009-09,612.00M,,612.00M,1.459B,,154.00M,1.613B,106.00M,106.00M,,56.00M,123.00M,2.51B,,,,,,25.28B,-13.93B,11.36B,5.575B,206.00M,5.781B,,745.00M,17.88B,20.39B,554.00M,554.00M,1.062B,1.616B,742.00M,742.00M,447.00M,447.00M,,2.805B,,7.504B,7.504B,1.518B,1.518B,305.00M,2.044B,11.07B,13.87B,6.00M,5.88B,4.534B,4.382B,,,178.00M,6.216B
2009-06,528.00M,,528.00M,1.42B,,145.00M,1.565B,102.00M,102.00M,,85.00M,137.00M,2.417B,,,,,,24.94B,-13.68B,11.26B,5.524B,178.00M,5.702B,,767.00M,17.73B,20.15B,519.00M,519.00M,1.017B,1.536B,244.00M,244.00M,455.00M,455.00M,,2.235B,,7.999B,7.999B,1.504B,1.504B,299.00M,2.043B,11.55B,13.78B,6.00M,5.747B,4.532B,4.336B,,,119.00M,6.068B
2009-03,947.00M,,947.00M,1.357B,,111.00M,1.468B,103.00M,103.00M,,67.00M,119.00M,2.704B,,,,,,24.65B,-13.44B,11.21B,5.471B,162.00M,5.633B,,857.00M,17.70B,20.40B,451.00M,451.00M,1.011B,1.462B,693.00M,693.00M,431.00M,431.00M,,2.586B,,8.096B,8.096B,1.494B,1.494B,,2.031B,11.62B,14.21B,6.00M,5.642B,4.532B,4.344B,,,67.00M,6.193B
2008-12,480.00M,,480.00M,1.463B,,147.00M,1.61B,110.00M,110.00M,,39.00M,96.00M,2.335B,0.0,12.32B,2.635B,9.718B,,24.68B,-13.27B,11.40B,5.462B,158.00M,5.62B,,870.00M,17.89B,20.23B,716.00M,716.00M,1.034B,1.75B,835.00M,835.00M,451.00M,451.00M,,3.036B,,7.491B,7.491B,1.484B,1.484B,283.00M,2.031B,11.01B,14.04B,6.00M,5.631B,4.558B,4.381B,,,88.00M,5.902B
2008-09,504.00M,,504.00M,1.67B,,146.00M,1.816B,,113.00M,,41.00M,119.00M,2.593B,,,,,,24.58B,-13.28B,11.29B,5.493B,147.00M,5.64B,,819.00M,17.75B,20.34B,666.00M,666.00M,1.07B,1.736B,816.00M,816.00M,454.00M,454.00M,,3.006B,,7.613B,7.613B,1.466B,1.466B,304.00M,2.058B,11.14B,14.14B,6.00M,5.547B,4.548B,4.387B,195.00M,-13.00M,182.00M,5.896B
