,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-09,3.602B,3.602B,2.299B,1.303B,365.00M,365.00M,310.00M,19.00M,-51.00M,12.00M,116.00M,,-116.00M,,706.00M,597.00M,,116.00M,-116.00M,-67.00M,-116.00M,414.00M,133.00M,281.00M,,,-11.00M,,270.00M,304.63M,859.00M,329.00M,530.00M,0.59,,,,0.6652,0.59,0.58,,,,0.6547,0.58,460.80M,463.60M,0.375
2014-06,3.561B,3.561B,2.301B,1.26B,347.00M,347.00M,319.00M,20.00M,-36.00M,6.00M,115.00M,,-115.00M,,692.00M,568.00M,,115.00M,-115.00M,-51.00M,-115.00M,402.00M,180.00M,222.00M,,,-12.00M,,210.00M,233.40M,856.00M,339.00M,517.00M,0.45,,,,0.5002,0.45,0.45,,,,0.5,0.45,465.90M,468.00M,0.375
2014-03,3.396B,3.396B,2.232B,1.164B,362.00M,362.00M,297.00M,20.00M,-3.00M,13.00M,121.00M,,-121.00M,,692.00M,472.00M,,121.00M,-121.00M,-15.00M,-121.00M,336.00M,99.00M,237.00M,,,-9.00M,,228.00M,230.11M,774.00M,317.00M,457.00M,0.49,,,,0.4945,0.49,0.49,,,,0.4945,0.49,465.20M,466.90M,0.375
2013-12,3.50B,3.50B,2.267B,1.233B,363.00M,363.00M,305.00M,22.00M,-940.00M,13.00M,116.00M,,-116.00M,,703.00M,530.00M,,116.00M,-116.00M,-1.017B,-116.00M,-603.00M,-4.00M,-599.00M,,,-6.00M,,-605.00M,328.76M,-160.00M,327.00M,-487.00M,-1.29,,,,0.7065,-1.29,-1.29,,,,0.69,-1.29,467.70M,471.60M,0.365
2013-09,3.621B,3.621B,2.325B,1.296B,347.00M,347.00M,323.00M,21.00M,-26.00M,2.00M,119.00M,,-119.00M,,693.00M,603.00M,,119.00M,-119.00M,-32.00M,-119.00M,452.00M,155.00M,297.00M,,,-6.00M,,291.00M,308.08M,915.00M,344.00M,571.00M,0.62,,,,0.6564,0.62,0.62,,,,0.6563,0.62,469.30M,471.20M,0.365
2013-06,3.526B,3.526B,2.311B,1.215B,347.00M,347.00M,320.00M,19.00M,-13.00M,6.00M,121.00M,,-121.00M,,692.00M,523.00M,,121.00M,-121.00M,-19.00M,-121.00M,383.00M,127.00M,256.00M,,,-12.00M,,244.00M,252.68M,843.00M,339.00M,504.00M,0.52,,,,0.5386,0.52,0.52,,,,0.5385,0.52,467.90M,469.40M,0.365
2013-03,3.336B,3.336B,2.209B,1.127B,370.00M,370.00M,305.00M,18.00M,-12.00M,20.00M,121.00M,,-121.00M,,713.00M,414.00M,,121.00M,-121.00M,-31.00M,-121.00M,262.00M,86.00M,176.00M,,,-8.00M,,168.00M,176.06M,706.00M,323.00M,383.00M,0.36,,,,0.3773,0.36,0.36,,,,0.3773,0.36,465.70M,466.50M,0.365
2012-12,3.434B,3.434B,2.224B,1.21B,338.00M,338.00M,309.00M,17.00M,-44.00M,18.00M,118.00M,,-122.00M,,682.00M,528.00M,,118.00M,-122.00M,-57.00M,-122.00M,349.00M,114.00M,235.00M,,,-11.00M,,224.00M,253.63M,793.00M,326.00M,467.00M,0.48,,,,0.5438,0.48,0.48,,,,0.5437,0.48,464.50M,465.00M,0.355
2012-09,3.461B,3.461B,2.229B,1.232B,322.00M,322.00M,314.00M,17.00M,-66.00M,13.00M,123.00M,2.00M,-121.00M,,666.00M,566.00M,2.00M,123.00M,-121.00M,-97.00M,-121.00M,348.00M,125.00M,223.00M,,,-9.00M,,214.00M,256.17M,802.00M,331.00M,471.00M,0.46,,,,0.5509,0.46,0.46,,,,0.5507,0.46,464.10M,464.90M,0.355
2012-06,3.459B,3.459B,2.26B,1.199B,360.00M,360.00M,305.00M,18.00M,-36.00M,14.00M,121.00M,1.00M,-120.00M,,697.00M,502.00M,1.00M,121.00M,-120.00M,-48.00M,-120.00M,334.00M,115.00M,219.00M,,,-11.00M,,208.00M,231.65M,778.00M,323.00M,455.00M,0.45,,,,0.501,0.45,0.45,,,,0.501,0.45,463.40M,464.00M,0.355
2012-03,3.295B,3.295B,2.166B,1.129B,392.00M,392.00M,300.00M,17.00M,-4.00M,15.00M,122.00M,1.00M,-121.00M,,724.00M,405.00M,1.00M,122.00M,-121.00M,-12.00M,-121.00M,272.00M,89.00M,183.00M,,,-12.00M,,171.00M,173.69M,711.00M,317.00M,394.00M,0.37,,,,0.3758,0.37,0.37,,,,0.3758,0.37,462.10M,463.40M,0.355
2011-12,3.406B,3.406B,2.145B,1.261B,,360.00M,,,-12.00M,,123.00M,2.00M,-121.00M,,701.00M,560.00M,2.00M,123.00M,-121.00M,-27.00M,-121.00M,412.00M,134.00M,278.00M,,,-12.00M,,266.00M,274.10M,829.00M,294.00M,535.00M,0.58,,,,0.5976,0.58,0.58,,,,0.5975,0.58,460.70M,462.10M,0.34
2011-09,3.522B,3.522B,2.261B,1.261B,,380.00M,,,-19.00M,,118.00M,1.00M,-117.00M,,697.00M,564.00M,1.00M,118.00M,-117.00M,-26.00M,-117.00M,421.00M,136.00M,285.00M,,,-13.00M,,272.00M,284.86M,856.00M,317.00M,539.00M,0.58,0.0,,,0.6075,0.58,0.58,0.0,,,0.6074,0.58,468.30M,469.70M,0.34
2011-06,3.347B,3.347B,2.14B,1.207B,,382.00M,,,1.00M,,119.00M,2.00M,-117.00M,,701.00M,506.00M,2.00M,119.00M,-117.00M,-8.00M,-117.00M,381.00M,131.00M,250.00M,,,-13.00M,,237.00M,236.34M,819.00M,319.00M,500.00M,0.5,0.0,,,0.4986,0.5,0.5,0.0,,,0.4986,0.5,474.20M,476.00M,0.34
2011-03,3.103B,3.103B,1.995B,1.108B,,382.00M,,,1.00M,,121.00M,3.00M,-118.00M,,681.00M,427.00M,3.00M,121.00M,-118.00M,-3.00M,-118.00M,306.00M,110.00M,196.00M,,,-10.00M,,186.00M,185.36M,726.00M,299.00M,427.00M,0.39,0.0,,,0.3887,0.39,0.39,0.0,,,0.3887,0.39,475.70M,477.60M,0.34
2010-12,3.187B,3.187B,1.941B,1.246B,,396.00M,,,-1.00M,,119.00M,1.00M,-118.00M,,673.00M,573.00M,1.00M,119.00M,-118.00M,-1.00M,-118.00M,454.00M,160.00M,294.00M,,,-13.00M,,281.00M,281.65M,850.00M,277.00M,573.00M,0.58,,,,0.5814,0.58,0.58,,,,0.5814,0.58,475.70M,475.70M,0.315
2010-09,3.235B,3.235B,2.006B,1.229B,,369.00M,,,1.00M,,126.00M,1.00M,-125.00M,,686.00M,543.00M,1.00M,126.00M,-125.00M,-7.00M,-125.00M,411.00M,153.00M,258.00M,,,-14.00M,,244.00M,243.37M,854.00M,317.00M,537.00M,0.51,0.0,,,0.5087,0.51,0.51,0.0,,,0.5087,0.51,477.30M,481.00M,0.315
2010-06,3.158B,3.158B,1.996B,1.162B,,345.00M,,,78.00M,,116.00M,2.00M,-114.00M,,654.00M,508.00M,2.00M,116.00M,-114.00M,70.00M,-114.00M,464.00M,206.00M,258.00M,,,-12.00M,,246.00M,195.30M,889.00M,309.00M,580.00M,0.51,0.0,,,0.4048,0.51,0.51,0.0,,,0.4056,0.51,482.10M,485.80M,0.315
2010-03,2.935B,2.935B,1.881B,1.054B,,351.00M,,,2.00M,,112.00M,0.00,-112.00M,,642.00M,412.00M,0.00,112.00M,-112.00M,2.00M,-112.00M,302.00M,110.00M,192.00M,,,-10.00M,,182.00M,180.73M,705.00M,291.00M,414.00M,0.37,0.0,,,0.3674,0.37,0.37,0.0,,,0.3674,0.37,485.60M,488.10M,0.315
2009-12,3.006B,3.006B,1.874B,1.132B,,365.00M,,,-37.00M,,110.00M,3.00M,-107.00M,,639.00M,493.00M,3.00M,110.00M,-107.00M,-39.00M,-107.00M,347.00M,16.00M,331.00M,,,-16.00M,,315.00M,350.29M,731.00M,274.00M,457.00M,0.64,0.0,,,0.7122,0.64,0.64,0.0,,,0.7117,0.64,488.50M,492.10M,0.29
2009-09,3.023B,3.023B,1.856B,1.167B,,339.00M,,,-1.00M,,104.00M,3.00M,-101.00M,,640.00M,527.00M,3.00M,104.00M,-101.00M,-1.00M,-101.00M,425.00M,133.00M,292.00M,,,-15.00M,,277.00M,277.69M,830.00M,301.00M,529.00M,0.56,0.0,,,0.5614,0.56,0.56,0.0,,,0.5614,0.56,492.20M,494.60M,0.29
2009-06,2.952B,2.952B,1.786B,1.166B,,323.00M,,,-7.00M,,107.00M,3.00M,-104.00M,,625.00M,541.00M,3.00M,107.00M,-104.00M,-7.00M,-104.00M,430.00M,163.00M,267.00M,,,-20.00M,,247.00M,251.35M,839.00M,302.00M,537.00M,0.5,0.0,,,0.5088,0.5,0.5,0.0,,,0.5088,0.5,492.40M,493.70M,0.29
2009-03,2.81B,2.81B,1.725B,1.085B,,337.00M,,,-87.00M,,105.00M,4.00M,-101.00M,,626.00M,459.00M,4.00M,105.00M,-101.00M,-87.00M,-101.00M,271.00M,101.00M,170.00M,,,-15.00M,,155.00M,209.58M,665.00M,289.00M,376.00M,0.31,0.0,,,0.421,0.31,0.31,0.0,,,0.4207,0.31,491.80M,493.00M,0.29
2008-12,3.108B,3.108B,1.972B,1.136B,,382.00M,,,3.00M,,,,,,704.00M,432.00M,,,,3.00M,,343.00M,125.00M,259.00M,,,-8.00M,,218.00M,216.09M,733.00M,297.00M,436.00M,0.45,0.0,,,0.4461,0.45,0.44,0.0,,,0.4361,0.44,490.90M,494.20M,0.27
2008-09,3.525B,3.525B,2.221B,1.304B,,369.00M,,,24.00M,,,,,-23.00M,672.00M,632.00M,,,,24.00M,,511.00M,201.00M,310.00M,,,-13.00M,,310.00M,295.44M,958.00M,326.00M,632.00M,0.63,0.0,,,0.6003,0.63,0.63,0.0,,,0.6005,0.63,490.80M,494.10M,0.27
2008-06,3.489B,3.489B,2.181B,1.308B,,358.00M,,,-1.00M,,105.00M,4.00M,-101.00M,,676.00M,632.00M,4.00M,105.00M,-101.00M,-1.00M,-101.00M,530.00M,199.00M,331.00M,,,-13.00M,,318.00M,318.62M,953.00M,318.00M,635.00M,0.65,0.0,,,0.6513,0.65,0.64,0.0,,,0.6413,0.64,490.70M,494.60M,0.27
2008-03,3.266B,3.266B,2.092B,1.174B,,368.00M,,,,,,,,-2.00M,663.00M,511.00M,,,,-2.00M,,385.00M,144.00M,241.00M,,,-7.00M,,241.00M,241.00M,808.00M,297.00M,511.00M,0.49,0.0,,,0.49,0.49,0.48,0.0,,,0.48,0.48,496.00M,498.30M,0.27
2007-12,3.361B,3.361B,2.133B,1.228B,,371.00M,,,16.00M,,,,,45.00M,712.00M,516.00M,,,,26.00M,,456.00M,147.00M,309.00M,,,-13.00M,,309.00M,298.16M,812.00M,296.00M,516.00M,0.61,0.0,,,0.5885,0.61,0.61,0.0,,,0.5887,0.61,503.36M,508.10M,0.24
2007-09,3.403B,3.403B,2.143B,1.26B,,365.00M,,,1.00M,,,,,-1.00M,695.00M,565.00M,,,,1.00M,,436.00M,158.00M,278.00M,,,-12.00M,,278.00M,277.36M,896.00M,331.00M,565.00M,0.54,0.0,,,0.5388,0.54,0.54,0.0,,,0.5388,0.54,515.90M,520.10M,0.24
2007-06,3.358B,3.358B,2.092B,1.266B,,343.00M,,,33.00M,,,,,-33.00M,632.00M,634.00M,,,,11.00M,,480.00M,142.00M,338.00M,,,-11.00M,,338.00M,314.76M,956.00M,322.00M,634.00M,0.65,0.0,,,0.6053,0.65,0.64,0.0,,,0.596,0.64,520.00M,528.12M,0.24
2007-03,3.188B,3.188B,2.034B,1.154B,,353.00M,,,-9.00M,,,,,1.00M,664.00M,490.00M,,,,-33.00M,,331.00M,109.00M,222.00M,,,-10.00M,,222.00M,228.04M,800.00M,310.00M,490.00M,0.42,0.0,,,0.4314,0.42,0.42,0.0,,,0.4314,0.42,528.57M,528.57M,0.24
2006-12,3.283B,3.283B,2.107B,1.176B,,348.00M,,,-36.00M,,,,,,679.00M,497.00M,,,,-54.00M,,325.00M,79.00M,246.00M,,,-11.00M,,246.00M,273.25M,818.00M,321.00M,497.00M,0.47,0.0,,,0.5218,0.47,0.45,0.0,,,0.4998,0.45,525.82M,546.75M,0.22
2006-09,3.441B,3.441B,2.181B,1.26B,,344.00M,,,-18.00M,,,,,19.00M,703.00M,557.00M,,,,-38.00M,,413.00M,113.00M,300.00M,,,-11.00M,,300.00M,313.08M,897.00M,340.00M,557.00M,0.56,0.0,,,0.5844,0.56,0.55,0.0,,,0.574,0.55,535.71M,545.45M,0.22
2006-06,3.41B,3.41B,2.199B,1.211B,,328.00M,,,27.00M,,,,,-27.00M,646.00M,565.00M,,,,37.00M,,447.00M,30.00M,417.00M,,,-10.00M,,417.00M,391.81M,910.00M,345.00M,565.00M,0.77,0.0,,,0.7235,0.77,0.76,0.0,,,0.7141,0.76,541.56M,548.68M,0.22
2006-03,3.229B,3.229B,2.10B,1.129B,,368.00M,,,3.00M,,,,,-2.00M,694.00M,435.00M,,,,-5.00M,,289.00M,103.00M,186.00M,,,-12.00M,,186.00M,184.07M,763.00M,328.00M,435.00M,0.34,0.0,,,0.3365,0.34,0.34,0.0,,,0.3365,0.34,547.06M,547.06M,0.22
2005-12,3.372B,3.372B,2.212B,1.16B,,324.00M,,,-11.00M,,,,,11.00M,660.00M,500.00M,,,,-39.00M,,341.00M,51.00M,290.00M,,,-15.00M,,290.00M,299.35M,825.00M,325.00M,500.00M,0.53,0.0,,,0.5471,0.53,0.52,0.0,,,0.5368,0.52,547.09M,557.74M,0.2
2005-09,3.375B,3.375B,2.202B,1.173B,,309.00M,,,-113.00M,,,,,86.00M,764.00M,409.00M,,,,-140.00M,,226.00M,11.00M,215.00M,,,-12.00M,,215.00M,322.50M,778.00M,369.00M,409.00M,0.39,0.0,,,0.585,0.39,0.38,0.0,,,0.57,0.38,551.28M,565.79M,0.2
2005-06,3.289B,3.289B,2.173B,1.116B,,313.00M,,,7.00M,,,,,-6.00M,653.00M,463.00M,,,,-19.00M,,305.00M,-222.00M,527.00M,,,-11.00M,,527.00M,522.80M,809.00M,346.00M,463.00M,0.93,0.0,,,0.9226,0.93,0.92,0.0,,,0.9127,0.92,566.67M,572.83M,0.2
2005-03,3.038B,3.038B,2.044B,994.00M,,330.00M,,,23.00M,,,,,-23.00M,628.00M,366.00M,,,,-3.00M,,220.00M,70.00M,150.00M,,,-10.00M,,150.00M,134.32M,687.00M,321.00M,366.00M,0.26,0.0,,,0.2328,0.26,0.26,0.0,,,0.2328,0.26,576.92M,576.92M,0.2
2004-12,3.208B,3.208B,2.117B,1.091B,,318.00M,,,-7.00M,,,,,7.00M,643.00M,448.00M,,,,-35.00M,,338.00M,69.00M,269.00M,,0.00,-10.00M,,269.00M,274.57M,766.00M,318.00M,448.00M,0.47,0.0,0.0,,0.4797,0.47,0.46,0.0,-0.0,,0.4695,0.46,571.54M,585.09M,0.1875
2004-09,3.274B,3.274B,2.151B,1.123B,,316.00M,,,3.00M,,,,,-2.00M,659.00M,464.00M,,,,-24.00M,,337.00M,35.00M,302.00M,,,-10.00M,,302.00M,299.31M,809.00M,345.00M,464.00M,0.52,0.0,,,0.5154,0.52,0.52,0.0,,,0.5154,0.52,580.77M,580.77M,0.1875
2004-06,3.138B,3.138B,2.04B,1.098B,,317.00M,,,9.00M,,,,,-9.00M,656.00M,442.00M,,,,-15.00M,,297.00M,81.00M,216.00M,,,-9.00M,,216.00M,209.45M,790.00M,348.00M,442.00M,0.37,0.0,,,0.3588,0.37,0.37,0.0,,,0.3588,0.37,583.78M,583.78M,0.1875
2004-03,2.896B,2.896B,1.92B,976.00M,,316.00M,,,7.00M,,,,,-9.00M,632.00M,344.00M,,,,-12.00M,,206.00M,62.00M,144.00M,,8.00M,-7.00M,,152.00M,139.11M,669.00M,325.00M,344.00M,0.25,0.01,0.0,,0.2416,0.26,0.25,0.01,0.0137,,0.2416,0.26,584.62M,584.62M,0.1875
