,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,228.67M,,-0.703M,113.13M,113.13M,,,19.70M,,-18.76M,-72.53M,,78.59M,-5.438M,,67.24M,67.87M,409.90M,,-209.97M,,-209.97M,-8.675M,-45.85M,-7.631M,-272.13M,,-120.18M,-120.18M,2.545M,-9.441M,-6.896M,-9.422M,-9.422M,-4.217M,-140.71M,,167.30M,-2.938M,1.857M,166.22M,,2.545M,20.50M,-140.68M,-9.441M,2.749M,41.54M,,AOR,Restated
2017-12,225.04M,,,113.76M,113.76M,,,13.90M,,-21.97M,-34.81M,,42.00M,-6.59M,,37.54M,38.14M,368.87M,,-142.08M,,-142.08M,-7.976M,,-2.638M,-217.03M,,-1.604M,-1.604M,2.617M,-121.53M,-118.91M,-9.435M,-9.435M,-8.831M,-138.78M,,154.08M,13.06M,0.162M,167.30M,,2.617M,-2.024M,0.42M,-121.53M,64.97M,28.09M,,AOR,Restated
2017-09,145.36M,,,110.22M,110.22M,,,13.78M,,-19.46M,9.149M,,1.305M,-1.623M,,86.19M,95.02M,344.92M,,-156.24M,,-156.24M,0.00,,-6.953M,-163.19M,,-76.33M,-76.33M,2.71M,-95.41M,-92.70M,-9.496M,-9.496M,-4.528M,-183.05M,,154.85M,-1.321M,0.547M,154.08M,,2.71M,21.52M,-97.85M,-95.41M,89.67M,40.68M,,AOR,Restated
2017-06,190.39M,,,113.11M,113.11M,,,13.70M,,-12.41M,6.303M,,-64.57M,-12.07M,,-183.77M,-254.11M,50.69M,,-119.89M,,-119.89M,0.00,,-9.992M,-129.88M,,214.96M,214.96M,2.387M,-118.30M,-115.91M,-9.618M,-9.618M,-7.312M,82.12M,,151.28M,2.922M,0.653M,154.85M,,2.387M,0.00,214.96M,-118.30M,210.96M,27.36M,,AOR,Restated
2017-03,210.53M,,,110.80M,110.80M,,,15.35M,,-25.35M,-5.362M,,118.15M,-7.654M,,66.65M,171.78M,483.11M,,-162.17M,,-162.17M,0.00,,-12.46M,-174.63M,,-239.03M,-239.03M,2.54M,-29.17M,-26.63M,-9.662M,-9.662M,-4.118M,-279.44M,,121.95M,29.04M,0.285M,151.28M,,2.54M,21.60M,-260.63M,-29.17M,5.253M,39.40M,,AOR,Restated
2016-12,178.74M,,,107.44M,107.44M,,,11.75M,8.812M,-21.82M,-81.04M,,34.93M,-14.07M,,-27.40M,-87.58M,197.33M,,-601.36M,,-601.36M,,,,-622.83M,,500.59M,500.59M,3.124M,-56.20M,-53.08M,-9.678M,-9.678M,-8.649M,429.18M,,61.74M,3.679M,0.473M,121.95M,,3.124M,144.80M,355.79M,-56.20M,85.44M,24.20M,,AOR,Restated
2016-09,157.26M,,,103.71M,103.71M,,,11.66M,1.16M,-27.12M,38.89M,,10.15M,-3.302M,,7.662M,53.41M,300.08M,,-257.14M,,-257.14M,,,,-257.14M,,32.14M,32.14M,2.017M,-58.04M,-56.02M,-9.713M,-9.713M,-3.034M,-36.63M,,56.27M,6.312M,-0.841M,61.74M,,2.017M,3.761M,28.38M,-58.04M,93.23M,29.32M,,AOR,Restated
2016-06,195.45M,,,101.41M,101.41M,,,11.49M,24.24M,-15.71M,34.23M,,-43.05M,-2.346M,,55.48M,44.32M,361.20M,,-128.48M,,-128.48M,,,,-128.48M,,331.16M,331.16M,2.031M,-68.10M,-66.07M,-9.727M,-9.727M,-484.90M,-229.53M,,54.59M,3.185M,-1.502M,56.27M,,2.031M,1.008B,-676.68M,-68.10M,156.85M,26.42M,,AOR,Restated
2016-03,215.72M,,,104.05M,104.05M,,,13.20M,11.00M,-17.30M,-79.96M,,114.44M,-5.803M,,119.88M,148.55M,475.23M,,-146.76M,,-146.76M,,,,-146.76M,,-152.27M,-152.27M,2.331M,-171.04M,-168.71M,-9.757M,-9.757M,-3.451M,-334.19M,,61.23M,-5.718M,-0.92M,54.59M,,2.331M,14.40M,-166.67M,-171.04M,9.093M,27.13M,,AOR,Restated
2015-12,191.32M,,-2.578M,102.92M,102.92M,,,9.826M,,-23.73M,15.06M,,-7.042M,0.002M,,-61.38M,-53.36M,271.76M,,-460.30M,,-460.30M,,,-2.653M,-462.95M,,357.30M,357.30M,2.411M,-79.92M,-77.51M,-9.836M,-9.836M,-56.06M,213.90M,,39.52M,22.72M,-1.013M,61.23M,,2.411M,218.10M,139.20M,-79.92M,106.53M,27.19M,,AOR,Restated
2015-09,163.65M,,-1.037M,99.44M,99.44M,,,9.671M,,-14.37M,34.14M,,2.989M,2.555M,,-32.14M,7.538M,264.90M,,-247.60M,,-247.60M,,,2.744M,-244.86M,,59.39M,59.39M,1.991M,-61.70M,-59.71M,-9.892M,-9.892M,-11.87M,-22.09M,,42.46M,-2.052M,-0.889M,39.52M,,1.991M,11.10M,48.29M,-61.70M,107.49M,24.15M,,AOR,Restated
2015-06,201.40M,,,97.26M,97.26M,,,9.645M,,-14.48M,1.959M,,-43.05M,4.308M,,3.286M,-33.50M,260.33M,,-81.30M,,-81.30M,,,,-81.30M,,-112.17M,-112.17M,2.271M,-39.39M,-37.12M,-9.905M,-9.905M,-13.20M,-172.40M,,35.08M,6.627M,0.759M,42.46M,,2.271M,-15.39M,-96.79M,-39.39M,163.76M,28.56M,,AOR,Restated
2015-03,194.32M,,,99.00M,99.00M,,,10.83M,,-26.56M,-96.97M,,102.92M,-0.234M,,-12.02M,-6.313M,271.28M,,-123.78M,,-123.78M,,,,-123.78M,,-125.52M,-125.52M,1.768M,-28.77M,-27.00M,-9.899M,-9.899M,18.39M,-144.02M,,32.07M,3.475M,-0.466M,35.08M,,1.768M,33.35M,-158.87M,-28.77M,2.876M,27.16M,,AOR,Restated
2014-12,190.49M,,0.00,98.12M,98.12M,,,8.379M,,-16.41M,-7.515M,,51.71M,-2.201M,,23.75M,65.74M,346.32M,,-110.77M,,-110.77M,,,-14.28M,-125.05M,,-176.39M,-176.39M,1.956M,-37.46M,-35.50M,-9.871M,-9.871M,-6.499M,-228.26M,,39.71M,-6.989M,-0.653M,32.07M,,1.956M,-139.80M,-36.59M,-37.46M,46.46M,31.61M,,AOR,Restated
2014-09,96.04M,,22.03M,93.46M,93.46M,,,7.768M,,-13.31M,-36.33M,,17.07M,5.453M,,38.97M,25.16M,231.14M,,-453.98M,,-453.98M,,,0.923M,-453.06M,,306.38M,306.38M,1.62M,-27.52M,-25.90M,-9.91M,-9.91M,-23.55M,247.02M,,14.73M,25.10M,-0.122M,39.71M,,1.62M,969.80M,-663.42M,-27.52M,55.71M,38.59M,,AOR,Restated
2014-06,166.61M,,0.00,90.69M,90.69M,,,7.793M,,-19.13M,33.77M,,-68.87M,0.433M,,52.48M,17.81M,263.78M,,-162.10M,,-162.10M,,,-1.895M,-163.99M,,-81.97M,-81.97M,1.842M,-21.78M,-19.94M,-4.951M,-4.951M,5.548M,-101.31M,,16.26M,-1.529M,0.00,14.73M,,1.842M,-11.90M,-70.07M,-21.78M,149.67M,41.18M,,AOR,Restated
2014-03,151.85M,,-10.13M,93.36M,93.36M,,,7.152M,,-20.79M,-95.63M,,97.69M,9.982M,,-38.83M,-26.80M,194.64M,,-95.69M,,-95.69M,,,4.946M,-90.74M,,-97.15M,-97.15M,1.445M,-13.99M,-12.55M,-4.933M,-4.933M,9.761M,-104.87M,,17.24M,-0.977M,0.00,16.26M,,1.445M,11.90M,-109.05M,-13.99M,6.764M,18.89M,,AOR,Restated
2013-12,133.19M,,-0.141M,88.71M,88.71M,,,7.711M,,-15.64M,49.55M,,15.76M,-4.441M,,33.61M,94.49M,308.32M,,-90.06M,,-90.06M,,,-7.094M,-97.15M,,-191.73M,-191.73M,1.612M,-5.015M,-3.403M,-4.915M,-4.915M,-6.00M,-206.05M,,12.12M,5.116M,0.00,17.24M,,1.612M,14.26M,-205.99M,-5.015M,41.61M,42.83M,,AOR,Restated
2013-09,123.10M,,-0.696M,86.97M,86.97M,,,6.493M,,-17.97M,-17.04M,,20.19M,4.356M,,-20.40M,-12.89M,185.01M,,-103.81M,,-103.81M,,,-5.847M,-109.65M,,-47.64M,-47.64M,1.361M,-0.813M,0.548M,-4.911M,-4.911M,-23.79M,-75.79M,,12.56M,-0.436M,0.00,12.12M,,1.361M,-9.50M,-38.14M,-0.813M,65.74M,34.36M,,AOR,Restated
2013-06,167.80M,,-0.185M,81.75M,81.75M,,,6.468M,,-19.95M,-0.365M,,-100.19M,2.407M,,74.68M,-23.47M,212.42M,,-81.34M,,-81.34M,,,10.37M,-70.98M,,-124.67M,-124.67M,1.503M,-7.346M,-5.843M,-4.925M,-4.925M,-10.84M,-146.28M,,17.40M,-4.837M,,12.56M,,1.503M,1.50M,-126.17M,-7.346M,147.64M,31.08M,,AOR,Restated
2013-03,129.94M,,-2.092M,79.92M,79.92M,,,7.111M,,-17.08M,-81.86M,,94.08M,6.662M,,-38.18M,-19.30M,178.50M,,-95.92M,,-95.92M,,,-9.755M,-105.67M,,-60.43M,-60.43M,1.232M,-14.03M,-12.80M,-4.87M,-4.87M,-0.808M,-78.90M,,23.47M,-6.076M,,17.40M,,1.232M,9.50M,-69.93M,-14.03M,4.908M,22.98M,,AOR,Restated
2012-12,147.66M,,-26.14M,81.05M,81.05M,,,6.329M,,-16.20M,15.75M,,-21.25M,5.017M,,72.00M,71.53M,264.22M,,-583.76M,,-583.76M,,,80.61M,-503.15M,,285.68M,285.68M,1.607M,-9.478M,-7.871M,-43.88M,-43.88M,2.806M,236.74M,,25.65M,-2.181M,,23.47M,,1.607M,7.50M,278.18M,-9.478M,76.92M,52.86M,,AOR,Restated
2012-09,81.37M,,28.22M,78.94M,78.94M,,,5.193M,,-11.07M,-22.88M,,16.32M,12.09M,,-26.05M,-20.52M,162.14M,,-113.46M,,-113.46M,,,-11.11M,-124.57M,,-26.14M,-26.14M,1.253M,-6.749M,-5.496M,-4.846M,-4.846M,-8.379M,-44.86M,,32.94M,-7.289M,,25.65M,,1.253M,906.00M,-932.14M,-6.749M,46.33M,42.40M,,AOR,Restated
2012-06,117.44M,,,74.88M,74.88M,,,5.51M,,-29.54M,82.73M,,-51.26M,6.746M,,39.12M,77.34M,245.64M,,-101.26M,,-101.26M,,,-13.51M,-114.77M,,-124.74M,-124.74M,1.559M,-0.91M,0.649M,-4.841M,-4.841M,-10.99M,-139.93M,,42.00M,-9.058M,,32.94M,,1.559M,0.00,-124.74M,-0.91M,138.15M,36.21M,,AOR,Restated
2012-03,142.57M,,,73.82M,73.82M,,,5.486M,,-18.28M,-146.67M,,113.33M,7.12M,,-50.16M,-76.37M,127.22M,,-92.56M,,-92.56M,,,45.46M,-47.10M,,-70.94M,-70.94M,1.016M,-2.017M,-1.001M,-4.832M,-4.832M,-2.575M,-79.35M,,41.23M,0.77M,,42.00M,,1.016M,0.00,-70.94M,-2.017M,3.419M,25.94M,,AOR,Restated
2011-12,108.01M,,-0.616M,75.65M,75.65M,,,4.791M,,-36.87M,-31.14M,,-29.02M,16.94M,,40.43M,-2.785M,148.18M,,-111.14M,,-111.14M,,,33.54M,-77.61M,,-51.88M,-51.88M,1.183M,-15.95M,-14.77M,-4.828M,-4.828M,2.984M,-68.49M,,39.15M,2.082M,,41.23M,,1.183M,62.10M,-113.98M,-15.95M,73.76M,55.62M,,AOR,Restated
2011-09,94.84M,,0.164M,75.26M,75.26M,,,4.769M,,-12.40M,-26.04M,,86.69M,8.69M,,-25.25M,44.09M,206.73M,,-87.76M,,-87.76M,,,5.183M,-82.58M,,-66.97M,-66.97M,1.188M,-38.37M,-37.18M,-4.875M,-4.875M,-10.79M,-119.82M,,34.82M,4.331M,,39.15M,,1.188M,0.00,-66.97M,-38.37M,5.736M,18.50M,,AOR,Restated
2011-06,116.03M,,,73.42M,73.42M,,,4.711M,,-18.45M,26.26M,,-5.022M,4.748M,,-29.10M,-3.117M,172.60M,,-59.68M,,-59.68M,,,-2.221M,-61.90M,,-101.66M,-101.66M,1.157M,-2.993M,-1.836M,-4.887M,-4.887M,-19.57M,-127.96M,,52.08M,-17.26M,,34.82M,,1.157M,-37.50M,-64.16M,-2.993M,79.00M,65.08M,,AOR,Restated
2011-03,129.99M,,,71.53M,71.53M,,,3.954M,,-14.91M,-103.92M,,105.61M,6.777M,,-15.85M,-7.377M,183.18M,,-56.56M,,-56.56M,,,-7.154M,-63.71M,,-62.90M,-62.90M,1.251M,-3.17M,-1.919M,-4.876M,-4.876M,-27.16M,-96.86M,,29.47M,22.60M,,52.08M,,1.251M,73.50M,-136.40M,-3.17M,4.527M,37.13M,,AOR,Restated
2010-12,50.82M,1.993M,0.00,60.93M,60.93M,,,4.121M,,-62.85M,29.48M,,-10.27M,,,-7.91M,22.83M,88.53M,,-2.020B,-21.46M,-2.041B,256.97M,,16.70M,-1.768B,,1.819B,1.819B,-1.61M,-7.565M,-9.175M,,-4.867M,-105.70M,1.699B,,9.629M,19.84M,,29.47M,,-1.61M,3.016B,-1.197B,-7.565M,38.57M,43.32M,,AOR,Restated
2010-09,65.80M,-1.993M,0.00,55.53M,55.53M,,,4.351M,,4.351M,9.772M,-1.484M,20.87M,,,30.25M,59.41M,185.09M,,-47.76M,21.46M,-26.30M,-261.97M,,-13.22M,-301.48M,,133.37M,133.37M,1.371M,-0.26M,1.111M,,-4.862M,-15.94M,113.68M,,12.34M,-2.708M,,9.629M,,1.371M,250.00M,-116.63M,-0.26M,33.58M,3.801M,,AOR,Restated
2010-06,159.18M,,-0.145M,54.02M,54.02M,,,4.262M,,-74.44M,29.98M,1.484M,-47.02M,,,-30.74M,-46.29M,88.26M,,-67.42M,-2.894M,-70.31M,5.00M,,3.742M,-61.57M,,-9.611M,-9.611M,2.206M,-1.546M,0.66M,,-4.859M,-7.413M,-21.22M,,6.865M,5.472M,,12.34M,,2.206M,0.00,-9.611M,-1.546M,73.21M,24.30M,,AOR,Restated
2010-03,,,-1.848M,53.51M,53.51M,,,4.065M,,82.76M,-46.50M,,64.70M,,,-17.23M,0.969M,139.46M,,-62.58M,2.894M,-59.68M,,,-3.742M,-63.42M,,-68.36M,-68.36M,1.627M,-2.157M,-0.53M,,-4.834M,-4.623M,-78.35M,,9.18M,-2.315M,,6.865M,,1.627M,0.00,-68.36M,-2.157M,6.732M,5.482M,,AOR,Restated
2009-12,69.18M,,,51.28M,51.28M,,,3.405M,,3.405M,-6.327M,,6.744M,,,-72.65M,-65.53M,56.99M,,-108.88M,9.77M,-99.11M,-3.493M,,-0.818M,-103.42M,,103.24M,103.24M,1.722M,-47.82M,-46.10M,,14.81M,-29.97M,41.98M,,13.63M,-4.45M,,9.18M,,1.722M,25.90M,77.34M,-47.82M,155.37M,57.02M,,AOR,Restated
2009-09,59.05M,,,51.20M,51.20M,,,3.089M,,3.089M,9.049M,,44.82M,,,16.22M,70.09M,183.44M,,-95.58M,,-95.58M,0.00,,0.818M,-94.76M,,-66.49M,-66.49M,0.218M,-0.03M,0.188M,,-23.63M,4.259M,-85.67M,,10.62M,3.007M,,13.63M,,0.218M,0.00,-66.49M,-0.03M,-90.94M,-28.72M,,AOR,Restated
2009-06,93.98M,,,51.08M,51.08M,,,3.139M,,3.139M,52.81M,,-50.53M,,,-1.901M,0.384M,148.58M,,-105.03M,0.00,-105.03M,-9.006M,,,-114.04M,,-25.39M,-25.39M,0.683M,-0.712M,-0.029M,,-3.676M,-4.259M,-33.35M,,9.423M,1.20M,,10.62M,,0.683M,0.17M,-25.56M,-0.712M,77.16M,24.76M,,AOR,Restated
2009-03,82.03M,,,51.13M,51.13M,,,3.463M,,3.463M,-27.42M,,58.57M,,,-15.53M,15.62M,152.25M,,-78.22M,,-78.22M,,,,-78.22M,,-51.80M,-51.80M,0.667M,-14.72M,-14.06M,,-4.214M,,-70.07M,,5.46M,3.963M,,9.423M,,0.667M,,-51.80M,-14.72M,13.78M,3.966M,,AOR,Restated
2008-12,87.17M,,-21.46M,51.06M,51.06M,,,,,25.00M,11.22M,,3.808M,,,-93.68M,-57.64M,98.24M,,-114.66M,82.06M,-32.60M,-7.648M,0.021M,-32.63M,-72.86M,,53.73M,53.73M,0.603M,-44.97M,-44.36M,,-4.003M,-33.09M,-27.73M,,7.805M,-2.345M,,5.46M,,0.603M,0.974M,52.75M,-44.97M,32.47M,28.09M,,AOR,Restated
2008-09,37.00M,,12.34M,49.33M,49.33M,,,,,,73.41M,,23.16M,-15.82M,,18.06M,98.81M,197.48M,,-83.82M,,-83.82M,-14.29M,0.825M,28.86M,-68.43M,,-109.58M,-109.58M,0.60M,-14.62M,-14.02M,,-4.051M,0.199M,-127.46M,,6.211M,1.594M,,7.805M,,0.60M,0.00,-109.58M,-14.62M,27.64M,4.863M,,AOR,
2008-06,54.24M,,-25.25M,48.01M,48.01M,,,,,-5.61M,-19.29M,,42.84M,15.82M,,-43.97M,-4.602M,66.79M,,-74.31M,-2.235M,-76.55M,0.00,-2.095M,3.774M,-74.87M,,40.43M,7.248M,0.058M,-0.017M,0.041M,,-4.024M,2.107M,5.372M,,8.916M,-2.705M,,6.211M,,0.058M,150.16M,-109.73M,-0.017M,70.27M,29.34M,,,Restated
2008-03,61.66M,,12.91M,47.37M,47.37M,,,,,5.61M,-63.59M,,,,,67.71M,4.127M,131.68M,,-81.75M,2.235M,-79.52M,,,,-79.52M,,,33.18M,1.093M,-89.80M,-88.71M,,-4.072M,,-59.60M,,16.35M,-7.438M,,8.916M,,1.093M,,,-89.80M,,,,,
2007-12,39.95M,,-3.722M,47.86M,47.86M,,,,,0.00,5.819M,,27.97M,,,-92.17M,-58.38M,25.71M,,-76.45M,,-76.45M,8.185M,0.00,-5.268M,-73.53M,,108.48M,108.48M,1.223M,-59.70M,-58.48M,,-4.252M,4.846M,50.60M,,13.57M,2.78M,,16.35M,,1.223M,13.35M,95.13M,-59.70M,9.625M,22.58M,,,Restated
2007-09,28.85M,,2.20M,46.53M,46.53M,,,,,,18.93M,,47.96M,,-9.26M,28.59M,86.22M,163.80M,,-78.78M,-5.268M,-84.05M,-36.73M,0.00,20.03M,-100.74M,,66.01M,-50.26M,-0.403M,-11.04M,-11.45M,,-4.296M,3.858M,-62.15M,,12.66M,0.911M,,13.57M,,-0.403M,169.85M,-103.85M,-11.04M,83.89M,35.99M,,,Restated
2007-06,52.07M,,-10.97M,45.41M,45.41M,,,,,-10.90M,21.02M,,,,9.26M,-45.88M,-15.60M,60.00M,,-85.24M,0.00,-85.24M,-7.817M,,0.00,-93.06M,,,31.61M,1.329M,-0.053M,1.276M,,-4.311M,5.931M,34.50M,,11.22M,1.448M,,12.66M,,1.329M,,,-0.053M,,,,,
2007-03,49.51M,,8.772M,43.48M,43.48M,,,,,10.90M,-57.31M,,,,,43.62M,-13.69M,98.98M,,-99.35M,5.268M,-94.08M,-73.38M,,-14.76M,-182.22M,,,84.66M,0.115M,-3.288M,-3.173M,,-4.31M,2.34M,79.52M,,14.94M,-3.724M,,11.22M,,0.115M,,,-3.288M,,,,,
2006-12,34.17M,,132.97M,43.33M,43.33M,,,,,-130.43M,-8.42M,,,,-7.519M,-117.06M,-167.18M,-80.78M,,-108.13M,,-108.13M,-36.15M,,0.00,-144.28M,,,352.61M,1.432M,-130.03M,-128.60M,,-4.355M,5.519M,225.18M,,14.82M,0.122M,,14.94M,,1.432M,,,-130.03M,,,,,Restated
2006-09,113.94M,,-169.69M,40.96M,40.96M,-57.20M,,,,47.29M,-38.51M,,,,8.007M,116.15M,85.64M,60.95M,,-66.08M,,-66.08M,-45.65M,,91.57M,-20.17M,,,-0.98M,1.567M,-149.34M,-147.77M,,-4.47M,2.905M,-150.31M,,124.35M,-109.53M,,14.82M,,1.567M,,,-149.34M,,,,,
2006-06,60.26M,,55.44M,40.37M,40.37M,57.20M,,,,-40.93M,1.456M,,,,-3.825M,-91.24M,-93.61M,78.73M,,-71.98M,,-71.98M,,,25.00M,-46.98M,,,146.71M,1.054M,-69.44M,-68.39M,,-4.334M,10.41M,84.39M,,8.211M,116.14M,,124.35M,,1.054M,,,-69.44M,,,,,
2006-03,51.08M,,-18.72M,39.03M,39.03M,,,,,,-48.07M,,,,3.337M,83.68M,38.94M,110.34M,,-94.94M,,-94.94M,,,28.00M,-66.94M,,,-38.89M,1.584M,-1.566M,0.018M,,-4.286M,,-43.15M,,7.963M,0.248M,,8.211M,,1.584M,,,-1.566M,,,,,
2005-12,12.27M,,-8.556M,39.25M,39.25M,0.977M,,,,16.20M,21.29M,,,-7.785M,18.26M,-22.93M,8.836M,68.98M,,-70.07M,24.07M,-46.00M,-251.19M,,,-222.19M,,,106.75M,1.188M,-24.62M,-23.43M,,-4.303M,0.00,79.02M,,82.16M,-74.19M,,7.963M,,1.188M,,,-24.62M,,,,,
2005-09,8.319M,,57.14M,38.70M,38.70M,-56.55M,,,,-2.156M,38.04M,,,2.748M,47.34M,-7.581M,80.55M,126.00M,,-62.50M,0.00,-62.50M,-24.41M,,,-86.91M,,,-1.168M,0.856M,-66.91M,-66.06M,,-4.467M,0.00,-71.69M,,114.75M,-32.59M,,82.16M,,0.856M,,,-66.91M,,,,,
