,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-09,2.611B,2.410B,257.79M,2.152B,1.174B,1.174B,23.80M,,,27.79M,0.025M,-29.98M,597.27M,1.875B,277.57M,0.025M,27.79M,-29.98M,-2.146M,-29.98M,245.44M,88.18M,157.26M,,-5.40M,151.86M,153.24M,376.94M,103.71M,273.23M,,1.56,,1.574,1.56,,1.54,,1.554,1.54,,97.12M,98.32M,0.10,,AOR,Restated
2016-06,2.639B,2.431B,254.42M,2.176B,1.156B,1.156B,24.81M,,,26.40M,0.013M,-28.25M,586.00M,1.843B,333.29M,0.013M,26.40M,-28.25M,-2.191M,-28.25M,302.85M,107.40M,195.45M,,-9.872M,185.58M,186.99M,430.65M,101.41M,329.24M,,1.91,,1.925,1.91,,1.89,,1.904,1.89,,97.11M,98.39M,0.10,,AOR,Restated
2016-03,2.620B,2.450B,255.25M,2.195B,1.173B,1.173B,24.45M,,,25.58M,0.03M,-27.33M,561.58M,1.838B,356.32M,0.03M,25.58M,-27.33M,-2.269M,-27.33M,326.72M,111.00M,215.72M,,-24.96M,190.76M,192.26M,456.35M,104.05M,352.30M,,1.95,,1.965,1.95,,1.93,,1.945,1.93,,97.61M,98.90M,0.10,,AOR,Restated
2015-12,2.513B,2.315B,252.11M,2.063B,1.104B,1.104B,24.34M,,,24.67M,0.264M,-26.26M,548.74M,1.755B,307.73M,0.264M,24.67M,-26.26M,11.68M,-26.26M,293.15M,101.83M,191.32M,,-17.57M,173.75M,175.30M,420.74M,102.92M,317.82M,,1.76,,1.776,1.76,,1.74,,1.756,1.74,,98.42M,100.04M,0.10,,AOR,Restated
2015-09,2.439B,2.228B,242.26M,1.985B,1.082B,1.082B,24.54M,,,23.73M,0.005M,-25.49M,529.38M,1.711B,274.80M,0.005M,23.73M,-25.49M,-1.286M,-25.49M,248.03M,84.37M,163.65M,,-13.37M,150.29M,151.37M,371.20M,99.44M,271.76M,,1.52,,1.531,1.52,,1.48,,1.491,1.48,,98.86M,101.16M,0.10,,AOR,Restated
2015-06,2.453B,2.275B,240.98M,2.034B,1.067B,1.067B,23.20M,,,23.90M,0.005M,-25.65M,535.71M,1.700B,334.00M,0.005M,23.90M,-25.65M,-0.637M,-25.65M,307.71M,106.30M,201.40M,,-19.21M,182.19M,183.52M,428.86M,97.26M,331.61M,,1.84,,1.853,1.84,,1.80,,1.813,1.80,,99.00M,100.93M,0.10,,AOR,Restated
2015-03,2.380B,2.225B,238.74M,1.987B,1.055B,1.055B,22.89M,,,24.13M,0.005M,-25.89M,505.97M,1.660B,327.05M,0.005M,24.13M,-25.89M,-4.148M,-25.89M,297.02M,102.69M,194.32M,,-20.02M,174.30M,177.01M,420.15M,99.00M,321.15M,,1.76,,1.787,1.76,,1.73,,1.757,1.73,,98.91M,100.65M,0.10,,AOR,Restated
2014-12,2.333B,2.176B,233.41M,1.943B,1.018B,1.018B,23.34M,0.00,,24.82M,0.086M,-26.50M,528.42M,1.644B,298.41M,0.086M,24.82M,-26.50M,19.15M,-26.50M,291.06M,100.57M,190.49M,,-17.70M,172.80M,175.89M,414.00M,98.12M,315.88M,,1.75,,1.781,1.75,,1.71,,1.741,1.71,,98.81M,100.75M,0.10,,AOR,Restated
2014-09,2.197B,2.039B,222.71M,1.816B,977.44M,977.44M,23.86M,-36.17M,,24.57M,0.441M,-27.29M,533.75M,1.605B,211.36M,0.441M,24.57M,-27.29M,-39.59M,-27.29M,144.48M,48.44M,96.04M,,-13.24M,82.80M,110.07M,262.51M,93.46M,169.05M,,0.84,,1.115,0.84,,0.82,,1.090,0.82,,99.05M,101.03M,0.10,,AOR,Restated
2014-06,2.228B,2.052B,223.77M,1.828B,985.38M,985.38M,23.46M,,,25.07M,0.005M,-30.30M,460.66M,1.537B,291.26M,0.005M,25.07M,-30.30M,-2.611M,-30.30M,258.34M,91.73M,166.61M,,-14.94M,151.67M,154.76M,374.10M,90.69M,283.41M,,1.53,,1.561,1.53,,1.51,,1.541,1.51,,98.87M,100.24M,0.05,,AOR,Restated
2014-03,2.146B,1.938B,215.80M,1.723B,958.70M,958.70M,23.34M,,,25.25M,0.005M,-30.48M,399.91M,1.452B,270.55M,0.005M,25.25M,-30.48M,-4.283M,-30.48M,235.78M,83.93M,151.85M,,-13.77M,138.08M,141.11M,354.39M,93.36M,261.03M,,1.40,,1.431,1.40,,1.38,,1.410,1.38,,98.57M,100.16M,0.05,,AOR,Restated
2013-12,2.200B,1.885B,207.11M,1.678B,926.88M,926.88M,25.11M,0.00,,26.38M,1.041M,-30.76M,452.68M,1.468B,209.52M,1.041M,26.38M,-30.76M,28.20M,-30.76M,206.96M,73.77M,133.19M,,-8.665M,124.52M,127.66M,322.05M,88.71M,233.34M,,1.27,,1.302,1.27,,1.25,,1.281,1.25,,98.24M,100.08M,0.05,,AOR,Restated
2013-09,2.135B,1.816B,207.00M,1.609B,927.12M,927.12M,23.90M,0.00,,26.69M,4.686M,-27.46M,393.55M,1.408B,201.74M,4.686M,26.69M,-27.46M,18.29M,-27.46M,192.57M,69.47M,123.10M,,-8.512M,114.59M,117.69M,306.24M,86.97M,219.26M,,1.17,,1.202,1.17,,1.15,,1.181,1.15,,98.15M,99.59M,0.05,,AOR,Restated
2013-06,2.082B,1.835B,202.34M,1.633B,921.42M,921.42M,24.08M,,,28.03M,0.018M,-33.46M,325.56M,1.329B,303.97M,0.018M,28.03M,-33.46M,-4.694M,-33.46M,265.82M,98.02M,167.80M,,-15.96M,151.84M,154.86M,375.60M,81.75M,293.85M,,1.55,,1.581,1.55,,1.53,,1.560,1.53,,98.03M,99.21M,0.05,,AOR,Restated
2013-03,2.078B,1.832B,204.64M,1.627B,926.96M,926.96M,24.66M,,,29.81M,0.009M,-35.26M,381.01M,1.388B,239.21M,0.009M,29.81M,-35.26M,0.038M,-35.26M,203.98M,74.05M,129.94M,,-10.15M,119.78M,122.76M,313.72M,79.92M,233.80M,,1.23,,1.260,1.23,,1.21,,1.240,1.21,,97.71M,98.57M,0.05,,AOR,Restated
2012-12,1.969B,1.765B,204.70M,1.560B,899.84M,899.84M,23.98M,0.00,,30.89M,0.015M,-36.33M,322.79M,1.303B,256.98M,0.015M,30.89M,-36.33M,12.74M,-36.33M,233.40M,85.74M,147.66M,,-12.20M,135.46M,138.49M,345.33M,81.05M,264.28M,,1.39,,1.421,1.39,,1.38,,1.411,1.38,,97.18M,97.71M,0.05,,AOR,Restated
2012-09,1.869B,1.680B,191.75M,1.489B,861.56M,861.56M,23.48M,-29.17M,,32.74M,0.021M,-39.81M,362.69M,1.301B,187.33M,0.021M,32.74M,-39.81M,-24.02M,-39.81M,123.50M,42.13M,81.37M,,-9.556M,71.82M,94.60M,235.19M,78.94M,156.25M,,0.74,,0.9753,0.74,,0.73,,0.9634,0.73,,96.82M,97.61M,0.05,,AOR,Restated
2012-06,1.908B,1.723B,197.82M,1.525B,878.85M,878.85M,23.98M,,,33.33M,0.02M,-40.60M,345.06M,1.297B,228.38M,0.02M,33.33M,-40.60M,-3.33M,-40.60M,184.44M,67.00M,117.44M,,-9.883M,107.56M,110.93M,292.66M,74.88M,217.78M,,1.11,,1.145,1.11,,1.10,,1.134,1.10,,96.69M,97.73M,0.05,,AOR,Restated
2012-03,1.942B,1.793B,205.36M,1.588B,895.56M,895.56M,23.44M,,,34.30M,0.029M,-41.55M,351.30M,1.319B,269.03M,0.029M,34.30M,-41.55M,-5.158M,-41.55M,222.32M,79.75M,142.57M,,-13.96M,128.61M,131.91M,330.44M,73.82M,256.62M,,1.33,,1.364,1.33,,1.31,,1.344,1.31,,96.59M,97.79M,0.05,,AOR,Restated
2011-12,1.804B,1.663B,201.83M,1.461B,855.63M,855.63M,21.82M,0.00,,29.27M,0.034M,-43.71M,323.20M,1.252B,208.95M,0.034M,29.27M,-43.71M,-2.404M,-43.71M,162.84M,54.83M,108.01M,,-12.74M,95.27M,96.87M,267.76M,75.65M,192.11M,,0.99,,1.007,0.99,,0.98,,0.9964,0.98,,96.46M,97.42M,0.05,,AOR,Restated
2011-09,1.815B,1.663B,198.79M,1.464B,851.31M,851.31M,22.70M,0.00,,39.01M,0.044M,-46.20M,343.87M,1.268B,195.53M,0.044M,39.01M,-46.20M,-2.248M,-46.20M,147.08M,52.23M,94.84M,,-9.788M,85.05M,86.50M,261.35M,75.26M,186.09M,,0.87,,0.8849,0.87,,0.86,,0.8747,0.86,,97.40M,98.60M,0.05,,AOR,Restated
2011-06,1.869B,1.714B,202.00M,1.512B,859.56M,859.56M,23.00M,,,40.42M,0.042M,-47.61M,349.45M,1.280B,232.24M,0.042M,40.42M,-47.61M,-2.198M,-47.61M,182.43M,66.40M,116.03M,,-12.38M,103.65M,105.05M,296.27M,73.42M,222.84M,,1.06,,1.074,1.06,,1.04,,1.054,1.04,,97.56M,99.26M,0.05,,AOR,Restated
2011-03,1.911B,1.757B,207.17M,1.550B,869.03M,869.03M,23.17M,,,48.51M,0.044M,-55.01M,349.45M,1.290B,260.41M,0.044M,48.51M,-55.01M,-1.405M,-55.01M,204.00M,74.01M,129.99M,,-15.79M,114.19M,115.09M,324.03M,71.53M,252.51M,,1.17,,1.179,1.17,,1.15,,1.159,1.15,,97.38M,98.87M,0.05,,AOR,Restated
2010-12,1.421B,891.42M,-1.542B,2.433B,2.384B,2.384B,20.82M,,,32.19M,,-35.53M,267.30M,2.303B,130.73M,,32.19M,-35.53M,,-35.53M,89.25M,38.43M,50.82M,,-13.63M,37.18M,37.18M,182.37M,60.93M,121.44M,,0.38,,0.38,0.38,,0.38,,0.38,0.38,,97.12M,98.45M,0.05,,AOR,Restated
2010-09,1.323B,1.323B,752.77M,570.50M,18.43M,18.43M,18.43M,,133.47M,11.48M,,-11.48M,258.39M,465.81M,104.68M,,11.48M,-11.48M,,-11.48M,93.21M,27.40M,65.80M,,-10.19M,55.61M,55.61M,160.21M,55.53M,104.68M,,0.57,0.00,0.57,0.57,,0.57,0.00,0.57,0.57,,96.78M,97.94M,0.05,,AOR,Restated
2010-06,1.338B,1.338B,179.93M,1.158B,581.74M,581.74M,18.18M,,143.76M,12.33M,0.053M,-12.28M,249.11M,1.029B,129.75M,0.053M,12.33M,-12.28M,,-12.28M,117.47M,41.06M,76.42M,,-10.84M,65.57M,65.57M,183.83M,54.02M,129.80M,,0.68,0.00,0.68,0.68,,0.67,0.00,0.67,0.67,,96.70M,98.05M,0.05,,AOR,Restated
2010-03,1.347B,1.347B,762.74M,584.41M,17.93M,17.93M,17.93M,,125.39M,12.59M,0.217M,-12.38M,247.03M,443.86M,140.55M,0.217M,12.59M,-12.38M,,-12.38M,128.17M,45.41M,82.76M,,-10.94M,71.82M,71.82M,194.28M,53.51M,140.76M,,0.74,0.00,0.74,0.74,,0.73,0.00,0.73,0.73,,96.54M,97.45M,0.05,,AOR,Restated
2009-12,1.291B,1.291B,740.15M,551.06M,18.04M,18.04M,18.04M,,127.87M,10.90M,,-10.51M,235.02M,432.20M,118.86M,,10.90M,-10.51M,,-10.51M,108.35M,39.17M,69.18M,,-8.317M,60.86M,60.86M,170.53M,51.28M,119.25M,,0.62,0.00,0.62,0.62,,0.62,0.00,0.62,0.62,,97.29M,98.08M,0.025,,AOR,Restated
2009-09,1.295B,1.295B,729.90M,565.21M,17.25M,17.25M,17.25M,,141.09M,10.78M,,-10.78M,253.79M,463.34M,101.88M,,10.78M,-10.78M,,-10.78M,91.10M,32.04M,59.05M,,-7.98M,51.07M,51.07M,153.08M,51.20M,101.88M,,0.52,0.00,0.52,0.52,,0.52,0.00,0.52,0.52,,97.77M,98.50M,0.04,,AOR,Restated
2009-06,1.304B,1.304B,,1.304B,559.54M,559.54M,17.59M,,120.67M,12.02M,0.145M,-11.88M,409.30M,1.141B,163.04M,0.145M,12.02M,-11.88M,,-11.88M,151.16M,57.19M,93.98M,,-13.08M,80.89M,80.89M,214.27M,51.08M,163.19M,,0.82,0.00,0.82,0.82,,0.82,0.00,0.82,0.82,,97.70M,98.10M,0.04,,AOR,Restated
2009-03,1.312B,1.312B,715.26M,597.16M,17.07M,17.07M,17.07M,,118.98M,14.59M,1.953M,-12.64M,273.22M,460.40M,136.75M,1.953M,14.59M,-12.64M,,-12.64M,124.11M,42.08M,82.03M,,-14.49M,67.54M,67.54M,189.84M,51.13M,138.70M,,0.68,0.00,0.68,0.68,,0.68,0.00,0.68,0.68,,98.41M,98.41M,0.04,,AOR,Restated
2008-12,1.237B,1.237B,2.303B,-1.066B,-1.584B,-1.584B,16.86M,,111.30M,13.92M,,-13.06M,267.02M,-1.154B,88.23M,,13.92M,-13.06M,,-13.06M,109.19M,28.03M,81.17M,6.002M,,46.48M,40.48M,174.21M,51.06M,123.12M,,0.40,0.055,0.40,0.455,,0.40,0.055,0.40,0.455,,100.02M,100.02M,0.04,,AOR,Restated
2008-09,1.244B,1.244B,170.74M,1.074B,548.46M,548.46M,17.60M,,125.00M,13.42M,,-13.42M,269.30M,991.22M,82.49M,,13.42M,-13.42M,-9.316M,-13.42M,59.76M,22.54M,37.22M,-0.226M,,37.00M,37.22M,122.51M,49.33M,73.18M,,0.365,0.00,0.365,0.365,,0.365,0.00,0.365,0.365,,101.09M,101.52M,0.04,,AOR,
2008-06,1.263B,1.263B,702.34M,560.23M,17.87M,17.87M,17.87M,,120.65M,13.25M,,-13.25M,259.31M,445.16M,115.07M,,13.25M,-13.25M,,-13.25M,101.82M,35.20M,55.19M,-0.95M,-11.43M,66.62M,67.57M,163.08M,48.01M,115.07M,,0.545,-0.01,0.545,0.535,,0.54,-0.01,0.54,0.53,,101.26M,101.48M,0.04,,,Restated
2008-03,1.298B,1.298B,732.28M,565.44M,,391.04M,,,,,,,,438.41M,127.03M,,,,,,100.27M,38.61M,61.66M,,-13.28M,61.66M,61.66M,174.40M,47.37M,127.03M,,0.60,0.00,0.60,0.60,,0.60,0.00,0.60,0.60,,102.53M,102.67M,0.04,,,
2007-12,1.177B,1.177B,166.39M,1.011B,527.20M,527.20M,17.46M,,102.18M,14.04M,,-12.98M,245.37M,921.96M,88.98M,,14.04M,-12.98M,,-12.98M,65.29M,25.45M,39.84M,0.113M,,39.95M,39.84M,127.20M,47.86M,79.33M,,0.375,0.00,0.375,0.375,,0.37,0.00,0.37,0.375,,106.10M,106.47M,0.04,,,Restated
2007-09,1.164B,1.164B,160.19M,1.003B,520.28M,520.28M,17.84M,,108.64M,12.88M,,-12.88M,261.64M,936.46M,66.96M,,12.88M,-12.88M,-9.784M,-12.88M,44.30M,14.96M,29.33M,-0.48M,,28.85M,29.33M,103.70M,46.53M,57.18M,,0.275,-0.005,0.275,0.27,,0.275,-0.005,0.275,0.27,,106.96M,107.26M,0.04,,,Restated
2007-06,1.179B,1.179B,667.82M,511.15M,,357.74M,,-1.058M,,,,,,403.14M,108.01M,,,,-1.058M,,85.24M,33.19M,52.04M,0.029M,-8.675M,52.07M,52.69M,153.41M,45.41M,108.01M,,0.485,0.00,0.4910,0.485,,0.485,0.00,0.4910,0.485,,107.00M,107.46M,0.04,,,
2007-03,1.198B,1.198B,686.35M,511.25M,,360.62M,,0.433M,,,,,,404.08M,107.17M,,,,0.433M,,80.68M,31.11M,49.57M,-0.064M,-14.19M,49.51M,49.31M,150.65M,43.48M,107.17M,,0.465,0.00,0.4625,0.465,,0.46,0.00,0.4575,0.46,,106.99M,107.37M,0.04,,,
2006-12,999.27M,999.27M,-1.188B,2.188B,,811.47M,,,,,,,,2.117B,70.29M,,,,,,-105.39M,-39.20M,-66.19M,100.36M,,34.17M,-66.19M,78.66M,43.33M,35.32M,,-0.595,0.92,-0.595,0.325,,-0.595,0.865,-0.595,0.325,,107.87M,108.31M,0.04,,,Restated
2006-09,1.043B,1.043B,606.04M,437.41M,,325.96M,,130.33M,,,,,,366.92M,70.49M,,,,130.33M,,179.73M,65.70M,114.03M,-0.084M,-14.95M,113.94M,31.34M,111.45M,40.96M,70.49M,,1.005,0.00,0.2771,1.005,,1.00,0.00,0.2747,1.00,,113.59M,114.00M,0.04,,,
2006-06,1.048B,1.048B,559.57M,488.10M,,351.97M,,21.64M,,,,,,392.34M,95.76M,,,,21.64M,,97.22M,36.35M,60.87M,-0.612M,-11.49M,60.26M,47.32M,136.13M,40.37M,95.76M,,0.565,-0.005,0.4389,0.56,,0.525,-0.005,0.4120,0.52,,107.46M,119.97M,0.04,,,
2006-03,1.034B,1.034B,570.74M,463.54M,,339.34M,,15.39M,,,,,,378.37M,85.17M,,,,15.39M,,80.86M,30.37M,50.49M,0.592M,-11.18M,51.08M,40.88M,124.20M,39.03M,85.17M,,0.47,0.005,0.3806,0.475,,0.435,0.005,0.3556,0.44,,107.54M,121.01M,0.04,,,
2005-12,967.18M,967.18M,536.03M,431.14M,,328.91M,,-36.13M,,,,,,368.15M,62.99M,,,,-36.13M,,12.67M,3.624M,9.042M,3.232M,-5.786M,12.27M,34.84M,102.24M,39.25M,62.99M,,0.095,0.04,0.3338,0.135,,0.095,0.035,0.3071,0.135,,108.00M,121.60M,0.04,,,
2005-09,970.77M,970.77M,513.06M,457.71M,,346.54M,,-47.19M,,,,,,385.09M,72.61M,,,,-47.19M,,15.01M,5.531M,9.479M,-1.16M,-4.014M,8.319M,39.28M,111.32M,38.70M,72.61M,,0.085,-0.01,0.3575,0.075,,0.085,-0.01,0.3552,0.075,,109.36M,110.30M,0.04,,,
2005-06,990.89M,990.89M,534.02M,456.87M,,345.47M,,,,,,,,383.46M,73.41M,,,,,,58.03M,21.40M,36.63M,122.21M,-7.926M,158.84M,36.63M,113.66M,40.25M,73.41M,,0.325,1.08,0.325,1.405,,0.305,0.96,0.305,1.265,,112.85M,127.30M,0.04,,,
2005-03,1.007B,1.007B,532.88M,473.77M,,329.04M,,,,,,,,368.74M,105.03M,,,,,,86.44M,31.75M,54.69M,6.719M,-7.919M,61.41M,54.69M,150.54M,45.51M,105.03M,,0.475,0.06,0.475,0.535,,0.445,0.05,0.445,0.495,,115.05M,128.83M,0.04,,,
2004-12,910.78M,910.78M,495.79M,414.99M,,310.07M,,,,,,,,346.86M,68.13M,,,,,,56.39M,21.54M,34.85M,2.322M,-1.883M,37.17M,34.85M,110.40M,42.27M,68.13M,,0.30,0.025,0.30,0.325,,0.285,0.02,0.285,0.305,,115.27M,128.98M,0.04,,,
2004-09,914.09M,914.09M,487.94M,426.16M,,311.54M,,,,,,,,348.89M,77.26M,,,,,,62.32M,22.97M,39.35M,-1.507M,-5.595M,37.84M,39.35M,120.27M,43.01M,77.26M,,0.34,-0.015,0.34,0.325,,0.32,-0.015,0.32,0.31,,115.58M,129.82M,0.04,,,
2004-06,905.49M,905.49M,482.86M,422.64M,,302.77M,,,,,,,,337.81M,84.83M,,,,,,70.29M,25.91M,44.38M,3.907M,-5.183M,48.29M,44.38M,125.52M,40.69M,84.83M,,0.385,0.035,0.385,0.42,,0.36,0.03,0.36,0.39,,115.24M,129.95M,0.04,,,
2004-03,982.58M,982.58M,535.77M,446.80M,,322.11M,,,,,,,,358.57M,88.24M,,,,,,72.40M,26.81M,45.58M,0.601M,-4.941M,46.18M,45.58M,128.94M,40.71M,88.24M,,0.395,0.005,0.395,0.40,,0.365,0.005,0.365,0.37,,115.13M,130.17M,0.04,,,
2003-12,459.08M,943.40M,128.09M,815.31M,,249.69M,,,,,,,,263.00M,552.30M,,,,,,56.01M,20.91M,35.10M,,0.893M,46.47M,35.10M,590.92M,38.62M,552.30M,,0.40,0.00,0.40,0.40,,0.375,0.00,0.375,0.375,,130.93M,130.93M,0.04,,,
