,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-10,182.51M,,182.51M,11.88M,3.102B,3.102B,192.48M,,,3.489B,,,,,,,,,,2.237B,4.339B,1.201B,5.540B,,22.75M,7.800B,11.29B,,1.470B,30.46M,,1.501B,473.53M,1.974B,,,1.358M,,1.358M,16.13M,16.13M,,1.992B,,3.105B,,3.105B,568.24M,,568.24M,,,,279.55M,3.953B,5.945B,,254.70M,1.999B,3.096B,,,-6.013M,5.344B,,AOR,Restated
2015-07,180.52M,,180.52M,14.65M,3.030B,3.030B,199.94M,,,3.425B,,,,,,,,,,2.196B,4.339B,1.201B,5.540B,,34.66M,7.770B,11.20B,,1.537B,41.35M,,1.578B,443.16M,2.021B,,,101.34M,,101.34M,32.31M,32.31M,,2.155B,,2.762B,,2.762B,578.08M,,578.08M,,,,281.62M,3.621B,5.776B,,257.97M,2.082B,3.086B,,,-6.214M,5.419B,,AOR,Restated
2015-04,225.12M,,225.12M,,2.839B,2.839B,180.59M,,,3.245B,,,,,,,,,,2.135B,4.339B,1.201B,5.540B,,36.20M,7.712B,10.96B,,1.435B,108.95M,,1.544B,393.51M,1.938B,,,101.31M,,101.31M,33.81M,33.81M,,2.073B,,2.614B,,2.614B,598.25M,,598.25M,,,,285.50M,3.498B,5.571B,,260.11M,2.062B,3.071B,,,-6.569M,5.386B,,AOR,Restated
2015-01,579.82M,,579.82M,,2.783B,2.783B,170.26M,,,3.533B,0.00,227.70M,800.35M,2.296B,,68.36M,361.56M,3.754B,-1.637B,2.116B,4.339B,1.202B,5.540B,,19.50M,7.676B,11.21B,,1.388B,184.29M,,1.572B,210.22M,1.783B,,,101.16M,,101.16M,,,,1.962B,,2.624B,,2.624B,626.86M,58.22M,739.05M,140.92M,,,32.20M,3.536B,5.499B,,265.51M,2.403B,3.049B,,,-7.327M,5.710B,,AOR,Restated
2014-10,216.16M,,216.16M,,2.789B,2.789B,173.98M,,,3.179B,,,,,,,,,,2.121B,4.339B,1.203B,5.541B,,36.43M,7.698B,10.88B,,1.395B,33.22M,,1.428B,442.86M,1.871B,,,101.04M,,101.04M,38.86M,38.86M,,2.011B,,2.666B,,2.666B,569.06M,,569.06M,,,,287.81M,3.523B,5.534B,,265.50M,2.048B,3.039B,,,-8.153M,5.344B,,AOR,Restated
2014-07,172.47M,,172.47M,4.237M,2.789B,2.789B,175.05M,,,3.141B,,,,,,,,,,2.107B,4.339B,1.204B,5.542B,,35.71M,7.685B,10.83B,,1.396B,23.92M,,1.420B,427.27M,1.847B,,,101.01M,,101.01M,21.43M,21.43M,,1.969B,,2.881B,,2.881B,582.88M,,582.88M,,,,296.28M,3.760B,5.730B,,265.46M,1.811B,3.028B,,,-8.808M,5.096B,,AOR,Restated
2014-04,166.33M,,166.33M,,2.605B,2.605B,171.66M,,,2.943B,,,,,,,,,,2.080B,4.339B,1.206B,5.544B,,34.52M,7.659B,10.60B,,1.223B,121.28M,,1.344B,394.83M,1.739B,,,100.99M,,100.99M,23.54M,23.54M,,1.863B,,3.006B,,3.006B,600.24M,,600.24M,,,,299.70M,3.906B,5.770B,,265.38M,1.560B,3.016B,,,-9.512M,4.832B,,AOR,Restated
2014-01,505.57M,,505.57M,,2.553B,2.553B,147.05M,,,3.206B,0.00,212.01M,765.56M,2.079B,,70.33M,326.12M,3.453B,-1.373B,2.080B,4.339B,1.208B,5.546B,,35.38M,7.662B,10.87B,,1.286B,164.14M,,1.451B,215.68M,1.666B,,,75.97M,,75.97M,21.80M,21.80M,,1.812B,,2.743B,,2.743B,632.83M,62.69M,695.52M,145.16M,17.60M,,52.28M,3.653B,5.465B,,277.42M,2.125B,3.009B,,,-9.91M,5.402B,,AOR,Restated
2013-10,165.72M,,165.72M,9.786M,2.592B,2.592B,137.25M,,,2.904B,,,,,,,,,,2.287B,4.339B,1.210B,5.549B,,35.60M,7.872B,10.78B,,1.251B,0.639M,,1.252B,414.88M,1.667B,,,50.94M,,50.94M,35.19M,35.19M,,1.753B,,2.874B,,2.874B,643.21M,,643.21M,,,,230.80M,3.748B,5.501B,,280.22M,2.000B,3.005B,,,-10.33M,5.275B,,AOR,Restated
2013-07,169.22M,,169.22M,7.894M,2.534B,2.534B,153.86M,,,2.865B,,,,,,,,,,2.245B,4.339B,1.213B,5.551B,,38.83M,7.835B,10.70B,,1.255B,17.98M,,1.273B,412.85M,1.686B,,,25.93M,,25.93M,28.57M,28.57M,,1.740B,,2.845B,,2.845B,647.78M,,647.78M,,,,235.05M,3.728B,5.468B,,283.12M,1.960B,2.999B,,,-10.50M,5.231B,,AOR,Restated
2013-04,155.53M,,155.53M,,2.414B,2.414B,154.54M,,,2.724B,,,,,,,,,,2.177B,4.339B,1.216B,5.555B,,37.37M,7.769B,10.49B,,1.138B,70.54M,,1.209B,359.04M,1.568B,,,0.909M,,0.909M,31.52M,31.52M,,1.600B,,2.835B,,2.835B,646.46M,,646.46M,,,,232.63M,3.714B,5.315B,,286.46M,1.911B,2.993B,,,-11.71M,5.179B,,AOR,Restated
2013-01,140.81M,,140.81M,,2.397B,2.397B,139.13M,,,2.677B,0.00,257.70M,773.84M,1.829B,,87.44M,279.35M,3.227B,-1.138B,2.089B,4.339B,1.220B,5.558B,,43.77M,7.691B,10.37B,,1.262B,184.72M,,1.446B,191.13M,1.637B,,,0.892M,,0.892M,23.22M,23.22M,,1.739B,,2.771B,,2.771B,670.45M,0.00,670.45M,137.45M,18.40M,,46.16M,3.644B,5.382B,,286.18M,1.711B,2.991B,,,-2.938M,4.985B,,AOR,Restated
2012-10,142.58M,,142.58M,13.55M,,2.330B,131.62M,,,2.618B,,,,,,,,,,2.047B,4.339B,1.223B,5.562B,,46.06M,7.655B,10.27B,,1.200B,0.997M,,1.201B,392.44M,1.593B,,,0.891M,,0.891M,39.78M,39.78M,,1.634B,,3.023B,,3.023B,655.91M,,655.91M,,,,225.70M,3.905B,5.539B,,287.61M,1.469B,2.983B,,,-4.608M,4.735B,,AOR,Restated
2012-07,134.16M,,134.16M,89.47M,,2.148B,142.98M,,,2.514B,,,,,,,,,,1.972B,4.339B,1.227B,5.566B,,50.74M,7.589B,10.10B,,1.144B,0.665M,,1.145B,366.27M,1.511B,,,0.344M,,0.344M,15.55M,15.55M,,1.527B,,2.887B,,2.887B,651.52M,,651.52M,,,5.601M,222.01M,3.766B,5.293B,,291.98M,1.550B,2.973B,,,-5.171M,4.810B,,AOR,Restated
2012-04,132.53M,,132.53M,5.21M,,2.001B,135.13M,,,2.274B,,,,,,,,,,1.878B,4.339B,1.232B,5.570B,,47.85M,7.496B,9.770B,,985.92M,50.36M,,1.036B,360.35M,1.397B,,,0.459M,,0.459M,14.17M,14.17M,,1.411B,,2.881B,,2.881B,649.53M,,649.53M,,,5.644M,231.43M,3.768B,5.179B,,290.78M,1.336B,2.967B,,,-2.662M,4.591B,,AOR,Restated
2012-01,126.13M,,126.13M,,2.009B,2.009B,139.74M,,,2.275B,0.00,204.56M,622.85M,1.500B,,139.45M,213.85M,2.681B,-886.02M,1.795B,4.339B,1.236B,5.575B,,43.94M,7.413B,9.689B,,1.064B,152.38M,,1.216B,212.13M,1.429B,,,0.59M,,0.59M,3.722M,3.722M,,1.510B,,2.618B,,2.618B,698.13M,,698.13M,137.89M,17.57M,,32.56M,3.504B,5.014B,,295.83M,1.417B,2.967B,,,-5.191M,4.675B,,AOR,Restated
2011-10,118.58M,,118.58M,48.81M,,2.090B,135.75M,,,2.393B,,,,,,,,,,1.717B,4.339B,1.241B,5.579B,,46.91M,7.343B,9.736B,,1.133B,1.111M,,1.134B,414.98M,1.549B,,,0.763M,,0.763M,22.83M,22.83M,,1.572B,,2.721B,,2.721B,647.33M,,647.33M,,,7.309M,233.95M,3.610B,5.182B,,299.51M,1.305B,2.957B,,,-7.876M,4.554B,,AOR,Restated
2011-07,113.05M,,113.05M,43.44M,,1.974B,142.43M,,,2.273B,,,,,,,,,,1.623B,4.339B,1.246B,5.584B,,48.97M,7.256B,9.529B,,1.123B,0.81M,,1.124B,366.62M,1.490B,,,0.963M,,0.963M,35.61M,35.61M,,1.527B,,2.779B,,2.779B,624.03M,,624.03M,,,9.271M,215.88M,3.629B,5.156B,,298.84M,1.134B,2.952B,,,-10.98M,4.374B,,AOR,Restated
