,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-10,1.309B,1.309B,927.94M,381.18M,295.10M,,0.00,,,-11.48M,295.10M,86.08M,,,-11.48M,,-11.48M,74.60M,27.86M,46.74M,,46.74M,46.74M,117.20M,31.12M,86.08M,,0.14,0.00,0.14,0.14,,0.14,0.00,0.14,0.14,,332.49M,334.86M,,,AOR,Restated
2001-07,1.225B,1.225B,893.97M,331.28M,276.07M,,0.00,11.96M,,-11.96M,276.07M,55.21M,,11.96M,-11.96M,,-11.96M,43.26M,16.16M,27.10M,,27.10M,27.10M,86.30M,31.09M,55.21M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,332.33M,335.40M,,,AOR,Restated
2001-04,1.203B,1.203B,881.08M,321.42M,251.99M,,,11.60M,,-11.60M,251.99M,69.44M,,11.60M,-11.60M,,-11.60M,57.84M,21.60M,36.23M,,36.23M,36.23M,99.32M,29.89M,69.44M,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,331.59M,335.18M,,,AOR,Restated
2001-01,1.442B,1.442B,1.063B,379.10M,262.64M,,,9.825M,,-9.825M,262.64M,116.46M,,9.825M,-9.825M,,-9.825M,-55.36M,-23.20M,-32.16M,,-32.16M,-32.16M,-17.87M,27.66M,-45.54M,,-0.10,0.00,-0.10,-0.10,,-0.10,0.00,-0.10,-0.10,,331.01M,334.00M,,,AOR,Restated
2000-10,1.094B,1.094B,776.02M,318.34M,231.93M,,,13.54M,,-13.54M,231.93M,86.41M,,13.54M,-13.54M,,-13.54M,72.87M,27.20M,45.68M,,45.68M,45.68M,114.55M,28.14M,86.41M,,0.14,0.00,0.14,0.14,,0.14,0.00,0.14,0.14,,329.90M,334.10M,,,AOR,Restated
2000-07,1.017B,1.017B,733.37M,284.05M,226.99M,,,12.73M,,-12.73M,226.99M,57.06M,,12.73M,-12.73M,,-12.73M,44.33M,16.54M,27.79M,,27.79M,27.79M,85.82M,28.75M,57.06M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,328.58M,333.04M,,,AOR,Restated
2000-04,997.08M,997.08M,727.67M,269.41M,213.34M,,,9.263M,,-9.263M,213.34M,56.07M,,9.263M,-9.263M,,-9.263M,46.80M,17.47M,29.34M,,29.34M,29.34M,82.91M,26.85M,56.07M,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,329.48M,334.29M,,,AOR,Restated
2000-01,1.178B,1.178B,884.37M,293.40M,226.73M,,,,,,179.93M,113.47M,,,,,,92.60M,34.72M,57.87M,,57.87M,57.87M,239.98M,126.51M,113.47M,,,,0.1820,0.1857,,,,0.1805,0.1842,,317.94M,320.56M,,,AOR,Restated
1999-10,950.40M,950.40M,656.10M,294.30M,195.80M,16.50M,,,,,212.30M,82.00M,,,,,,79.80M,28.90M,50.90M,,50.90M,50.90M,98.50M,-16.50M,82.00M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,265.47M,270.39M,,,,
1999-07,915.20M,915.20M,650.10M,265.10M,182.40M,15.50M,,,,,197.90M,67.20M,,,,,,65.30M,23.70M,41.60M,,41.60M,41.60M,82.70M,-15.50M,67.20M,,0.14,0.00,0.14,0.14,,0.12,0.00,0.12,0.12,,281.16M,338.84M,,,,
1999-04,844.60M,844.60M,603.80M,240.80M,168.10M,14.80M,,,,,182.90M,57.90M,,,,,,57.00M,20.70M,36.30M,1.178M,36.30M,36.30M,72.70M,-14.80M,57.90M,,0.13,0.00,0.13,0.13,,0.11,0.00,0.11,0.11,,278.51M,336.38M,,,,
1999-01,992.99M,992.99M,759.77M,233.22M,189.73M,,,,,,150.93M,82.28M,,,,,,74.61M,27.68M,46.93M,,46.93M,46.93M,178.50M,96.21M,82.28M,,,,0.1476,0.1558,,0.15,0.00,0.15,0.15,,317.94M,327.64M,,,AOR,Restated
1998-10,781.40M,781.40M,543.20M,238.20M,158.40M,13.50M,,,,,171.90M,66.30M,,,,,,62.90M,22.60M,40.30M,0.90M,40.30M,40.30M,79.80M,-13.50M,66.30M,,0.14,0.00,0.14,0.14,,0.12,0.00,0.12,0.12,,281.43M,328.33M,,,,
1998-07,741.40M,741.40M,523.00M,218.40M,150.40M,12.90M,,,,,163.30M,55.10M,,,,,,53.10M,19.80M,33.30M,1.00M,33.30M,33.30M,68.00M,-12.90M,55.10M,,0.11,0.00,0.11,0.11,,0.10,0.00,0.10,0.10,,293.64M,323.00M,,,,
1998-04,705.30M,705.30M,502.60M,202.70M,140.90M,12.40M,,,,,153.30M,49.40M,,,,,,48.40M,18.00M,30.40M,1.00M,30.40M,30.40M,61.80M,-12.40M,49.40M,,0.11,0.00,0.11,0.11,,0.09,0.00,0.09,0.09,,267.27M,326.67M,,,,
1998-01,861.12M,861.12M,632.59M,228.54M,151.29M,,,,,,123.49M,105.04M,,,,,,103.88M,38.85M,65.03M,,65.03M,65.03M,171.58M,66.53M,105.04M,,,,0.2045,0.2121,,,,0.2029,0.2103,,317.94M,320.56M,,,AOR,Restated
1997-10,649.40M,649.40M,455.60M,193.80M,128.20M,10.00M,,,,,138.20M,55.60M,,,,,,54.00M,20.40M,33.60M,,33.60M,33.60M,65.60M,-10.00M,55.60M,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,336.00M,336.00M,,,,
1997-07,596.80M,596.80M,427.50M,169.30M,116.70M,9.20M,,,,,125.90M,43.40M,,,,,,42.90M,16.20M,26.70M,0.80M,26.70M,26.70M,52.60M,-9.20M,43.40M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,323.75M,323.75M,,,,
1997-04,520.00M,520.00M,369.60M,150.40M,110.30M,8.60M,,,,,118.90M,31.50M,,,,,,31.00M,11.70M,19.30M,0.80M,19.30M,19.30M,40.10M,-8.60M,31.50M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,308.33M,308.33M,,,,
1997-01,675.20M,675.20M,499.10M,176.10M,115.72M,,,,,,92.72M,83.38M,,,,,,82.42M,30.92M,51.50M,,51.50M,51.50M,137.34M,53.96M,83.38M,,,,0.1620,0.1620,,1.11,0.00,1.11,0.1620,,317.94M,334.74M,,,AOR,
1996-10,509.00M,509.00M,352.20M,156.80M,104.20M,8.10M,,,,,112.30M,44.50M,,,,,,42.90M,16.30M,26.60M,,26.60M,26.60M,52.60M,-8.10M,44.50M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,332.50M,332.50M,,,,
1996-07,494.40M,494.40M,353.10M,141.30M,97.30M,7.60M,,,,,104.90M,36.40M,,,,,,35.30M,13.40M,21.90M,,21.90M,21.90M,44.00M,-7.60M,36.40M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,365.00M,365.00M,,,,
1996-04,455.90M,455.90M,325.20M,130.70M,97.90M,7.30M,,,,,105.20M,25.50M,,,,,,24.20M,9.20M,15.00M,0.60M,15.00M,15.00M,32.80M,-7.30M,25.50M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,288.00M,288.00M,,,,
1996-01,575.39M,575.39M,428.27M,147.12M,101.71M,,,,,,83.81M,63.31M,,,,,,61.45M,22.93M,38.52M,,38.52M,38.52M,106.45M,43.14M,63.31M,,,,0.1211,0.1211,,1.11,0.00,1.11,0.1211,,317.94M,352.14M,,,AOR,
1995-10,437.20M,437.20M,302.40M,134.80M,93.30M,6.50M,,,,,99.80M,35.00M,,,,,,32.50M,12.50M,20.00M,,20.00M,20.00M,41.50M,-6.50M,35.00M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,333.33M,333.33M,,,,
1995-07,408.20M,408.20M,288.30M,119.90M,83.40M,6.00M,,,,,89.40M,30.50M,,,,,,28.80M,11.10M,17.70M,,17.70M,17.70M,36.50M,-6.00M,30.50M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,354.00M,354.00M,,,,
1995-04,343.40M,343.40M,241.70M,101.70M,76.30M,5.40M,,,,,81.70M,20.00M,,,,,,12.70M,1.10M,11.60M,,11.60M,11.60M,25.40M,-5.40M,20.00M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,290.00M,290.00M,,,,
1995-01,484.81M,484.81M,341.73M,143.08M,93.99M,,,,,,89.59M,53.49M,,,,,,52.79M,19.95M,32.83M,,32.83M,32.83M,75.15M,21.66M,53.49M,,,,0.1033,0.1033,,1.21,0.00,1.21,0.1033,,317.94M,340.00M,,,AOR,
1994-10,359.40M,359.40M,251.70M,107.70M,76.60M,2.20M,,,,,78.80M,28.90M,,,,,,27.80M,10.50M,17.30M,,17.30M,17.30M,32.30M,3.40M,28.90M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,346.00M,346.00M,,,,
1994-07,317.30M,317.30M,225.70M,91.60M,64.60M,3.90M,,,,,68.50M,23.10M,,,,,,22.50M,8.50M,14.00M,,14.00M,14.00M,27.00M,-4.10M,23.10M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,350.00M,350.00M,,,,
1994-04,287.10M,287.10M,203.40M,83.70M,64.30M,3.70M,,,,,68.00M,15.70M,,,,,,15.30M,5.80M,9.50M,,9.50M,9.50M,19.40M,-3.70M,15.70M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,475.00M,475.00M,,,,
1994-01,383.10M,383.10M,277.10M,106.00M,74.80M,-4.80M,,,,,70.00M,36.00M,,,,,,35.50M,13.40M,22.10M,,22.10M,22.10M,40.80M,4.80M,36.00M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,302.25M,302.25M,,,,
1993-10,272.60M,272.60M,187.30M,85.30M,62.00M,5.60M,,,,,67.60M,17.70M,,,,,,17.20M,6.20M,11.00M,,11.00M,11.00M,23.30M,-3.10M,17.70M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,366.67M,366.67M,,,,
1993-07,255.60M,255.60M,179.90M,75.70M,56.70M,2.70M,,,,,59.40M,16.30M,,,,,,15.60M,6.00M,9.60M,,9.60M,9.60M,19.00M,-2.70M,16.30M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,320.00M,320.00M,,,,
1993-04,221.80M,221.80M,156.80M,65.00M,52.40M,2.50M,,,,,54.90M,10.10M,,,,,,9.60M,3.70M,5.90M,,5.90M,5.90M,12.60M,-2.50M,10.10M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,295.00M,295.00M,,,,
1993-01,291.70M,291.70M,200.30M,91.40M,61.00M,2.20M,,,,,63.20M,28.20M,,,,,,27.90M,11.10M,16.80M,,16.80M,16.80M,30.40M,-2.20M,28.20M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,354.55M,354.55M,,,,
1992-10,223.50M,223.50M,157.00M,66.50M,49.90M,2.20M,,,,,52.10M,14.40M,,,,,,13.40M,5.10M,8.30M,,8.30M,8.30M,16.60M,-2.20M,14.40M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,415.00M,415.00M,,,,
1992-07,216.90M,216.90M,153.90M,63.00M,49.70M,1.90M,,,,,51.60M,11.40M,,,,,,10.80M,4.10M,6.70M,,6.70M,6.70M,13.30M,-1.90M,11.40M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,335.00M,335.00M,,,,
1992-04,188.60M,188.60M,134.20M,54.40M,45.60M,1.90M,,,,,47.50M,6.90M,,,,,,6.30M,2.40M,3.90M,,3.90M,3.90M,8.80M,-1.90M,6.90M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,195.00M,195.00M,,,,
1992-01,243.00M,243.00M,171.80M,71.20M,49.10M,1.90M,,,,,51.00M,20.20M,,,,,,19.60M,7.30M,12.30M,,12.30M,12.30M,22.10M,-1.90M,20.20M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,308.57M,308.57M,,,,
1991-10,189.70M,189.70M,133.20M,56.50M,46.70M,1.70M,,,,,48.40M,8.10M,,,,,,7.00M,2.70M,4.30M,,4.30M,4.30M,9.80M,-1.70M,8.10M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,215.00M,215.00M,,,,
1991-07,173.30M,173.30M,122.20M,51.10M,42.70M,1.60M,,,,,44.30M,6.80M,,,,,,6.20M,2.40M,3.80M,,3.80M,3.80M,8.40M,-1.60M,6.80M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,190.00M,190.00M,,,,
1991-04,148.30M,148.30M,105.00M,43.30M,39.20M,1.50M,,,,,40.70M,2.60M,,,,,,1.90M,0.70M,1.20M,,1.20M,1.20M,4.10M,-1.50M,2.60M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,60.00M,60.00M,,,,
1991-01,201.90M,201.90M,141.40M,60.50M,44.00M,1.70M,,,,,45.70M,14.80M,,,,,,13.80M,4.90M,8.90M,,8.90M,8.90M,16.50M,-1.70M,14.80M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,313.00M,313.00M,,,,
1990-10,164.60M,164.60M,115.20M,49.40M,41.60M,1.70M,,,,,43.30M,6.10M,,,,,,4.60M,1.80M,2.80M,,2.80M,2.80M,7.80M,-1.70M,6.10M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,140.00M,140.00M,,,,
1990-07,153.00M,153.00M,107.80M,45.20M,37.90M,1.60M,,,,,39.50M,5.70M,,,,,,4.10M,1.60M,2.50M,,2.50M,2.50M,7.30M,-1.60M,5.70M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,125.00M,125.00M,,,,
1990-04,133.80M,133.80M,94.80M,39.00M,35.80M,1.50M,,,,,37.30M,1.70M,,,,,,0.60M,0.20M,0.40M,,0.40M,0.40M,3.20M,-1.50M,1.70M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,40.00M,40.00M,,,,
1990-01,192.00M,192.00M,129.80M,62.20M,47.20M,1.90M,,,,,49.10M,13.10M,,,,,,11.80M,4.50M,7.30M,,7.30M,7.30M,15.00M,-1.90M,13.10M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,227.00M,227.00M,,,,
1989-10,145.60M,145.60M,101.80M,43.80M,36.40M,1.40M,,,,,37.80M,6.00M,,,,,,4.70M,1.90M,2.80M,,2.80M,2.80M,7.40M,-1.40M,6.00M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,140.00M,140.00M,,,,
1989-07,147.60M,147.60M,103.80M,43.80M,36.40M,1.40M,,,,,37.80M,6.00M,,,,,,4.60M,1.80M,2.80M,,2.80M,2.80M,7.40M,1.40M,6.00M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,140.00M,140.00M,,,,
1989-04,129.90M,129.90M,,,,,,,,,,129.90M,,,,,,,,-0.40M,,-0.40M,-0.40M,129.90M,,129.90M,,-0.02,0.00,-0.02,-0.02,,-0.02,0.00,-0.02,-0.02,,20.00M,20.00M,,,,
1989-01,190.10M,190.10M,,,,,,,,,,-400.40M,,,,,,,,6.20M,,6.20M,6.20M,-400.40M,,-400.40M,,,,0.0195,0.0195,,,,0.0193,0.0193,,317.94M,320.56M,,,,
1988-10,153.10M,153.10M,,,,,,,,,,153.10M,,,,,,,,2.50M,,2.50M,2.50M,153.10M,,153.10M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,125.00M,125.00M,,,,
1988-07,145.60M,145.60M,,,,,,,,,,145.60M,,,,,,,,2.40M,,2.40M,2.40M,145.60M,,145.60M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,120.00M,120.00M,,,,
1988-04,124.20M,124.20M,,,,,,,,,,124.20M,,,,,,,,-0.80M,,-0.80M,-0.80M,124.20M,,124.20M,,-0.02,0.00,-0.02,-0.02,,-0.02,0.00,-0.02,-0.02,,40.00M,40.00M,,,,
1987-12,189.50M,189.50M,,,,,,,,,,-380.60M,,,,,,,,5.30M,,5.30M,5.30M,-380.60M,,-380.60M,,,,0.0167,0.0167,,,,0.0165,0.0165,,317.94M,320.56M,,,,
1987-09,136.90M,136.90M,,,,,,,,,,136.90M,,,,,,,,0.70M,,0.70M,0.70M,136.90M,,136.90M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,35.00M,35.00M,,,,
1987-06,146.00M,146.00M,,,,,,,,,,146.00M,,,,,,,,2.00M,,2.00M,2.00M,146.00M,,146.00M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,100.00M,100.00M,,,,
1987-03,116.00M,116.00M,,,,,,,,,,116.00M,,,,,,,,-1.50M,,-1.50M,-1.50M,116.00M,,116.00M,,-0.02,0.00,-0.02,-0.02,,-0.02,0.00,-0.02,-0.02,,75.00M,75.00M,,,,
1986-12,186.20M,186.20M,,,,,,,,,,-364.10M,,,,,,,,2.50M,,2.50M,2.50M,-364.10M,,-364.10M,,,,0.0079,0.0079,,,,0.0078,0.0078,,317.94M,320.56M,,,,
1986-09,134.00M,134.00M,,,,,,,,,,134.00M,,,,,,,,1.10M,,1.10M,1.10M,134.00M,,134.00M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,55.00M,55.00M,,,,
1986-06,135.90M,135.90M,,,,,,,,,,135.90M,,,,,,,,2.40M,,2.40M,2.40M,135.90M,,135.90M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,120.00M,120.00M,,,,
1986-03,108.70M,108.70M,,,,,,,,,,108.70M,,,,,,,,-1.70M,,-1.70M,-1.70M,108.70M,,108.70M,,-0.02,0.00,-0.02,-0.02,,-0.02,0.00,-0.02,-0.02,,85.00M,85.00M,,,,
1985-12,182.00M,182.00M,,,,,,,,,,-360.30M,,,,,,,,7.60M,,7.60M,7.60M,-360.30M,,-360.30M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,421.67M,421.67M,,,,
1985-09,138.70M,138.70M,,,,,,,,,,138.70M,,,,,,,,4.10M,,4.10M,4.10M,138.70M,,138.70M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,205.00M,205.00M,,,,
1985-06,148.20M,148.20M,,,,,,,,,,148.20M,,,,,,,,4.80M,,4.80M,4.80M,148.20M,,148.20M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,240.00M,240.00M,,,,
1985-03,115.50M,115.50M,,,,,,,,,,115.50M,,,,,,,,1.30M,,1.30M,1.30M,115.50M,,115.50M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,65.00M,65.00M,,,,
1984-12,160.60M,160.60M,,,,,,,,,,-275.80M,,,,,,,,9.70M,,9.70M,9.70M,-275.80M,,-275.80M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,359.64M,359.64M,,,,
1984-09,117.00M,117.00M,,,,,,,,,,117.00M,,,,,,,,5.20M,,5.20M,5.20M,117.00M,,117.00M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,260.00M,260.00M,,,,
1984-06,113.60M,113.60M,,,,,,,,,,113.60M,,,,,,,,4.90M,,4.90M,4.90M,113.60M,,113.60M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,245.00M,245.00M,,,,
1984-03,89.40M,89.40M,,,,,,,,,,89.40M,,,,,,,,0.80M,,0.80M,0.80M,89.40M,,89.40M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,40.00M,40.00M,,,,
