,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-04,1.564B,1.564B,491.11M,1.072B,172.15M,289.47M,,107.13M,-1.089M,64.79M,1.912M,-62.88M,,568.75M,503.64M,1.912M,64.79M,-62.88M,-0.638M,-62.88M,440.12M,39.80M,400.33M,,,,400.33M,401.32M,704.46M,199.54M,504.92M,,1.08,,,1.083,1.08,,1.06,,,1.063,1.06,,370.38M,374.78M,0.48,,AOR,Restated
2018-01,1.567B,1.567B,495.19M,1.072B,176.91M,288.60M,,107.02M,-57.32M,68.03M,2.092M,-65.94M,,572.52M,499.16M,2.092M,68.03M,-65.94M,-57.87M,-65.94M,375.35M,82.11M,293.24M,,,,293.24M,338.01M,641.84M,198.46M,443.38M,,0.79,,,0.9113,0.79,,0.78,,,0.8996,0.78,,369.09M,374.19M,0.45,,AOR,Restated
2017-10,1.680B,1.680B,567.35M,1.113B,185.21M,273.28M,,98.35M,0.00,63.52M,2.388M,-61.13M,,556.83M,555.84M,2.388M,63.52M,-61.13M,-6.782M,-61.13M,487.93M,62.16M,425.77M,,,,425.77M,425.77M,741.18M,189.74M,551.44M,,1.20,,,1.20,1.20,,1.19,,,1.19,1.19,,368.07M,372.08M,0.45,,AOR,Restated
2017-07,1.434B,1.434B,667.28M,766.62M,183.98M,275.67M,,112.15M,0.00,73.07M,5.524M,-67.55M,,571.80M,194.82M,5.524M,73.07M,-67.55M,-0.474M,-67.55M,126.80M,57.88M,68.92M,,,,68.92M,68.92M,402.33M,202.46M,199.87M,,0.18,,,0.18,0.18,,0.18,,,0.18,0.18,,367.32M,371.16M,0.45,,AOR,Restated
2017-04,1.148B,1.148B,507.54M,640.44M,190.69M,235.23M,,68.69M,0.00,71.64M,12.42M,-59.22M,,494.61M,145.84M,12.42M,71.64M,-59.22M,0.094M,-59.22M,86.71M,-6.85M,93.56M,,,,93.56M,93.56M,295.89M,137.54M,158.35M,,0.27,,,0.27,0.27,,0.27,,,0.27,0.27,,341.32M,345.65M,0.45,,AOR,Restated
2017-01,984.45M,984.45M,335.94M,648.50M,130.66M,183.95M,,18.16M,-49.46M,42.61M,10.00M,-32.61M,,332.77M,315.73M,10.00M,42.61M,-32.61M,-49.81M,-32.61M,233.31M,16.18M,217.13M,,,,217.13M,263.18M,330.25M,54.33M,275.92M,,0.70,,,0.8491,0.70,,0.69,,,0.8371,0.69,,308.79M,313.08M,0.42,,AOR,Restated
2016-10,1.004B,1.004B,336.94M,666.69M,118.88M,172.93M,,17.90M,0.00,38.76M,7.114M,-31.65M,,309.71M,356.98M,7.114M,38.76M,-31.65M,-1.897M,-31.65M,323.43M,27.28M,296.16M,,,,296.16M,296.16M,415.86M,53.66M,362.20M,,0.96,,,0.96,0.96,,0.95,,,0.95,0.95,,307.85M,311.63M,0.42,,AOR,Restated
2016-07,869.59M,869.59M,297.30M,572.29M,122.91M,163.23M,,17.45M,0.00,18.48M,5.665M,-12.81M,,303.58M,268.71M,5.665M,18.48M,-12.81M,0.504M,-12.81M,256.40M,25.97M,230.43M,,,,230.43M,230.43M,327.52M,52.65M,274.88M,,0.75,,,0.75,0.75,,0.74,,,0.74,0.74,,307.14M,310.56M,0.42,,AOR,Restated
2016-04,778.77M,778.77M,267.86M,510.90M,112.19M,160.24M,,17.42M,-13.68M,18.46M,5.243M,-13.21M,,289.84M,221.06M,5.243M,18.46M,-13.21M,-12.94M,-13.21M,194.91M,24.34M,170.57M,,,,170.57M,182.55M,265.29M,51.92M,213.36M,,0.55,,,0.5888,0.55,,0.55,,,0.5883,0.55,,308.79M,312.25M,0.42,,AOR,Restated
2016-01,769.43M,769.43M,292.14M,477.29M,107.46M,157.43M,,17.36M,0.00,13.06M,3.199M,-9.863M,,282.25M,195.04M,3.199M,13.06M,-9.863M,-3.005M,-9.863M,182.18M,17.67M,164.50M,,,,164.50M,164.50M,246.80M,51.56M,195.24M,,0.53,,,0.53,0.53,,0.52,,,0.52,0.52,,311.17M,314.79M,0.40,,AOR,Restated
2015-10,978.72M,978.72M,336.93M,641.80M,121.40M,170.74M,,17.36M,0.00,6.739M,2.343M,-4.396M,,533.17M,108.63M,2.343M,6.739M,-4.396M,0.443M,-4.396M,104.68M,8.372M,96.30M,,,,96.30M,96.30M,162.41M,50.99M,111.42M,,0.31,,,0.31,0.31,,0.31,,,0.31,0.31,,312.83M,316.57M,0.40,,AOR,Restated
2015-07,863.36M,863.36M,294.33M,569.04M,120.03M,160.78M,,22.95M,0.00,6.755M,2.229M,-4.526M,,303.77M,265.27M,2.229M,6.755M,-4.526M,-1.265M,-4.526M,259.48M,43.00M,216.48M,,,,216.48M,216.48M,323.78M,57.55M,266.23M,,0.69,,,0.69,0.69,,0.68,,,0.68,0.68,,313.88M,318.19M,0.40,,AOR,Restated
2015-04,821.02M,821.02M,276.20M,544.82M,117.37M,154.23M,,24.21M,0.00,6.88M,2.009M,-4.871M,,295.81M,249.01M,2.009M,6.88M,-4.871M,1.052M,-4.871M,245.19M,39.85M,205.34M,,,,205.34M,205.34M,309.26M,57.19M,252.07M,,0.66,,,0.66,0.66,,0.65,,,0.65,0.65,,312.66M,317.05M,0.40,,AOR,Restated
2015-01,771.99M,771.99M,268.38M,503.61M,120.17M,151.71M,,23.80M,,6.656M,2.044M,-4.612M,,295.67M,207.93M,2.044M,6.656M,-4.612M,-2.552M,-4.612M,200.77M,22.01M,178.76M,,,,178.76M,178.76M,263.94M,56.51M,207.43M,,0.57,,,0.57,0.57,,0.57,,,0.57,0.57,,311.27M,315.68M,0.37,,AOR,Restated
2014-10,814.25M,814.25M,328.21M,486.04M,121.42M,154.80M,,25.25M,-34.64M,13.16M,2.046M,-11.12M,,301.47M,184.57M,2.046M,13.16M,-11.12M,-34.75M,-11.12M,138.70M,30.00M,108.70M,,,,108.70M,135.84M,208.96M,57.10M,151.86M,,0.35,,,0.4368,0.35,,0.34,,,0.4257,0.34,,312.82M,316.87M,0.37,,AOR,Restated
2014-07,727.75M,727.75M,251.46M,476.29M,132.99M,140.10M,,0.66M,0.00,8.178M,3.442M,-4.736M,,273.74M,202.55M,3.442M,8.178M,-4.736M,-0.422M,-4.736M,197.39M,16.78M,180.61M,,,,180.61M,180.61M,235.53M,29.96M,205.57M,,0.57,,,0.57,0.57,,0.57,,,0.57,0.57,,314.19M,318.88M,0.37,,AOR,Restated
2014-04,694.54M,694.54M,235.79M,458.74M,102.08M,136.20M,,0.055M,0.00,6.874M,3.401M,-3.473M,,238.34M,220.40M,3.401M,6.874M,-3.473M,0.441M,-3.473M,217.37M,29.94M,187.43M,,,,187.43M,187.43M,251.76M,27.51M,224.24M,,0.60,,,0.60,0.60,,0.59,,,0.59,0.59,,313.49M,318.35M,0.37,,AOR,Restated
2014-01,628.24M,628.24M,219.12M,409.12M,98.18M,128.59M,,0.055M,-2.685M,6.571M,3.284M,-3.287M,,226.82M,182.29M,3.284M,6.571M,-3.287M,-3.116M,-3.287M,175.89M,23.30M,152.59M,,,,152.59M,154.92M,209.85M,27.39M,182.46M,,0.49,,,0.4975,0.49,,0.48,,,0.4873,0.48,,312.29M,318.02M,0.34,,AOR,Restated
2013-10,678.13M,678.13M,233.26M,444.87M,98.20M,130.98M,,0.055M,-15.78M,6.659M,3.351M,-3.308M,,229.23M,215.64M,3.351M,6.659M,-3.308M,70.18M,-3.308M,282.51M,80.96M,201.55M,,,,201.55M,212.81M,316.74M,27.57M,289.17M,,0.65,,,0.6862,0.65,,0.63,,,0.6655,0.63,,311.01M,317.22M,0.34,,AOR,Restated
2013-07,674.17M,674.17M,239.11M,435.06M,97.77M,128.89M,,0.055M,0.00,7.672M,3.125M,-4.547M,,226.72M,208.34M,3.125M,7.672M,-4.547M,-8.754M,-4.547M,195.04M,18.80M,176.24M,,,,176.24M,176.24M,230.22M,27.50M,202.71M,,0.57,,,0.57,0.57,,0.56,,,0.56,0.56,,309.12M,315.31M,0.34,,AOR,Restated
2013-04,659.25M,659.25M,237.06M,422.20M,102.70M,128.11M,,,0.00,6.357M,3.044M,-3.313M,,230.81M,191.38M,3.044M,6.357M,-3.313M,-0.408M,-3.313M,187.66M,23.19M,164.47M,,,,164.47M,164.47M,221.55M,27.53M,194.02M,,0.53,,,0.53,0.53,,0.52,,,0.52,0.52,,307.44M,313.37M,0.34,,AOR,Restated
2013-01,622.13M,622.13M,231.85M,390.28M,97.56M,125.16M,,,-14.07M,6.414M,3.233M,-3.181M,,222.72M,167.56M,3.233M,6.414M,-3.181M,-14.27M,-3.181M,150.11M,18.89M,131.22M,,,,131.22M,143.52M,184.33M,27.81M,156.52M,,0.43,,,0.4705,0.43,,0.42,,,0.4596,0.42,,303.48M,310.28M,0.30,,AOR,Restated
2012-10,694.96M,694.96M,251.68M,443.28M,97.61M,130.23M,,,0.00,6.391M,3.627M,-2.764M,,228.00M,215.28M,3.627M,6.391M,-2.764M,0.009M,-2.764M,212.52M,33.34M,179.19M,,,,179.19M,179.19M,246.45M,27.54M,218.92M,,0.60,,,0.60,0.60,,0.59,,,0.59,0.59,,300.68M,307.95M,0.30,,AOR,Restated
2012-07,683.03M,683.03M,235.15M,447.87M,99.87M,129.69M,,,-5.836M,6.459M,3.506M,-2.953M,,229.57M,218.31M,3.506M,6.459M,-2.953M,-5.885M,-2.953M,209.47M,39.70M,169.77M,,,,169.77M,174.50M,243.09M,27.16M,215.93M,,0.57,,,0.5858,0.57,,0.56,,,0.5755,0.56,,298.44M,305.36M,0.30,,AOR,Restated
2012-04,675.09M,675.09M,234.64M,440.46M,99.99M,127.54M,,,0.00,6.89M,3.967M,-2.923M,,227.53M,212.93M,3.967M,6.89M,-2.923M,1.451M,-2.923M,211.45M,48.56M,162.90M,,,,162.90M,162.90M,245.23M,26.89M,218.34M,,0.55,,,0.55,0.55,,0.53,,,0.53,0.53,,298.13M,305.92M,0.30,,AOR,Restated
2012-01,648.06M,648.06M,238.67M,409.39M,99.04M,124.38M,,,-2.595M,6.682M,3.348M,-3.334M,,223.42M,185.97M,3.348M,6.682M,-3.334M,-2.547M,-3.334M,180.09M,40.70M,139.38M,,,,139.38M,141.39M,215.01M,28.24M,186.77M,,0.47,,,0.4767,0.47,,0.46,,,0.4666,0.46,,297.79M,305.53M,0.25,,AOR,Restated
2011-10,716.13M,716.13M,255.62M,460.51M,99.09M,123.89M,,,-2.143M,6.079M,2.183M,-3.896M,,222.98M,237.53M,2.183M,6.079M,-3.896M,-2.635M,-3.896M,231.00M,47.47M,183.53M,0.00,,,183.53M,185.23M,266.13M,29.05M,237.08M,,0.62,0.00,,0.6257,0.62,,0.60,0.00,,0.6056,0.60,,298.91M,305.73M,0.25,,AOR,Restated
2011-07,757.90M,757.90M,248.26M,509.64M,102.32M,128.48M,,,-0.206M,6.159M,2.395M,-3.764M,,230.80M,278.84M,2.395M,6.159M,-3.764M,-0.206M,-3.764M,274.87M,54.94M,219.94M,0.00,,,219.94M,220.10M,310.51M,29.48M,281.03M,,0.73,0.00,,0.7306,0.73,,0.71,0.00,,0.7105,0.71,,299.62M,308.74M,0.25,,AOR,Restated
2011-04,790.78M,790.78M,256.57M,534.21M,105.27M,130.46M,,,0.151M,4.078M,2.197M,-1.881M,,235.73M,298.49M,2.197M,4.078M,-1.881M,0.151M,-1.881M,296.76M,54.93M,241.83M,0.00,,,241.83M,241.70M,330.64M,29.81M,300.83M,,0.81,0.00,,0.8096,0.81,,0.78,0.00,,0.7796,0.78,,299.92M,309.62M,0.22,,AOR,Restated
2011-01,728.50M,728.50M,246.33M,482.17M,100.02M,122.74M,,,-0.041M,2.83M,2.285M,-0.545M,,222.77M,259.41M,2.285M,2.83M,-0.545M,-0.041M,-0.545M,258.82M,43.21M,215.61M,6.50M,,,222.11M,215.64M,291.54M,29.88M,261.65M,,0.74,0.00,,0.7401,0.74,,0.72,0.00,,0.7201,0.72,,299.22M,308.85M,0.22,,AOR,Restated
2010-10,769.99M,769.99M,253.76M,516.23M,102.35M,128.14M,,,2.60M,2.709M,2.426M,-0.283M,,230.49M,285.74M,2.426M,2.709M,-0.283M,2.60M,-0.283M,288.06M,63.06M,224.99M,0.00,,,224.99M,222.96M,320.71M,29.95M,290.77M,,0.75,0.00,,0.7432,0.75,,0.74,0.00,,0.7334,0.74,,298.23M,306.71M,0.22,,AOR,Restated
2010-07,720.29M,720.29M,240.09M,480.20M,102.07M,126.99M,,,-0.416M,2.614M,3.206M,0.592M,,229.06M,251.14M,3.206M,2.614M,0.592M,-0.416M,0.592M,251.32M,51.83M,199.49M,0.00,,,199.49M,199.82M,283.13M,29.19M,253.94M,,0.67,0.00,,0.6711,0.67,,0.65,0.00,,0.6511,0.65,,298.03M,306.17M,0.22,,AOR,
2010-04,668.24M,668.24M,233.72M,434.52M,97.66M,122.78M,,,0.488M,2.568M,2.025M,-0.543M,,220.44M,214.08M,2.025M,2.568M,-0.543M,0.488M,-0.543M,214.02M,46.88M,167.14M,0.00,,,167.14M,166.76M,247.28M,30.69M,216.59M,,0.56,0.00,,0.5587,0.56,,0.55,0.00,,0.5488,0.55,,297.82M,305.84M,0.20,,AOR,Restated
2010-01,602.98M,602.98M,234.51M,368.48M,88.48M,114.40M,,,-16.97M,2.538M,2.18M,-0.358M,,202.88M,165.60M,2.18M,2.538M,-0.358M,-16.97M,-0.358M,148.27M,28.67M,119.60M,0.859M,,,120.46M,133.29M,181.89M,31.08M,150.80M,,0.40,0.01,,0.4463,0.41,,0.39,0.01,,0.4349,0.40,,295.47M,304.73M,0.20,,AOR,Restated
2009-10,571.60M,571.60M,249.75M,321.85M,83.36M,110.13M,,,-0.16M,2.726M,1.74M,-0.986M,,193.48M,128.37M,1.74M,2.726M,-0.986M,-0.16M,-0.986M,127.23M,21.62M,105.61M,0.00,,,105.61M,105.74M,162.10M,32.15M,129.95M,,0.36,0.00,,0.3605,0.36,,0.36,0.00,,0.3605,0.36,,291.74M,294.02M,0.20,,AOR,Restated
2009-07,491.99M,491.99M,225.76M,266.23M,79.71M,107.58M,,,-0.108M,1.368M,2.558M,1.19M,,187.28M,78.94M,2.558M,1.368M,1.19M,-0.108M,1.19M,80.03M,14.57M,65.46M,,,,65.46M,65.55M,113.37M,31.98M,81.40M,,0.22,0.00,,0.2203,0.22,,0.22,0.00,,0.2203,0.22,,291.39M,293.08M,0.20,,AOR,Restated
2009-04,474.75M,474.75M,213.20M,261.55M,82.28M,109.45M,,,-19.77M,0.00,3.527M,3.527M,,191.72M,69.83M,3.527M,0.00,3.527M,-19.77M,3.527M,62.23M,10.48M,51.75M,,,,51.75M,68.20M,97.26M,35.03M,62.23M,,0.18,0.00,,0.2365,0.18,,0.18,0.00,,0.2362,0.18,,291.23M,292.45M,0.20,,AOR,Restated
2009-01,476.57M,476.57M,207.57M,269.00M,87.85M,119.83M,,,-57.90M,0.00,7.796M,7.796M,,207.67M,61.33M,7.796M,0.00,7.796M,-57.90M,7.796M,27.96M,3.373M,24.58M,0.364M,,,24.95M,75.50M,68.67M,40.71M,27.96M,,0.08,0.01,,0.2549,0.09,,0.08,0.01,,0.2548,0.09,,291.19M,291.25M,0.20,,AOR,Restated
2008-10,660.70M,660.70M,257.04M,403.66M,106.38M,133.45M,,,-2.101M,,,,,242.92M,160.74M,,,,-2.101M,,171.36M,27.12M,144.24M,-0.371M,,,143.87M,146.01M,198.67M,37.94M,160.74M,,0.49,0.01,,0.4961,0.50,,0.49,0.01,,0.4960,0.50,,290.85M,293.82M,0.20,,,
2008-07,658.99M,658.99M,257.19M,401.79M,104.77M,135.84M,,,-0.664M,,,,,240.60M,161.19M,,,,-0.664M,,168.73M,39.54M,129.20M,9.413M,,,138.61M,129.70M,199.87M,38.68M,161.19M,,0.44,0.04,,0.4418,0.48,,0.44,0.03,,0.4417,0.47,,290.38M,295.00M,0.20,,,
2008-04,649.34M,649.34M,253.32M,396.02M,104.18M,134.65M,,,-0.114M,,,,,238.84M,157.18M,,,,-0.114M,,167.74M,37.85M,129.89M,3.194M,,,133.09M,129.98M,196.07M,38.88M,157.18M,,0.45,0.01,,0.4503,0.46,,0.44,0.01,,0.4403,0.45,,290.39M,295.36M,0.18,,,
2008-01,613.91M,613.91M,238.11M,375.80M,100.35M,129.54M,,,-0.173M,,,,,229.89M,145.91M,,,,-0.173M,,158.27M,36.42M,121.85M,248.87M,,,370.72M,121.98M,183.89M,37.97M,145.91M,,0.41,0.83,,0.4104,1.24,,0.40,0.82,,0.4004,1.22,,299.14M,304.26M,0.18,,,
2007-10,423.66M,423.66M,102.63M,321.03M,89.40M,70.41M,,,-25.87M,,,,,200.31M,120.73M,,,,-25.87M,,148.93M,45.82M,103.10M,,,0.00,97.89M,121.01M,158.40M,37.68M,120.73M,,0.34,-0.01,,0.3986,0.33,,0.33,-0.01,,0.3871,0.32,,305.87M,313.82M,0.18,,,
2007-07,680.31M,680.31M,291.73M,388.58M,102.38M,148.56M,,,-1.272M,,,,,250.94M,137.64M,,,,-1.272M,,154.09M,33.66M,120.44M,,,,120.44M,121.43M,176.55M,38.91M,137.64M,,0.38,0.00,,0.3831,0.38,,0.37,0.00,,0.3730,0.37,,318.46M,327.33M,0.18,,,
2007-04,597.48M,597.48M,236.26M,361.23M,90.21M,126.70M,,,0.105M,,,,,216.91M,144.32M,,,,0.105M,,165.30M,39.72M,125.58M,-0.222M,,,125.36M,125.50M,183.30M,38.97M,144.32M,,0.38,0.00,,0.3798,0.38,,0.37,0.00,,0.3698,0.37,,329.99M,338.84M,0.18,,,
2007-01,626.26M,626.26M,226.60M,399.66M,101.98M,123.08M,,,2.269M,,,,5.196M,230.25M,169.41M,,,,2.269M,,201.71M,45.48M,156.45M,-3.226M,,0.219M,153.23M,154.70M,208.63M,39.22M,169.41M,,0.46,0.00,,0.4548,0.46,,0.45,0.00,,0.4450,0.45,,338.70M,349.21M,0.16,,,
2006-10,321.27M,321.27M,59.23M,262.03M,90.68M,60.65M,,,-16.78M,,,,,153.11M,108.92M,,,,-16.78M,,118.22M,10.85M,108.11M,,,,138.42M,123.35M,151.18M,42.26M,108.92M,,0.31,0.09,,0.3539,0.40,,0.30,0.09,,0.3427,0.39,,346.80M,357.17M,0.16,,,
2006-07,663.66M,663.66M,273.55M,390.11M,99.66M,136.06M,,,-5.935M,,,,,235.72M,154.39M,,,,-5.935M,,175.16M,30.48M,144.68M,,,,144.68M,149.59M,197.71M,43.33M,154.39M,,0.40,0.00,,0.4137,0.40,,0.39,0.00,,0.4033,0.39,,357.89M,369.54M,0.16,,,
2006-04,643.87M,643.87M,263.20M,380.67M,97.43M,131.85M,,,13.35M,,,,,229.28M,151.39M,,,,13.35M,,190.62M,44.80M,145.82M,,,,145.82M,135.61M,194.48M,43.09M,151.39M,,0.40,0.00,,0.3720,0.40,,0.39,0.00,,0.3629,0.39,,364.22M,376.81M,0.12,,,
2006-01,621.30M,621.30M,260.52M,360.79M,96.28M,131.29M,,,-3.668M,,,,1.013M,228.58M,132.20M,,,,-3.668M,,152.80M,32.24M,120.56M,,,,120.56M,123.45M,175.69M,43.48M,132.20M,,0.33,0.00,,0.3379,0.33,,0.32,0.00,,0.3276,0.32,,366.14M,380.34M,0.12,,,
2005-10,368.12M,368.12M,106.97M,261.15M,79.53M,64.79M,,,-30.87M,,,,,175.80M,85.35M,,,,-30.87M,,107.24M,77.74M,29.50M,,,,68.34M,48.02M,123.75M,38.40M,85.35M,,0.08,0.11,,0.1301,0.19,,0.08,0.10,,0.1287,0.18,,369.94M,380.62M,0.10,,,
2005-07,582.42M,582.42M,244.18M,338.24M,84.41M,119.22M,,,-0.094M,,,,,203.62M,134.61M,,,,-0.094M,,153.68M,32.27M,121.40M,,,,121.40M,121.48M,173.09M,38.47M,134.61M,,0.33,0.00,,0.3302,0.33,,0.32,0.00,,0.3202,0.32,,370.98M,382.83M,0.10,,,
2005-04,603.73M,603.73M,257.33M,346.40M,85.81M,126.64M,,,0.094M,,,,,212.46M,133.94M,,,,0.094M,,150.71M,33.11M,117.60M,,,,117.60M,117.53M,173.64M,39.70M,133.94M,,0.32,0.00,,0.3198,0.32,,0.31,0.00,,0.3098,0.31,,370.67M,382.34M,0.06,,,
2005-01,580.54M,580.54M,245.01M,335.53M,83.34M,127.53M,,,-0.568M,,,,,210.88M,124.65M,,,,-0.568M,,138.64M,31.19M,107.44M,,,,107.44M,107.88M,163.65M,39.00M,124.65M,,0.29,0.00,,0.2912,0.29,,0.28,0.00,,0.2811,0.28,,375.56M,388.11M,0.06,,,
2004-10,632.12M,632.12M,255.83M,376.29M,86.35M,131.80M,,,0.382M,,,,,218.15M,158.14M,,,,0.382M,,171.22M,38.95M,132.27M,,,,132.27M,131.97M,196.57M,38.43M,158.14M,,0.35,0.00,,0.3492,0.35,,0.34,0.00,,0.3392,0.34,,376.06M,389.26M,0.06,,,
2004-07,717.79M,717.79M,287.27M,430.52M,89.16M,133.54M,,,-0.523M,,,,,222.70M,207.82M,,,,-0.523M,,216.73M,47.68M,169.05M,,,,169.05M,169.46M,245.83M,38.01M,207.82M,,0.45,0.00,,0.4511,0.45,,0.43,0.00,,0.4310,0.43,,377.14M,394.20M,0.06,,,
2004-04,678.53M,678.53M,277.01M,401.52M,85.28M,127.80M,,0.676M,-0.057M,,,,,213.76M,187.76M,,,,-0.057M,,194.99M,42.41M,152.58M,,,,152.58M,152.63M,225.71M,37.95M,187.76M,,0.41,0.00,,0.4101,0.41,,0.39,0.00,,0.3901,0.39,,374.86M,395.05M,0.04,,,
