,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1997-07,,235.70M,80.70M,316.40M,258.40M,,258.40M,26.80M,135.10M,60.00M,,221.90M,15.40M,,55.80M,867.90M,0.00,144.70M,,949.60M,83.40M,,1.178B,-548.60M,629.10M,,15.30M,15.30M,,,164.10M,808.50M,1.676B,,83.80M,,83.80M,77.60M,161.40M,,,13.10M,13.10M,,,101.50M,276.00M,310.00M,41.70M,351.70M,21.00M,21.00M,,,19.50M,392.20M,668.20M,,26.90M,780.60M,195.00M,0.30M,6.10M,,6.10M,1.008B,,,
1997-04,,234.40M,68.20M,302.60M,242.70M,,242.70M,29.40M,129.10M,59.20M,0.10M,217.80M,16.10M,,54.50M,833.70M,0.00,143.70M,,909.80M,81.60M,,1.135B,-525.90M,609.20M,,15.80M,15.80M,,,154.10M,779.10M,1.613B,,84.60M,,84.60M,81.00M,165.60M,,,14.20M,14.20M,,,92.80M,272.60M,310.00M,44.60M,354.60M,20.00M,20.00M,,,17.00M,391.60M,664.20M,,26.70M,734.70M,182.70M,0.70M,5.20M,,5.20M,948.60M,,,
1997-01,,248.10M,19.70M,267.80M,242.90M,,242.90M,30.40M,118.10M,63.70M,0.10M,212.30M,15.90M,,45.00M,783.90M,0.00,143.20M,,881.60M,81.30M,,1.106B,-504.20M,601.90M,,16.30M,16.30M,,,142.40M,760.60M,1.544B,,79.20M,,79.20M,70.50M,149.70M,,,12.90M,12.90M,,,84.40M,247.00M,310.00M,47.60M,357.60M,18.00M,18.00M,,,15.90M,391.50M,638.50M,,26.60M,692.50M,181.40M,0.50M,6.00M,,6.00M,906.00M,,,
1996-10,,210.10M,,210.10M,241.80M,,241.80M,,,,,218.90M,,,149.50M,820.30M,,,,,,,1.067B,-483.90M,583.30M,,16.80M,16.80M,,,95.30M,695.40M,1.516B,,90.20M,,90.20M,,90.20M,,,11.20M,11.20M,,,168.80M,270.20M,353.70M,,353.70M,17.00M,17.00M,,,12.00M,382.70M,652.90M,,,653.40M,,,,,,862.80M,,,
1996-07,,198.90M,82.40M,281.30M,217.70M,,217.70M,31.00M,117.50M,66.50M,,215.00M,16.30M,,45.70M,776.00M,0.00,136.10M,,808.20M,73.50M,,1.018B,-465.10M,552.70M,,17.40M,17.40M,,,94.30M,664.40M,1.440B,,102.00M,,102.00M,80.60M,182.60M,,,10.30M,10.30M,,,86.10M,279.00M,310.00M,30.90M,340.90M,6.00M,6.00M,,,11.40M,358.30M,637.30M,,19.40M,609.30M,168.80M,,5.60M,,5.60M,803.10M,,,
1996-04,,224.90M,112.60M,337.50M,212.80M,,212.80M,29.40M,107.00M,55.10M,,191.50M,13.20M,,42.00M,797.00M,0.00,140.70M,,768.40M,58.50M,,967.60M,-452.20M,515.40M,,16.20M,16.20M,,,43.10M,574.70M,1.372B,,93.50M,,93.50M,94.10M,187.60M,,,12.40M,12.40M,,,65.60M,265.60M,310.00M,33.00M,343.00M,6.50M,6.50M,,,9.50M,359.00M,624.60M,,19.30M,565.50M,157.50M,0.50M,5.40M,,5.40M,747.10M,,,
1996-01,,195.50M,174.40M,369.90M,190.40M,,190.40M,24.50M,84.40M,48.80M,0.10M,157.80M,12.90M,,41.70M,772.70M,0.00,139.70M,,730.60M,45.10M,,915.40M,-438.90M,476.50M,,16.70M,16.70M,,,43.50M,536.70M,1.309B,,96.20M,,96.20M,82.10M,178.30M,,,9.20M,9.20M,,,70.00M,257.50M,310.00M,26.20M,336.20M,6.00M,6.00M,,,8.50M,350.70M,608.20M,,19.20M,521.60M,155.20M,0.30M,5.60M,,5.60M,701.20M,,,
1995-10,,69.30M,81.80M,151.10M,181.30M,,181.30M,22.30M,77.50M,44.10M,0.10M,144.00M,10.00M,,39.60M,526.00M,0.00,139.70M,,674.40M,42.20M,,856.30M,-424.30M,432.00M,,17.20M,17.20M,,,26.40M,475.60M,1.002B,,100.20M,,100.20M,74.10M,174.30M,,,2.40M,2.40M,,,77.70M,254.40M,80.00M,,80.00M,5.00M,5.00M,,,6.20M,91.20M,345.60M,,19.10M,481.50M,149.80M,0.20M,5.90M,,5.90M,656.00M,,,
1995-07,,62.30M,66.20M,128.50M,185.70M,,185.70M,23.90M,74.40M,37.50M,,135.80M,8.30M,,27.80M,486.10M,0.00,130.30M,,625.50M,40.80M,,796.60M,-413.00M,383.60M,,17.70M,17.70M,,,24.10M,425.40M,911.50M,,67.70M,,67.70M,66.00M,133.70M,,,2.30M,2.30M,,,65.60M,201.60M,80.00M,,80.00M,4.00M,4.00M,,,6.30M,90.30M,291.90M,,12.70M,446.30M,154.70M,0.10M,6.00M,,6.00M,619.60M,,,
1995-04,,66.30M,66.60M,132.90M,178.30M,,178.30M,20.30M,72.10M,42.20M,,134.60M,5.90M,,24.00M,475.70M,0.00,127.20M,,588.90M,40.10M,,756.20M,-399.40M,356.80M,,18.20M,18.20M,,,25.40M,400.40M,876.10M,,68.50M,,68.50M,,68.50M,,,3.20M,3.20M,,,135.10M,206.80M,80.00M,,80.00M,4.00M,4.00M,,,5.60M,89.60M,296.40M,,12.60M,414.50M,146.80M,0.40M,6.10M,,6.10M,579.70M,,,
1995-01,,101.10M,57.50M,158.60M,169.80M,,169.80M,18.20M,68.10M,40.40M,,126.70M,6.40M,,25.00M,486.50M,0.00,122.10M,,544.60M,37.60M,,704.30M,-382.60M,321.70M,,18.80M,18.80M,,,9.40M,349.90M,836.40M,,86.70M,,86.70M,57.00M,143.70M,,,4.10M,4.10M,,,53.70M,201.50M,80.00M,,80.00M,3.30M,3.30M,,,4.70M,88.00M,289.50M,,12.60M,385.80M,142.60M,,6.00M,,6.00M,546.90M,,,
1994-10,,109.10M,72.70M,181.80M,162.30M,,162.30M,15.30M,69.80M,45.70M,,130.80M,5.00M,,25.60M,505.50M,0.00,111.90M,,514.00M,33.00M,,658.90M,-377.10M,281.80M,,19.30M,19.30M,,,9.30M,310.40M,815.90M,,74.50M,,74.50M,60.20M,134.70M,,,23.20M,23.20M,,,48.30M,206.20M,80.00M,0.10M,80.10M,3.20M,3.20M,,,4.50M,87.80M,294.00M,,12.50M,362.20M,141.20M,,6.00M,,6.00M,521.90M,,,
1994-07,,121.30M,36.40M,157.70M,154.30M,,154.30M,15.90M,70.30M,47.90M,,134.10M,6.10M,,23.50M,475.70M,0.00,87.80M,,498.20M,32.00M,,618.00M,-370.10M,247.90M,,19.70M,19.70M,,,8.80M,276.40M,752.10M,,52.20M,,52.20M,49.30M,101.50M,,,22.60M,22.60M,,,38.80M,162.90M,80.00M,0.10M,80.10M,8.00M,8.00M,,,4.60M,92.70M,255.60M,,8.50M,340.50M,151.30M,9.60M,5.80M,,5.80M,496.50M,,,
1994-04,,131.30M,,131.30M,162.10M,,162.10M,14.30M,73.60M,50.10M,,138.00M,,,28.70M,460.10M,0.00,84.20M,,502.30M,31.00M,,617.50M,-370.90M,246.60M,,20.30M,20.30M,,,6.00M,272.90M,733.00M,,49.10M,,49.10M,60.70M,109.80M,,,23.50M,23.50M,,,37.10M,170.40M,80.10M,,80.10M,8.20M,8.20M,,,5.30M,93.60M,264.00M,,8.50M,320.80M,146.10M,12.20M,5.80M,,5.80M,469.00M,,,
1994-01,,94.40M,,94.40M,151.00M,,151.00M,15.20M,79.90M,48.00M,,143.10M,5.90M,,22.50M,416.90M,0.00,81.90M,,491.20M,27.60M,,600.70M,-357.30M,243.40M,,20.80M,20.80M,,,5.50M,269.70M,686.60M,,43.50M,,43.50M,43.00M,86.50M,,,23.90M,23.90M,,,32.70M,143.10M,80.00M,0.20M,80.20M,9.00M,9.00M,,,4.90M,94.10M,237.20M,,8.50M,303.00M,144.30M,12.00M,5.60M,,5.60M,449.40M,,,
1993-10,,80.70M,,80.70M,145.70M,,145.70M,,,,,150.40M,,,26.40M,403.20M,,,,,,,591.90M,-343.50M,248.40M,,21.30M,21.30M,,,5.60M,275.30M,678.50M,,48.80M,,48.80M,,48.80M,,,2.30M,2.30M,,,81.70M,132.80M,100.30M,,100.30M,8.50M,8.50M,,,4.90M,113.70M,246.50M,,,287.70M,,,,,,432.00M,,,
1993-07,,61.20M,,61.20M,,,126.20M,,,,,152.40M,,,23.70M,363.50M,,,,,,,576.20M,-330.10M,246.10M,,21.80M,21.80M,,,5.30M,273.20M,636.70M,,42.50M,,42.50M,,42.50M,,,2.30M,2.30M,,,56.50M,101.30M,100.40M,,100.40M,14.00M,14.00M,,,4.30M,118.70M,220.00M,,,273.70M,,,,,,416.70M,,,
1993-04,,54.90M,,54.90M,,,124.70M,,,,,151.20M,,,24.70M,355.50M,,,,,,,558.30M,-316.10M,242.20M,,22.30M,22.30M,,,5.20M,269.70M,625.20M,,41.90M,,41.90M,,41.90M,,,3.60M,3.60M,,,62.90M,108.40M,100.50M,,100.50M,14.00M,14.00M,,,4.10M,118.60M,227.00M,,,261.50M,,,,,,398.20M,,,
1993-01,,22.40M,,22.40M,,,117.10M,,,,,148.40M,,,26.10M,314.00M,,,,,,,544.30M,-305.50M,238.80M,,22.90M,22.90M,,,4.30M,266.00M,580.00M,,43.50M,,43.50M,,43.50M,,,2.70M,2.70M,,,51.90M,98.10M,80.60M,,80.60M,12.90M,12.90M,,,3.90M,97.40M,195.50M,,,251.40M,,,,,,384.50M,,,
1992-10,,17.70M,,17.70M,,,111.70M,,,,,142.50M,,,25.10M,297.00M,,,,,,,531.30M,-293.90M,237.40M,,23.40M,23.40M,,,4.10M,264.90M,561.90M,,43.30M,,43.30M,,43.30M,,,2.70M,2.70M,,,53.60M,99.60M,70.60M,,70.60M,12.70M,12.70M,,,4.00M,87.30M,186.90M,,,243.20M,,,,,,375.00M,,,
1992-07,,14.00M,,14.00M,,,108.60M,,,,,129.40M,,,21.20M,273.20M,,,,,,,485.00M,-251.60M,233.40M,,23.90M,23.90M,,,4.90M,262.20M,535.40M,,83.10M,,83.10M,,83.10M,,,3.60M,3.60M,,,,86.70M,65.80M,,65.80M,,,,,15.60M,81.40M,168.10M,,,236.20M,,,,,,367.30M,,,
1992-04,,11.20M,,11.20M,,,95.50M,,,,,124.30M,,,22.30M,253.30M,,,,,,,484.20M,-251.60M,232.60M,,24.40M,24.40M,,,3.70M,260.70M,514.00M,,76.90M,,76.90M,,76.90M,,,4.90M,4.90M,,,,81.80M,59.10M,,59.10M,,,,,14.60M,73.70M,155.50M,,,231.20M,,,,,,358.50M,,,
1992-01,,8.90M,,8.90M,,,96.70M,,,,,121.20M,,,22.60M,249.40M,,,,,,,482.20M,-251.60M,230.60M,,25.00M,25.00M,,,4.90M,260.50M,509.90M,,80.00M,,80.00M,,80.00M,,,5.00M,5.00M,,,,85.00M,55.00M,,55.00M,,,,,15.40M,70.40M,155.40M,,,227.30M,,,,,,354.50M,,,
1991-10,,16.50M,,16.50M,,,95.10M,,,,,117.10M,,,20.20M,248.90M,,,,,,,475.60M,-251.60M,224.00M,,25.80M,25.80M,,,4.60M,254.40M,503.30M,,37.40M,,37.40M,,37.40M,,,5.80M,5.80M,,,53.80M,97.00M,36.80M,,36.80M,11.70M,11.70M,,,3.40M,51.90M,148.90M,,,228.30M,,,,,,354.40M,,,
1991-07,,10.50M,,10.50M,,,90.30M,,,,,110.40M,,,14.80M,226.00M,,,,,,,483.00M,-256.80M,226.20M,,24.40M,24.40M,,,5.00M,255.60M,481.60M,,33.30M,,33.30M,,33.30M,,,7.80M,7.80M,,,44.10M,85.20M,26.60M,,26.60M,10.80M,10.80M,,,3.20M,40.60M,125.80M,,,231.00M,,,,,,355.80M,,,
1991-04,,7.40M,,7.40M,,,99.70M,,,,,107.80M,,,16.10M,231.00M,,,,,,,473.70M,-247.60M,226.10M,,24.60M,24.60M,,,5.00M,255.70M,486.70M,,35.10M,,35.10M,,35.10M,,,15.00M,15.00M,,,49.40M,99.50M,21.60M,,21.60M,10.90M,10.90M,,,3.00M,35.50M,135.00M,,,230.40M,,,,,,351.70M,,,
1991-01,,2.10M,,2.10M,,,97.10M,,,,,108.30M,,,18.10M,225.60M,,,,,,,465.20M,-239.40M,225.80M,,25.20M,25.20M,,,5.20M,256.20M,481.80M,,35.40M,,35.40M,,35.40M,,,10.30M,10.30M,,,46.80M,92.50M,29.80M,,29.80M,11.00M,11.00M,,,3.20M,44.00M,136.50M,,,223.80M,,,,,,345.30M,,,
1990-10,,8.30M,,8.30M,,,97.60M,,,,,107.60M,,,18.90M,232.40M,,,,,,,452.80M,-228.90M,223.90M,,25.80M,25.80M,,,5.10M,254.80M,487.20M,,35.00M,,35.00M,,35.00M,,,11.10M,11.10M,,,60.20M,106.30M,24.10M,,24.10M,10.90M,10.90M,,,3.20M,38.20M,144.50M,,,220.10M,,,,,,342.70M,,,
1990-07,,47.30M,,47.30M,,,83.40M,,,,,87.00M,,,16.40M,234.10M,,,,,,,419.70M,-216.10M,203.60M,,0.70M,0.70M,,,16.90M,221.20M,455.30M,,30.10M,,30.10M,,30.10M,,,8.00M,8.00M,,,29.60M,67.70M,4.00M,,4.00M,13.30M,13.30M,,,2.00M,19.30M,87.00M,,,243.70M,,,,,,368.30M,,,
1990-04,,40.80M,,40.80M,,,82.10M,,,,,88.00M,,,14.50M,225.40M,,,,,,,406.40M,-205.10M,201.30M,,0.80M,0.80M,,,14.50M,216.60M,442.00M,,25.50M,,25.50M,,25.50M,,,7.70M,7.70M,,,27.90M,61.10M,6.00M,,6.00M,12.90M,12.90M,,,1.80M,20.70M,81.80M,,,238.50M,,,,,,360.20M,,,
1990-01,,31.80M,,31.80M,,,80.80M,,,,,92.20M,,,14.00M,218.80M,,,,,,,401.50M,-196.90M,204.60M,,1.00M,1.00M,,,15.00M,220.60M,439.40M,,22.10M,,22.10M,,22.10M,,,9.00M,9.00M,,,26.60M,57.70M,6.70M,,6.70M,12.80M,12.80M,,,1.80M,21.30M,79.00M,,,233.80M,,,,,,360.40M,,,
1989-10,,30.10M,,30.10M,,,81.70M,,,,,97.50M,,,13.70M,223.00M,,,,,,,395.30M,-186.60M,208.70M,,1.10M,1.10M,,,19.70M,229.50M,452.50M,,26.30M,,26.30M,,26.30M,,,8.50M,8.50M,,,28.40M,63.20M,12.20M,,12.20M,12.10M,12.10M,,,1.60M,25.90M,89.10M,,,233.00M,,,,,,363.40M,,,
1989-07,,29.80M,,29.80M,,,77.60M,,,,,100.80M,,,14.80M,223.00M,,,,,,,395.20M,-185.20M,210.00M,,1.30M,1.30M,,,24.80M,236.10M,459.10M,,24.60M,,24.60M,,24.60M,,,8.30M,8.30M,,,29.80M,62.70M,14.30M,,14.30M,10.80M,10.80M,,,1.60M,26.70M,89.40M,,,232.50M,,,,,,369.70M,,,
1989-04,,27.50M,,27.50M,,,80.70M,,,,,102.00M,,,14.50M,224.70M,,,,,,,383.90M,-175.50M,208.40M,,1.40M,1.40M,,,25.90M,235.70M,460.40M,,32.20M,,32.20M,,32.20M,,,5.50M,5.50M,,,30.50M,68.20M,18.60M,,18.60M,11.10M,11.10M,,,1.60M,31.30M,99.50M,,,224.80M,,,,,,360.90M,,,
1988-10,,22.70M,,22.70M,,,87.90M,,,,,97.40M,,,13.30M,221.30M,,,,,,,359.30M,-158.60M,200.70M,,1.70M,1.70M,,,25.70M,228.10M,449.40M,,,,,,,,,8.40M,8.40M,,,64.40M,72.80M,23.00M,,23.00M,11.00M,11.00M,,,1.40M,35.40M,108.20M,,,205.10M,,,,,,341.20M,,,
1987-10,,5.80M,,5.80M,,,76.30M,,,,,83.80M,,,10.60M,176.50M,,,,,,,315.70M,-129.50M,186.20M,,2.30M,2.30M,,,32.30M,220.80M,397.30M,,,,,,,,,7.30M,7.30M,,,50.30M,57.60M,30.10M,,30.10M,11.20M,11.20M,,,0.90M,42.20M,99.80M,,,167.20M,,,,,,297.50M,,,
1986-10,,6.30M,,6.30M,,,65.60M,,,,,79.10M,,,10.70M,161.70M,,,,,,,271.30M,-98.10M,173.20M,,2.80M,2.80M,,,31.30M,207.30M,369.00M,,,,,,,,,9.70M,9.70M,,,50.20M,59.90M,29.10M,,29.10M,8.80M,8.80M,,,0.90M,38.80M,98.70M,,,148.50M,,,,,,270.30M,,,
1985-10,,11.30M,,11.30M,,,56.50M,,,,,77.10M,,,7.00M,151.90M,,,,,,,235.80M,-75.00M,160.80M,,3.40M,3.40M,,,31.60M,195.80M,347.70M,,,,,,,,,12.70M,12.70M,,,46.60M,59.30M,42.90M,,42.90M,7.40M,7.40M,,,0.30M,50.60M,109.90M,,,125.10M,,,,,,237.80M,,,
1984-10,,13.80M,,13.80M,,,60.50M,,,,,73.20M,,,4.50M,152.00M,,,,,,,168.10M,-55.70M,112.40M,,4.00M,4.00M,,,27.70M,144.10M,296.10M,,,,,,,,,4.10M,4.10M,,,61.00M,65.10M,30.00M,,30.00M,5.20M,5.20M,,,0.60M,35.80M,100.90M,,,95.30M,,,,,,195.20M,,,
