,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-10,72.64M,884.35M,2.145B,3.029B,466.53M,,466.53M,21.82M,261.52M,128.97M,,412.31M,42.54M,129.24M,,4.080B,0.00,559.66M,,1.987B,,55.61M,2.602B,-1.958B,644.11M,1.637B,583.52M,2.220B,17.48M,57.03M,40.56M,2.979B,7.059B,,174.25M,15.06M,189.31M,91.36M,280.67M,,374.59M,374.59M,374.59M,300.09M,300.09M,32.74M,1.114B,495.34M,,495.34M,227.38M,251.13M,,,125.76M,872.23M,1.986B,,52.01M,4.437B,634.48M,,,,-50.85M,5.073B,,AOR,Restated
2015-07,,557.50M,2.542B,3.100B,451.51M,,451.51M,22.05M,263.27M,139.16M,,424.48M,47.09M,126.86M,,4.150B,0.00,554.64M,,1.959B,,52.45M,2.566B,-1.935B,631.27M,1.640B,601.88M,2.242B,16.25M,54.73M,40.30M,2.985B,7.135B,,152.68M,35.15M,187.84M,187.92M,375.75M,,,374.75M,374.75M,307.26M,307.26M,,1.058B,498.45M,,498.45M,243.26M,267.34M,,,245.98M,1.012B,2.070B,,52.28M,4.467B,719.05M,,,,-172.76M,5.065B,,AOR,Restated
2015-04,,636.22M,2.439B,3.075B,408.51M,,408.51M,47.98M,230.62M,115.89M,,394.49M,50.92M,117.06M,,4.046B,0.00,548.39M,,1.936B,,51.63M,2.536B,-1.906B,629.66M,1.644B,621.28M,2.265B,17.52M,48.43M,42.21M,3.003B,7.048B,,156.30M,32.63M,188.93M,209.20M,398.13M,,,374.66M,374.66M,295.43M,295.43M,,1.068B,498.40M,,498.40M,246.87M,269.03M,,,248.62M,1.016B,2.084B,,52.26M,4.376B,707.18M,,,,-170.86M,4.964B,,AOR,Restated
2015-01,,650.20M,2.223B,2.873B,402.35M,,402.35M,44.57M,223.05M,99.62M,,367.24M,63.58M,96.59M,,3.803B,0.00,499.00M,,1.947B,,51.48M,2.497B,-1.885B,612.47M,1.642B,646.40M,2.288B,13.70M,55.65M,48.10M,3.018B,6.821B,,123.46M,17.68M,141.14M,213.54M,354.68M,,,,,278.23M,278.23M,,632.91M,872.93M,,872.93M,241.37M,262.65M,,,246.46M,1.382B,2.015B,,51.94M,4.295B,651.52M,,,,-192.42M,4.806B,,AOR,Restated
2014-10,117.34M,569.23M,2.297B,2.866B,396.60M,,396.60M,47.27M,216.76M,103.90M,,367.93M,51.95M,128.93M,,3.812B,0.00,495.74M,,1.932B,,50.78M,2.478B,-1.856B,622.42M,1.642B,671.40M,2.314B,13.40M,48.36M,49.79M,3.048B,6.860B,,138.97M,62.77M,201.74M,127.58M,329.31M,,,,,278.44M,278.44M,,709.06M,872.79M,,872.79M,235.79M,256.90M,,,263.05M,1.393B,2.102B,,51.87M,4.231B,643.06M,,,,-168.53M,4.758B,,AOR,Restated
2014-07,,2.585B,2.347B,4.932B,394.76M,,394.76M,47.14M,244.58M,123.38M,,415.10M,47.08M,134.68M,,5.924B,0.00,488.52M,,1.913B,,51.87M,2.453B,-1.844B,609.94M,1.632B,695.83M,2.328B,12.02M,49.56M,50.35M,3.050B,8.973B,,142.65M,40.66M,183.32M,157.98M,341.30M,,,1.995B,1.995B,285.83M,285.83M,,2.623B,872.65M,,872.65M,276.23M,296.24M,,,174.85M,1.344B,3.966B,,52.37M,4.239B,792.97M,,,,-77.25M,5.007B,,AOR,Restated
2014-04,,402.79M,4.404B,4.807B,360.85M,,360.85M,19.84M,187.22M,91.37M,,298.43M,52.18M,119.35M,,5.638B,0.00,468.94M,,1.847B,,51.74M,2.367B,-1.822B,545.48M,287.34M,28.44M,315.78M,11.21M,41.82M,42.62M,956.92M,6.595B,,132.19M,27.19M,159.38M,143.88M,303.27M,,,,,267.93M,267.93M,,571.20M,872.52M,,872.52M,21.20M,40.07M,,,179.64M,1.092B,1.663B,,52.36M,4.175B,781.01M,,,,-76.45M,4.932B,,AOR,Restated
2014-01,,417.23M,4.284B,4.701B,328.79M,,328.79M,19.62M,182.36M,87.95M,,289.94M,39.02M,112.11M,,5.471B,0.00,464.77M,,1.812B,,52.27M,2.330B,-1.801B,529.01M,283.17M,28.50M,311.66M,5.316M,40.28M,42.24M,928.51M,6.399B,,124.62M,10.68M,135.30M,138.96M,274.26M,,,,,245.24M,245.24M,,519.49M,872.38M,,872.38M,17.51M,35.55M,,,176.41M,1.084B,1.604B,,52.09M,4.103B,723.52M,,,,-82.94M,4.796B,,AOR,Restated
2013-10,45.64M,392.09M,4.291B,4.683B,325.14M,,325.14M,19.64M,175.16M,88.54M,,283.34M,44.73M,136.30M,,5.472B,0.00,458.85M,,1.783B,,50.87M,2.293B,-1.785B,508.17M,284.11M,28.55M,312.66M,3.816M,43.59M,41.08M,909.32M,6.382B,,119.99M,45.49M,165.48M,86.51M,251.99M,,,,,247.43M,247.43M,,570.51M,872.24M,,872.24M,6.037M,23.40M,,,176.02M,1.072B,1.642B,,51.84M,4.056B,711.88M,,,,-80.55M,4.740B,,AOR,Restated
2013-07,,460.07M,3.990B,4.450B,345.44M,,345.44M,20.82M,177.48M,86.05M,,284.34M,59.99M,104.43M,,5.244B,0.00,451.49M,,1.760B,,46.69M,2.258B,-1.766B,492.42M,280.59M,28.61M,309.20M,3.816M,46.85M,41.85M,894.14M,6.139B,,113.35M,6.927M,120.28M,112.53M,232.81M,,,,,259.00M,259.00M,,491.81M,872.10M,,872.10M,19.46M,35.70M,,,95.78M,1.004B,1.495B,,51.78M,3.961B,694.58M,,,,-63.91M,4.643B,,AOR,Restated
