,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.293B,1.293B,231.28M,1.062B,589.95M,92.29M,682.24M,161.62M,22.51M,,,,,866.37M,195.22M,,,,4.864M,,200.08M,40.08M,160.00M,,160.00M,152.59M,195.22M,,2018-03,0.48,,0.48,0.48,,2018-03,,,0.48,2018-03,332.40M,336.53M,,,2018-03,AOR,Restated
2017-12,1.314B,1.314B,229.13M,1.085B,588.61M,92.06M,680.68M,162.48M,22.45M,,,,,865.60M,219.05M,,,,-8.317M,,221.66M,-115.00M,336.66M,,336.66M,155.48M,233.72M,,2017-12,1.02,,1.02,1.02,,2017-12,,,1.00,2017-12,331.54M,338.16M,,,2017-12,AOR,Restated
2017-09,1.276B,1.276B,202.90M,1.073B,564.62M,84.18M,648.80M,153.83M,22.56M,,,,,825.20M,247.91M,,,,2.509M,,250.42M,72.99M,177.42M,,177.42M,146.35M,247.91M,,2017-09,0.53,,0.53,0.53,,2017-09,,,0.52,2017-09,331.99M,338.78M,,,2017-09,AOR,Restated
2017-06,1.292B,1.292B,223.06M,1.069B,563.39M,90.63M,654.02M,142.84M,22.69M,,,,,819.54M,249.39M,,,,2.661M,,252.05M,72.37M,179.68M,,179.68M,144.06M,249.39M,,2017-06,0.54,,0.54,0.54,,2017-06,,,0.53,2017-06,331.06M,337.90M,,,2017-06,AOR,Restated
2017-03,1.260B,1.260B,198.99M,1.061B,560.20M,88.39M,648.59M,145.90M,22.87M,,,,,817.37M,244.13M,,,,-1.116M,,243.01M,69.80M,173.21M,,173.21M,134.83M,244.13M,,2017-03,0.52,,0.52,0.52,,2017-03,,,0.52,2017-03,329.97M,336.19M,,,2017-03,AOR,Restated
2016-12,1.258B,1.258B,215.00M,1.043B,537.16M,125.22M,662.38M,145.97M,22.44M,,,,,830.79M,212.03M,,,,-7.086M,,215.72M,66.02M,149.69M,,149.69M,132.85M,223.93M,,2016-12,0.45,,0.45,0.45,,2016-12,,,0.44,2016-12,334.94M,339.86M,,,2016-12,AOR,Restated
2016-09,1.185B,1.185B,182.97M,1.002B,512.67M,87.07M,599.74M,136.76M,22.86M,,,,,759.36M,242.22M,,,,-0.417M,,241.81M,71.83M,169.98M,,169.98M,127.29M,242.22M,,2016-09,0.50,,0.50,0.50,,2016-09,,,0.49,2016-09,338.68M,344.82M,,,2016-09,AOR,Restated
2016-06,1.216B,1.216B,205.56M,1.010B,520.26M,90.03M,610.29M,135.16M,23.64M,,,,,769.09M,241.31M,,,,2.47M,,243.78M,77.33M,166.45M,,166.45M,124.97M,241.31M,,2016-06,0.49,,0.49,0.49,,2016-06,,,0.48,2016-06,337.76M,344.03M,,,2016-06,AOR,Restated
2016-03,1.138B,1.138B,175.59M,962.54M,501.83M,90.13M,591.96M,133.53M,21.60M,,,,,747.09M,215.45M,,,,1.681M,,217.13M,66.77M,150.36M,,150.36M,119.13M,215.45M,,2016-03,0.44,,0.44,0.44,,2016-03,,,0.43,2016-03,339.52M,345.90M,,,2016-03,AOR,Restated
2015-12,1.175B,1.175B,199.22M,976.08M,489.10M,94.36M,583.46M,141.26M,24.22M,,,,,748.94M,227.13M,,,,0.628M,,227.93M,61.82M,166.11M,,166.11M,123.15M,239.20M,,2015-12,0.49,,0.49,0.49,,2015-12,,,0.48,2015-12,340.91M,347.96M,,,2015-12,AOR,Restated
2015-09,1.128B,1.128B,190.58M,937.30M,465.88M,98.70M,564.59M,132.81M,24.55M,,,,,721.95M,215.35M,,,,0.317M,,215.67M,68.39M,147.28M,,147.28M,115.56M,215.35M,,2015-09,0.43,,0.43,0.43,,2015-09,,,0.42,2015-09,344.04M,351.36M,,,2015-09,AOR,Restated
2015-06,1.126B,1.126B,192.32M,933.68M,463.44M,135.54M,598.98M,138.45M,24.51M,,,,,761.94M,171.74M,,,,-1.079M,,170.66M,55.62M,115.04M,,115.04M,113.07M,171.74M,,2015-06,0.33,,0.33,0.33,,2015-06,,,0.33,2015-06,344.43M,352.45M,,,2015-06,AOR,Restated
2015-03,996.09M,996.09M,168.66M,827.43M,420.18M,94.81M,514.99M,127.27M,18.25M,,,,,660.52M,166.91M,,,,0.208M,,167.12M,56.19M,110.93M,,110.93M,100.44M,166.91M,,2015-03,0.32,,0.32,0.32,,2015-03,,,0.32,2015-03,343.22M,351.66M,,,2015-03,AOR,Restated
2014-12,926.03M,926.03M,172.84M,753.19M,375.02M,62.56M,437.58M,106.91M,3.41M,,,,,547.89M,205.29M,,,,-9.167M,,208.48M,60.60M,147.87M,,147.87M,85.14M,220.38M,,2014-12,0.43,,0.43,0.43,,2014-12,,,0.42,2014-12,341.84M,350.14M,,,2014-12,AOR,Restated
2014-09,840.15M,840.15M,140.06M,700.08M,346.42M,64.88M,411.29M,97.03M,3.61M,,,,,511.93M,188.15M,,,,2.181M,,190.34M,61.33M,129.00M,,129.00M,75.41M,188.15M,,2014-09,0.38,,0.38,0.38,,2014-09,,,0.37,2014-09,341.19M,349.33M,,,2014-09,AOR,Restated
2014-06,851.76M,851.76M,162.37M,689.39M,343.23M,53.97M,397.20M,97.33M,3.229M,,,,,497.76M,191.63M,,,,2.737M,,194.37M,65.34M,129.03M,,129.03M,71.71M,191.63M,,2014-06,0.38,,0.38,0.38,,2014-06,,,0.37,2014-06,341.79M,349.79M,,,2014-06,AOR,Restated
2014-03,784.76M,784.76M,129.10M,655.66M,330.90M,55.21M,386.11M,91.54M,,,,,,477.66M,178.00M,,,,2.99M,,180.99M,61.47M,119.53M,,119.53M,70.09M,178.00M,,2014-03,0.35,,0.35,0.35,,2014-03,,,0.34,2014-03,343.70M,352.23M,,,2014-03,AOR,Restated
2013-12,795.33M,795.33M,142.12M,653.21M,319.84M,144.39M,464.23M,92.44M,,,,,,569.46M,83.75M,,,,-8.332M,,86.50M,26.44M,60.06M,,60.06M,74.08M,100.02M,,2013-12,0.17,,0.17,0.17,,2013-12,,,0.17,2013-12,343.50M,352.13M,,,2013-12,AOR,Restated
2013-09,727.83M,727.83M,119.58M,608.25M,304.66M,51.35M,356.02M,83.00M,,,,,,439.02M,169.24M,,,,3.509M,,172.75M,57.40M,115.34M,,115.34M,67.23M,169.24M,,2013-09,0.34,,0.34,0.34,,2013-09,,,0.33,2013-09,342.99M,351.45M,,,2013-09,AOR,Restated
2013-06,707.56M,707.56M,125.80M,581.76M,281.19M,51.83M,333.02M,82.28M,,,,,,415.30M,166.46M,,,,2.733M,,169.19M,56.28M,112.91M,,112.91M,62.89M,166.46M,,2013-06,0.33,,0.33,0.33,,2013-06,,,0.32,2013-06,343.80M,352.48M,,,2013-06,AOR,Restated
2013-03,680.03M,680.03M,127.23M,552.80M,267.36M,47.81M,315.17M,81.06M,,,,,,396.23M,156.57M,,,,3.044M,,159.61M,49.57M,110.04M,,110.04M,59.34M,156.57M,,2013-03,0.32,,0.32,0.32,,2013-03,,,0.31,2013-03,344.06M,352.82M,,,2013-03,AOR,Restated
2012-12,710.38M,710.38M,153.11M,557.27M,274.55M,43.66M,318.20M,78.62M,,,,,,396.83M,160.44M,,,,-4.218M,,167.70M,55.89M,111.81M,,111.81M,60.24M,181.56M,,2012-12,0.325,,0.325,0.325,,2012-12,,,0.315,2012-12,343.58M,352.48M,,,2012-12,AOR,Restated
2012-09,676.48M,676.48M,149.58M,526.90M,259.14M,41.97M,301.11M,78.09M,,,,,,379.21M,147.70M,,,,3.351M,,151.05M,52.16M,98.89M,,98.89M,56.12M,147.70M,,2012-09,0.29,,0.29,0.29,,2012-09,,,0.28,2012-09,342.50M,351.74M,,,2012-09,AOR,Restated
2012-06,637.36M,637.36M,147.50M,489.86M,241.88M,38.39M,280.27M,73.51M,,,,,,353.78M,136.08M,,,,2.814M,,138.90M,41.07M,97.83M,,97.83M,53.43M,136.08M,,2012-06,0.29,,0.29,0.29,,2012-06,,,0.28,2012-06,341.43M,351.27M,,,2012-06,AOR,Restated
2012-03,641.21M,641.21M,158.01M,483.20M,245.07M,39.55M,284.62M,71.14M,,,,,,355.76M,127.44M,,,,2.624M,,130.06M,41.36M,88.71M,,88.71M,52.79M,127.44M,,2012-03,0.26,,0.26,0.26,,2012-03,,,0.255,2012-03,339.94M,350.05M,,,2012-03,AOR,Restated
2011-12,615.63M,615.63M,132.05M,483.58M,238.22M,34.30M,272.52M,73.32M,,,1.441M,3.691M,2.25M,345.85M,137.73M,3.691M,1.441M,2.25M,-0.02M,2.25M,139.96M,48.77M,91.19M,,91.19M,55.72M,141.40M,,2011-12,0.27,,0.27,0.27,,2011-12,,,0.26,2011-12,339.01M,349.00M,,,2011-12,AOR,Restated
2011-09,571.64M,571.64M,120.46M,451.18M,220.18M,38.06M,258.24M,72.54M,,0.075M,1.40M,4.10M,2.70M,330.78M,120.39M,4.10M,1.40M,2.70M,0.075M,2.70M,123.17M,44.33M,78.84M,,78.84M,54.17M,124.57M,,2011-09,0.235,,0.2349,0.235,,2011-09,,,0.2249,2011-09,338.28M,348.57M,,,2011-09,AOR,Restated
2011-06,524.22M,524.22M,98.48M,425.74M,210.21M,37.76M,247.98M,69.79M,,2.88M,,,,317.77M,107.97M,,,,2.88M,,110.85M,38.81M,72.04M,,72.04M,52.53M,107.97M,,2011-06,0.215,,0.2094,0.215,,2011-06,,,0.2046,2011-06,336.60M,347.18M,,,2011-06,AOR,Restated
2011-03,491.66M,491.66M,90.68M,400.98M,201.35M,34.79M,236.14M,71.14M,,0.035M,1.50M,3.476M,1.976M,307.28M,93.70M,3.476M,1.50M,1.976M,0.035M,1.976M,95.71M,31.15M,64.56M,,64.56M,50.14M,97.21M,,2011-03,0.19,,0.1899,0.19,,2011-03,,,0.1849,2011-03,334.22M,345.31M,,,2011-03,AOR,Restated
2010-12,500.20M,500.20M,94.91M,405.29M,200.21M,30.92M,231.13M,70.83M,,,1.608M,2.747M,1.139M,301.96M,103.33M,2.747M,1.608M,1.139M,0.006M,1.139M,104.49M,33.85M,70.64M,,70.64M,52.47M,106.10M,,2010-12,0.215,,0.215,0.215,,2010-12,,,0.205,2010-12,331.97M,343.50M,,,2010-12,AOR,Restated
2010-09,462.68M,462.68M,79.15M,383.54M,189.32M,32.97M,222.29M,67.26M,,0.005M,1.70M,1.80M,0.10M,289.54M,93.99M,1.80M,1.70M,0.10M,0.005M,0.10M,94.08M,33.21M,60.87M,,60.87M,49.42M,95.78M,,2010-09,0.185,,0.1850,0.185,,2010-09,,,0.1800,2010-09,330.19M,341.44M,,,2010-09,AOR,Restated
2010-06,456.00M,456.00M,78.21M,377.79M,190.03M,33.42M,223.45M,67.99M,,-0.495M,,,0.421M,291.44M,86.35M,,,0.421M,-0.495M,0.421M,86.28M,30.80M,55.48M,,55.48M,46.65M,86.35M,,2010-06,0.17,,0.1710,0.17,,2010-06,,,0.1659,2010-06,329.34M,341.35M,,,2010-06,AOR,Restated
2010-03,431.34M,431.34M,68.08M,363.25M,187.59M,33.22M,220.82M,66.78M,,-0.076M,,,1.783M,287.60M,75.66M,,,1.783M,-0.076M,1.783M,77.36M,27.08M,50.29M,,50.29M,44.80M,75.66M,,2010-03,0.1525,,0.1527,0.1525,,2010-03,,,0.1476,2010-03,327.83M,340.42M,,,2010-03,AOR,Restated
2009-12,466.32M,466.32M,79.30M,387.02M,184.24M,35.15M,219.39M,74.47M,,-0.047M,,,0.595M,293.86M,93.16M,,,0.595M,-0.047M,0.595M,93.71M,33.21M,60.50M,,60.50M,51.98M,102.33M,,2009-12,0.185,,0.1851,0.185,,2009-12,,,0.1801,2009-12,326.70M,339.20M,,,2009-12,AOR,Restated
2009-09,409.42M,409.42M,69.48M,339.94M,171.42M,31.06M,202.47M,66.75M,,-0.003M,,,0.18M,269.23M,70.71M,,,0.18M,-0.003M,0.18M,70.89M,22.49M,48.39M,,48.39M,48.54M,70.71M,,2009-09,0.15,,0.1500,0.15,,2009-09,,,0.1425,2009-09,324.90M,336.69M,,,2009-09,AOR,Restated
2009-06,403.81M,403.81M,66.89M,336.92M,171.63M,34.04M,205.67M,65.09M,,0.213M,,,-0.146M,270.76M,66.16M,,,-0.146M,0.213M,-0.146M,66.22M,22.48M,43.74M,,43.74M,46.36M,66.16M,,2009-06,0.135,,0.1346,0.135,,2009-06,,,0.1296,2009-06,322.76M,334.36M,,,2009-06,AOR,Restated
2009-03,392.32M,392.32M,65.53M,326.79M,173.35M,26.72M,200.08M,64.74M,,0.204M,,,-0.321M,264.81M,61.98M,,,-0.321M,0.204M,-0.321M,61.86M,21.03M,40.83M,,40.83M,42.73M,61.98M,,2009-03,0.1275,,0.1271,0.1275,,2009-03,,,0.1221,2009-03,321.33M,331.43M,,,2009-03,AOR,Restated
2008-12,465.74M,465.74M,87.58M,378.15M,182.76M,24.56M,207.33M,69.37M,,-0.118M,,,1.137M,276.70M,101.45M,,,1.137M,-0.118M,1.137M,102.47M,30.93M,71.54M,,71.54M,46.74M,114.54M,,2008-12,0.2225,,0.2228,0.2225,,2008-12,,,0.2152,2008-12,321.66M,331.83M,,,2008-12,,Restated
2008-09,422.73M,422.73M,72.32M,350.41M,178.75M,35.82M,214.57M,68.09M,,-0.221M,,,0.428M,282.66M,67.75M,,,0.428M,-0.221M,0.428M,67.96M,22.94M,45.01M,,45.01M,43.28M,67.75M,,2008-09,0.14,,0.1405,0.14,,2008-09,,,0.1354,2008-09,323.13M,334.72M,,,2008-09,,Restated
2008-06,402.80M,402.80M,71.79M,331.01M,182.92M,28.99M,211.90M,65.89M,,0.042M,,,0.46M,277.79M,53.22M,,,0.46M,0.042M,0.46M,53.72M,18.44M,35.29M,,35.29M,41.82M,53.22M,,2008-06,0.11,,0.1099,0.11,,2008-06,,,0.1049,2008-06,322.47M,334.32M,,,2008-06,,Restated
2008-03,384.76M,384.76M,64.37M,320.39M,171.08M,23.68M,194.76M,69.16M,,-0.213M,,,1.03M,263.92M,56.47M,,,1.03M,-0.213M,1.03M,57.28M,20.47M,36.82M,,36.82M,38.63M,56.47M,,2008-03,0.115,,0.1154,0.115,,2008-03,,,0.1104,2008-03,321.53M,334.12M,,,2008-03,,Restated
2007-12,394.50M,394.50M,68.88M,325.62M,,,194.85M,72.22M,,-0.245M,,,,267.07M,58.56M,,,,-0.245M,,59.23M,17.90M,41.33M,,41.33M,41.88M,58.56M,,2007-12,0.13,,0.1305,0.13,,2007-12,,,0.1255,2007-12,320.97M,332.90M,,,2007-12,,
2007-09,372.94M,372.94M,57.81M,315.13M,,,192.92M,68.04M,,-0.402M,,,,260.96M,54.17M,,,,-0.402M,,53.58M,22.34M,31.23M,,31.23M,38.96M,54.17M,,2007-09,0.0975,,0.0983,0.0975,,2007-09,,,0.0933,2007-09,318.54M,333.53M,,,2007-09,,
2007-06,386.59M,386.59M,80.96M,305.63M,,,193.73M,63.72M,,-0.415M,,,,257.45M,48.18M,,,,-0.415M,,48.19M,21.34M,26.85M,,26.85M,37.30M,48.18M,,2007-06,0.085,,0.0859,0.085,,2007-06,,,0.0808,2007-06,316.89M,332.37M,,,2007-06,,
2007-03,365.85M,365.85M,72.46M,293.39M,,,183.61M,65.82M,,-0.322M,,,,249.44M,43.95M,,,,-0.322M,,43.75M,16.17M,27.58M,,27.58M,34.67M,43.95M,,2007-03,0.0875,,0.0881,0.0875,,2007-03,,,0.0831,2007-03,314.84M,330.59M,,,2007-03,,
2006-12,380.79M,380.79M,88.96M,291.83M,,,176.54M,64.91M,,0.048M,,,,241.45M,50.38M,,,,0.048M,,50.92M,11.77M,39.15M,,39.15M,36.17M,50.38M,,2006-12,0.125,,0.1249,0.125,,2006-12,,,0.1174,2006-12,316.89M,333.70M,,,2006-12,,
2006-09,345.45M,345.45M,69.80M,275.65M,,,169.61M,62.16M,,-0.033M,,,,231.77M,43.88M,,,,-0.033M,,43.83M,17.10M,26.73M,,26.73M,29.70M,43.88M,,2006-09,0.085,,0.0851,0.085,,2006-09,,,0.0826,2006-09,311.38M,327.18M,,,2006-09,,
2006-06,330.57M,330.57M,64.19M,266.38M,,,165.58M,60.89M,,-0.067M,,,,226.47M,39.91M,,,,-0.067M,,39.37M,15.50M,23.87M,,23.87M,29.48M,39.91M,,2006-06,0.0775,,0.0776,0.0775,,2006-06,,,0.0726,2006-06,310.10M,325.65M,,,2006-06,,
2006-03,321.22M,321.22M,68.02M,253.21M,,,162.20M,59.02M,,2.125M,,,,221.21M,31.99M,,,,2.125M,,33.43M,13.28M,20.14M,,20.14M,29.91M,31.99M,,2006-03,0.065,,0.0609,0.065,,2006-03,,,0.0586,2006-03,308.62M,325.62M,,,2006-03,,
2005-12,325.81M,325.81M,74.37M,251.44M,,,145.61M,59.46M,,0.279M,,,,205.06M,46.38M,,,,0.279M,,45.26M,17.89M,27.37M,,27.37M,17.74M,46.38M,,2005-12,0.0456,,0.0453,0.0456,,2005-12,,,0.0429,2005-12,592.86M,623.04M,,,2005-12,,
2005-09,294.62M,294.62M,65.30M,229.32M,,,138.15M,53.97M,,0.31M,,,,192.12M,37.20M,,,,0.31M,,36.15M,9.593M,26.56M,,26.56M,33.74M,37.20M,,2005-09,0.0438,,0.0434,0.0438,,2005-09,,,0.0415,2005-09,606.22M,638.35M,,,2005-09,,
2005-06,277.82M,277.82M,59.60M,218.21M,,,135.30M,48.70M,,0.047M,,,,184.01M,34.21M,,,,0.047M,,32.89M,13.09M,19.80M,,19.80M,31.71M,34.21M,,2005-06,0.0338,,0.0337,0.0338,,2005-06,,,0.0318,2005-06,594.51M,623.78M,,,2005-06,,
2005-03,262.53M,262.53M,55.41M,207.13M,,,128.76M,49.33M,,-6.352M,,,,178.09M,29.04M,,,,-6.352M,,20.94M,8.421M,12.52M,,12.52M,30.87M,29.04M,,2005-03,0.0212,,0.0277,0.0212,,2005-03,,,0.0268,2005-03,587.84M,612.70M,,,2005-03,,
2004-12,248.17M,248.17M,54.10M,194.07M,,,113.96M,43.43M,,-0.284M,,,,157.38M,36.69M,,,,-0.284M,,35.74M,14.32M,21.43M,,21.43M,24.93M,36.69M,,2004-12,0.0375,,0.0378,0.0375,,2004-12,,,0.0359,2004-12,575.20M,598.75M,,,2004-12,,
2004-09,231.07M,231.07M,45.01M,186.05M,,,116.86M,42.84M,,0.052M,,,,159.70M,26.36M,,,,0.052M,,24.82M,10.04M,14.78M,,14.78M,22.91M,26.36M,,2004-09,0.0256,,0.0256,0.0256,,2004-09,,,0.0243,2004-09,580.05M,602.45M,,,2004-09,,
2004-06,228.39M,228.39M,50.56M,177.83M,,,109.15M,42.77M,,-0.174M,,,,151.92M,25.91M,,,,-0.174M,,23.94M,9.626M,14.31M,,14.31M,21.68M,25.91M,,2004-06,0.025,,0.0252,0.025,,2004-06,,,0.0239,2004-06,576.70M,600.16M,,,2004-06,,
2004-03,218.73M,218.73M,46.67M,172.05M,,,106.99M,42.55M,,3.014M,,,,149.54M,22.51M,,,,3.014M,,23.41M,9.283M,14.13M,,14.13M,21.29M,22.51M,,2004-03,0.025,,0.0218,0.025,,2004-03,,,0.0207,2004-03,570.58M,595.55M,,,2004-03,,
2003-12,227.41M,227.41M,47.51M,179.90M,,,110.06M,41.07M,,-0.025M,,,,151.12M,28.78M,,,,-0.025M,,26.89M,10.68M,16.21M,,16.21M,19.16M,28.78M,,2003-12,0.0570,,0.0570,0.0570,,2003-12,,,0.0570,2003-12,284.43M,284.43M,,,2003-12,,
2003-09,206.29M,206.29M,45.44M,160.86M,,,99.88M,39.26M,,0.024M,,,,139.13M,21.72M,,,,0.024M,,20.05M,7.999M,12.05M,,12.05M,17.21M,21.72M,,2003-09,0.0212,,0.0212,0.0212,,2003-09,,,0.0206,2003-09,565.74M,581.84M,,,2003-09,,
2003-06,207.70M,207.70M,53.10M,154.60M,,,99.80M,38.46M,,0.127M,,,,138.25M,16.35M,,,,0.127M,,14.87M,5.928M,8.943M,,8.943M,16.58M,16.35M,,2003-06,0.0156,,0.0155,0.0156,,2003-06,,,0.0155,2003-06,566.32M,571.70M,,,2003-06,,
2003-03,198.19M,198.19M,48.25M,149.94M,,,101.23M,37.46M,,0.016M,,,,138.69M,11.25M,,,,0.016M,,9.418M,3.825M,5.593M,,5.593M,16.39M,11.25M,,2003-03,0.01,,0.0100,0.01,,2003-03,,,0.0094,2003-03,568.94M,587.36M,,,2003-03,,
2002-12,205.67M,205.67M,131.38M,74.29M,,,12.45M,34.51M,,-9.012M,,,,46.96M,27.34M,,,,-9.012M,,16.91M,6.966M,9.944M,0.00,9.944M,15.82M,27.34M,,2002-12,0.0175,,0.0270,0.0175,,2002-12,0.0000,,0.0261,2002-12,568.29M,586.13M,,,2002-12,,
2002-09,190.33M,190.33M,119.34M,70.99M,,,13.22M,33.85M,,0.033M,,,,47.07M,23.93M,,,,0.033M,,22.72M,8.948M,13.77M,,13.77M,14.35M,23.93M,,2002-09,0.0244,,0.0243,0.0244,,2002-09,,,0.0231,2002-09,567.94M,590.61M,,,2002-09,,
2002-06,180.57M,180.57M,115.83M,64.74M,,,12.30M,31.57M,,4.328M,,,,43.87M,20.87M,,,,4.328M,,23.83M,9.136M,14.69M,,14.69M,13.82M,20.87M,,2002-06,0.0256,,0.0209,0.0256,,2002-06,,,0.0199,2002-06,567.07M,599.65M,,,2002-06,,
2002-03,175.28M,175.28M,114.86M,60.42M,,,12.04M,29.69M,,0.011M,,,,41.74M,18.68M,,,,0.011M,,17.17M,6.767M,10.40M,,10.40M,13.35M,18.68M,,2002-03,0.0181,,0.0181,0.0181,,2002-03,,,0.0175,2002-03,566.03M,595.41M,,,2002-03,,
2001-12,151.79M,151.79M,95.91M,55.87M,,,9.86M,26.28M,,0.00,,,,36.14M,19.73M,,,,0.00,,18.27M,7.222M,11.05M,,11.05M,10.80M,19.73M,,2001-12,0.0395,,0.0395,0.0395,,2001-12,,,0.0395,2001-12,283.13M,283.13M,,,2001-12,,
2001-09,139.84M,139.84M,87.53M,52.31M,,,9.99M,25.53M,,,,,,35.52M,16.79M,,,,,,15.46M,6.217M,9.242M,,9.242M,12.93M,16.79M,,2001-09,0.0162,,0.0162,0.0162,,2001-09,,,0.0156,2001-09,559.41M,559.41M,,,2001-09,,
2001-06,129.99M,129.99M,83.05M,46.94M,,,8.982M,24.37M,,-120.04M,,,,33.35M,13.59M,,,,-120.04M,,-107.47M,-38.49M,-68.98M,,-68.98M,11.86M,13.59M,,2001-06,-0.2475,,0.0288,-0.2475,,2001-06,,,0.0288,2001-06,278.85M,278.85M,,,2001-06,,
