,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2015-03,230.00M,-12.00M,,-31.00M,41.00M,85.00M,296.00M,296.00M,,,22.00M,,-26.00M,-167.00M,-126.00M,-58.00M,-71.00M,-26.00M,-70.00M,-518.00M,,,2015-03,-95.00M,16.00M,-59.00M,-20.00M,-25.00M,,6.00M,,2015-03,-354.00M,204.00M,-150.00M,10.00M,-217.00M,-207.00M,-70.00M,-6.00M,-76.00M,-52.00M,,2015-03,1.411B,-470.00M,872.00M,,2015-03,,10.00M,663.00M,-1.017B,,2015-03,AOR,Restated
2014-12,222.00M,-13.00M,,-14.00M,,166.00M,-431.00M,-431.00M,,,-13.00M,,-83.00M,1.00M,115.00M,16.00M,188.00M,-41.00M,-165.00M,114.00M,,,2014-12,162.00M,10.00M,168.00M,4.00M,266.00M,,2.00M,,2014-12,15.00M,,160.00M,6.00M,-342.00M,-336.00M,-71.00M,-6.00M,-77.00M,-44.00M,,2014-12,1.015B,403.00M,1.252B,,2014-12,,6.00M,,-793.00M,,2014-12,AOR,Restated
2014-09,272.00M,-9.00M,,-37.00M,,80.00M,349.00M,349.00M,,,26.00M,,-118.00M,-68.00M,-34.00M,126.00M,-61.00M,28.00M,-29.00M,-38.00M,,,2014-09,-112.00M,8.00M,-83.00M,-21.00M,-24.00M,,0.00,,2014-09,-40.00M,,-40.00M,10.00M,-290.00M,-280.00M,-77.00M,-6.00M,-83.00M,-14.00M,,2014-09,1.007B,50.00M,1.015B,,2014-09,,10.00M,,-335.00M,,2014-09,AOR,Restated
2014-06,272.00M,1.00M,,2.00M,,130.00M,376.00M,376.00M,,,24.00M,,-83.00M,-132.00M,-43.00M,-96.00M,-24.00M,-82.00M,-43.00M,-420.00M,,,2014-06,-123.00M,2.00M,-100.00M,-21.00M,-212.00M,,7.00M,,2014-06,-299.00M,,-299.00M,19.00M,-204.00M,-185.00M,-73.00M,-6.00M,-79.00M,2.00M,,2014-06,1.567B,-562.00M,1.007B,,2014-06,,19.00M,,,,2014-06,AOR,Restated
2014-03,286.00M,-30.00M,,-42.00M,,69.00M,345.00M,345.00M,,,26.00M,,-62.00M,-203.00M,-60.00M,8.00M,-94.00M,-26.00M,-29.00M,-404.00M,,,2014-03,-103.00M,33.00M,-51.00M,-19.00M,-54.00M,,4.00M,,2014-03,4.00M,,4.00M,20.00M,-276.00M,-256.00M,-68.00M,-6.00M,-74.00M,-23.00M,,2014-03,1.764B,-183.00M,1.567B,,2014-03,,20.00M,,,,2014-03,AOR,Restated
2013-12,311.00M,-31.00M,,-7.00M,,88.00M,346.00M,346.00M,,,12.00M,,-99.00M,71.00M,144.00M,94.00M,13.00M,-16.00M,-163.00M,143.00M,,,2013-12,-111.00M,34.00M,-59.00M,-18.00M,15.00M,,9.00M,,2013-12,492.00M,,497.00M,28.00M,-527.00M,-499.00M,-71.00M,-6.00M,-77.00M,-21.00M,,2013-12,948.00M,815.00M,1.764B,,2013-12,,28.00M,,-125.00M,,2013-12,AOR,Restated
2013-09,291.00M,-24.00M,,-41.00M,,91.00M,340.00M,340.00M,,,19.00M,,-89.00M,345.00M,-41.00M,-61.00M,-38.00M,77.00M,-10.00M,272.00M,,,2013-09,-102.00M,41.00M,-43.00M,-18.00M,-24.00M,,3.00M,,2013-09,-610.00M,,-610.00M,43.00M,-206.00M,-163.00M,-77.00M,-6.00M,-83.00M,-15.00M,,2013-09,929.00M,8.00M,948.00M,,2013-09,,43.00M,,-610.00M,,2013-09,AOR,Restated
2013-06,277.00M,10.00M,,3.00M,,154.00M,343.00M,343.00M,,,28.00M,,-82.00M,-116.00M,-34.00M,32.00M,-19.00M,-45.00M,-41.00M,-223.00M,,,2013-06,-107.00M,8.00M,-76.00M,-23.00M,-67.00M,,2.00M,,2013-06,-378.00M,,-378.00M,31.00M,0.00,31.00M,-72.00M,-6.00M,-78.00M,-5.00M,,2013-06,993.00M,-61.00M,929.00M,,2013-06,,31.00M,,-321.00M,,2013-06,AOR,Restated
2013-03,300.00M,0.00,,-47.00M,,70.00M,329.00M,329.00M,,,31.00M,,-128.00M,-267.00M,-107.00M,-94.00M,-101.00M,-66.00M,-89.00M,-724.00M,,,2013-03,-107.00M,3.00M,-82.00M,-22.00M,-53.00M,,4.00M,,2013-03,57.00M,,57.00M,22.00M,-20.00M,2.00M,-52.00M,-6.00M,-58.00M,-2.00M,,2013-03,1.246B,-241.00M,993.00M,,2013-03,,22.00M,,,,2013-03,AOR,Restated
2012-12,343.00M,0.00,,-23.00M,,97.00M,336.00M,336.00M,,,33.00M,,-35.00M,505.00M,128.00M,350.00M,-69.00M,55.00M,-123.00M,846.00M,,,2012-12,-130.00M,1.00M,-104.00M,-25.00M,-33.00M,,2.00M,,2012-12,-850.00M,,-850.00M,1.00M,-335.00M,-334.00M,-54.00M,-6.00M,-60.00M,-6.00M,,2012-12,882.00M,363.00M,1.246B,,2012-12,,1.00M,,,,2012-12,AOR,Restated
2012-09,288.00M,5.00M,,-32.00M,,67.00M,339.00M,339.00M,,,30.00M,,-100.00M,-1.00M,-44.00M,7.00M,-34.00M,36.00M,-26.00M,-62.00M,,,2012-09,-140.00M,1.00M,-109.00M,-30.00M,-156.00M,,6.00M,,2012-09,199.00M,,199.00M,33.00M,-401.00M,-368.00M,-63.00M,-6.00M,-69.00M,8.00M,,2012-09,814.00M,75.00M,882.00M,,2012-09,,33.00M,,,,2012-09,AOR,Restated
2012-06,316.00M,-3.00M,,-4.00M,,153.00M,313.00M,313.00M,,,31.00M,,-169.00M,-45.00M,-50.00M,-93.00M,-61.00M,-127.00M,-80.00M,-456.00M,,,2012-06,-115.00M,3.00M,-79.00M,-33.00M,0.00,,14.00M,,2012-06,-455.00M,,-455.00M,3.00M,-308.00M,-305.00M,-57.00M,-6.00M,-63.00M,-4.00M,,2012-06,1.514B,-697.00M,814.00M,,2012-06,,3.00M,,,,2012-06,AOR,Restated
2012-03,276.00M,,,-31.00M,,65.00M,313.00M,313.00M,,,31.00M,,-132.00M,-288.00M,-34.00M,-144.00M,-101.00M,-35.00M,-3.00M,-605.00M,,,2012-03,-128.00M,4.00M,-87.00M,-37.00M,-87.00M,,-3.00M,,2012-03,998.00M,,998.00M,7.00M,-50.00M,-43.00M,-57.00M,-6.00M,-63.00M,-57.00M,,2012-03,902.00M,606.00M,1.514B,,2012-03,,7.00M,,,,2012-03,AOR,Restated
2011-12,383.00M,-1.00M,,-3.00M,348.00M,724.00M,361.00M,361.00M,,28.00M,31.00M,,-550.00M,108.00M,154.00M,279.00M,,,-234.00M,36.00M,,,2011-12,-134.00M,19.00M,-74.00M,-41.00M,-24.00M,9.00M,-10.00M,,2011-12,-553.00M,,-553.00M,3.00M,-419.00M,-416.00M,-59.00M,-6.00M,-65.00M,21.00M,,2011-12,785.00M,125.00M,902.00M,,2011-12,,3.00M,,,,2011-12,AOR,Restated
2011-09,329.00M,0.00,,-43.00M,-225.00M,-268.00M,301.00M,301.00M,,-4.00M,29.00M,,-48.00M,-188.00M,-141.00M,181.00M,,,117.00M,-31.00M,,,2011-09,-121.00M,5.00M,-75.00M,-41.00M,-51.00M,-1.00M,1.00M,,2011-09,602.00M,,-101.00M,10.00M,-309.00M,-299.00M,-63.00M,-6.00M,-69.00M,-23.00M,,2011-09,1.098B,-293.00M,785.00M,,2011-09,,10.00M,,,,2011-09,AOR,Restated
2011-06,327.00M,-8.00M,,-7.00M,-79.00M,-94.00M,298.00M,298.00M,,-9.00M,31.00M,,-78.00M,50.00M,-37.00M,-145.00M,,,-31.00M,-163.00M,,,2011-06,-135.00M,2.00M,-92.00M,-41.00M,-94.00M,-7.00M,19.00M,,2011-06,-13.00M,,690.00M,12.00M,3.00M,15.00M,-59.00M,-6.00M,-65.00M,-679.00M,,2011-06,1.00B,93.00M,1.098B,,2011-06,,12.00M,-13.00M,,,2011-06,AOR,Restated
2011-03,289.00M,,,-33.00M,-44.00M,-77.00M,291.00M,291.00M,,-15.00M,32.00M,,-57.00M,-176.00M,-100.00M,-233.00M,,,-22.00M,-531.00M,,,2011-03,-111.00M,2.00M,-69.00M,-40.00M,-43.00M,-1.00M,,,2011-03,13.00M,,13.00M,19.00M,-3.00M,16.00M,-60.00M,-6.00M,-66.00M,-5.00M,,2011-03,1.211B,-225.00M,1.00B,,2011-03,,19.00M,13.00M,,,2011-03,AOR,Restated
2010-12,179.00M,16.00M,,-2.00M,205.00M,437.00M,293.00M,293.00M,,-210.00M,37.00M,,155.00M,59.00M,160.00M,294.00M,,,-34.00M,372.00M,,,2010-12,-171.00M,12.00M,-109.00M,-50.00M,-60.00M,-19.00M,22.00M,,2010-12,-3.056B,,-868.00M,63.00M,-15.00M,48.00M,-59.00M,-6.00M,-65.00M,22.00M,,2010-12,975.00M,228.00M,1.211B,,2010-12,,63.00M,,,,2010-12,AOR,Restated
2010-09,256.00M,-15.00M,,-26.00M,-142.00M,-183.00M,284.00M,284.00M,,4.00M,29.00M,,-76.00M,-114.00M,-113.00M,134.00M,,,90.00M,-3.00M,,,2010-09,-145.00M,15.00M,-85.00M,-45.00M,-146.00M,13.00M,-3.00M,,2010-09,,,-150.00M,3.00M,0.00,3.00M,-59.00M,-6.00M,-65.00M,-19.00M,,2010-09,1.082B,-131.00M,975.00M,,2010-09,,3.00M,,,,2010-09,AOR,
2010-06,236.00M,1.00M,,-12.00M,-30.00M,-41.00M,279.00M,279.00M,,11.00M,30.00M,,45.00M,132.00M,-61.00M,18.00M,,,-22.00M,67.00M,,,2010-06,-127.00M,6.00M,-77.00M,-44.00M,-4.00M,6.00M,-11.00M,,2010-06,1.643B,,-395.00M,2.00M,,2.00M,-60.00M,-3.00M,-63.00M,-1.00M,,2010-06,1.01B,91.00M,1.082B,,2010-06,,2.00M,,1.643B,,2010-06,AOR,Restated
2010-03,-34.00M,-2.00M,,3.00M,-33.00M,-32.00M,241.00M,241.00M,,195.00M,27.00M,,-39.00M,-66.00M,-137.00M,169.00M,,,-8.00M,-42.00M,,,2010-03,-76.00M,19.00M,-32.00M,-25.00M,-1.524B,,15.00M,,2010-03,-1.643B,,-1.643B,115.00M,0.00,115.00M,-37.00M,0.00,-37.00M,,,2010-03,3.799B,-2.756B,1.01B,,2010-03,,115.00M,0.00,-1.643B,,2010-03,AOR,Restated
2009-12,191.00M,-1.00M,6.00M,,-25.00M,-45.00M,185.00M,185.00M,,-8.00M,31.00M,,-567.00M,58.00M,160.00M,292.00M,-61.00M,,298.00M,747.00M,,,2009-12,-49.00M,1.00M,-25.00M,-23.00M,-18.00M,-4.00M,1.00M,,2009-12,864.00M,,1.787B,0.00,-1.00M,-1.00M,-37.00M,0.00,-37.00M,-3.00M,,2009-12,1.159B,2.644B,3.799B,,2009-12,,0.00,871.00M,50.00M,,2009-12,AOR,Restated
2009-09,129.00M,-6.00M,-12.00M,,-38.00M,-56.00M,176.00M,176.00M,,,23.00M,0.00,318.00M,121.00M,77.00M,138.00M,17.00M,,-333.00M,20.00M,,,2009-09,-40.00M,7.00M,-14.00M,-19.00M,0.00,1.00M,1.00M,,2009-09,-615.00M,,-615.00M,1.00M,0.00,1.00M,-37.00M,0.00,-37.00M,-3.00M,,2009-09,1.221B,-75.00M,1.159B,,2009-09,,1.00M,-605.00M,-10.00M,,2009-09,AOR,Restated
2009-06,147.00M,-7.00M,6.00M,,-31.00M,-32.00M,168.00M,168.00M,,2.00M,14.00M,0.00,-2.00M,256.00M,187.00M,-105.00M,44.00M,105.00M,-175.00M,312.00M,,,2009-06,-39.00M,6.00M,-5.00M,-28.00M,0.00,-3.00M,,,2009-06,136.00M,,136.00M,0.00,-11.00M,-11.00M,-38.00M,0.00,-38.00M,-5.00M,,2009-06,549.00M,655.00M,1.221B,,2009-06,,0.00,-266.00M,402.00M,,2009-06,AOR,Restated
2009-03,49.00M,-2.00M,,,-28.00M,-30.00M,169.00M,169.00M,,-2.00M,17.00M,,-19.00M,280.00M,-105.00M,-168.00M,,-105.00M,-64.00M,-162.00M,,,2009-03,-65.00M,3.00M,-34.00M,-28.00M,-145.00M,0.00,,,2009-03,-442.00M,,-442.00M,0.00,,0.00,-37.00M,,-37.00M,-3.00M,,2009-03,1.229B,-667.00M,549.00M,,2009-03,,0.00,,-442.00M,,2009-03,AOR,Restated
2008-12,9.00M,1.00M,,-53.00M,-28.00M,-80.00M,171.00M,171.00M,,349.00M,19.00M,,-947.00M,30.00M,61.00M,260.00M,,,157.00M,508.00M,,,2008-12,-91.00M,1.00M,-63.00M,-27.00M,-2.00M,411.00M,-54.00M,,2008-12,-935.00M,,-9.00M,,-8.00M,-2.00M,-38.00M,,-38.00M,-11.00M,,2008-12,873.00M,390.00M,1.229B,,2008-12,,,-900.00M,192.00M,,2008-12,,Restated
2008-09,267.00M,0.00,,,-205.00M,-205.00M,175.00M,175.00M,,14.00M,26.00M,,1.00M,39.00M,-10.00M,94.00M,6.00M,47.00M,-194.00M,-18.00M,,,2008-09,-85.00M,1.00M,-42.00M,-42.00M,-11.00M,-266.00M,5.00M,,2008-09,284.00M,,284.00M,,-92.00M,-92.00M,-37.00M,,-37.00M,-2.00M,,2008-09,843.00M,57.00M,873.00M,,2008-09,,,329.00M,-45.00M,,2008-09,,Restated
2008-06,233.00M,-15.00M,,27.00M,-31.00M,-19.00M,178.00M,178.00M,,66.00M,20.00M,,8.00M,56.00M,-36.00M,40.00M,28.00M,-24.00M,-108.00M,-44.00M,,,2008-06,-88.00M,27.00M,-28.00M,-33.00M,-138.00M,-138.00M,52.00M,,2008-06,266.00M,,266.00M,,-378.00M,-378.00M,-39.00M,,-39.00M,-3.00M,,2008-06,842.00M,3.00M,843.00M,,2008-06,,,325.00M,-59.00M,,2008-06,,Restated
2008-03,-244.00M,-7.00M,,-27.00M,-35.00M,-69.00M,145.00M,145.00M,,,20.00M,,807.00M,96.00M,-129.00M,-183.00M,-34.00M,-23.00M,-334.00M,-607.00M,,,2008-03,-71.00M,9.00M,-35.00M,-27.00M,-4.00M,1.00M,,,2008-03,158.00M,,158.00M,,-367.00M,-367.00M,-40.00M,,-40.00M,-1.00M,,2008-03,1.099B,-263.00M,842.00M,,2008-03,,,246.00M,-88.00M,,2008-03,,Restated
2007-12,382.00M,,,,,-60.00M,171.00M,171.00M,,,,,43.00M,-3.00M,146.00M,208.00M,,,-101.00M,250.00M,,,2007-12,-112.00M,12.00M,-100.00M,,-58.00M,0.00,148.00M,,2007-12,,,-717.00M,6.00M,-131.00M,-125.00M,,,,79.00M,,2007-12,848.00M,237.00M,1.099B,,2007-12,,6.00M,,,,2007-12,,
