,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,72.40M,,,,22.50M,22.50M,,,,,-105.00M,-105.00M,,-10.10M,,-8.70M,-276.30M,,0.10M,-284.90M,,31.20M,0.00,31.20M,-30.00M,-30.00M,-19.70M,-19.70M,-2.40M,-20.90M,,466.20M,-315.90M,1.50M,151.80M,,40.00M,-8.80M,-30.00M,,AOR,Restated
2017-12,12.10M,,,,17.00M,17.00M,,,,-2.40M,94.50M,66.30M,,177.20M,,-15.60M,1.30M,,0.20M,-14.10M,,26.20M,0.00,26.20M,0.00,0.00,-15.30M,-15.30M,-50.30M,-32.20M,,334.90M,130.90M,0.40M,466.20M,,800.00M,-773.80M,0.00,,AOR,Restated
2017-09,90.10M,,,,17.20M,17.20M,,,,0.00,-1.30M,-1.30M,,106.00M,,-12.30M,0.30M,,1.80M,-10.20M,,8.70M,0.00,8.70M,0.00,0.00,-15.20M,-15.20M,-1.70M,-8.20M,,245.50M,87.60M,1.80M,334.90M,,865.00M,-856.30M,0.00,,AOR,Restated
2017-06,105.80M,,,,16.20M,16.20M,,,,0.00,-17.10M,-17.10M,,104.90M,,-13.60M,15.20M,,0.30M,1.90M,,-11.70M,-0.20M,-11.90M,-30.00M,-30.00M,-15.20M,-15.20M,2.60M,-54.50M,,189.60M,52.30M,3.60M,245.50M,,0.00,-11.70M,-30.00M,,AOR,Restated
2017-03,68.70M,,,,16.50M,16.50M,,,,-50.00M,-76.10M,-76.10M,,-40.90M,,-7.80M,-20.80M,,0.80M,-27.80M,,-11.80M,-1.10M,-12.90M,-30.00M,-30.00M,-15.20M,-15.20M,2.10M,-56.00M,,312.40M,-124.70M,1.90M,189.60M,,0.00,-11.80M,-30.00M,,AOR,Restated
2016-12,75.00M,0.00,,-14.30M,16.20M,16.20M,,,,,112.90M,107.00M,,199.10M,,-16.10M,-4.30M,0.00,5.60M,-14.70M,,6.60M,-17.40M,-10.80M,-55.10M,-55.10M,-11.50M,-11.50M,-8.40M,-80.00M,,214.50M,104.40M,-6.50M,312.40M,,0.00,6.60M,-55.10M,,AOR,Restated
2016-09,2.00M,84.40M,,84.40M,17.20M,17.20M,,,,,-26.40M,-26.40M,,77.20M,,-9.90M,0.00,0.00,-0.90M,-10.80M,,-13.10M,0.00,-13.10M,0.00,0.00,-11.60M,-11.60M,3.70M,-21.00M,,169.10M,45.40M,0.00,214.50M,,0.00,-13.10M,0.00,,AOR,Restated
2016-06,95.40M,,,,17.10M,17.10M,,,,,-10.50M,-10.50M,,102.00M,,-9.10M,-31.40M,7.50M,-2.70M,-35.70M,,-28.80M,16.60M,-12.20M,0.00,0.00,-11.50M,-11.50M,3.50M,-20.20M,,125.50M,46.10M,-2.50M,169.10M,,,-28.80M,0.00,,AOR,Restated
2016-03,58.80M,,,,16.40M,16.40M,,,,,-76.00M,-76.00M,,-0.80M,,-7.40M,0.00,6.60M,-2.00M,-2.80M,,-11.70M,-16.60M,-28.30M,-30.00M,-30.00M,-11.40M,-11.40M,-5.10M,-74.80M,,199.70M,-78.40M,4.20M,125.50M,,,-11.70M,-30.00M,,AOR,Restated
2015-12,72.00M,-1.70M,,-11.50M,15.70M,15.70M,,,,,98.70M,57.20M,0.10M,131.50M,,-7.90M,0.10M,10.80M,-2.70M,0.60M,,-96.10M,7.00M,-89.10M,0.00,0.00,-9.60M,-9.60M,-18.20M,-105.90M,,175.20M,26.20M,-1.70M,199.70M,,320.00M,-416.10M,0.00,,AOR,Restated
2015-09,-26.20M,104.50M,,104.50M,12.70M,12.70M,,,,,1.60M,1.60M,-0.30M,92.30M,,-8.70M,-459.30M,1.50M,-1.40M,-467.90M,,380.00M,-0.40M,379.60M,0.00,0.00,-9.60M,-9.60M,-16.50M,353.50M,,201.00M,-22.10M,-3.70M,175.20M,,380.00M,0.00,0.00,,AOR,Restated
2015-06,65.00M,,,,12.70M,12.70M,,,,,-48.90M,-48.90M,0.00,28.80M,,-9.20M,-43.00M,0.00,0.10M,-52.10M,,-12.20M,12.40M,0.20M,0.00,0.00,-9.60M,-9.60M,3.50M,-5.90M,,229.60M,-29.20M,0.60M,201.00M,,,-12.20M,0.00,,AOR,Restated
2015-03,43.90M,,,,12.10M,12.10M,,,,,-51.40M,-51.40M,-0.20M,4.40M,,-9.40M,-9.00M,,4.00M,-14.40M,,-12.20M,-0.20M,-12.40M,-30.00M,-30.00M,-9.50M,-9.50M,5.20M,-46.70M,,290.50M,-56.70M,-4.20M,229.60M,,,-12.20M,-30.00M,,AOR,Restated
2014-12,22.50M,0.00,,-0.40M,12.30M,12.30M,,,,,22.90M,8.60M,-0.30M,83.90M,,-11.70M,-1.00M,,-1.70M,-13.90M,,-33.50M,18.60M,-14.90M,0.00,0.00,-7.40M,-7.40M,-21.20M,-29.40M,,251.40M,40.60M,-1.50M,290.50M,,956.30M,-989.80M,0.00,,AOR,Restated
2014-09,68.10M,0.00,,0.00,12.10M,12.10M,,,,,29.20M,29.20M,-1.20M,108.20M,,-13.80M,0.00,,1.10M,-12.70M,,-7.50M,-0.40M,-7.90M,-20.00M,-20.00M,-7.70M,-7.70M,0.80M,-34.80M,,193.20M,60.70M,-2.50M,251.40M,,0.00,-7.50M,-20.00M,,AOR,Restated
2014-06,54.70M,,,,12.20M,12.20M,,,,,-1.50M,-1.50M,-0.70M,64.70M,,-16.80M,-17.70M,,40.60M,6.10M,,-7.00M,-40.20M,-47.20M,-30.30M,-30.30M,-7.70M,-7.70M,2.80M,-82.40M,,205.40M,-11.60M,-0.60M,193.20M,,,-7.00M,-30.30M,,AOR,Restated
2014-03,38.40M,,,,12.20M,12.20M,,,,,-50.60M,-50.60M,-0.90M,-0.90M,,-9.20M,-5.30M,,0.20M,-14.30M,,-8.00M,,-8.00M,0.00,0.00,-7.20M,-7.20M,11.80M,-3.40M,,227.40M,-18.60M,-3.40M,205.40M,,,-8.00M,0.00,,AOR,Restated
2013-12,11.00M,,-0.50M,-0.50M,11.90M,11.90M,17.70M,0.00,,-167.70M,31.20M,61.80M,-6.30M,66.30M,,-8.20M,,,-64.60M,-31.10M,,1.300B,,1.339B,0.00,0.00,0.00,0.00,-1.509B,-168.50M,,368.50M,-133.30M,-7.80M,227.40M,,,0.20M,0.00,,AOR,Restated
2013-09,-67.60M,,-21.30M,-21.30M,11.30M,11.30M,0.00,137.60M,0.00,137.60M,35.70M,35.70M,2.70M,98.40M,,-3.30M,0.00,,22.60M,19.30M,,-0.60M,,-0.60M,0.00,0.00,0.00,0.00,-87.40M,-88.00M,,322.20M,29.70M,16.60M,368.50M,,,-0.20M,0.00,,,Restated
2013-06,63.80M,,,,11.20M,11.20M,,,,,-14.60M,-14.60M,-1.60M,58.80M,,-3.40M,0.00,,0.60M,-2.80M,,-1.30M,,-1.30M,0.00,0.00,0.00,0.00,-52.80M,-54.10M,,313.80M,1.90M,6.50M,322.20M,,,,0.00,,AOR,
2013-03,41.20M,,,,11.70M,11.70M,,,,,-52.30M,-52.30M,-0.20M,0.40M,,-5.30M,0.00,,1.20M,-4.10M,,1.70M,,1.70M,,,0.00,0.00,16.50M,18.20M,,317.50M,14.50M,-18.20M,313.80M,,,,,,AOR,
