,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-06,519.50M,519.50M,297.70M,221.80M,126.10M,,11.30M,0.50M,-10.80M,126.10M,95.70M,0.50M,11.30M,-10.80M,-0.90M,-10.80M,84.00M,19.00M,65.00M,0.00,-1.10M,63.90M,64.36M,108.00M,12.70M,95.30M,,0.67,0.00,0.6748,0.67,,0.66,0.00,0.6648,0.66,,95.80M,96.70M,0.10,,AOR,Restated
2015-03,458.70M,458.70M,271.60M,187.10M,116.10M,,11.60M,0.30M,-11.30M,116.10M,71.00M,0.30M,11.60M,-11.30M,-3.40M,-11.30M,56.30M,12.40M,43.90M,-0.20M,1.70M,45.40M,48.17M,80.00M,12.10M,67.90M,,0.48,-0.01,0.5068,0.47,,0.47,-0.01,0.4966,0.47,,95.90M,96.90M,0.10,,AOR,Restated
2014-12,573.50M,573.50M,374.60M,198.90M,135.80M,0.00,15.50M,0.70M,-14.80M,135.80M,63.10M,0.70M,15.50M,-14.80M,-8.40M,-14.80M,39.90M,17.40M,22.50M,-0.30M,13.20M,35.40M,42.14M,67.70M,12.30M,55.40M,,0.37,0.00,0.4372,0.37,,0.37,0.00,0.4364,0.37,,95.80M,96.90M,0.08,,AOR,Restated
2014-09,546.70M,546.70M,310.10M,236.60M,130.50M,0.00,12.70M,0.10M,-12.60M,130.50M,106.10M,0.10M,12.70M,-12.60M,1.90M,-12.60M,95.40M,27.30M,68.10M,-2.00M,-5.30M,60.80M,61.59M,120.20M,12.10M,108.10M,,0.65,-0.02,0.6373,0.63,,0.65,-0.02,0.6375,0.63,,95.90M,96.90M,0.08,,AOR,Restated
2014-06,531.50M,531.50M,305.50M,226.00M,136.70M,,12.50M,0.10M,-12.40M,136.70M,89.30M,0.10M,12.50M,-12.40M,0.90M,-12.40M,77.80M,23.10M,54.70M,-8.00M,-3.50M,43.20M,50.71M,102.50M,12.20M,90.30M,,0.53,-0.08,0.5249,0.45,,0.53,-0.09,0.5249,0.44,,96.30M,97.30M,0.08,,AOR,Restated
2014-03,466.60M,466.60M,274.40M,192.20M,124.40M,,13.10M,0.20M,-12.90M,124.40M,67.80M,0.20M,13.10M,-12.90M,-0.10M,-12.90M,54.80M,16.40M,38.40M,-0.80M,-1.80M,35.80M,36.67M,80.10M,12.20M,67.90M,,0.38,-0.01,0.3807,0.37,,0.38,-0.01,0.3807,0.37,,96.30M,97.40M,0.08,,AOR,Restated
2013-12,543.70M,543.70M,325.10M,218.60M,125.90M,0.00,8.80M,0.70M,-8.10M,125.90M,92.70M,0.70M,8.80M,-8.10M,-1.00M,-8.10M,83.60M,72.60M,11.00M,-1.70M,1.40M,10.70M,13.12M,104.30M,11.90M,92.40M,,0.11,-0.01,0.1174,0.10,,0.10,-0.01,0.1074,0.10,,96.03M,96.03M,,,AOR,Restated
2013-09,529.00M,529.00M,290.60M,238.40M,122.20M,-137.60M,0.50M,0.00,-0.50M,122.20M,116.20M,0.00,0.50M,-0.50M,-137.80M,-0.50M,-22.10M,45.50M,-67.60M,-0.40M,-10.10M,-78.10M,11.74M,-10.30M,11.30M,-21.60M,,,,0.1223,-0.8133,,,,0.1223,-0.8133,,96.03M,96.03M,,,,Restated
2013-06,528.70M,528.70M,310.20M,218.50M,118.50M,,0.50M,0.00,-0.50M,118.50M,100.00M,0.00,0.50M,-0.50M,0.80M,-0.50M,100.30M,37.00M,63.30M,-0.80M,-2.20M,60.30M,60.72M,112.00M,11.20M,100.80M,,,,0.6323,0.6279,,,,0.6323,0.6279,,96.03M,96.03M,,,AOR,
2013-03,473.30M,473.30M,287.20M,186.10M,117.30M,,0.40M,0.10M,-0.30M,117.30M,68.80M,0.10M,0.40M,-0.30M,-7.60M,-0.30M,60.90M,19.70M,41.20M,-0.20M,-1.60M,39.40M,44.68M,73.00M,11.70M,61.30M,,,,0.4653,0.4103,,,,0.4653,0.4103,,96.03M,96.03M,,,AOR,
2012-12,522.90M,522.90M,303.50M,219.40M,117.30M,0.00,0.30M,,-0.20M,117.30M,102.10M,,0.30M,-0.20M,-0.70M,-0.20M,101.20M,37.50M,63.70M,-2.70M,-1.80M,59.20M,62.40M,112.70M,11.20M,101.50M,,,,0.6498,0.6165,,,,0.6498,0.6165,,96.03M,96.03M,,,AOR,
