,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2013-03,2.632B,2.632B,1.726B,906.00M,,,0.00,28.00M,,131.00M,2.00M,-129.00M,,414.00M,492.00M,2.00M,131.00M,-129.00M,21.00M,-129.00M,384.00M,98.00M,286.00M,12.00M,,298.00M,265.14M,929.00M,414.00M,515.00M,0.79,0.04,,0.7260,0.83,0.78,0.04,,,2013-03,326.00M,329.00M,0.3375,,2013-03,AOR,Restated
2012-12,3.06B,3.06B,1.587B,1.473B,,,37.00M,-5.00M,,131.00M,2.00M,-129.00M,,671.00M,802.00M,2.00M,131.00M,-129.00M,-16.00M,-129.00M,657.00M,-154.00M,811.00M,-1.326B,,-515.00M,814.25M,1.184B,396.00M,788.00M,2.41,-4.06,,2.420,-1.65,2.37,-4.06,,,2012-12,326.00M,336.00M,0.3375,,2012-12,AOR,Restated
2012-09,3.734B,3.734B,2.688B,1.046B,,,-66.00M,95.00M,,131.00M,2.00M,-129.00M,,399.00M,647.00M,2.00M,131.00M,-129.00M,92.00M,-129.00M,610.00M,228.00M,382.00M,-167.00M,,215.00M,322.53M,1.157B,416.00M,741.00M,1.09,-0.51,,0.9076,0.58,1.09,-0.51,,,2012-09,326.00M,329.00M,0.325,,2012-09,AOR,Restated
2012-06,2.653B,2.653B,1.834B,819.00M,,,-1.00M,35.00M,,134.00M,2.00M,-132.00M,,400.00M,419.00M,2.00M,134.00M,-132.00M,20.00M,-132.00M,307.00M,100.00M,207.00M,-109.00M,,97.00M,182.41M,856.00M,415.00M,441.00M,0.56,-0.33,,0.4876,0.23,0.55,-0.33,,,2012-06,326.00M,334.00M,0.325,,2012-06,AOR,Restated
2012-03,2.415B,2.415B,1.638B,777.00M,,,,27.00M,,126.00M,2.00M,-124.00M,,388.00M,389.00M,2.00M,126.00M,-124.00M,22.00M,-124.00M,287.00M,91.00M,196.00M,-84.00M,,112.00M,177.56M,820.00M,407.00M,413.00M,0.54,-0.26,,0.4834,0.28,0.54,-0.26,,,2012-03,326.00M,329.00M,0.325,,2012-03,AOR,Restated
2011-12,1.251B,1.251B,3.981B,-2.73B,,,,31.00M,,-115.00M,-33.00M,82.00M,,-3.17B,440.00M,-33.00M,-115.00M,82.00M,-72.00M,82.00M,450.00M,198.00M,252.00M,-1.075B,,-780.00M,274.85M,490.00M,43.00M,335.00M,0.73,-3.30,,0.6682,-2.57,0.71,-3.30,,,2011-12,326.00M,329.00M,0.325,,2011-12,AOR,Restated
2011-09,3.822B,3.822B,1.536B,2.286B,,,,16.00M,,203.00M,4.00M,-199.00M,,1.501B,785.00M,4.00M,203.00M,-199.00M,72.00M,-199.00M,658.00M,232.00M,426.00M,15.00M,,426.00M,400.64M,1.318B,457.00M,861.00M,1.26,0.05,,1.228,1.31,1.25,0.05,,,2011-09,326.00M,329.00M,0.32,,2011-09,AOR,Restated
2011-06,2.983B,2.983B,905.00M,2.078B,,,,21.00M,,203.00M,30.00M,-173.00M,,1.69B,388.00M,30.00M,203.00M,-173.00M,39.00M,-173.00M,254.00M,62.00M,192.00M,-1.00M,,176.00M,161.13M,930.00M,473.00M,457.00M,0.54,0.00,,0.4913,0.54,0.54,0.00,,,2011-06,326.00M,329.00M,0.32,,2011-06,AOR,Restated
2011-03,2.782B,2.782B,766.00M,2.016B,,,,28.00M,,196.00M,4.00M,-192.00M,,1.566B,450.00M,4.00M,196.00M,-192.00M,23.00M,-192.00M,281.00M,65.00M,216.00M,-2.00M,,200.00M,180.48M,931.00M,454.00M,477.00M,0.62,-0.01,,0.5540,0.61,0.62,-0.01,,,2011-03,326.00M,328.00M,0.32,,2011-03,AOR,Restated
2010-12,640.00M,656.00M,3.687B,-3.031B,,,,59.00M,,-78.00M,-17.00M,61.00M,,-3.133B,102.00M,-17.00M,-78.00M,61.00M,-70.00M,61.00M,93.00M,74.00M,19.00M,160.00M,,218.00M,19.65M,178.00M,163.00M,15.00M,0.02,0.49,,-0.0976,0.51,0.02,0.49,,,2010-12,326.00M,332.00M,0.32,,2010-12,AOR,Restated
2010-09,3.788B,3.788B,1.446B,2.342B,,,,21.00M,,175.00M,4.00M,-171.00M,,1.48B,862.00M,4.00M,175.00M,-171.00M,83.00M,-171.00M,774.00M,247.00M,527.00M,-4.00M,,510.00M,499.70M,1.361B,412.00M,949.00M,1.57,-0.01,,1.526,1.56,1.57,-0.01,,,2010-09,326.00M,328.00M,0.315,,2010-09,AOR,Restated
2010-06,2.741B,2.741B,866.00M,1.875B,,,,20.00M,,175.00M,4.00M,-171.00M,,1.524B,351.00M,4.00M,175.00M,-171.00M,40.00M,-171.00M,220.00M,-136.00M,356.00M,1.00M,,344.00M,330.00M,807.00M,412.00M,395.00M,1.05,0.00,,1.010,1.05,1.05,0.00,,,2010-06,326.00M,327.00M,0.315,,2010-06,AOR,Restated
2010-03,2.81B,2.81B,903.00M,1.907B,,3.00M,,26.00M,,168.00M,19.00M,-149.00M,,1.409B,498.00M,19.00M,168.00M,-149.00M,44.00M,-149.00M,393.00M,150.00M,243.00M,6.00M,,236.00M,213.92M,954.00M,393.00M,561.00M,0.70,0.02,,0.6507,0.72,0.70,0.02,,,2010-03,326.00M,328.00M,0.315,,2010-03,AOR,Restated
2009-12,3.051B,3.051B,993.00M,2.058B,,,,-866.00M,,176.00M,3.00M,-173.00M,,728.00M,1.33B,3.00M,176.00M,-173.00M,-858.00M,-173.00M,299.00M,71.00M,228.00M,-2.00M,,212.00M,874.36M,1.062B,587.00M,475.00M,0.66,-0.01,,2.686,0.65,0.65,-0.01,,,2009-12,326.00M,326.00M,0.315,,2009-12,AOR,Restated
2009-09,3.664B,3.664B,1.438B,2.226B,,0.00,,58.00M,,187.00M,2.00M,-185.00M,1.093B,1.458B,768.00M,2.00M,187.00M,-185.00M,93.00M,-185.00M,676.00M,232.00M,444.00M,-1.00M,,403.00M,365.91M,1.228B,365.00M,863.00M,1.23,0.00,,1.113,1.23,1.22,0.00,,,2009-09,326.00M,329.00M,0.31,,2009-09,AOR,Restated
2009-06,2.834B,2.834B,911.00M,1.923B,,866.00M,,13.00M,,182.00M,17.00M,-165.00M,1.074B,2.287B,-364.00M,17.00M,182.00M,-165.00M,19.00M,-165.00M,-510.00M,-524.00M,14.00M,-7.00M,,-16.00M,-17.45M,19.00M,346.00M,-328.00M,-0.03,-0.02,,-0.0559,-0.05,-0.03,-0.02,,,2009-06,326.00M,327.00M,0.31,,2009-06,AOR,Restated
2009-03,2.812B,2.812B,927.00M,1.885B,,,,20.00M,,187.00M,10.00M,-177.00M,990.00M,1.332B,553.00M,10.00M,187.00M,-177.00M,12.00M,-177.00M,388.00M,122.00M,266.00M,3.00M,,250.00M,233.29M,917.00M,342.00M,575.00M,0.75,0.01,,0.7079,0.76,0.75,0.01,,,2009-03,326.00M,327.00M,0.31,,2009-03,AOR,Restated
2008-12,3.536B,3.536B,1.156B,2.38B,,,,-46.00M,,,,,,1.885B,495.00M,,,,-15.00M,,386.00M,75.00M,311.00M,,,178.00M,215.06M,1.066B,446.00M,620.00M,0.66,0.00,,0.7737,0.66,0.66,0.00,,,2008-12,326.00M,329.00M,0.31,,2008-12,,Restated
2008-09,4.111B,4.111B,2.597B,1.514B,,,,-29.00M,,,,,288.00M,550.00M,964.00M,,,,-29.00M,,723.00M,277.00M,446.00M,6.00M,,452.00M,463.89M,1.292B,328.00M,964.00M,1.31,0.02,,1.365,1.33,1.31,0.02,,,2008-09,326.00M,328.00M,0.305,,2008-09,,
2008-06,3.477B,3.477B,1.58B,1.897B,,-56.00M,,9.00M,,165.00M,22.00M,-143.00M,1.113B,1.391B,506.00M,22.00M,165.00M,-143.00M,18.00M,-143.00M,381.00M,83.00M,298.00M,-1.00M,,261.00M,254.96M,880.00M,334.00M,546.00M,0.79,0.00,,0.7684,0.79,0.79,0.00,,,2008-06,326.00M,329.00M,0.305,,2008-06,,Restated
2008-03,3.113B,3.113B,1.23B,1.883B,,,,13.00M,,171.00M,14.00M,-157.00M,944.00M,1.255B,628.00M,14.00M,171.00M,-157.00M,15.00M,-157.00M,486.00M,161.00M,325.00M,-5.00M,,299.00M,295.31M,968.00M,311.00M,657.00M,0.92,-0.01,,0.8933,0.91,0.92,-0.01,,,2008-03,326.00M,329.00M,0.305,,2008-03,,Restated
2007-12,2.966B,2.966B,1.254B,1.712B,,,,-41.00M,,,,,983.00M,1.227B,485.00M,,,,-41.00M,,276.00M,100.00M,176.00M,-3.00M,,173.00M,202.14M,829.00M,344.00M,485.00M,0.65,-0.01,,0.7302,0.64,0.65,-0.01,,,2007-12,326.00M,331.00M,0.305,,2007-12,,
2007-09,3.942B,3.942B,1.786B,2.156B,,,,64.00M,,,,,947.00M,1.257B,899.00M,,,,64.00M,,741.00M,263.00M,478.00M,-4.00M,,474.00M,436.72M,1.239B,340.00M,899.00M,1.41,-0.01,,1.283,1.40,1.40,-0.01,,,2007-09,326.00M,330.00M,0.29,,2007-09,,
2007-06,3.047B,3.047B,,,,,,,,,,,,,3.047B,,,,,,,,91.00M,2.00M,,93.00M,91.00M,3.394B,347.00M,3.047B,0.28,0.01,,0.28,0.29,0.28,0.00,,,2007-06,326.00M,330.00M,0.29,,2007-06,,
2007-03,2.912B,2.912B,803.00M,2.109B,,,,23.00M,,,,,1.169B,1.482B,627.00M,,,,23.00M,,459.00M,129.00M,330.00M,3.00M,,333.00M,313.46M,971.00M,344.00M,627.00M,1.00,0.01,,0.9493,1.01,0.99,0.01,,,2007-03,326.00M,330.00M,0.29,,2007-03,,
2006-12,2.614B,2.614B,711.00M,1.903B,,,,-10.00M,,,,,1.253B,1.434B,469.00M,,,,-10.00M,,332.00M,66.00M,266.00M,22.00M,0.00,288.00M,274.01M,754.00M,285.00M,469.00M,0.79,0.07,0.00,0.8132,0.86,0.79,0.07,-0.0000,,2006-12,345.25M,345.25M,0.29,,2006-12,,
2006-09,3.802B,3.802B,1.522B,2.28B,,,,42.00M,56.00M,,,,968.00M,1.317B,963.00M,,,,42.00M,,770.00M,310.00M,460.00M,-2.00M,,458.00M,434.80M,1.284B,321.00M,963.00M,1.39,-0.01,,1.313,1.38,1.39,-0.01,,,2006-09,326.00M,330.00M,0.27,,2006-09,,
2006-06,3.001B,3.001B,1.149B,1.852B,,,,21.00M,,,,,1.066B,1.405B,447.00M,,,,21.00M,,268.00M,95.00M,173.00M,4.00M,,177.00M,159.44M,808.00M,361.00M,447.00M,0.53,0.01,,0.4884,0.54,0.53,0.01,,,2006-06,326.00M,330.00M,0.27,,2006-06,,
2006-03,2.751B,2.751B,1.476B,1.275B,,,,22.00M,56.00M,,,,467.00M,815.00M,460.00M,,,,22.00M,,295.00M,111.00M,184.00M,73.00M,1.00M,258.00M,170.28M,773.00M,313.00M,460.00M,0.56,0.22,0.00,0.5179,0.78,0.56,0.22,0.0030,,2006-03,326.00M,331.00M,0.27,,2006-03,,
2005-12,2.974B,2.974B,1.49B,1.484B,,,,81.00M,50.00M,,,,132.00M,882.00M,602.00M,,,,81.00M,,489.00M,190.00M,299.00M,-25.00M,,273.00M,249.47M,893.00M,291.00M,602.00M,0.91,-0.08,,0.7581,0.83,0.89,-0.08,,,2005-12,326.00M,335.00M,0.27,,2005-12,,
2005-09,3.783B,3.783B,991.00M,2.792B,,,,19.00M,51.00M,,,,1.683B,2.004B,788.00M,,,,19.00M,,564.00M,129.00M,435.00M,27.00M,,462.00M,420.35M,1.091B,303.00M,788.00M,1.33,0.08,,1.285,1.41,1.31,0.08,,,2005-09,326.00M,332.00M,0.25,,2005-09,,
2005-06,2.649B,2.649B,1.142B,1.507B,,,,26.00M,50.00M,,,,781.00M,1.098B,409.00M,,,,26.00M,,214.00M,34.00M,180.00M,21.00M,,201.00M,158.13M,702.00M,293.00M,409.00M,0.55,0.06,,0.4829,0.61,0.55,0.06,,,2005-06,326.00M,331.00M,0.25,,2005-06,,
2005-03,2.446B,2.446B,807.00M,1.639B,,,,69.00M,52.00M,,,,880.00M,1.191B,448.00M,,,,69.00M,,298.00M,104.00M,194.00M,7.00M,,201.00M,149.08M,729.00M,281.00M,448.00M,0.59,0.02,,0.4522,0.61,0.5861,0.02,,,2005-03,326.00M,331.00M,0.25,,2005-03,,
2004-12,2.33B,2.33B,712.00M,1.618B,,,,0.00,38.00M,,,,1.06B,1.164B,454.00M,,,,0.00,,206.00M,-52.00M,258.00M,120.00M,,379.00M,258.00M,740.00M,286.00M,454.00M,0.79,0.37,,0.79,1.16,0.79,-1.73,,,2004-12,326.00M,332.74M,0.25,,2004-12,,
2004-09,3.188B,3.188B,1.33B,1.858B,,,,32.00M,50.00M,,,,788.00M,1.07B,788.00M,,,,32.00M,,495.00M,181.00M,314.00M,499.00M,,813.00M,293.70M,1.051B,263.00M,788.00M,0.96,1.53,,0.8977,2.49,0.95,1.51,,,2004-09,326.00M,330.00M,0.20,,2004-09,,
2004-06,2.565B,2.565B,911.00M,1.654B,,,,3.00M,53.00M,,,,1.717B,2.036B,-382.00M,,,,3.00M,,-664.00M,-264.00M,-400.00M,26.00M,,-374.00M,-401.81M,-90.00M,292.00M,-382.00M,-1.23,0.08,,-1.236,-1.15,-1.23,0.08,,,2004-06,326.00M,326.00M,0.20,,2004-06,,
2004-03,2.116B,2.116B,807.00M,1.309B,,,,87.00M,45.00M,,,,768.00M,1.069B,240.00M,,,,87.00M,,95.00M,43.00M,52.00M,46.00M,-1.00M,97.00M,-0.20M,519.00M,279.00M,240.00M,0.16,0.14,0.00,-0.0001,0.30,0.16,0.14,-0.0031,,2004-03,326.00M,330.00M,0.20,,2004-03,,
