,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-09,525.38M,525.38M,304.27M,,304.27M,201.78M,49.71M,135.62M,387.11M,90.96M,38.48M,,1.346B,,,,,,526.32M,-256.60M,269.72M,541.97M,118.42M,660.39M,20.52M,57.97M,1.009B,2.355B,,125.74M,0.00,125.74M,107.44M,233.18M,,,,15.00M,15.00M,60.66M,60.66M,5.038M,313.88M,347.08M,347.08M,1.012M,1.012M,,,,56.72M,416.06M,729.94M,,1.381M,1.740B,,,-116.56M,1.625B,,AOR,Restated
2015-06,560.19M,560.19M,327.65M,,327.65M,187.66M,52.08M,120.82M,360.57M,86.00M,38.51M,,1.373B,,,,,,515.26M,-254.50M,260.76M,544.50M,122.34M,666.84M,20.15M,59.04M,1.007B,2.380B,,121.60M,3.991M,125.60M,102.32M,227.92M,,,,15.00M,15.00M,61.21M,61.21M,6.182M,310.31M,350.72M,350.72M,13.36M,13.36M,,,,55.34M,430.93M,741.24M,,1.402M,1.736B,,,-99.28M,1.638B,,AOR,Restated
2015-03,547.78M,547.78M,311.79M,,311.79M,185.98M,48.59M,105.73M,340.30M,83.16M,38.39M,,1.321B,,,,,,489.60M,-240.60M,249.00M,536.78M,125.82M,662.60M,20.28M,59.05M,990.93M,2.312B,,106.12M,2.298M,108.42M,109.73M,218.14M,,,,15.00M,15.00M,58.18M,58.18M,3.212M,294.54M,354.35M,354.35M,13.49M,13.49M,,,,52.92M,432.00M,726.54M,,11.48M,1.704B,,,-129.98M,1.586B,,AOR,Restated
2014-12,531.37M,531.37M,354.66M,,354.66M,181.62M,37.14M,101.85M,320.60M,93.69M,,,1.300B,0.00,24.54M,133.15M,337.56M,,495.24M,-248.15M,247.09M,553.34M,133.21M,686.55M,54.10M,61.24M,1.049B,2.349B,,98.17M,4.586M,102.76M,127.41M,230.17M,,,,15.00M,15.00M,56.15M,56.15M,8.231M,309.56M,357.99M,357.99M,9.193M,9.193M,,51.71M,,,429.98M,739.54M,,1.396M,1.672B,,,-63.41M,1.610B,,AOR,Restated
2014-09,565.37M,565.37M,298.56M,,298.56M,186.78M,53.97M,102.55M,343.30M,89.79M,38.15M,,1.335B,,,,,,484.34M,-246.50M,237.84M,560.49M,138.99M,699.48M,18.67M,63.14M,1.019B,2.354B,,90.50M,2.527M,93.03M,114.74M,207.77M,,,,15.00M,15.00M,60.78M,60.78M,4.273M,287.83M,361.62M,361.62M,14.00M,14.00M,,,,49.37M,444.73M,732.56M,,24.21M,1.630B,,,-32.00M,1.622B,,AOR,Restated
2014-06,602.07M,602.07M,270.09M,,270.09M,193.54M,56.62M,99.94M,350.09M,101.68M,38.60M,,1.363B,,,,,,487.02M,-247.00M,240.02M,575.52M,147.93M,723.46M,18.96M,57.19M,1.040B,2.402B,,100.00M,0.911M,100.91M,119.16M,220.06M,,,,15.00M,15.00M,58.99M,58.99M,5.715M,299.77M,365.26M,365.26M,14.10M,14.10M,,,,50.41M,450.66M,750.42M,,44.44M,1.591B,,,16.47M,1.652B,,AOR,Restated
2014-03,584.10M,584.10M,270.16M,,270.16M,198.92M,43.66M,96.32M,338.89M,98.39M,38.66M,,1.330B,,,,,,477.30M,-244.40M,232.90M,575.74M,153.66M,729.41M,18.08M,58.30M,1.039B,2.369B,,91.96M,0.138M,92.10M,110.28M,202.38M,,,,15.00M,15.00M,48.81M,48.81M,4.969M,271.16M,368.89M,368.89M,14.08M,14.08M,,,,49.97M,453.70M,724.86M,,59.93M,1.560B,,,23.86M,1.644B,,AOR,Restated
2013-12,542.48M,542.48M,286.57M,,286.57M,204.54M,45.06M,95.12M,344.72M,97.57M,38.39M,,1.310B,0.00,25.25M,115.21M,328.84M,,469.30M,-235.26M,234.04M,575.70M,154.20M,729.90M,17.88M,51.81M,1.034B,2.343B,,85.73M,0.663M,86.39M,116.05M,202.44M,,,,15.00M,15.00M,54.26M,54.26M,4.814M,276.52M,372.53M,372.53M,12.26M,12.26M,,48.68M,,,453.46M,729.98M,,42.96M,1.544B,,,26.00M,1.613B,,AOR,Restated
2013-09,492.20M,492.20M,281.61M,,281.61M,222.57M,56.29M,97.17M,376.03M,98.00M,31.66M,,1.280B,,,,,,444.64M,-214.80M,229.84M,567.61M,157.49M,725.10M,32.24M,59.19M,1.046B,2.326B,,93.86M,0.00,93.86M,94.58M,188.44M,,,,15.00M,15.00M,43.89M,43.89M,4.479M,251.81M,376.16M,376.16M,18.83M,18.83M,,50.15M,,,467.55M,719.36M,,61.89M,1.528B,,,16.22M,1.607B,,AOR,Restated
2013-06,492.43M,492.43M,278.26M,,278.26M,223.80M,54.22M,86.65M,364.67M,102.53M,30.95M,,1.269B,,,,,,421.16M,-204.30M,216.86M,558.28M,162.81M,721.09M,31.83M,47.90M,1.018B,2.287B,,89.80M,5.914M,95.71M,107.17M,202.88M,,,,15.00M,15.00M,42.57M,42.57M,4.403M,264.86M,379.80M,379.80M,16.70M,16.70M,,45.68M,,,464.57M,729.43M,,68.35M,1.495B,,,-5.959M,1.557B,,AOR,Restated
