,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,39.20M,,,,,16.45M,16.45M,4.574M,,5.931M,-6.696M,28.34M,-8.76M,1.331M,-52.34M,,,15.16M,-16.27M,43.18M,,-7.099M,,-7.099M,,18.85M,-9.50M,,2.251M,,0.00,,0.00,,-94.96M,-94.96M,-22.23M,-22.23M,3.497M,-0.276M,-113.97M,,519.09M,-68.54M,1.588M,452.14M,,,0.00,0.00,-94.96M,,AOR,Restated
2017-12,-50.29M,,,,,17.58M,17.58M,28.30M,,6.273M,-3.249M,-20.80M,-2.372M,6.08M,104.55M,,,-10.75M,76.70M,98.92M,,-10.28M,,-10.28M,,0.00,-2.859M,,-9.448M,,0.00,,0.00,,0.00,0.00,-20.83M,-20.83M,14.01M,-1.23M,-8.049M,,436.96M,81.42M,0.71M,519.09M,,,,0.00,0.00,,AOR,Restated
2017-09,63.53M,,,,,18.42M,18.42M,-2.187M,,9.891M,-8.796M,-11.48M,-3.654M,-1.755M,36.08M,,,4.038M,23.23M,104.08M,,-8.207M,,-8.207M,,0.00,0.00,,-8.207M,,-86.25M,,-86.25M,,0.00,0.00,-20.76M,-20.76M,37.20M,-0.492M,-70.31M,,403.59M,25.57M,7.804M,436.96M,,,,-86.25M,0.00,,AOR,Restated
2017-06,51.41M,,,,,17.98M,17.98M,-0.342M,,8.608M,-15.47M,-20.32M,-14.15M,-0.671M,5.173M,,,-2.096M,-32.06M,30.13M,,-10.03M,,-10.03M,,,2.859M,,-7.174M,,-3.75M,,-3.75M,,,,-20.56M,-20.56M,6.033M,-7.182M,-25.46M,,397.44M,-2.503M,8.658M,403.59M,,,,-3.75M,,,AOR,Restated
2017-03,42.57M,,,,,17.03M,17.03M,0.192M,,6.246M,-3.742M,44.84M,-12.79M,-2.437M,-22.81M,,,6.024M,12.83M,75.13M,,-13.59M,,-13.59M,,0.00,0.00,,-13.59M,,-7.50M,,-7.50M,,0.00,0.00,-20.46M,-20.46M,1.002M,-1.844M,-28.80M,,361.35M,32.74M,3.352M,397.44M,,,,-7.50M,0.00,,AOR,Restated
2016-12,61.50M,,,,,15.66M,15.66M,5.813M,,6.544M,-7.838M,-30.66M,30.96M,-4.577M,12.58M,,,7.167M,15.47M,97.14M,,-8.258M,,-8.258M,,-376.76M,,0.345M,-384.67M,,-0.266M,,-0.266M,,0.00,0.00,-16.36M,-16.36M,4.619M,-0.213M,-12.22M,,677.69M,-299.74M,-16.60M,361.35M,,,-0.266M,0.00,0.00,,AOR,Restated
2016-09,58.63M,,,,,14.08M,14.08M,0.172M,,6.872M,4.379M,-30.76M,5.216M,-1.495M,35.00M,,,-3.307M,4.656M,88.79M,,-6.806M,,-6.806M,,0.00,,2.111M,-4.695M,,-255.88M,,-255.88M,,-36.31M,-36.31M,-16.47M,-16.47M,0.806M,-0.159M,-308.01M,,903.18M,-223.92M,-1.575M,677.69M,,,-0.94M,-254.94M,-36.31M,,AOR,Restated
2016-06,45.37M,,,,,13.84M,13.84M,-0.145M,,8.293M,9.644M,21.87M,17.08M,2.041M,-25.53M,,,-4.592M,10.87M,87.87M,,-10.88M,,-10.88M,,-42.44M,,0.00,-53.33M,,417.02M,,417.02M,,-29.75M,-29.75M,-16.58M,-16.58M,2.552M,-5.581M,367.66M,,510.61M,402.20M,-9.632M,903.18M,,,525.77M,-108.75M,-29.75M,,AOR,Restated
2016-03,1.125M,,,,,13.94M,13.94M,-0.227M,,6.088M,5.807M,28.84M,-2.09M,-3.675M,0.642M,,,-4.508M,19.21M,45.95M,,-9.992M,,-9.992M,,,,4.875M,-5.117M,,-3.75M,,-3.75M,,,,-16.51M,-16.51M,3.989M,-0.025M,-16.29M,,472.78M,24.54M,13.29M,510.61M,,,,-3.75M,,,AOR,Restated
2015-12,70.20M,,,,,13.07M,13.07M,20.10M,,6.299M,3.376M,-15.04M,-2.285M,0.074M,19.88M,,,-0.57M,2.063M,95.95M,,-18.09M,-0.03M,-18.12M,,-92.26M,,,-84.73M,,-3.75M,,-3.75M,,-29.81M,-29.81M,-15.21M,-15.21M,1.311M,-11.26M,-58.72M,,525.38M,-47.50M,-5.089M,472.78M,,,,-3.75M,-29.81M,,AOR,Restated
2015-09,73.07M,,,,,11.85M,11.85M,-17.38M,,6.511M,5.169M,20.70M,-28.46M,1.295M,5.40M,,,-4.543M,-5.606M,73.62M,,-19.36M,0.00,-19.36M,,,,,-19.36M,,-3.75M,,-3.75M,,-61.96M,-61.96M,-15.42M,-15.42M,1.552M,0.173M,-79.40M,,560.19M,-25.14M,-9.672M,525.38M,,,,-3.75M,-61.96M,,AOR,Restated
2015-06,50.50M,,,,,12.12M,12.12M,0.046M,,8.181M,2.48M,-13.03M,-17.07M,-4.477M,4.527M,,,5.652M,-24.40M,48.93M,,-17.61M,0.00,-17.61M,,0.00,,,-17.61M,,-3.75M,,-3.75M,,-31.43M,-31.43M,-15.40M,-15.40M,15.22M,3.261M,-32.09M,,547.78M,-0.772M,13.18M,560.19M,,,0.00,-3.75M,-31.43M,,AOR,Restated
2015-03,47.91M,,,,,12.49M,12.49M,0.096M,,4.757M,-3.303M,35.62M,-27.00M,4.966M,-2.928M,,,2.319M,12.98M,74.93M,,-13.17M,0.03M,-13.14M,,,,,-13.14M,,-3.75M,,-3.75M,,,,-15.38M,-15.38M,4.414M,0.772M,-13.94M,,531.37M,47.85M,-31.44M,547.78M,,,,-3.75M,,,AOR,Restated
2014-12,72.75M,,0.00,,,12.97M,12.97M,-2.213M,,6.782M,-4.032M,-59.28M,18.56M,-4.494M,14.19M,,,7.613M,-23.41M,62.84M,,-20.33M,,-20.33M,,,,0.00,-20.33M,,-3.75M,,-3.75M,,-62.61M,-62.61M,-14.10M,-14.10M,13.41M,3.474M,-63.58M,,565.37M,-21.07M,-12.93M,531.37M,,,,-3.75M,-62.61M,,AOR,Restated
2014-09,52.86M,,-4.129M,,,13.57M,13.57M,0.056M,,6.803M,6.84M,-33.35M,0.218M,10.02M,-6.714M,,,-13.18M,-43.01M,32.99M,,-15.10M,,-15.10M,,,,12.00M,-3.10M,,-3.75M,,-3.75M,,-33.62M,-33.62M,-14.16M,-14.16M,5.199M,1.124M,-45.21M,,602.07M,-15.33M,-21.37M,565.37M,,,,-3.75M,-33.62M,,AOR,Restated
2014-06,44.76M,,,,,14.24M,14.24M,-0.592M,,8.447M,-2.109M,0.477M,-12.84M,-0.189M,18.89M,,,-0.492M,5.848M,70.59M,,-16.24M,,-16.24M,,,,,-16.24M,,-3.75M,,-3.75M,,-41.24M,-41.24M,-14.16M,-14.16M,20.09M,3.595M,-35.46M,,584.10M,18.89M,-0.913M,602.07M,,,,-3.75M,-41.24M,,AOR,Restated
2014-03,29.89M,,,,,16.47M,16.47M,1.507M,,8.756M,-1.49M,15.45M,5.424M,0.422M,-2.59M,,,-14.02M,4.688M,59.82M,,-9.59M,,-9.59M,,,,,-9.59M,,-3.75M,,-3.75M,,-1.766M,-1.766M,-14.08M,-14.08M,8.876M,2.95M,-7.775M,,542.48M,42.46M,-0.841M,584.10M,,,,-3.75M,-1.766M,,AOR,Restated
2013-12,28.74M,,,,,17.82M,17.82M,-2.671M,,7.15M,3.079M,-4.216M,28.70M,7.576M,31.09M,,,-12.08M,51.06M,105.17M,,-15.06M,,-15.06M,,0.00,,,-15.06M,,-3.75M,,-3.75M,,-29.03M,-29.03M,-12.71M,-12.71M,2.697M,0.314M,-42.48M,,492.20M,47.63M,2.644M,542.48M,,,0.00,-3.75M,-29.03M,,AOR,Restated
2013-09,46.49M,,,,,14.88M,14.88M,-0.064M,,7.346M,2.062M,-1.349M,-7.251M,5.101M,-19.71M,,,5.031M,-18.18M,52.53M,,-13.71M,,-13.71M,,-14.91M,,,-28.61M,,-3.75M,,-3.75M,,-16.22M,-16.22M,-12.79M,-12.79M,2.068M,0.152M,-30.54M,,492.43M,-6.621M,6.387M,492.20M,,,0.00,-3.75M,-16.22M,,AOR,Restated
2013-06,50.16M,,,,,15.23M,15.23M,-0.018M,,7.631M,-2.951M,26.90M,23.44M,-6.009M,23.92M,,,-2.988M,65.25M,135.30M,,-10.64M,,-10.64M,,-5.165M,,,-15.81M,,146.25M,,146.25M,,-8.469M,-8.469M,-12.80M,-12.80M,2.706M,-0.709M,126.98M,,246.01M,246.47M,-0.045M,492.43M,,,150.00M,-3.75M,-8.469M,,AOR,Restated
2013-03,51.64M,,,,,14.87M,14.87M,0.044M,,5.696M,2.374M,27.31M,-9.704M,-1.234M,-26.80M,,,-2.239M,-12.66M,61.96M,,-12.65M,,-12.65M,,,,,-12.65M,,0.00,,0.00,,-108.36M,-108.36M,-13.11M,-13.11M,1.179M,0.212M,-120.08M,,321.74M,-70.76M,-4.967M,246.01M,,,,0.00,-108.36M,,AOR,Restated
2012-12,77.26M,,,,,14.86M,14.86M,-11.54M,,6.253M,0.054M,-30.78M,-1.306M,14.36M,35.71M,,,8.002M,25.99M,112.87M,,-18.90M,,-18.90M,,-105.91M,-0.002M,,-124.81M,,0.00,,0.00,,-85.18M,-85.18M,-10.43M,-10.43M,4.081M,0.026M,-91.51M,,424.49M,-103.45M,0.696M,321.74M,,,0.00,0.00,-85.18M,,AOR,Restated
2012-09,55.90M,,,,,14.84M,14.84M,0.504M,,6.597M,-0.514M,-13.26M,-5.284M,-3.864M,-7.536M,,,-0.946M,-30.90M,46.44M,,-12.76M,,-12.76M,,0.00,0.00,,-12.76M,,0.00,,0.00,,-38.81M,-38.81M,-10.54M,-10.54M,1.461M,0.68M,-47.20M,,429.77M,-13.52M,8.24M,424.49M,,,0.00,0.00,-38.81M,,AOR,Restated
2012-06,41.09M,,,,,14.81M,14.81M,0.085M,,7.865M,4.056M,25.82M,-5.693M,-11.00M,1.673M,,,-1.477M,9.328M,77.24M,,-13.49M,,-13.49M,,0.00,-3.00M,,-16.49M,,0.00,,0.00,,-64.81M,-64.81M,-10.70M,-10.70M,4.78M,0.118M,-70.62M,,448.17M,-9.873M,-8.522M,429.77M,,,0.00,0.00,-64.81M,,AOR,Restated
2012-03,48.14M,,,,,15.21M,15.21M,0.01M,,5.535M,-5.406M,28.92M,-11.45M,-0.505M,-36.80M,,,5.343M,-14.49M,49.00M,,-12.94M,,-12.94M,,,,,-12.94M,,,,,,-25.39M,-25.39M,-10.78M,-10.78M,0.876M,0.294M,-35.00M,,440.85M,1.057M,6.263M,448.17M,,,,,-25.39M,,AOR,Restated
2011-12,,,,,,16.29M,16.29M,-10.29M,,5.604M,-135.70M,-8.719M,-13.44M,28.95M,-23.41M,,,35.44M,18.82M,116.20M,,-10.85M,,-10.85M,,0.00,1.991M,,-8.859M,,0.00,,0.00,-15.08M,-36.28M,-51.37M,,-9.351M,,0.586M,-38.43M,,374.50M,68.91M,-2.561M,440.85M,,-15.08M,0.00,,-36.28M,,AOR,Restated
2011-09,,,,,,17.58M,17.58M,-0.58M,,5.437M,68.36M,7.761M,-10.72M,-28.13M,-13.63M,,,-0.171M,-44.88M,45.90M,,-12.37M,,-12.37M,,-24.83M,0.00,,-37.20M,,247.71M,,247.71M,0.804M,-100.58M,-99.78M,,-9.518M,,1.852M,140.26M,,235.62M,148.97M,-10.09M,374.50M,,0.804M,247.71M,,-100.58M,,AOR,Restated
2011-06,,,,,,23.74M,23.74M,-1.259M,,7.588M,25.25M,-3.865M,-4.802M,-3.249M,13.37M,,-1.638M,-35.73M,-35.92M,19.40M,,-14.46M,,-14.46M,,-2.351M,0.00,,-16.81M,,,,,7.248M,-17.03M,-9.778M,,-9.597M,,0.731M,-18.64M,,250.23M,-16.05M,1.446M,235.62M,,7.248M,,,-17.03M,,AOR,Restated
2011-03,,,,,,19.89M,19.89M,-0.065M,,6.288M,54.74M,22.82M,-19.40M,-8.675M,-17.36M,,1.638M,2.515M,-18.47M,62.39M,,-4.267M,,-4.267M,,,,,-4.267M,,,,,7.033M,-6.775M,0.258M,,-9.571M,,1.568M,-7.745M,,193.14M,50.37M,6.718M,250.23M,,7.033M,,,-6.775M,,AOR,Restated
2010-12,248.13M,,,,,21.83M,21.83M,-5.702M,,6.565M,-168.79M,-44.06M,-0.688M,3.58M,4.655M,,5.659M,-25.88M,-56.73M,45.31M,,-14.52M,-0.225M,-14.75M,,-228.02M,-0.001M,,-242.77M,,0.00,,0.00,-11.98M,0.00,-11.98M,,0.00,,2.16M,11.65M,,379.90M,-185.82M,-0.944M,193.14M,,-11.98M,0.00,,0.00,,AOR,Restated
2010-09,,,,,,14.40M,14.40M,-6.914M,,6.088M,59.40M,3.536M,-12.32M,13.18M,11.21M,,-2.06M,-1.457M,12.08M,85.05M,,-6.156M,0.015M,-7.141M,1.00M,-0.001M,3.081M,,-3.061M,,0.00,,0.00,5.632M,-2.435M,3.197M,,0.00,,2.611M,5.808M,,284.52M,87.80M,7.581M,379.90M,,5.632M,0.00,,-2.435M,,AOR,
2010-06,-55.90M,,,,,13.30M,13.30M,-2.747M,,6.788M,119.83M,-15.21M,-4.252M,-13.85M,-8.098M,,3.845M,-1.031M,-38.59M,42.68M,,-8.219M,0.21M,-7.009M,-1.00M,-174.70M,,1.00M,-181.70M,,-0.003M,,-0.003M,5.148M,-33.29M,-28.14M,,0.00,,2.588M,-25.56M,,461.82M,-164.58M,-12.72M,284.52M,,5.148M,,-0.003M,-33.29M,,AOR,Restated
2010-03,55.90M,,,,,11.77M,11.77M,1.264M,,6.134M,-0.118M,8.019M,-7.889M,21.07M,-4.884M,,-7.444M,-1.598M,7.27M,82.21M,,-36.85M,,-36.85M,,,,-1.00M,-37.85M,,0.003M,,0.003M,1.203M,0.00,1.203M,,0.00,,0.41M,1.616M,,422.05M,45.98M,-6.204M,461.82M,,1.203M,,0.003M,0.00,,AOR,Restated
2009-12,60.25M,,1.997M,,,11.52M,11.52M,2.166M,,6.315M,-2.18M,-25.93M,8.038M,-8.049M,14.69M,,-0.281M,3.802M,-7.727M,72.35M,,-7.351M,0.001M,-7.35M,-0.601M,-60.42M,4.85M,,-63.52M,,2.02M,,2.02M,9.851M,0.00,9.851M,,,,0.472M,12.34M,,403.32M,21.17M,-2.446M,422.05M,,9.851M,,2.02M,0.00,,AOR,Restated
2009-09,60.03M,-0.283M,-0.283M,,,10.68M,10.68M,-0.273M,,6.123M,-0.03M,9.072M,1.827M,-9.29M,0.058M,,-5.933M,-4.634M,-8.90M,67.35M,,-4.80M,0.007M,-4.793M,0.601M,0.00,1.00M,,-3.192M,,-0.007M,,-0.007M,4.004M,-23.96M,-19.96M,,,,1.775M,-18.19M,,346.40M,45.97M,10.95M,403.32M,,4.004M,,-0.007M,-23.96M,,AOR,Restated
2009-06,55.65M,0.001M,-1.996M,,,10.30M,10.30M,-1.976M,,6.339M,1.935M,26.78M,-3.841M,-9.121M,-25.37M,,,-0.962M,-12.52M,57.73M,,-16.88M,0.01M,-16.86M,,-13.15M,0.00,,-30.01M,,-0.011M,,-0.011M,8.965M,-28.05M,-19.08M,,,-4.402M,1.937M,-21.56M,,327.26M,6.159M,12.98M,346.40M,,8.965M,,-0.011M,-28.05M,,AOR,Restated
2009-03,54.27M,0.282M,2.279M,,,9.925M,9.925M,-0.525M,,5.178M,-1.474M,0.064M,-6.325M,3.514M,7.473M,,,-0.053M,4.673M,74.33M,,-12.85M,2.874M,-9.974M,,,-1.00M,,-10.97M,,-2.002M,0.00,-2.002M,,-21.16M,-21.16M,,,4.402M,2.623M,-16.13M,,289.44M,47.22M,-9.399M,327.26M,,,0.00,-2.002M,-21.16M,,AOR,Restated
2008-12,64.98M,,,,,11.02M,11.02M,-5.765M,,5.814M,-0.383M,-3.899M,3.445M,13.33M,1.737M,,1.762M,-3.505M,12.87M,88.54M,,-6.555M,0.002M,-6.553M,,0.541M,0.767M,,-5.245M,,-0.986M,,-0.986M,11.42M,0.00,11.42M,,,,4.578M,15.02M,,206.10M,98.31M,-14.97M,289.44M,,11.42M,,-0.986M,0.00,,,Restated
2008-09,54.78M,-0.001M,-0.001M,,,12.88M,12.88M,-1.911M,,5.37M,-9.857M,-21.93M,-8.357M,8.606M,7.941M,,5.015M,4.034M,-4.688M,66.36M,,-4.962M,0.00,-4.962M,,-0.111M,-1.001M,,-6.074M,,-1.178M,,-1.178M,3.731M,-22.94M,-19.21M,,,,4.018M,-16.37M,,177.00M,43.92M,-14.82M,206.10M,,3.731M,,-1.178M,-22.94M,,,Restated
2008-06,44.62M,0.00,0.00,,,12.17M,12.17M,-0.595M,,5.685M,5.685M,-20.03M,-16.66M,-19.39M,4.792M,-4.638M,1.453M,0.84M,-53.63M,8.246M,,-6.075M,0.00,-6.075M,,-11.02M,-5.069M,,-22.17M,,-0.881M,,-0.881M,26.91M,0.00,26.91M,,,-5.639M,12.12M,32.51M,,159.09M,18.58M,-0.669M,177.00M,,26.91M,,-0.881M,0.00,,,Restated
2008-03,36.52M,0.001M,0.001M,,,9.251M,9.251M,-0.485M,,4.105M,4.105M,5.216M,-8.609M,-6.297M,7.628M,4.638M,2.612M,0.584M,5.772M,55.16M,,-10.05M,0.00,-10.05M,,-68.17M,-2.25M,,-80.47M,,-19.34M,,-19.34M,,-17.80M,-17.80M,,,5.639M,2.962M,-28.54M,,203.68M,-53.84M,9.244M,159.09M,,,,-19.34M,-17.80M,,,Restated
2007-12,46.60M,,0.008M,,,7.558M,7.558M,-1.218M,,,4.463M,-20.73M,0.274M,6.275M,2.562M,,6.433M,2.806M,-2.381M,55.03M,,-14.86M,-0.044M,-14.90M,,-39.84M,0.447M,,-55.81M,,,,19.00M,10.03M,0.00,10.03M,,,,4.884M,33.92M,,169.94M,33.13M,0.606M,203.68M,,10.03M,,,0.00,,,
2007-09,34.76M,,0.00,,,6.384M,6.384M,-1.04M,,,4.02M,-0.908M,-8.464M,-15.68M,2.024M,,8.39M,1.528M,-13.11M,31.02M,,-9.498M,0.071M,-9.427M,,0.00,-0.447M,,-9.874M,,,,-22.00M,10.39M,-3.737M,6.652M,,,,4.54M,-10.81M,,151.62M,10.34M,7.984M,169.94M,,10.39M,,,-3.737M,,,
2007-06,29.08M,,-0.008M,,,6.06M,6.06M,-0.656M,,,4.083M,-18.62M,-11.92M,-14.15M,0.56M,,15.56M,-14.07M,-42.65M,-4.085M,,-11.92M,0.066M,-11.85M,,-2.144M,,,-14.00M,,,,-6.502M,16.02M,,16.02M,,,,4.058M,13.58M,,153.46M,-4.503M,2.664M,151.62M,,16.02M,,,,,,
2007-03,26.26M,,,,,5.906M,5.906M,4.649M,,,2.848M,12.96M,-14.30M,-0.77M,4.733M,,-12.39M,4.25M,-5.524M,34.14M,,-7.778M,,-7.778M,,,,,-7.778M,,,,-17.00M,6.352M,,6.352M,,,,1.112M,-9.538M,,138.62M,16.83M,-1.987M,153.46M,,6.352M,,,,,,
2006-12,39.76M,,0.094M,,,5.568M,5.568M,3.716M,,,2.371M,-30.44M,-4.974M,10.13M,5.30M,,7.833M,1.068M,-11.08M,40.42M,,-17.95M,0.083M,-17.87M,,,0.993M,-0.993M,-17.87M,,,,-7.501M,5.124M,0.00,5.124M,,,,-0.60M,-2.977M,,112.37M,19.58M,6.676M,138.62M,,5.124M,,,0.00,,,
2006-09,27.07M,,-0.092M,,,5.537M,5.537M,-8.309M,,,2.975M,-8.081M,-7.239M,-1.998M,-0.731M,,13.63M,-1.584M,-6.007M,21.17M,,-5.619M,0.13M,-5.489M,,0.099M,-0.993M,0.017M,-6.366M,,,,53.00M,3.478M,-103.63M,-100.16M,,,,0.547M,-46.61M,,143.32M,-31.80M,0.852M,112.37M,,3.478M,,,-103.63M,,,
2006-06,21.41M,,-2.681M,,,5.02M,5.02M,-0.663M,,,6.162M,-3.849M,-7.986M,-0.282M,-2.15M,,4.00M,0.473M,-9.794M,19.46M,,-8.637M,0.293M,-8.344M,,-0.099M,0.115M,-0.017M,-8.345M,,,,-0.027M,5.573M,-6.99M,-1.417M,,,,1.101M,-0.343M,,127.30M,10.77M,5.252M,143.32M,,5.573M,,,-6.99M,,,
2006-03,12.66M,,2.566M,,,4.426M,4.426M,-0.325M,,,,24.84M,-6.584M,-2.673M,2.486M,,-3.426M,0.135M,14.78M,34.10M,,-10.83M,0.097M,-10.73M,,,-0.115M,,-10.85M,,,,-0.026M,2.444M,-8.429M,-5.985M,,,,0.883M,-5.128M,,107.06M,18.13M,2.119M,127.30M,,2.444M,,,-8.429M,,,
2005-12,34.14M,,1.32M,,,4.48M,4.48M,17.44M,,,,-36.14M,-0.588M,-10.28M,1.256M,-2.075M,6.391M,,-41.44M,15.93M,,-10.94M,0.081M,-10.86M,,-13.50M,,0.00,-24.36M,,,,-0.027M,2.486M,-22.97M,-20.48M,,,,,-20.51M,,133.88M,-28.94M,2.111M,107.06M,,2.486M,,,-22.97M,,,
2005-09,17.34M,,5.538M,,,5.191M,5.191M,-5.299M,,,-0.894M,-0.909M,-2.386M,-1.13M,1.044M,-1.244M,8.764M,,4.139M,26.02M,,-5.40M,0.115M,-5.285M,,0.00,,-1.499M,-6.784M,,,,-0.026M,8.579M,0.00,8.579M,,,,,8.553M,,107.98M,27.79M,-1.886M,133.88M,,8.579M,,,0.00,,,
