,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,41.30M,0.00,,,0.00,75.80M,75.80M,92.10M,35.40M,18.20M,,-9.90M,-124.40M,77.00M,-10.90M,-40.40M,,,-130.20M,-228.90M,24.00M,-38.60M,0.00,0.00,0.00,167.30M,,128.70M,3.10M,,3.10M,,-1.20M,-1.20M,-40.70M,-40.70M,0.00,,-38.80M,1.223B,113.90M,18.40M,1.356B,,10.10M,-7.00M,-1.20M,,
2017-12,-81.80M,0.00,,,0.00,72.70M,72.70M,17.30M,3.90M,16.90M,,5.90M,176.30M,41.80M,-2.30M,32.80M,,,230.60M,479.20M,514.10M,-48.30M,0.00,0.00,-1.00M,-355.20M,,-404.50M,-7.00M,0.00,-7.00M,,-1.30M,-1.30M,-40.60M,-40.60M,0.00,,-48.90M,1.159B,60.70M,3.60M,1.223B,,0.00,-7.00M,-1.30M,,
2017-09,143.80M,,,,,73.80M,73.80M,-10.60M,11.20M,17.80M,,3.00M,-191.40M,2.00M,2.70M,29.80M,,,20.70M,-136.20M,102.80M,-32.80M,,,0.00,248.00M,,215.20M,-8.00M,0.00,-8.00M,,-0.20M,-0.20M,-40.60M,-40.60M,0.00,,-48.80M,876.40M,269.20M,13.30M,1.159B,,0.00,-8.00M,-0.20M,,
2017-06,59.50M,,,,,72.90M,72.90M,-14.70M,9.70M,21.60M,,2.70M,174.00M,-55.40M,-4.60M,42.40M,,,26.10M,182.50M,334.20M,-41.90M,,,-3.60M,-83.00M,,-128.50M,-6.20M,,-6.20M,,-14.40M,-14.40M,-40.50M,-40.50M,0.10M,,-61.00M,711.80M,144.70M,19.90M,876.40M,,,-6.20M,-14.40M,,
2017-03,-204.00M,,,-5.20M,-5.20M,75.60M,75.60M,-48.70M,197.10M,17.20M,,64.80M,-160.80M,156.90M,45.00M,14.50M,,,-50.50M,5.10M,101.90M,-58.50M,,,-3.60M,-162.30M,,-224.40M,-7.90M,0.00,-7.90M,,-100.20M,-100.20M,-41.10M,-41.10M,0.30M,,-148.90M,970.60M,-271.40M,12.60M,711.80M,,0.00,-7.90M,-100.20M,,
2016-12,81.30M,,,1.40M,1.40M,77.90M,77.90M,18.50M,10.30M,14.50M,,22.60M,193.00M,136.10M,-46.20M,38.60M,,,70.10M,391.60M,618.10M,-60.10M,,,0.00,90.10M,,30.00M,-6.10M,-95.00M,-101.10M,,-0.10M,-0.10M,-41.10M,-41.10M,0.70M,,-141.60M,480.20M,506.50M,-16.10M,970.60M,,789.90M,-891.00M,-0.10M,,
2016-09,45.70M,,,1.90M,1.90M,75.60M,75.60M,-11.70M,27.00M,14.20M,,81.20M,-152.50M,-4.80M,-3.40M,-81.90M,,,-1.60M,-244.20M,-10.30M,-87.80M,,,-1.20M,116.50M,,27.50M,-6.10M,5.00M,-1.10M,,0.00,0.00,-41.20M,-41.20M,0.80M,,-41.50M,502.80M,-24.30M,1.70M,480.20M,,2.001B,-2.002B,0.00,,
2016-06,-22.30M,,,1.90M,1.90M,78.40M,78.40M,3.00M,19.40M,17.70M,,63.70M,174.40M,-167.80M,-23.20M,141.70M,,,-44.00M,81.10M,242.90M,-77.60M,,,-1.30M,37.70M,,-41.20M,-7.20M,-26.10M,-33.30M,,-114.90M,-114.90M,-41.40M,-41.40M,3.20M,,-186.40M,502.10M,15.30M,-14.60M,502.80M,,943.90M,-977.20M,-114.90M,,
2016-03,41.40M,,,3.90M,3.90M,82.40M,82.40M,-3.90M,24.80M,18.00M,9.00M,20.10M,-46.60M,160.10M,6.20M,-127.90M,,,-22.80M,-31.00M,164.70M,-92.70M,,,-2.30M,-96.30M,6.00M,-185.30M,-4.90M,100.30M,95.40M,,-101.40M,-101.40M,-42.30M,-42.30M,2.20M,-8.90M,-55.00M,527.00M,-75.60M,13.20M,502.10M,,935.30M,-839.90M,-101.40M,,
2015-12,131.00M,,,1.00M,1.00M,76.00M,76.00M,34.00M,9.00M,25.00M,-2.00M,13.00M,117.00M,91.00M,0.00,11.00M,,,-20.00M,199.00M,486.00M,-123.00M,,,-2.00M,46.00M,-1.00M,-80.00M,-7.00M,-115.00M,-122.00M,,-100.00M,-100.00M,-42.00M,-42.00M,10.00M,2.00M,-252.00M,380.00M,154.00M,-7.00M,527.00M,,841.00M,-963.00M,-100.00M,,
2015-09,160.00M,,,3.00M,3.00M,77.00M,77.00M,-20.00M,7.00M,22.00M,-1.00M,3.00M,-206.00M,-113.00M,12.00M,93.00M,,,-3.00M,-217.00M,34.00M,-134.00M,,,-9.00M,-88.00M,-3.00M,-234.00M,292.00M,-25.00M,267.00M,,-130.00M,-130.00M,-43.00M,-43.00M,6.00M,-1.00M,99.00M,490.00M,-101.00M,-9.00M,380.00M,,1.629B,-1.362B,-130.00M,,
2015-06,64.00M,,,3.00M,3.00M,74.00M,74.00M,-18.00M,8.00M,32.00M,-6.00M,4.00M,265.00M,-229.00M,12.00M,114.00M,,,9.00M,171.00M,332.00M,-68.00M,,,-3.00M,-4.00M,-2.00M,-77.00M,-5.00M,-79.00M,-84.00M,,-169.00M,-169.00M,-43.00M,-43.00M,15.00M,6.00M,-275.00M,500.00M,-20.00M,10.00M,490.00M,,1.238B,-1.322B,-169.00M,,
2015-03,124.20M,,,2.50M,2.50M,75.40M,75.40M,21.50M,4.90M,20.50M,-0.70M,-4.60M,-250.60M,142.50M,-19.50M,-50.70M,,,-62.10M,-240.40M,3.30M,-91.20M,,,-3.70M,-68.90M,0.10M,-163.70M,-6.90M,120.90M,114.00M,,-149.60M,-149.60M,-39.20M,-39.20M,6.50M,-0.30M,-68.60M,763.00M,-229.00M,-34.70M,499.70M,,524.70M,-410.70M,-149.60M,,
2014-12,215.00M,,,3.00M,3.00M,78.00M,78.00M,-2.00M,0.00,18.00M,-2.00M,-22.00M,218.00M,55.00M,-56.00M,-3.00M,,,113.00M,327.00M,615.00M,-124.00M,,,-5.00M,45.00M,-1.00M,-85.00M,-4.00M,-97.00M,-101.00M,,-101.00M,-101.00M,-40.00M,-40.00M,13.00M,2.00M,-227.00M,483.00M,303.00M,-23.00M,763.00M,,1.753B,-1.854B,-101.00M,,
2014-09,201.00M,,,3.00M,3.00M,72.00M,72.00M,-6.00M,1.00M,19.00M,-1.00M,-3.00M,-293.00M,-137.00M,-26.00M,25.00M,,,5.00M,-426.00M,-140.00M,-91.00M,,,1.00M,-86.00M,,-176.00M,-8.00M,210.00M,202.00M,,-70.00M,-70.00M,-39.00M,-39.00M,19.00M,1.00M,113.00M,711.00M,-203.00M,-25.00M,483.00M,,530.00M,-328.00M,-70.00M,,
2014-06,162.00M,,,3.00M,3.00M,69.00M,69.00M,-3.00M,1.00M,23.00M,-4.00M,5.00M,230.00M,-158.00M,5.00M,79.00M,,,3.00M,159.00M,415.00M,-85.00M,,,-4.00M,-175.00M,,-264.00M,-5.00M,0.00,-5.00M,,-211.00M,-211.00M,-40.00M,-40.00M,14.00M,4.00M,-238.00M,797.00M,-87.00M,1.00M,711.00M,,0.00,-5.00M,-211.00M,,
2014-03,153.00M,,,2.00M,2.00M,65.00M,65.00M,38.00M,,19.00M,-2.00M,6.00M,-163.00M,99.00M,13.00M,-36.00M,,,-48.00M,-135.00M,147.00M,-95.00M,,,-1.00M,48.00M,0.00,-48.00M,-3.00M,0.00,-3.00M,,-150.00M,-150.00M,-40.00M,-40.00M,6.00M,2.00M,-185.00M,882.00M,-86.00M,1.00M,797.00M,,0.00,-3.00M,-150.00M,,
2013-12,237.00M,,,2.00M,2.00M,67.00M,67.00M,-21.00M,,31.00M,-12.00M,0.00,152.00M,95.00M,-36.00M,18.00M,,,7.00M,236.00M,540.00M,-81.00M,,,-3.00M,48.00M,4.00M,-32.00M,30.00M,-300.00M,-270.00M,,-198.00M,-198.00M,-36.00M,-36.00M,27.00M,12.00M,-465.00M,839.00M,43.00M,0.00,882.00M,,0.00,-270.00M,-198.00M,,
2013-09,205.00M,,,3.00M,3.00M,66.00M,66.00M,-8.00M,,21.00M,-3.00M,-1.00M,-224.00M,-142.00M,-21.00M,57.00M,,,-28.00M,-358.00M,-75.00M,-148.00M,,,-4.00M,-145.00M,-4.00M,-301.00M,-3.00M,300.00M,297.00M,,-9.00M,-9.00M,-37.00M,-37.00M,14.00M,3.00M,268.00M,940.00M,-108.00M,7.00M,839.00M,,300.00M,-3.00M,-9.00M,,
2013-06,181.00M,,,2.00M,2.00M,60.00M,60.00M,-8.00M,,22.00M,-17.00M,-15.00M,131.00M,-129.00M,-12.00M,4.00M,,,76.00M,70.00M,295.00M,-66.00M,,,-32.00M,-7.00M,-2.00M,-107.00M,-2.00M,,-2.00M,,-201.00M,-201.00M,-36.00M,-36.00M,5.00M,17.00M,-217.00M,974.00M,-29.00M,-5.00M,940.00M,,,-2.00M,-201.00M,,
2013-03,127.00M,,,5.00M,5.00M,59.00M,59.00M,37.00M,7.00M,23.00M,-8.00M,-41.00M,-84.00M,70.00M,,-55.00M,,,-66.00M,-131.00M,122.00M,-81.00M,,,-4.00M,-17.00M,-4.00M,-106.00M,-1.00M,0.00,-1.00M,,-50.00M,-50.00M,0.00,0.00,11.00M,8.00M,-32.00M,999.00M,-16.00M,-9.00M,974.00M,,0.00,-1.00M,-50.00M,,
2012-12,216.00M,,,2.00M,2.00M,61.00M,61.00M,-28.00M,12.00M,22.00M,-7.00M,45.00M,222.00M,78.00M,,-39.00M,,,50.00M,311.00M,590.00M,-78.00M,,,-8.00M,161.00M,0.00,75.00M,-4.00M,0.00,-4.00M,,-150.00M,-150.00M,-73.00M,-73.00M,12.00M,6.00M,-209.00M,544.00M,456.00M,-1.00M,999.00M,,0.00,-4.00M,-150.00M,,
2012-09,214.00M,,,2.00M,2.00M,57.00M,57.00M,11.00M,,21.00M,-6.00M,-4.00M,-205.00M,-85.00M,,29.00M,,,4.00M,-257.00M,38.00M,-55.00M,,,-3.00M,98.00M,-1.00M,39.00M,-1.00M,0.00,-1.00M,,0.00,0.00,-36.00M,-36.00M,23.00M,6.00M,-8.00M,469.00M,69.00M,6.00M,544.00M,,0.00,-1.00M,0.00,,
2012-06,193.00M,,,1.00M,1.00M,56.00M,56.00M,-6.00M,,22.00M,-20.00M,3.00M,149.00M,-131.00M,,8.00M,,,-6.00M,20.00M,269.00M,-62.00M,,,-7.00M,-60.00M,8.00M,-121.00M,-3.00M,,-3.00M,,-347.00M,-347.00M,-19.00M,-19.00M,3.00M,20.00M,-346.00M,672.00M,-198.00M,-5.00M,469.00M,,,-3.00M,-347.00M,,
2012-03,94.40M,,,3.80M,3.80M,,56.80M,6.50M,,22.80M,-14.50M,-2.90M,-313.40M,55.10M,,32.50M,,,196.70M,-68.10M,100.80M,-111.90M,,,-1.90M,-144.40M,0.00,-258.20M,-2.40M,,-2.40M,,0.40M,0.40M,-18.20M,-18.20M,19.40M,13.90M,13.10M,815.80M,-144.30M,0.50M,672.00M,,0.30M,-2.70M,0.40M,,
2011-12,586.60M,,,2.20M,2.20M,,56.80M,-7.80M,,21.20M,-4.30M,-412.30M,395.20M,81.30M,,-217.10M,,,-1.10M,258.30M,500.70M,-67.70M,,,-2.20M,91.00M,0.70M,21.80M,-1.40M,-100.00M,-101.40M,,-1.60M,-1.60M,-55.80M,-18.40M,12.10M,4.30M,-105.00M,407.70M,417.50M,-9.40M,815.80M,,0.00,-101.40M,-1.60M,,
2011-09,,,,1.10M,1.10M,,56.00M,-6.60M,,16.10M,-10.60M,228.90M,-253.80M,-101.40M,,103.40M,,,38.00M,-213.80M,71.10M,-53.10M,,,0.00,-51.40M,0.00,-104.50M,-2.80M,92.30M,89.50M,,-93.30M,-93.30M,18.90M,-18.50M,26.30M,10.60M,14.60M,431.50M,-18.80M,-5.00M,407.70M,,100.00M,-10.50M,-93.30M,,
2011-06,,,,1.90M,1.90M,,55.40M,-7.10M,,17.90M,-10.60M,189.30M,58.00M,-183.00M,,114.20M,,,-23.60M,-34.40M,212.40M,-39.30M,,,-7.90M,138.80M,0.30M,91.90M,-1.40M,7.70M,6.30M,,-324.50M,-324.50M,-18.90M,-18.90M,3.20M,3.20M,-330.70M,453.00M,-26.40M,4.90M,431.50M,,7.70M,-1.40M,-324.50M,,
2011-03,,,,2.90M,2.90M,51.30M,51.30M,80.50M,,21.50M,-8.40M,-494.70M,-97.70M,5.90M,,43.10M,,,-80.10M,-128.80M,94.40M,-83.50M,,,-3.10M,15.40M,12.60M,-58.60M,-1.30M,,-1.30M,,-246.90M,-246.90M,-9.60M,-9.60M,20.60M,6.40M,-230.80M,643.40M,-195.00M,4.60M,453.00M,,0.00,-1.30M,-246.90M,,
2010-12,,,,2.80M,2.80M,50.40M,50.40M,-11.10M,,18.10M,-27.20M,166.60M,185.10M,39.80M,,-71.10M,,,16.90M,170.70M,370.30M,-77.70M,,,-46.40M,-117.40M,19.10M,-222.40M,-2.70M,0.00,-2.70M,,0.00,0.00,-9.50M,-9.50M,45.80M,27.20M,60.80M,435.90M,208.70M,-1.20M,643.40M,,0.00,-2.70M,0.00,,
2010-09,,,,0.80M,0.80M,92.40M,46.40M,-1.00M,,15.30M,-5.20M,204.60M,-242.50M,-86.70M,,97.20M,,5.60M,18.10M,-208.30M,52.60M,-55.30M,,,-19.00M,191.20M,-0.40M,116.50M,-2.60M,0.00,-2.60M,,-100.70M,-100.70M,-9.60M,-9.60M,16.60M,4.70M,-91.60M,345.80M,77.50M,12.60M,435.90M,,0.00,-2.60M,-100.70M,,
2010-06,,,,1.20M,1.20M,,46.00M,-21.10M,,15.50M,-1.80M,117.70M,104.40M,-132.50M,,40.00M,,-5.60M,7.60M,13.90M,171.40M,-38.50M,,,-2.40M,-91.20M,-2.80M,-134.90M,-1.30M,0.00,-1.30M,,-247.00M,-247.00M,-9.80M,-9.80M,5.30M,1.80M,-251.00M,563.10M,-214.50M,-2.80M,345.80M,,0.00,-1.30M,-247.00M,,
2010-03,-365.40M,,-1.30M,5.60M,0.20M,-133.50M,47.70M,17.50M,0.00,20.00M,,475.20M,-126.70M,34.20M,,25.80M,,-1.10M,-4.70M,-72.50M,102.20M,-97.00M,,,-27.10M,-321.30M,5.70M,-439.70M,-2.00M,,-2.00M,,-77.60M,-77.60M,-9.80M,-9.80M,17.20M,9.90M,-62.30M,973.80M,-399.80M,-10.90M,563.10M,,,-2.00M,-77.60M,-130.50M,-22.20M
2009-12,111.10M,,2.70M,-1.50M,1.20M,44.10M,44.10M,-4.40M,4.90M,15.30M,,-21.60M,219.50M,66.10M,,28.50M,,-7.50M,0.50M,307.10M,483.80M,-51.30M,,,-2.00M,181.90M,1.70M,130.30M,-1.40M,,-1.40M,,-78.90M,-78.90M,-5.00M,-5.00M,20.70M,10.10M,-54.50M,423.50M,559.60M,-9.30M,973.80M,,,-1.40M,-78.90M,130.50M,22.20M
2009-09,177.50M,,1.00M,1.80M,2.80M,45.10M,45.10M,-8.60M,1.70M,11.80M,,25.60M,-225.40M,10.80M,,-5.20M,,-7.10M,25.30M,-201.60M,28.20M,-35.20M,,,0.00,-12.10M,-6.90M,-54.20M,-123.10M,,-123.10M,,-60.50M,-60.50M,-4.90M,-4.90M,8.40M,3.20M,-176.90M,620.80M,-202.90M,5.60M,423.50M,,,-123.10M,-60.50M,,
2009-06,76.80M,,0.10M,-0.30M,-0.20M,44.30M,44.30M,-4.70M,,12.60M,,0.50M,224.80M,-82.00M,,17.40M,,-3.60M,6.40M,163.00M,292.30M,-17.80M,,,-1.70M,-127.00M,5.70M,-140.80M,-1.20M,,-1.20M,,-14.00M,-14.00M,-5.00M,-5.00M,4.20M,3.30M,-12.70M,481.20M,138.80M,0.80M,620.80M,,,-1.20M,-14.00M,,
2009-03,44.50M,,1.90M,2.30M,4.20M,46.40M,46.40M,-22.50M,48.30M,12.40M,,10.50M,-173.80M,51.00M,,-35.40M,,-9.80M,47.60M,-120.40M,23.40M,-55.10M,,,0.00,-27.50M,-24.80M,-107.40M,-1.80M,,-1.80M,,0.00,0.00,-5.00M,-5.00M,1.40M,1.10M,-4.30M,574.30M,-88.30M,-4.80M,481.20M,,,-1.80M,0.00,,
2008-12,105.30M,,1.30M,1.10M,2.40M,44.90M,44.90M,-8.40M,0.00,14.70M,,1.30M,209.80M,41.40M,,-12.30M,,-6.50M,-29.80M,202.60M,362.80M,-44.60M,,,-2.80M,-210.10M,56.80M,-200.70M,-1.20M,,-1.20M,,-0.50M,-0.50M,-4.90M,-4.90M,9.20M,3.30M,5.90M,417.60M,168.00M,-11.30M,574.30M,,,-1.20M,-0.50M,,
2008-09,161.00M,,0.50M,0.90M,1.40M,47.00M,47.00M,-0.20M,7.10M,12.30M,,8.90M,-232.10M,-49.30M,,27.10M,,-8.40M,16.50M,-246.20M,-8.70M,-29.20M,,,-32.90M,57.00M,0.30M,-4.80M,-2.40M,,-2.40M,,-118.30M,-118.30M,-5.00M,-5.00M,11.30M,4.90M,-109.50M,553.80M,-123.00M,-13.20M,417.60M,,,-2.40M,-118.30M,,
2008-06,95.20M,,-1.40M,0.70M,-0.70M,46.10M,46.10M,-4.00M,,10.30M,,0.40M,197.20M,-53.60M,,75.80M,,-1.00M,31.00M,249.40M,396.70M,-56.10M,,,-10.60M,-73.00M,-5.40M,-145.10M,-198.10M,,-198.10M,,-51.00M,-51.00M,-5.00M,-5.00M,7.10M,2.80M,-244.20M,551.50M,7.40M,-5.10M,553.80M,,,-198.10M,-51.00M,,
2008-03,103.50M,,,,-0.20M,53.70M,53.70M,6.40M,,,,30.80M,-138.60M,66.60M,,-16.90M,,,-109.70M,-198.60M,-4.40M,-65.40M,,-65.40M,-5.70M,-64.10M,2.30M,-132.90M,,,-3.90M,5.20M,-134.40M,-129.20M,,-5.00M,,0.50M,-137.60M,804.40M,-274.90M,22.00M,551.50M,5.20M,,,-134.40M,,
2007-12,112.70M,,,,0.30M,53.00M,53.00M,-15.00M,,,,16.10M,194.80M,60.60M,,30.00M,,,-6.90M,278.50M,445.60M,-58.60M,,-58.60M,-1.30M,-20.00M,-3.90M,-83.80M,,,-1.20M,26.60M,-71.00M,-44.40M,,-5.20M,,4.40M,-46.40M,473.00M,315.40M,16.00M,804.40M,26.60M,,,-71.00M,,
2007-09,115.30M,,,,0.70M,51.50M,51.50M,5.00M,,,,22.20M,-217.10M,-20.30M,,-51.90M,,,68.00M,-221.30M,-26.60M,-48.40M,,-48.40M,-2.20M,,-12.80M,-63.40M,,,-1.30M,1.90M,-100.00M,-98.10M,,-5.10M,,3.30M,-101.20M,643.20M,-191.20M,21.00M,473.00M,1.90M,,,-100.00M,,
2007-06,88.30M,,,,1.80M,43.10M,43.10M,-4.10M,,,,9.20M,170.90M,-25.10M,,23.90M,,,-27.20M,142.50M,280.80M,-44.70M,,-44.70M,-179.50M,,-0.70M,-224.90M,,,167.60M,6.40M,-170.00M,-163.60M,,-5.20M,,25.90M,24.70M,563.90M,80.60M,-1.30M,643.20M,6.40M,,,-170.00M,,
2007-03,73.20M,,,,4.90M,40.50M,40.50M,-101.00M,,,,12.90M,-97.60M,-43.50M,,-6.40M,,,259.00M,111.50M,142.00M,-80.00M,,-80.00M,-174.80M,,-22.10M,-276.90M,,,-1.30M,3.20M,-50.80M,-47.60M,,-5.20M,,-0.80M,-54.90M,751.80M,-189.80M,1.90M,563.90M,3.20M,,,-50.80M,,
2006-12,110.50M,,,,3.50M,32.80M,32.80M,-4.40M,,,,17.20M,159.60M,107.70M,,-6.50M,,,-22.90M,237.90M,397.50M,-40.40M,,-40.40M,0.00,,0.00,-40.40M,,,87.20M,22.70M,-50.90M,-28.20M,,-5.20M,,14.60M,68.40M,321.00M,425.50M,5.30M,751.80M,22.70M,,,-50.90M,,
2006-09,137.00M,,,,2.70M,33.60M,33.60M,-4.30M,,,,13.20M,-177.20M,-61.60M,,17.20M,,,64.20M,-157.40M,24.80M,-29.10M,,-29.10M,-3.40M,,-52.40M,-84.90M,,,-1.30M,17.20M,-62.00M,-44.80M,,-5.20M,,4.70M,-46.60M,429.20M,-106.70M,-1.50M,321.00M,17.20M,,,-62.00M,,
2006-06,80.20M,,,,6.50M,37.80M,37.80M,-2.70M,,,,9.50M,141.60M,-34.80M,,37.40M,,,-43.70M,100.50M,231.80M,-34.50M,,-34.50M,2.10M,,,-32.40M,,,-1.20M,8.30M,-67.60M,-59.30M,,-5.30M,,3.70M,-62.10M,285.70M,137.30M,6.20M,429.20M,8.30M,,,-67.60M,,
2006-03,62.40M,,,,10.60M,32.50M,32.50M,51.80M,,,,13.20M,-127.00M,-0.70M,,46.50M,,,-133.80M,-215.00M,-44.50M,-61.00M,,-61.00M,-266.60M,,,-327.60M,,,-1.20M,10.30M,-0.60M,9.70M,,-5.10M,,,8.50M,643.90M,-363.60M,5.40M,285.70M,10.30M,,,-0.60M,,
2005-12,90.70M,,,,1.00M,36.20M,36.20M,-10.50M,,,,15.00M,102.60M,69.00M,,-16.50M,,,8.00M,163.10M,295.50M,-23.10M,,-23.10M,0.00,,,-23.10M,,,0.00,2.50M,0.00,2.50M,,-5.30M,,,-2.80M,383.20M,269.60M,-8.90M,643.90M,2.50M,,,0.00,,
