,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-08,3.60B,3.60B,2.63B,970.00M,170.00M,379.00M,,2.00M,101.00M,11.00M,-90.00M,-3.00M,546.00M,424.00M,11.00M,101.00M,-90.00M,21.00M,-90.00M,355.00M,-69.00M,471.00M,,0.00,471.00M,470.40M,1.166B,710.00M,456.00M,,0.44,,0.4394,0.44,,0.42,,0.4195,0.42,,1.064B,1.125B,0.00,,AOR,Restated
2015-05,3.853B,3.853B,2.651B,1.202B,169.00M,406.00M,,-15.00M,97.00M,9.00M,-88.00M,-1.00M,574.00M,628.00M,9.00M,97.00M,-88.00M,-13.00M,-88.00M,527.00M,104.00M,491.00M,,0.00,491.00M,502.24M,1.297B,673.00M,624.00M,,0.46,,0.4705,0.46,,0.42,,0.4296,0.42,,1.073B,1.17B,0.00,,AOR,Restated
2015-02,4.166B,4.166B,2.761B,1.405B,187.00M,379.00M,,3.00M,83.00M,8.00M,-75.00M,-13.00M,553.00M,852.00M,8.00M,83.00M,-75.00M,-3.00M,-75.00M,774.00M,47.00M,935.00M,,-1.00M,934.00M,936.82M,1.498B,641.00M,857.00M,,0.87,,0.8726,0.87,,0.78,,0.7824,0.78,,1.074B,1.19B,0.00,,AOR,Restated
2014-11,4.573B,4.573B,2.935B,1.638B,193.00M,376.00M,,-25.00M,90.00M,7.00M,-83.00M,-11.00M,558.00M,1.08B,7.00M,90.00M,-83.00M,-44.00M,-83.00M,953.00M,75.00M,1.002B,,1.00M,1.003B,1.045B,1.686B,643.00M,1.043B,,0.94,,0.9796,0.94,,0.84,,0.8755,0.84,,1.07B,1.195B,0.00,,AOR,Restated
2014-08,4.227B,4.227B,2.842B,1.385B,180.00M,358.00M,,100.00M,88.00M,7.00M,-81.00M,-20.00M,518.00M,867.00M,7.00M,88.00M,-81.00M,159.00M,-81.00M,945.00M,-87.00M,1.151B,,-1.00M,1.15B,1.087B,1.586B,553.00M,1.033B,,1.08,,1.021,1.08,,0.96,,0.9076,0.96,,1.066B,1.204B,0.00,,AOR,Restated
2014-05,3.982B,3.982B,2.614B,1.368B,174.00M,349.00M,,-18.00M,80.00M,5.00M,-75.00M,4.00M,527.00M,841.00M,5.00M,80.00M,-75.00M,-23.00M,-75.00M,743.00M,72.00M,806.00M,,0.00,806.00M,826.77M,1.365B,542.00M,823.00M,,0.76,,0.7795,0.76,,0.68,,0.6975,0.68,,1.067B,1.19B,0.00,,AOR,Restated
2014-02,4.107B,4.107B,2.704B,1.403B,177.00M,344.00M,,-114.00M,83.00M,6.00M,-77.00M,12.00M,533.00M,870.00M,6.00M,83.00M,-77.00M,-123.00M,-77.00M,670.00M,63.00M,741.00M,,-10.00M,731.00M,846.97M,1.27B,517.00M,753.00M,,0.69,,0.7994,0.69,,0.61,,0.7066,0.61,,1.06B,1.201B,0.00,,AOR,Restated
2013-11,4.042B,4.042B,2.761B,1.281B,176.00M,320.00M,,-316.00M,101.00M,5.00M,-96.00M,-7.00M,489.00M,792.00M,5.00M,101.00M,-96.00M,-321.00M,-96.00M,375.00M,80.00M,381.00M,,-23.00M,358.00M,611.41M,967.00M,491.00M,476.00M,,0.34,,0.5823,0.34,,0.30,,0.5119,0.30,,1.046B,1.196B,0.00,,AOR,Restated
2013-08,2.843B,2.843B,2.135B,708.00M,193.00M,267.00M,-29.00M,1.455B,64.00M,6.00M,-58.00M,12.00M,472.00M,236.00M,6.00M,64.00M,-58.00M,1.50B,-58.00M,1.678B,5.00M,1.71B,,-2.00M,1.708B,255.34M,2.192B,450.00M,1.742B,,1.65,,0.2451,1.65,,1.51,,0.2726,1.51,,1.034B,1.174B,0.00,,AOR,Restated
2013-05,2.318B,2.318B,1.762B,556.00M,127.00M,226.00M,0.00,-55.00M,54.00M,2.00M,-52.00M,-1.00M,352.00M,204.00M,2.00M,54.00M,-52.00M,-100.00M,-52.00M,52.00M,-1.00M,43.00M,,0.00,43.00M,108.00M,548.00M,442.00M,106.00M,,0.04,,0.1035,0.04,,0.04,,0.1021,0.04,,1.024B,1.047B,0.00,,AOR,Restated
2013-02,2.078B,2.078B,1.712B,366.00M,123.00M,214.00M,62.00M,-81.00M,56.00M,3.00M,-53.00M,2.00M,339.00M,27.00M,3.00M,56.00M,-53.00M,-209.00M,-53.00M,-235.00M,-9.00M,-284.00M,,-2.00M,-286.00M,-85.97M,276.00M,455.00M,-179.00M,,-0.28,,-0.0831,-0.28,,-0.28,,-0.0831,-0.28,,1.016B,1.016B,0.00,,AOR,Restated
2012-11,1.834B,1.834B,1.617B,217.00M,119.00M,224.00M,,26.00M,57.00M,3.00M,-54.00M,-3.00M,340.00M,-123.00M,3.00M,57.00M,-54.00M,-33.00M,-54.00M,-210.00M,13.00M,-275.00M,,0.00,-275.00M,-253.55M,304.00M,457.00M,-153.00M,,-0.27,,-0.2488,-0.27,,-0.27,,-0.2488,-0.27,,1.014B,1.014B,0.00,,AOR,Restated
2012-08,1.963B,1.963B,1.744B,219.00M,139.00M,235.00M,0.00,6.00M,53.00M,1.00M,-52.00M,0.00,374.00M,-155.00M,1.00M,53.00M,-52.00M,11.00M,-52.00M,-196.00M,14.00M,-242.00M,,-1.00M,-243.00M,-226.75M,340.00M,483.00M,-143.00M,,-0.24,,-0.2239,-0.24,,-0.24,,-0.2239,-0.24,,1.012B,1.012B,0.00,,AOR,Restated
2012-05,2.172B,2.172B,1.938B,234.00M,156.00M,231.00M,0.00,-9.00M,56.00M,3.00M,-53.00M,26.00M,413.00M,-179.00M,3.00M,56.00M,-53.00M,-11.00M,-53.00M,-243.00M,-38.00M,-320.00M,,0.00,-320.00M,-311.56M,338.00M,525.00M,-187.00M,,-0.32,,-0.3115,-0.32,,-0.32,,-0.3115,-0.32,,987.30M,987.30M,0.00,,AOR,Restated
2012-02,2.009B,2.009B,1.799B,210.00M,174.00M,222.00M,0.00,-5.00M,35.00M,2.00M,-33.00M,13.00M,409.00M,-199.00M,2.00M,35.00M,-33.00M,32.00M,-33.00M,-200.00M,9.00M,-282.00M,,0.00,-282.00M,-302.80M,404.00M,569.00M,-165.00M,,-0.29,,-0.3112,-0.29,,-0.29,,-0.3112,-0.29,,982.80M,982.80M,0.00,,AOR,Restated
2011-11,2.09B,2.09B,1.785B,305.00M,151.00M,230.00M,,0.00,35.00M,2.00M,-33.00M,6.00M,387.00M,-82.00M,2.00M,35.00M,-33.00M,,-33.00M,-115.00M,-2.00M,-187.00M,,0.00,-187.00M,-187.00M,484.00M,564.00M,-80.00M,,-0.19,0.00,-0.19,-0.19,,-0.19,0.00,-0.19,-0.19,,981.40M,981.40M,0.00,,AOR,Restated
2011-08,2.14B,2.14B,1.819B,321.00M,155.00M,209.00M,,-305.00M,30.00M,2.00M,-28.00M,,70.00M,251.00M,2.00M,30.00M,-28.00M,-301.00M,-28.00M,-78.00M,16.00M,-134.00M,,-1.00M,-135.00M,63.25M,507.00M,555.00M,-48.00M,,-0.14,,0.0598,-0.14,,-0.14,,0.0598,-0.14,,992.20M,992.20M,0.00,,AOR,Restated
2011-05,2.139B,2.139B,1.661B,478.00M,151.00M,211.00M,,131.00M,28.00M,6.00M,-22.00M,,362.00M,116.00M,6.00M,28.00M,-22.00M,131.00M,-22.00M,225.00M,104.00M,77.00M,,-2.00M,75.00M,-10.15M,800.00M,547.00M,253.00M,,0.07,0.00,-0.0152,0.07,,0.07,0.00,-0.0117,0.07,,998.90M,1.042B,0.00,,AOR,Restated
2011-02,2.257B,2.257B,1.822B,435.00M,146.00M,186.00M,,0.00,28.00M,7.00M,-21.00M,-76.00M,256.00M,179.00M,7.00M,28.00M,-21.00M,,-21.00M,158.00M,35.00M,75.00M,,-3.00M,72.00M,72.00M,689.00M,503.00M,186.00M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,988.10M,1.037B,0.00,,AOR,Restated
2010-11,2.252B,2.252B,1.728B,524.00M,140.00M,185.00M,,-114.00M,38.00M,8.00M,-30.00M,-191.00M,134.00M,390.00M,8.00M,38.00M,-30.00M,-114.00M,-30.00M,246.00M,48.00M,172.00M,,-17.00M,155.00M,246.76M,784.00M,500.00M,284.00M,,0.16,0.00,0.2543,0.16,,0.15,0.00,0.2390,0.15,,972.90M,1.031B,0.00,,AOR,Restated
2010-08,2.493B,2.493B,1.712B,781.00M,141.00M,197.00M,,-12.00M,41.00M,10.00M,-31.00M,,338.00M,443.00M,10.00M,41.00M,-31.00M,-12.00M,-31.00M,400.00M,25.00M,359.00M,,-17.00M,342.00M,353.25M,950.00M,509.00M,441.00M,,0.34,0.00,0.3516,0.34,,0.30,0.00,0.3098,0.30,,970.00M,1.144B,0.00,,AOR,Restated
2010-05,2.288B,2.288B,1.44B,848.00M,190.00M,142.00M,,462.00M,44.00M,4.00M,-40.00M,,332.00M,516.00M,4.00M,44.00M,-40.00M,462.00M,-40.00M,938.00M,-41.00M,960.00M,,-21.00M,939.00M,638.70M,1.458B,476.00M,982.00M,,1.06,0.00,0.7208,1.06,,0.92,0.00,0.6338,0.92,,885.40M,1.049B,0.00,,AOR,Restated
2010-02,1.961B,1.961B,1.319B,642.00M,100.00M,148.00M,,-1.00M,46.00M,2.00M,-44.00M,-21.00M,227.00M,415.00M,2.00M,46.00M,-44.00M,-1.00M,-44.00M,370.00M,4.00M,379.00M,,-14.00M,365.00M,365.99M,862.00M,446.00M,416.00M,,0.43,0.00,0.4312,0.43,,0.39,0.00,0.3910,0.39,,847.60M,1.005B,0.00,,AOR,Restated
2009-11,1.74B,1.74B,1.297B,443.00M,97.00M,137.00M,,56.00M,47.00M,2.00M,-45.00M,8.00M,242.00M,201.00M,2.00M,47.00M,-45.00M,56.00M,-45.00M,212.00M,-7.00M,202.00M,,2.00M,204.00M,167.60M,750.00M,491.00M,259.00M,,0.24,0.00,0.1970,0.24,,0.23,0.00,0.1936,0.23,,846.30M,1.001B,0.00,,AOR,Restated
2009-08,1.302B,1.302B,1.133B,169.00M,82.00M,139.00M,,-13.00M,45.00M,2.00M,-43.00M,-15.00M,206.00M,-37.00M,2.00M,45.00M,-43.00M,-13.00M,-43.00M,-93.00M,-13.00M,-114.00M,,14.00M,-100.00M,-88.82M,455.00M,503.00M,-48.00M,,-0.08,0.00,-0.0667,-0.08,,-0.08,0.00,-0.0667,-0.08,,843.30M,843.30M,0.00,,AOR,Restated
2009-05,1.106B,1.106B,999.00M,107.00M,80.00M,162.00M,,-23.00M,49.00M,6.00M,-43.00M,92.00M,334.00M,-227.00M,6.00M,49.00M,-43.00M,-23.00M,-43.00M,-293.00M,-4.00M,-334.00M,,33.00M,-301.00M,-278.31M,282.00M,526.00M,-244.00M,,-0.37,0.00,-0.3421,-0.37,,-0.37,0.00,-0.3421,-0.37,,813.30M,813.30M,0.00,,AOR,Restated
2009-02,993.00M,993.00M,1.26B,-267.00M,90.00M,168.00M,,-164.00M,47.00M,4.00M,-43.00M,21.00M,279.00M,-546.00M,4.00M,47.00M,-43.00M,-164.00M,-43.00M,-753.00M,5.00M,-814.00M,,51.00M,-763.00M,-656.40M,-143.00M,563.00M,-706.00M,,-0.99,0.00,-0.8523,-0.99,,-0.99,0.00,-0.8523,-0.99,,773.90M,773.90M,0.00,,,Restated
2008-11,1.402B,1.402B,1.851B,-449.00M,102.00M,178.00M,,43.00M,,,,9.00M,289.00M,-738.00M,,,,43.00M,,-706.00M,13.00M,-706.00M,,13.00M,-706.00M,-733.95M,-144.00M,594.00M,-738.00M,,-0.91,0.00,-0.9461,-0.91,,-0.91,0.00,-0.9461,-0.91,,773.30M,773.30M,0.00,,,
2008-08,1.449B,1.449B,1.514B,-65.00M,107.00M,167.00M,,-10.00M,20.00M,11.00M,-9.00M,-5.00M,269.00M,-334.00M,11.00M,20.00M,-9.00M,-10.00M,-9.00M,-353.00M,2.00M,-355.00M,,11.00M,-344.00M,-337.50M,199.00M,532.00M,-333.00M,,-0.45,0.00,-0.4416,-0.45,,-0.45,0.00,-0.4416,-0.45,,772.80M,772.80M,0.00,,,Restated
2008-05,1.498B,1.498B,1.45B,48.00M,116.00M,170.00M,,-8.00M,21.00M,15.00M,-6.00M,-21.00M,265.00M,-217.00M,15.00M,21.00M,-6.00M,-8.00M,-6.00M,-231.00M,13.00M,-244.00M,,8.00M,-236.00M,-230.80M,303.00M,513.00M,-210.00M,,-0.30,0.00,-0.2933,-0.30,,-0.30,0.00,-0.2933,-0.30,,772.80M,772.80M,0.00,,,Restated
2008-02,1.359B,1.359B,1.402B,-43.00M,120.00M,180.00M,,-435.00M,,,,421.00M,721.00M,-764.00M,,,,-435.00M,,-775.00M,-4.00M,-777.00M,,-6.00M,-777.00M,-344.25M,-253.00M,511.00M,-764.00M,,-1.01,0.00,-0.4497,-1.01,,-1.01,0.00,-0.4497,-1.01,,772.40M,772.40M,0.00,,,
2007-11,1.535B,1.535B,1.53B,5.00M,112.00M,163.00M,,9.00M,,,,-23.00M,252.00M,-247.00M,,,,9.00M,,-252.00M,7.00M,-262.00M,,-3.00M,-262.00M,-267.85M,257.00M,504.00M,-247.00M,,-0.34,0.00,-0.3476,-0.34,,-0.34,0.00,-0.3476,-0.34,,771.90M,771.90M,0.00,,,
2007-08,1.437B,1.437B,1.264B,173.00M,143.00M,184.00M,,-7.00M,,,,-12.00M,315.00M,-142.00M,,,,-7.00M,,-146.00M,6.00M,-158.00M,,-6.00M,-158.00M,-153.45M,332.00M,474.00M,-142.00M,,-0.21,0.00,-0.2041,-0.21,,-0.21,0.00,-0.2041,-0.21,,770.90M,770.90M,0.00,,,
2007-05,1.294B,1.294B,1.188B,106.00M,134.00M,195.00M,,29.00M,,,,-28.00M,301.00M,-195.00M,,,,29.00M,,-177.00M,9.00M,-225.00M,,-39.00M,-225.00M,-243.85M,249.00M,444.00M,-195.00M,,-0.29,0.00,-0.3145,-0.29,,-0.29,0.00,-0.3145,-0.29,,769.90M,769.90M,0.00,,,
2007-02,1.427B,1.427B,1.07B,357.00M,153.00M,243.00M,,10.00M,,,,-5.00M,391.00M,-34.00M,,,,10.00M,,2.00M,6.00M,-52.00M,,-48.00M,-52.00M,-58.50M,386.00M,420.00M,-34.00M,,-0.07,0.00,-0.0785,-0.07,,-0.07,0.00,-0.0785,-0.07,,768.70M,768.70M,0.00,,,
2006-11,1.53B,1.53B,1.088B,442.00M,180.00M,183.00M,,34.00M,,,,-31.00M,332.00M,110.00M,,,,34.00M,,153.00M,9.00M,115.00M,,-29.00M,115.00M,83.00M,490.00M,380.00M,110.00M,,0.15,0.00,0.1083,0.15,,0.15,0.00,0.1090,0.15,,767.00M,779.60M,0.00,,,
2006-08,1.373B,1.373B,1.049B,323.80M,143.70M,163.30M,,38.70M,,,,-35.20M,271.80M,52.00M,,,,38.70M,,91.90M,4.00M,63.70M,,-24.20M,63.70M,26.68M,396.80M,344.80M,52.00M,,0.08,0.00,0.0304,0.08,,0.08,0.00,0.0312,0.08,,746.60M,759.00M,0.00,,,
2006-05,1.312B,1.312B,982.50M,329.80M,113.20M,167.70M,,1.90M,,,,1.50M,282.40M,47.40M,,,,1.90M,,77.80M,6.50M,88.50M,,17.20M,88.50M,86.76M,388.60M,341.20M,47.40M,,0.12,0.00,0.1175,0.12,,0.12,0.00,0.1176,0.12,,708.60M,720.10M,0.00,,,
2006-02,1.225B,1.225B,989.00M,236.00M,108.00M,159.00M,,220.00M,,,,-219.00M,48.00M,188.00M,,,,220.00M,,200.00M,7.00M,193.00M,,,193.00M,-19.30M,479.60M,291.60M,188.00M,,0.29,0.00,-0.0309,0.29,,0.27,0.00,-0.0271,0.27,,661.50M,714.60M,0.00,,,
2005-11,1.362B,1.362B,1.051B,311.10M,95.30M,165.50M,,12.20M,,,,-12.10M,248.70M,62.40M,,,,12.20M,,62.80M,0.20M,62.60M,,,62.60M,50.44M,365.80M,303.40M,62.40M,,0.10,0.00,0.0813,0.10,,0.09,0.00,0.0728,0.09,,650.10M,707.10M,0.00,,,
2005-08,1.258B,1.258B,975.20M,282.40M,86.80M,150.80M,,-0.50M,,,,,236.60M,45.80M,,,,-0.50M,,43.60M,0.50M,43.10M,,,43.10M,43.59M,361.20M,315.40M,45.80M,,0.0851,,0.0859,0.0851,,0.07,0.00,0.0708,0.07,,647.10M,647.10M,0.00,,,
2005-05,1.054B,1.054B,967.60M,86.60M,63.30M,153.40M,,-1.30M,,,,,216.70M,-130.10M,,,,-1.30M,,-135.20M,-7.30M,-127.90M,,,-127.90M,-126.67M,188.50M,318.60M,-130.10M,,-0.20,0.00,-0.1981,-0.20,,-0.20,0.00,-0.1981,-0.20,,648.20M,648.20M,0.00,,,
2005-02,1.308B,1.308B,954.00M,354.00M,85.00M,151.00M,,9.00M,,,,-8.00M,228.00M,126.00M,,,,9.00M,,122.00M,4.00M,118.00M,,,118.00M,109.30M,443.30M,317.30M,126.00M,,0.18,0.00,0.1665,0.18,,0.17,0.00,0.1576,0.17,,647.10M,701.30M,0.00,,,
2004-11,1.260B,1.260B,837.30M,423.00M,86.80M,148.40M,,-14.20M,,,,12.90M,248.10M,174.90M,,,,-14.20M,,169.10M,14.20M,154.90M,,,154.90M,167.91M,488.60M,313.70M,174.90M,,0.24,0.00,0.2601,0.24,,0.23,0.00,0.2486,0.23,,646.00M,700.50M,0.00,,,
2004-08,1.189B,1.189B,797.10M,391.90M,75.70M,199.30M,,8.60M,,,,,268.30M,123.60M,,,,8.60M,,121.30M,28.00M,93.30M,,,93.30M,86.69M,433.40M,309.80M,123.60M,,0.1567,,0.1464,0.1567,,0.14,0.00,0.1303,0.14,,640.30M,681.37M,0.00,,,
