,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,920.02M,920.02M,521.30M,398.72M,157.41M,74.77M,9.584M,-2.45M,53.25M,-53.25M,241.76M,156.96M,53.25M,-53.25M,18.20M,-53.25M,121.92M,22.77M,99.15M,0.00,99.15M,101.14M,206.75M,31.58M,175.16M,,1.25,,1.275,1.25,,1.25,,1.275,1.25,,79.06M,79.30M,0.69,,AOR,Restated
2018-03,930.93M,930.93M,525.12M,405.81M,142.64M,78.48M,9.185M,-0.648M,16.60M,-16.60M,230.30M,175.50M,16.60M,-16.60M,-0.072M,-16.60M,158.84M,29.42M,129.42M,0.00,129.42M,129.94M,208.82M,33.38M,175.43M,,1.63,,1.637,1.63,,1.63,,1.637,1.63,,79.02M,79.39M,0.69,,AOR,Restated
2017-12,854.62M,854.62M,498.63M,356.00M,141.47M,76.82M,10.37M,-5.464M,15.78M,-15.78M,228.66M,127.34M,15.78M,-15.78M,3.627M,-15.78M,115.19M,155.35M,-40.16M,,-40.16M,-36.88M,163.49M,32.52M,130.97M,,-0.51,,-0.4685,-0.51,,-0.51,,-0.4687,-0.51,,79.06M,79.42M,0.69,,AOR,Restated
2017-09,872.94M,872.94M,492.54M,380.40M,145.65M,73.76M,8.766M,-3.218M,19.22M,-19.22M,228.18M,152.22M,19.22M,-19.22M,8.329M,-19.22M,141.33M,31.06M,110.26M,,110.26M,112.77M,190.19M,29.64M,160.55M,,1.39,,1.422,1.39,,1.39,,1.422,1.39,,79.06M,79.36M,0.69,,AOR,Restated
2017-06,842.86M,842.86M,469.88M,372.98M,139.32M,72.76M,8.494M,-0.723M,17.56M,-17.56M,220.57M,152.41M,17.56M,-17.56M,7.186M,-17.56M,142.04M,32.24M,109.80M,,109.80M,110.35M,188.60M,29.00M,159.60M,,1.39,,1.397,1.39,,1.38,,1.387,1.38,,79.07M,79.30M,0.64,,AOR,Restated
2017-03,828.29M,828.29M,465.21M,363.08M,143.70M,72.13M,7.066M,-10.12M,12.81M,-12.81M,222.90M,140.19M,12.81M,-12.81M,11.11M,-12.81M,138.49M,22.72M,115.76M,,115.76M,124.23M,178.10M,26.80M,151.29M,,1.46,,1.567,1.46,,1.45,,1.557,1.45,,79.10M,79.41M,0.64,,AOR,Restated
2016-12,762.56M,762.56M,439.11M,323.45M,164.15M,67.81M,7.104M,9.538M,12.34M,-12.34M,239.06M,84.38M,12.34M,-12.34M,31.34M,-12.34M,103.38M,23.46M,79.92M,,79.92M,72.54M,143.08M,27.36M,115.72M,,1.00,,0.9072,1.00,,1.00,,0.9075,1.00,,79.41M,79.72M,0.64,,AOR,Restated
2016-09,777.00M,777.00M,430.73M,346.27M,152.05M,64.42M,5.468M,0.087M,13.11M,-13.11M,221.93M,124.34M,13.11M,-13.11M,2.162M,-13.11M,113.39M,23.61M,89.78M,,89.78M,89.71M,151.87M,25.37M,126.50M,,1.13,,1.129,1.13,,1.12,,1.119,1.12,,79.58M,79.94M,0.64,,AOR,Restated
2016-06,793.48M,793.48M,427.84M,365.64M,132.78M,63.25M,5.13M,0.197M,15.06M,-15.06M,201.17M,164.48M,15.06M,-15.06M,2.635M,-15.06M,152.05M,35.32M,116.73M,,116.73M,116.58M,190.16M,23.05M,167.11M,,1.46,,1.458,1.46,,1.46,,1.458,1.46,,79.76M,80.04M,0.56,,AOR,Restated
2016-03,783.31M,783.31M,423.10M,360.21M,123.54M,63.38M,6.061M,2.713M,12.48M,-12.48M,192.99M,167.22M,12.48M,-12.48M,0.154M,-12.48M,154.90M,36.29M,118.60M,,118.60M,116.52M,194.07M,26.70M,167.37M,,1.48,,1.454,1.48,,1.47,,1.444,1.47,,79.67M,80.06M,0.56,,AOR,Restated
2015-12,715.65M,715.65M,402.49M,313.16M,122.25M,57.38M,4.747M,-7.764M,11.70M,-11.70M,184.37M,128.78M,11.70M,-11.70M,-14.26M,-11.70M,102.82M,23.65M,79.17M,,79.17M,85.15M,139.02M,24.50M,114.52M,,0.89,,0.9647,0.89,,0.89,,0.9643,0.89,,79.99M,80.41M,0.56,,AOR,Restated
2015-09,765.09M,765.09M,417.97M,347.13M,122.25M,62.75M,5.414M,,11.86M,-11.86M,190.41M,156.71M,11.86M,-11.86M,-1.959M,-11.86M,142.90M,36.45M,106.45M,,106.45M,106.45M,178.81M,24.06M,154.75M,,1.32,,1.32,1.32,,1.31,,1.31,1.31,,80.33M,80.74M,0.56,,AOR,Restated
2015-06,767.54M,767.54M,422.50M,345.04M,131.02M,62.51M,3.04M,0.358M,11.41M,-11.41M,196.58M,148.46M,11.41M,-11.41M,-0.078M,-11.41M,136.98M,31.60M,105.37M,,105.37M,105.10M,169.44M,21.06M,148.38M,,1.30,,1.297,1.30,,1.29,,1.287,1.29,,80.79M,81.19M,0.47,,AOR,Restated
2015-03,774.91M,774.91M,428.63M,346.28M,119.00M,63.46M,1.84M,-0.187M,11.10M,-11.10M,184.30M,161.98M,11.10M,-11.10M,5.523M,-11.10M,156.41M,28.15M,128.26M,,128.26M,128.41M,187.49M,19.98M,167.50M,,1.58,,1.582,1.58,,1.57,,1.572,1.57,,80.65M,81.20M,0.47,,AOR,Restated
2014-12,756.08M,756.08M,428.10M,327.98M,127.70M,62.00M,,-0.386M,12.02M,-12.02M,197.03M,130.95M,12.02M,-12.02M,-1.34M,-12.02M,117.59M,27.45M,90.14M,,90.14M,90.43M,150.28M,20.68M,129.61M,,1.11,,1.114,1.11,,1.10,,1.104,1.10,,80.80M,81.31M,0.47,,AOR,Restated
2014-09,773.81M,773.81M,433.70M,340.11M,123.21M,63.70M,,-0.608M,10.97M,-10.97M,186.91M,153.20M,10.97M,-10.97M,-0.045M,-10.97M,142.18M,34.77M,107.42M,,107.42M,107.87M,172.70M,19.55M,153.15M,,1.32,,1.326,1.32,,1.31,,1.316,1.31,,80.94M,81.51M,0.47,,AOR,Restated
2014-06,788.41M,788.41M,435.77M,352.65M,132.92M,66.43M,,-0.182M,11.40M,-11.40M,199.35M,153.30M,11.40M,-11.40M,4.459M,-11.40M,146.35M,36.07M,110.28M,,110.28M,110.42M,184.06M,26.30M,157.76M,,1.35,,1.352,1.35,,1.35,,1.352,1.35,,80.95M,81.43M,0.39,,AOR,Restated
2014-03,770.22M,770.22M,428.81M,341.41M,123.73M,61.50M,,-0.122M,11.68M,-11.68M,185.24M,156.18M,11.68M,-11.68M,-1.565M,-11.68M,142.93M,36.23M,106.71M,,106.71M,106.80M,177.44M,22.83M,154.61M,,1.31,,1.311,1.31,,1.30,,1.301,1.30,,81.05M,81.73M,0.39,,AOR,Restated
2013-12,725.17M,725.17M,411.71M,313.46M,148.19M,70.41M,,-0.046M,11.13M,-11.13M,218.60M,94.86M,11.13M,-11.13M,-0.767M,-11.13M,82.96M,21.48M,61.48M,,61.48M,61.51M,116.23M,22.14M,94.09M,,0.75,,0.7504,0.75,,0.75,,0.7504,0.75,,81.24M,81.84M,0.39,,AOR,Restated
2013-09,742.26M,742.26M,416.85M,325.40M,118.22M,65.65M,,0.00,11.62M,-11.62M,183.88M,141.53M,11.62M,-11.62M,4.08M,-11.62M,133.98M,34.94M,99.05M,,99.05M,99.05M,166.89M,21.28M,145.61M,,1.21,,1.21,1.21,,1.20,,1.20,1.20,,81.44M,82.04M,0.39,,AOR,Restated
2013-06,757.64M,757.64M,423.65M,333.99M,124.81M,64.67M,,-2.105M,12.86M,-12.86M,189.48M,144.50M,12.86M,-12.86M,9.104M,-12.86M,140.74M,38.42M,102.32M,,102.32M,103.85M,174.01M,20.40M,153.60M,,1.25,,1.269,1.25,,1.24,,1.259,1.24,,81.31M,82.04M,0.34,,AOR,Restated
2013-03,727.84M,727.84M,416.48M,311.36M,114.65M,59.10M,,0.00,11.15M,-11.15M,173.75M,137.61M,11.15M,-11.15M,1.069M,-11.15M,127.52M,36.83M,90.70M,,90.70M,90.70M,158.08M,19.40M,138.68M,,1.11,,1.11,1.11,,1.10,,1.10,1.10,,81.29M,82.02M,0.34,,AOR,Restated
2012-12,680.56M,680.56M,393.49M,287.07M,125.59M,62.25M,,0.00,10.42M,-10.42M,187.84M,99.23M,10.42M,-10.42M,-0.117M,-10.42M,88.69M,20.57M,68.12M,,68.12M,68.12M,119.45M,20.34M,99.11M,,0.83,,0.83,0.83,,0.83,,0.83,0.83,,80.71M,81.38M,0.34,,AOR,Restated
2012-09,708.96M,708.96M,407.43M,301.52M,109.69M,57.66M,,0.00,9.907M,-9.907M,167.35M,134.18M,9.907M,-9.907M,-2.424M,-9.907M,121.84M,105.48M,16.36M,,16.36M,16.36M,150.99M,19.24M,131.75M,,0.20,,0.20,0.20,,0.20,,0.20,0.20,,81.25M,81.90M,0.34,,AOR,Restated
2012-06,721.32M,721.32M,419.77M,301.54M,112.84M,56.40M,,0.00,10.61M,-10.61M,169.24M,132.31M,10.61M,-10.61M,0.845M,-10.61M,122.54M,33.94M,88.60M,,88.60M,88.60M,151.21M,18.06M,133.15M,,1.09,,1.09,1.09,,1.08,,1.08,1.08,,81.10M,81.78M,0.31,,AOR,Restated
2012-03,710.62M,710.62M,425.22M,285.40M,105.42M,57.41M,,-1.668M,10.81M,-10.81M,162.82M,122.58M,10.81M,-10.81M,-1.422M,-10.81M,110.34M,29.29M,81.06M,,81.06M,82.28M,140.19M,19.04M,121.15M,,1.00,,1.015,1.00,,0.99,,1.005,0.99,,80.78M,81.67M,0.31,,AOR,Restated
2011-12,644.38M,644.38M,399.98M,244.40M,134.35M,52.46M,,3.153M,10.67M,-10.67M,186.81M,57.59M,10.67M,-10.67M,-6.391M,-10.67M,40.53M,16.14M,24.39M,,24.39M,22.50M,70.28M,19.08M,51.20M,,0.30,,0.2765,0.30,,0.30,,0.2767,0.30,,80.68M,81.60M,0.31,,AOR,Restated
2011-09,713.78M,713.78M,435.40M,278.38M,96.78M,53.64M,,-5.201M,10.28M,-10.28M,150.42M,127.96M,10.28M,-10.28M,-5.201M,-10.28M,112.47M,30.23M,82.24M,,82.24M,86.04M,141.64M,18.89M,122.75M,,1.01,0.00,1.057,1.01,,1.00,0.00,1.047,1.00,,80.64M,81.63M,0.31,,AOR,Restated
2011-06,715.59M,715.59M,431.17M,284.42M,106.22M,56.23M,,-5.04M,12.01M,-12.01M,162.45M,121.97M,12.01M,-12.01M,-5.04M,-12.01M,104.92M,28.73M,76.19M,,76.19M,79.85M,136.32M,19.39M,116.93M,,0.94,0.00,0.9855,0.94,,0.93,0.00,0.9749,0.93,,80.45M,81.49M,0.27,,AOR,Restated
2011-03,714.27M,714.27M,416.81M,297.46M,106.62M,57.46M,,-6.084M,11.68M,-11.68M,164.08M,133.38M,11.68M,-11.68M,-6.084M,-11.68M,115.62M,31.58M,84.04M,,84.04M,88.47M,145.26M,17.96M,127.30M,,1.04,0.00,1.095,1.04,,1.03,0.00,1.085,1.03,,80.05M,81.15M,0.27,,AOR,Restated
2010-12,629.87M,629.87M,377.52M,252.35M,110.90M,57.08M,,6.076M,11.68M,-11.68M,167.99M,84.36M,11.68M,-11.68M,-1.983M,-11.68M,70.70M,15.12M,55.58M,,55.58M,50.80M,101.48M,19.10M,82.37M,,0.68,,0.6208,0.68,,0.68,,0.6216,0.68,,80.75M,81.77M,0.27,,AOR,Restated
2010-09,673.28M,673.28M,388.24M,285.05M,108.96M,53.21M,,-4.452M,12.24M,-12.24M,162.17M,122.88M,12.24M,-12.24M,-4.452M,-12.24M,106.18M,29.14M,77.04M,,77.04M,80.27M,138.34M,19.92M,118.43M,,0.96,0.00,1.001,0.96,,0.95,0.00,0.9902,0.95,,79.36M,80.27M,0.27,,AOR,Restated
2010-06,665.80M,665.80M,380.80M,285.00M,119.52M,55.84M,,-3.95M,12.05M,-12.05M,175.37M,109.63M,12.05M,-12.05M,-3.95M,-12.05M,93.63M,26.48M,67.15M,,67.15M,69.98M,125.87M,20.19M,105.68M,,0.84,0.00,0.8758,0.84,,0.83,0.00,0.8654,0.83,,79.19M,80.11M,0.25,,AOR,Restated
2010-03,653.91M,653.91M,383.70M,270.21M,108.01M,52.63M,,-7.75M,12.74M,-12.74M,160.64M,109.57M,12.74M,-12.74M,-7.75M,-12.74M,89.08M,25.29M,63.79M,,63.79M,69.34M,121.85M,20.03M,101.82M,,0.80,0.00,0.8705,0.80,,0.80,0.00,0.8696,0.80,,78.77M,79.69M,0.25,,AOR,Restated
2009-12,585.63M,585.63M,350.22M,235.41M,100.77M,43.80M,,-5.235M,14.49M,-14.49M,144.57M,90.84M,14.49M,-14.49M,-5.235M,-14.49M,71.12M,23.67M,47.45M,,47.45M,50.94M,106.06M,20.45M,85.61M,,0.60,0.00,0.6444,0.60,,0.60,0.00,0.6440,0.60,,78.57M,79.42M,0.25,,AOR,Restated
2009-09,612.63M,612.63M,363.78M,248.85M,101.20M,49.39M,,-10.48M,13.50M,-13.50M,150.59M,98.26M,13.50M,-13.50M,-10.48M,-13.50M,74.28M,21.48M,52.80M,,52.80M,60.25M,107.60M,19.81M,87.79M,,0.67,0.00,0.7649,0.67,,0.66,0.00,0.7541,0.66,,78.49M,79.16M,0.25,,AOR,Restated
2009-06,568.26M,568.26M,340.35M,227.91M,96.03M,44.25M,,-5.673M,14.05M,-14.05M,140.28M,87.63M,14.05M,-14.05M,-5.673M,-14.05M,67.91M,19.83M,48.08M,,48.08M,52.10M,101.59M,19.63M,81.96M,,0.61,0.00,0.6613,0.61,,0.60,0.00,0.6508,0.60,,78.35M,79.05M,0.25,,AOR,Restated
2009-03,559.63M,559.63M,337.56M,222.06M,91.35M,47.33M,1.538M,1.162M,19.78M,-19.78M,140.22M,81.85M,19.78M,-19.78M,1.162M,-19.78M,63.23M,16.03M,47.20M,,47.20M,46.33M,101.64M,18.63M,83.01M,,0.60,0.00,0.5889,0.60,,0.60,0.00,0.5890,0.60,,78.20M,78.75M,0.25,,AOR,Restated
2008-12,539.10M,539.10M,324.17M,214.94M,113.45M,36.51M,,-8.256M,19.21M,-19.21M,145.34M,69.59M,19.21M,-19.21M,-8.256M,-19.21M,42.13M,-6.84M,48.97M,,48.97M,54.34M,77.31M,15.97M,61.34M,,0.63,0.00,0.6987,0.63,,0.62,0.00,0.6882,0.62,,78.13M,78.64M,0.25,,AOR,Restated
2008-09,617.54M,617.54M,370.80M,246.74M,92.46M,52.13M,1.537M,-3.005M,18.04M,-18.04M,146.13M,100.61M,18.04M,-18.04M,-3.005M,-18.04M,79.57M,21.88M,57.68M,,57.68M,59.86M,115.09M,17.49M,97.60M,,0.73,0.00,0.7579,0.73,,0.73,0.00,0.7576,0.73,,78.08M,78.80M,0.25,,,Restated
2008-06,636.13M,636.13M,372.34M,263.78M,104.66M,56.17M,1.539M,4.372M,18.54M,-18.54M,162.37M,101.41M,18.54M,-18.54M,4.372M,-18.54M,87.24M,20.21M,67.03M,,67.03M,63.67M,128.82M,23.04M,105.79M,,0.84,0.00,0.7978,0.84,,0.83,0.00,0.7882,0.83,,79.63M,80.37M,0.23,,,Restated
2008-03,596.60M,596.60M,351.12M,245.48M,90.15M,52.06M,1.538M,-8.529M,18.22M,-18.22M,143.74M,101.74M,18.22M,-18.22M,-8.529M,-18.22M,74.99M,19.04M,55.95M,,55.95M,62.31M,112.70M,19.49M,93.21M,,0.69,0.00,0.7692,0.69,,0.69,0.00,0.7685,0.69,,80.30M,81.08M,0.23,,,Restated
2007-12,553.50M,553.50M,328.20M,225.30M,98.35M,53.90M,2.212M,15.33M,,,160.41M,64.89M,,,15.33M,,64.00M,16.77M,47.22M,,47.22M,35.91M,95.99M,19.96M,76.03M,,0.60,0.00,0.4595,0.60,,0.59,0.00,0.4515,0.59,,80.55M,81.70M,0.23,,,Restated
2007-09,583.31M,583.31M,339.18M,244.14M,94.46M,49.73M,3.555M,-7.182M,,,147.75M,96.39M,,,-7.182M,,80.61M,21.76M,58.84M,,58.84M,64.09M,116.92M,20.54M,96.39M,,0.68,0.00,0.7402,0.68,,0.67,0.00,0.7295,0.67,,87.06M,88.06M,0.23,,,
2007-06,573.73M,573.73M,327.67M,246.06M,91.20M,48.76M,3.555M,2.819M,,,143.51M,102.54M,,,2.819M,,96.97M,18.60M,78.37M,,78.37M,76.09M,123.69M,21.15M,102.54M,,0.88,0.00,0.8544,0.88,,0.87,0.00,0.8447,0.87,,89.17M,90.12M,0.21,,,
2007-03,566.10M,566.10M,329.38M,236.72M,91.27M,46.63M,3.556M,0.167M,,,141.46M,95.26M,,,0.167M,,87.11M,24.42M,62.69M,,62.69M,62.57M,116.40M,21.14M,95.26M,,0.70,0.00,0.6987,0.70,,0.69,0.00,0.6887,0.69,,89.38M,90.66M,0.21,,,
2006-12,514.32M,514.32M,303.40M,210.92M,90.56M,48.03M,3.709M,1.201M,,,142.30M,68.62M,,,1.201M,,62.42M,14.43M,47.98M,,47.98M,47.06M,91.44M,22.82M,68.62M,,0.53,0.00,0.5197,0.53,,0.53,0.00,0.5198,0.53,,90.04M,90.86M,0.21,,,
2006-09,539.14M,539.14M,310.15M,228.99M,88.09M,46.47M,3.713M,6.467M,,,138.28M,90.71M,,,6.467M,,90.70M,27.06M,63.65M,,63.65M,59.11M,113.02M,22.31M,90.71M,,0.71,0.00,0.6596,0.71,,0.70,0.00,0.6501,0.70,,90.05M,90.99M,0.185,,,
2006-06,530.50M,530.50M,302.89M,227.62M,87.68M,45.59M,3.711M,0.59M,,,136.98M,90.63M,,,0.59M,,84.92M,23.74M,61.18M,,61.18M,60.76M,112.97M,22.34M,90.63M,,0.67,0.00,0.6653,0.67,,0.67,0.00,0.6654,0.67,,90.87M,91.79M,0.185,,,
2006-03,511.43M,511.43M,294.82M,216.61M,85.59M,45.60M,3.71M,-1.10M,,,134.90M,81.71M,,,-1.10M,,75.24M,21.55M,53.69M,,53.69M,54.47M,103.98M,22.26M,81.71M,,0.59,0.00,0.5986,0.59,,0.58,0.00,0.5885,0.58,,91.54M,92.21M,0.185,,,
2005-12,461.64M,461.64M,274.82M,186.83M,85.69M,46.03M,3.768M,-24.02M,,,135.49M,51.34M,,,-24.02M,,21.57M,6.331M,15.24M,,15.24M,32.21M,73.72M,22.38M,51.34M,,0.17,0.00,0.3519,0.17,,0.17,0.00,0.3519,0.17,,93.31M,93.31M,0.185,,,
2005-09,493.12M,493.12M,286.71M,206.41M,86.02M,44.65M,3.768M,0.854M,,,134.44M,71.96M,,,0.854M,,66.25M,-2.319M,68.57M,,68.57M,68.06M,95.08M,23.12M,71.96M,,0.73,0.00,0.7245,0.73,,0.72,0.00,0.7146,0.72,,93.38M,94.62M,0.185,,,
2005-06,515.58M,515.58M,299.06M,216.51M,82.87M,44.38M,3.767M,2.558M,,,131.01M,85.50M,,,2.558M,,82.00M,25.28M,56.71M,,56.71M,54.94M,109.04M,23.54M,85.50M,,0.60,0.00,0.5812,0.60,,0.60,0.00,0.5814,0.60,,93.88M,95.26M,0.185,,,
2005-03,523.05M,523.05M,308.40M,214.66M,84.74M,44.75M,3.768M,0.556M,,,133.26M,81.39M,,,0.556M,,76.37M,23.83M,52.54M,,52.54M,52.16M,104.28M,22.89M,81.39M,,0.56,0.00,0.5559,0.56,,0.55,0.00,0.5460,0.55,,94.32M,96.02M,0.175,,,
2004-12,468.23M,468.23M,268.68M,199.55M,84.70M,43.06M,3.713M,-6.385M,,,131.47M,68.08M,,,-6.385M,,56.30M,15.40M,40.91M,,40.91M,45.54M,90.68M,22.61M,68.08M,,0.43,0.00,0.4790,0.43,,0.42,0.00,0.4680,0.42,,94.72M,96.62M,0.175,,,
2004-09,506.23M,506.23M,289.05M,217.18M,83.69M,43.12M,3.709M,-20.27M,,,130.53M,86.65M,,,-20.27M,,60.34M,18.03M,42.30M,,42.30M,56.52M,108.96M,22.31M,86.65M,,0.45,0.00,0.6010,0.45,,0.44,0.00,0.5889,0.44,,94.17M,95.50M,0.175,,,
2004-06,524.18M,524.18M,295.72M,228.46M,83.18M,44.34M,3.709M,-9.021M,,,131.24M,97.23M,,,-9.021M,,82.09M,25.59M,56.50M,,56.50M,62.71M,120.32M,23.10M,97.23M,,0.60,0.00,0.6660,0.60,,0.59,0.00,0.6551,0.59,,94.14M,95.33M,0.175,,,
2004-03,535.02M,535.02M,306.79M,228.23M,89.73M,44.65M,3.699M,-1.425M,,,138.07M,90.16M,,,-1.425M,,82.27M,25.92M,56.36M,,56.36M,57.33M,113.14M,22.98M,90.16M,,0.60,0.00,0.6104,0.60,,0.59,0.00,0.6003,0.59,,94.03M,95.13M,0.16,,,
2003-12,471.80M,471.80M,268.58M,203.22M,84.31M,42.24M,3.158M,-12.39M,,,129.71M,73.50M,,,-12.39M,,55.24M,17.13M,38.11M,,38.11M,46.66M,95.80M,22.30M,73.50M,,0.41,0.00,0.5009,0.41,,0.41,0.00,0.5009,0.41,,94.01M,94.01M,0.16,,,
2003-09,480.89M,480.89M,278.19M,202.70M,75.64M,39.18M,3.158M,-3.47M,,,117.98M,84.72M,,,-3.47M,,74.71M,23.64M,51.07M,,51.07M,53.44M,106.12M,21.41M,84.72M,,0.55,0.00,0.5754,0.55,,0.54,0.00,0.5653,0.54,,93.26M,93.79M,0.16,,,
2003-06,482.61M,482.61M,275.24M,207.38M,72.89M,38.90M,3.158M,-9.086M,,,114.94M,92.43M,,,-9.086M,,75.39M,23.99M,51.40M,,51.40M,57.59M,114.05M,21.62M,92.43M,,0.55,0.00,0.6161,0.55,,0.54,0.00,0.6053,0.54,,93.78M,94.87M,0.16,,,
2003-03,466.22M,466.22M,270.45M,195.78M,76.12M,38.96M,3.158M,-22.92M,,,118.24M,77.54M,,,-22.92M,,46.51M,14.50M,32.02M,,32.02M,47.79M,98.94M,21.40M,77.54M,,0.34,0.00,0.5075,0.34,,0.34,0.00,0.5055,0.34,,94.16M,95.28M,0.15,,,
2002-12,424.29M,424.29M,242.28M,182.01M,75.71M,36.17M,3.158M,0.258M,,,115.04M,66.97M,,,0.258M,,58.86M,19.87M,39.00M,,39.00M,38.83M,88.04M,21.07M,66.97M,,0.41,0.00,0.4082,0.41,,0.41,0.00,0.4082,0.41,,94.64M,94.64M,0.15,,,
2002-09,462.78M,462.78M,261.08M,201.70M,75.14M,37.66M,3.158M,-1.934M,,,115.96M,85.74M,,,-1.934M,,74.86M,25.26M,49.60M,,49.60M,50.88M,106.73M,20.99M,85.74M,,0.52,0.00,0.5335,0.52,,0.52,0.00,0.5334,0.52,,94.63M,95.66M,0.15,,,
