,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,214.79M,616.09M,95.10M,711.20M,79.87M,,53.79M,133.66M,,,,,57.69M,139.53M,,,1.042B,,,,,,,,804.94M,-577.25M,227.69M,552.41M,312.40M,864.82M,1.568M,,,194.98M,1.289B,2.331B,,2015-09,,,,,194.43M,,,,,,315.22M,315.22M,,,,348.76M,,31.23M,31.23M,,56.94M,436.93M,946.58M,,2015-09,1.853B,-154.36M,,307.41M,,,-6.949M,1.385B,,2015-09,AOR,Restated
2015-06,232.41M,647.85M,96.56M,744.41M,85.01M,,46.32M,131.32M,,,,,62.17M,129.32M,,,1.067B,,,,,,,,799.04M,-569.20M,229.84M,553.83M,328.34M,882.17M,1.628M,,,199.79M,1.313B,2.381B,,2015-06,,,,,202.79M,,,,,,324.57M,324.57M,,,,348.73M,,36.40M,36.40M,,70.94M,456.08M,983.44M,,2015-06,1.886B,-231.99M,,256.48M,,,-0.741M,1.397B,,2015-06,AOR,Restated
2015-03,209.31M,887.74M,92.64M,980.38M,84.36M,,49.57M,133.92M,,,,,54.45M,135.05M,,,1.734B,,,,,,,,786.33M,-560.77M,225.56M,553.94M,344.45M,898.39M,3.619M,,,201.35M,1.329B,3.063B,,2015-03,,,,,178.47M,,,293.67M,293.67M,293.67M,324.45M,324.45M,,429.85M,,348.70M,,48.42M,48.42M,,75.82M,472.94M,1.699B,,2015-03,1.869B,-290.15M,,219.58M,,,3.813M,1.363B,,2015-03,AOR,Restated
2014-12,203.66M,932.16M,90.44M,1.023B,79.41M,,43.08M,122.49M,42.43M,,13.97M,,56.39M,31.86M,94.46M,,1.852B,0.00,55.93M,126.38M,508.60M,,0.63M,91.13M,782.66M,-552.55M,230.11M,553.77M,360.93M,914.70M,3.644M,,140.97M,68.40M,1.358B,3.210B,,2014-12,12.10M,9.118M,21.22M,204.16M,225.38M,,,342.50M,342.50M,342.50M,301.29M,301.29M,,523.93M,,348.68M,,54.73M,54.73M,,79.49M,482.89M,1.876B,,2014-12,1.851B,-326.41M,,203.79M,,,12.35M,1.334B,,2014-12,AOR,Restated
2014-09,203.63M,500.48M,94.97M,595.45M,77.31M,,30.32M,107.63M,,,,,61.10M,134.93M,,,1.352B,,,,,,,,777.47M,-546.13M,231.34M,557.25M,378.83M,936.08M,4.957M,,,181.96M,1.354B,2.706B,,2014-09,,,,,205.65M,,,337.71M,337.71M,337.71M,300.19M,300.19M,,452.50M,,,,42.87M,42.87M,,82.30M,125.17M,1.421B,,2014-09,1.820B,-391.44M,,169.51M,,,25.34M,1.285B,,2014-09,AOR,Restated
2014-06,199.80M,557.42M,97.91M,655.33M,77.09M,,24.84M,101.92M,,,,,58.31M,143.31M,,,1.415B,,,,,,,,823.93M,-584.61M,239.31M,559.96M,395.43M,955.39M,5.611M,,,170.80M,1.371B,2.786B,,2014-06,,,,,216.96M,,100.00M,333.33M,433.33M,433.33M,301.91M,301.91M,,455.84M,,,,46.80M,46.80M,,70.50M,117.30M,1.525B,,2014-06,1.812B,-428.97M,,154.84M,,,32.12M,1.260B,,2014-06,AOR,Restated
2014-03,183.88M,532.76M,97.01M,629.77M,81.33M,,24.99M,106.32M,,,,,55.60M,136.30M,,,1.298B,,,,,,,,815.99M,-576.56M,239.42M,478.99M,316.50M,795.49M,6.193M,,,185.39M,1.226B,2.524B,,2014-03,,,,,189.20M,,,329.06M,329.06M,329.06M,304.70M,304.70M,,369.73M,,,,48.30M,48.30M,,69.02M,117.32M,1.310B,,2014-03,1.785B,-452.24M,,147.62M,,,28.99M,1.214B,,2014-03,AOR,Restated
2013-12,188.09M,536.26M,96.79M,633.05M,76.06M,,31.57M,107.62M,30.55M,,19.67M,,50.22M,31.75M,91.63M,,1.221B,0.00,55.98M,126.51M,530.02M,,1.649M,93.05M,807.21M,-568.49M,238.72M,456.90M,311.69M,768.60M,3.672M,,144.55M,28.11M,1.208B,2.429B,,2013-12,24.96M,11.06M,36.02M,180.57M,216.59M,,,324.83M,324.83M,324.83M,299.97M,299.97M,,306.82M,,,,52.85M,52.85M,,60.04M,124.29M,1.272B,,2013-12,1.757B,-485.31M,,140.14M,,,24.31M,1.156B,,2013-12,AOR,Restated
2013-09,143.84M,620.40M,96.02M,716.42M,61.91M,,40.13M,101.90M,,,,,45.88M,117.46M,,,1.274B,,,,,,,,806.38M,-564.42M,241.96M,456.27M,323.81M,780.07M,3.994M,,,257.19M,1.283B,2.557B,,2013-09,,,,,193.44M,,50.00M,463.84M,513.84M,513.84M,297.90M,297.90M,,292.51M,,,,48.23M,48.23M,,115.26M,163.49M,1.461B,,2013-09,1.740B,-523.01M,,141.34M,,,20.88M,1.096B,,2013-09,AOR,Restated
2013-06,173.58M,577.23M,101.25M,678.48M,66.97M,,25.62M,92.58M,,,,,38.70M,120.60M,,,1.265B,,,,,,,,866.64M,-623.36M,243.29M,457.56M,337.70M,795.26M,5.929M,,,253.11M,1.298B,2.563B,,2013-06,,,,,185.81M,,100.00M,458.18M,558.18M,558.18M,282.78M,282.78M,,335.13M,,,,43.89M,43.89M,,117.03M,160.93M,1.523B,,2013-06,1.744B,-561.51M,,168.57M,,,26.08M,1.040B,,2013-06,AOR,Restated
2013-03,150.93M,810.15M,100.99M,911.14M,41.27M,,33.98M,75.25M,,,,,37.02M,122.60M,,,1.462B,,,,,,,,864.19M,-626.73M,237.46M,232.61M,177.89M,410.50M,3.734M,,,209.66M,861.35M,2.323B,,2013-03,,,,,156.61M,,,452.57M,452.57M,452.57M,285.55M,285.55M,,315.90M,,,,41.43M,41.43M,,51.53M,92.96M,1.304B,,2013-03,1.728B,-570.94M,,175.11M,,,37.82M,1.020B,,2013-03,AOR,Restated
2012-12,160.02M,726.36M,100.70M,827.06M,67.26M,,30.65M,97.82M,23.65M,,12.51M,,36.16M,68.49M,58.54M,,1.391B,0.00,55.96M,127.20M,607.25M,,1.969M,87.51M,879.89M,-635.45M,244.44M,233.27M,184.94M,418.20M,7.559M,,171.72M,29.61M,895.77M,2.287B,,2012-12,6.412M,2.305M,8.717M,162.60M,171.32M,,,447.01M,447.01M,447.01M,295.79M,295.79M,,303.15M,,,,50.53M,50.53M,,52.04M,154.56M,1.372B,,2012-12,1.722B,-649.55M,,200.79M,,,43.95M,915.17M,,2012-12,AOR,Restated
2012-09,,649.10M,95.82M,744.92M,123.32M,,,123.21M,,,,,34.63M,60.78M,,,1.251B,,,,,,,,885.41M,-638.55M,246.86M,233.28M,192.77M,426.04M,5.668M,,,59.34M,737.90M,1.989B,,2012-09,,,,,160.25M,305.03M,,,305.03M,305.03M,322.26M,322.26M,,287.08M,,136.59M,,58.44M,58.44M,,130.48M,325.51M,1.400B,,2012-09,1.712B,-962.52M,,207.02M,,,46.12M,588.39M,,2012-09,AOR,Restated
2012-06,,661.66M,51.30M,712.96M,,,,123.24M,,,,,41.07M,61.98M,,,1.158B,,,,,,,,920.25M,-668.33M,251.92M,192.24M,159.81M,352.04M,7.75M,,,59.10M,670.81M,1.829B,,2012-06,,,,,153.96M,301.29M,,,301.29M,301.29M,328.40M,328.40M,,219.20M,,135.01M,,58.21M,58.21M,,131.17M,324.39M,1.327B,,2012-06,1.742B,-1.018B,,266.82M,,,45.15M,502.01M,,2012-06,AOR,Restated
2012-03,,659.69M,3.287M,662.97M,46.85M,257.78M,33.15M,337.77M,,,,,41.72M,69.18M,,,1.112B,,,,,,,,919.81M,-662.07M,257.74M,192.44M,166.53M,358.97M,7.555M,,,58.92M,683.19M,1.795B,,2012-03,,,,,143.76M,297.65M,,,297.65M,297.65M,312.24M,312.24M,,257.78M,,133.46M,,62.63M,62.63M,,126.56M,322.65M,1.334B,,2012-03,1.736B,-1.054B,,269.65M,,,48.45M,460.75M,,2012-03,AOR,Restated
2011-12,117.50M,601.60M,3.037M,604.64M,99.69M,,37.09M,136.77M,24.25M,,19.00M,,43.24M,52.29M,11.93M,,1.064B,0.00,61.21M,127.39M,648.72M,7.177M,,77.01M,921.51M,-658.99M,262.52M,192.12M,173.23M,365.36M,11.37M,,29.12M,18.46M,697.29M,1.761B,,2011-12,3.231M,6.488M,9.719M,156.07M,165.79M,,,294.06M,294.06M,294.06M,340.40M,340.40M,,215.11M,,131.92M,,73.96M,98.02M,,33.62M,334.77M,1.350B,,2011-12,1.734B,-1.083B,,290.46M,,,50.95M,411.13M,,2011-12,AOR,Restated
2011-09,,696.10M,2.959M,699.06M,152.50M,,,152.43M,,,,,47.06M,59.91M,,,958.46M,,,,,,,,910.73M,-650.79M,259.94M,192.15M,180.04M,372.20M,9.178M,,,81.24M,902.22M,1.861B,,2011-09,,,,,140.42M,148.53M,,,148.53M,148.53M,360.58M,360.58M,,,,420.98M,,88.04M,88.04M,,145.87M,834.55M,1.484B,,2011-09,1.713B,-1.092B,,294.28M,,,50.20M,376.60M,,2011-09,AOR,Restated
2011-06,,665.32M,3.255M,668.57M,,,,150.24M,,,,,44.39M,79.97M,,,1.165B,,,,,,,,908.14M,-640.38M,267.76M,173.75M,178.57M,352.32M,10.62M,,,78.67M,709.37M,1.875B,,2011-06,,,,,165.70M,433.86M,,,433.86M,433.86M,362.76M,362.76M,,222.08M,,128.93M,,91.36M,91.36M,,138.62M,358.91M,1.543B,,2011-06,1.726B,-1.115B,,330.09M,,,50.60M,331.32M,,2011-06,AOR,Restated
2011-03,,612.21M,10.92M,623.12M,,,,172.54M,,,,,43.05M,83.92M,,,922.64M,,,,,,,,930.68M,-657.52M,273.16M,159.08M,172.34M,331.43M,11.45M,,,277.03M,893.07M,1.816B,,2011-03,,,,,188.65M,145.00M,,,145.00M,145.00M,340.02M,340.02M,,,,411.20M,,100.06M,100.06M,,333.07M,844.34M,1.518B,,2011-03,1.716B,-1.139B,,332.06M,,,52.54M,297.71M,,2011-03,AOR,Restated
2010-12,,557.41M,12.72M,570.12M,223.70M,,,216.09M,23.11M,,15.92M,,39.03M,42.60M,11.55M,,879.41M,0.00,61.21M,128.57M,664.12M,1.415M,,78.48M,933.79M,-648.68M,285.12M,158.89M,179.20M,338.09M,23.38M,130.21M,35.37M,31.27M,852.71M,1.732B,,2010-12,5.813M,9.71M,15.52M,104.89M,120.41M,143.26M,,,143.26M,143.26M,337.43M,337.43M,,,,406.40M,,85.40M,85.40M,,59.26M,757.91M,1.455B,,2010-12,1.716B,-1.139B,,353.09M,,,53.06M,276.65M,,2010-12,AOR,Restated
2010-09,,509.04M,2.641M,511.68M,,,,202.24M,,,,,28.49M,79.91M,,,822.31M,,,,,,,,931.91M,-641.80M,290.10M,158.89M,185.87M,344.76M,28.23M,,,220.55M,883.64M,1.706B,,2010-09,,,,,152.44M,,,,,,308.59M,308.59M,,,,548.09M,,96.44M,96.44M,,304.40M,948.93M,1.410B,,2010-09,1.707B,-1.100B,,353.29M,,,42.80M,295.99M,,2010-09,AOR,Restated
2010-06,,475.60M,2.86M,478.46M,,,,191.29M,,,,,23.87M,71.45M,,,765.08M,,,,,,,,948.04M,-652.96M,295.07M,158.23M,192.42M,350.65M,40.30M,,,244.66M,930.68M,1.696B,,2010-06,,,,,153.98M,,,,,,290.10M,290.10M,,,,541.77M,,92.48M,92.48M,,454.74M,1.089B,1.533B,,2010-06,1.709B,-1.215B,,370.70M,,,40.16M,162.68M,,2010-06,AOR,Restated
2010-03,,619.30M,3.188M,622.49M,,,,181.16M,,,,,19.32M,56.62M,,,879.59M,,,,,,,,949.77M,-647.28M,302.50M,5.605M,26.57M,32.17M,41.51M,,,159.22M,535.40M,1.415B,,2010-03,,,,,147.78M,,,,,,253.95M,253.95M,,,,441.11M,,85.50M,85.50M,,367.62M,894.22M,1.296B,,2010-03,1.685B,-1.225B,,386.43M,,,45.55M,119.04M,,2010-03,AOR,Restated
2009-12,,569.12M,2.184M,571.30M,214.65M,,,200.63M,10.06M,,4.999M,9.108M,24.16M,54.66M,,,850.75M,0.00,61.24M,128.38M,677.74M,5.152M,,76.10M,948.61M,-637.11M,311.50M,0.00,32.55M,32.55M,58.45M,,120.91M,21.13M,559.84M,1.411B,,2009-12,7.175M,7.98M,15.16M,61.06M,76.21M,0.00,,,0.00,0.00,247.69M,247.69M,,,,436.01M,,92.30M,92.30M,,62.40M,904.32M,1.302B,,2009-12,1.674B,-1.178B,,431.31M,,,43.27M,108.37M,,2009-12,AOR,Restated
2009-09,,570.62M,4.756M,575.37M,,,,195.47M,,,,,25.63M,64.69M,,,861.16M,,,,,,,,943.55M,-630.16M,313.40M,,33.44M,33.44M,64.86M,,,141.36M,553.06M,1.414B,,2009-09,,,,,159.73M,,,,,,245.53M,245.53M,,,,431.07M,,108.94M,108.94M,,372.76M,912.77M,1.318B,,2009-09,1.664B,-1.176B,,433.50M,,,41.20M,96.19M,,2009-09,AOR,Restated
