,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2015-06,58.16M,,,,-0.32M,,,29.53M,29.53M,5.233M,,,21.70M,3.239M,4.372M,-7.925M,1.968M,24.10M,,,-18.31M,121.75M,,2015-06,-16.55M,,-16.55M,,0.00,-3.141M,-19.69M,,2015-06,-296.14M,0.00,-296.14M,13.56M,-72.09M,-58.54M,,,17.73M,,2015-06,887.74M,-234.88M,647.85M,,2015-06,13.56M,0.00,-296.14M,-72.09M,11.88M,,2015-06,AOR,Restated
2015-03,36.26M,,,,-1.27M,,,29.43M,29.43M,1.864M,,,21.86M,6.874M,-12.45M,1.682M,-10.00M,-44.75M,,,17.19M,46.69M,,2015-03,-7.52M,,-7.52M,,,-0.896M,-8.416M,,2015-03,-53.86M,,-53.86M,24.61M,-36.80M,-12.19M,,,-7.632M,,2015-03,932.16M,-35.41M,887.74M,,2015-03,24.61M,,-53.86M,-36.80M,0.125M,,2015-03,AOR,Restated
2014-12,65.03M,,,,-1.505M,,,31.34M,31.34M,-6.485M,,,22.97M,6.299M,-16.07M,4.088M,-2.493M,19.48M,,,9.409M,132.07M,,2014-12,-11.85M,,-11.85M,,0.127M,4.994M,-6.731M,,2014-12,348.65M,0.00,348.65M,11.20M,-38.62M,-27.42M,,,-4.381M,,2014-12,500.48M,442.18M,932.16M,,2014-12,11.20M,348.65M,0.00,-38.62M,4.85M,,2014-12,AOR,Restated
2014-09,37.54M,,,,1.926M,,,30.69M,30.69M,14.18M,,,22.88M,7.576M,-7.194M,-3.53M,13.59M,-2.073M,,,-27.89M,87.69M,,2014-09,-10.24M,,-10.24M,,-3.563M,3.012M,-10.79M,,2014-09,-0.001M,-100.00M,-100.00M,18.24M,-48.90M,-30.66M,,,2.822M,,2014-09,557.42M,-50.94M,500.48M,,2014-09,18.24M,0.00,-100.00M,-48.90M,0.282M,,2014-09,AOR,Restated
2014-06,23.26M,,,,-1.477M,,,27.59M,27.59M,2.533M,,,19.08M,6.282M,5.444M,-2.893M,-3.849M,16.13M,,,-23.24M,68.86M,,2014-06,-11.46M,,-11.46M,,-136.26M,1.424M,-146.30M,,2014-06,0.00,100.00M,100.00M,13.10M,-13.83M,-0.721M,,,0.815M,,2014-06,532.76M,22.66M,557.42M,,2014-06,13.10M,100.00M,0.00,-13.83M,4.719M,,2014-06,AOR,Restated
2014-03,33.07M,,,,-3.651M,,,26.02M,26.02M,2.245M,,,18.86M,7.226M,-0.108M,-9.373M,-9.753M,-29.68M,,,-6.759M,28.10M,,2014-03,-6.252M,,-6.252M,,-27.42M,-0.514M,-34.19M,,2014-03,0.00,,0.00,23.38M,-23.50M,-0.121M,,,-0.008M,,2014-03,536.26M,-6.219M,532.76M,,2014-03,23.38M,,0.00,-23.50M,0.112M,,2014-03,AOR,Restated
2013-12,37.70M,,,,-1.276M,,,25.63M,25.63M,4.059M,,,18.80M,8.031M,-5.801M,-4.589M,3.441M,23.45M,,,9.719M,119.16M,,2013-12,-8.979M,,-8.979M,,0.00,-0.861M,-9.84M,,2013-12,-144.56M,-50.00M,-194.56M,1.966M,-0.679M,1.287M,,,-0.46M,,2013-12,620.40M,-84.41M,536.26M,,2013-12,1.966M,0.00,-194.56M,-0.679M,5.891M,,2013-12,AOR,Restated
2013-09,38.50M,,,,-1.558M,,,25.70M,25.70M,-2.012M,,,18.57M,8.227M,-6.527M,-7.333M,0.411M,8.254M,,,15.98M,98.21M,,2013-09,-12.21M,,-12.21M,,-0.686M,6.75M,-6.147M,,2013-09,-0.078M,-50.00M,-50.08M,10.46M,-7.703M,2.761M,,,2.099M,,2013-09,577.23M,46.84M,620.40M,,2013-09,10.46M,0.00,-50.08M,-7.703M,0.244M,,2013-09,AOR,Restated
2013-06,9.429M,,,,-1.471M,,,25.30M,25.30M,-13.11M,,,15.11M,7.784M,-14.93M,-1.693M,27.62M,21.03M,,,-0.16M,74.90M,,2013-06,-17.17M,,-17.17M,,-391.38M,-0.535M,-409.09M,,2013-06,,100.00M,100.00M,8.426M,-2.983M,5.443M,,,2.024M,,2013-06,810.15M,-226.72M,577.23M,,2013-06,8.426M,100.00M,,-2.983M,6.111M,,2013-06,AOR,Restated
2013-03,78.61M,,,,-1.006M,,,21.68M,21.68M,8.695M,,,13.81M,5.274M,23.65M,-0.979M,-1.099M,-11.00M,,,-62.30M,75.34M,,2013-03,-6.569M,,-6.569M,,-0.757M,5.505M,-1.821M,,2013-03,,,,21.80M,-8.775M,13.03M,,,2.168M,,2013-03,726.36M,88.71M,810.15M,,2013-03,21.80M,,,-8.775M,0.183M,,2013-03,AOR,Restated
