,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,715.97M,715.97M,423.61M,292.36M,162.10M,17.61M,0.053M,13.02M,1.754M,-11.26M,,179.71M,112.66M,1.754M,13.02M,-11.26M,0.053M,-11.26M,101.44M,27.82M,73.62M,,,-0.025M,73.60M,44.48M,114.46M,,2018-03,0.87,0.8695,0.87,,2018-03,0.86,0.8596,0.86,,85.54M,0.31,,2018-03,AOR,Restated
2017-12,661.90M,661.90M,383.68M,278.22M,159.66M,15.20M,-0.078M,12.46M,1.117M,-11.34M,,174.86M,103.36M,1.117M,12.46M,-11.34M,-0.078M,-11.34M,91.94M,-3.404M,95.34M,,,-0.559M,94.78M,44.66M,104.40M,,2017-12,1.12,1.121,1.12,,2017-12,1.11,1.111,1.11,,85.72M,0.31,,2017-12,AOR,Restated
2017-09,634.16M,634.16M,367.76M,266.40M,153.88M,13.97M,-0.027M,12.68M,1.513M,-11.17M,,167.85M,98.54M,1.513M,12.68M,-11.17M,-0.027M,-11.17M,87.35M,22.90M,64.44M,,,0.015M,64.46M,45.55M,100.03M,,2017-09,0.76,0.7602,0.76,,2017-09,0.75,0.7502,0.75,,85.87M,0.31,,2017-09,AOR,Restated
2017-06,607.96M,607.96M,352.20M,255.77M,156.34M,14.00M,-0.051M,12.47M,1.345M,-11.12M,,170.34M,85.43M,1.345M,12.47M,-11.12M,-0.051M,-11.12M,74.25M,16.04M,58.22M,,,-0.138M,58.08M,43.65M,86.72M,,2017-06,0.68,0.6805,0.68,,2017-06,0.68,0.6805,0.68,,85.72M,0.28,,2017-06,AOR,Restated
2017-03,681.19M,681.19M,400.48M,280.71M,207.71M,15.76M,0.005M,11.54M,1.643M,-9.902M,,223.47M,57.23M,1.643M,11.54M,-9.902M,0.005M,-9.902M,47.34M,21.27M,26.06M,,,0.078M,26.14M,52.90M,58.88M,,2017-03,0.31,0.3100,0.31,,2017-03,0.31,0.3100,0.31,,86.00M,0.28,,2017-03,AOR,Restated
2016-12,646.77M,646.77M,389.16M,257.61M,158.76M,14.59M,-58.37M,10.98M,0.539M,-10.44M,,173.35M,84.26M,0.539M,10.98M,-10.44M,-58.37M,-10.44M,15.44M,19.79M,-4.347M,,,-0.649M,-4.996M,31.38M,26.42M,,2016-12,-0.06,0.3517,-0.06,,2016-12,-0.06,0.3495,-0.06,,85.52M,0.28,,2016-12,AOR,Restated
2016-09,646.42M,646.42M,398.51M,247.91M,163.68M,14.62M,-0.048M,10.92M,0.284M,-10.64M,,178.30M,69.61M,0.284M,10.92M,-10.64M,-0.048M,-10.64M,58.92M,18.72M,40.20M,,,0.214M,40.42M,50.08M,69.85M,,2016-09,0.47,0.4704,0.47,,2016-09,0.47,0.4704,0.47,,86.33M,0.28,,2016-09,AOR,Restated
2016-06,638.38M,638.38M,398.39M,239.99M,151.89M,14.43M,-0.154M,11.07M,0.493M,-10.58M,,166.31M,73.68M,0.493M,11.07M,-10.58M,-0.154M,-10.58M,62.94M,14.23M,48.71M,,,-0.309M,48.40M,53.78M,74.02M,,2016-06,0.56,0.5614,0.56,,2016-06,0.56,0.5614,0.56,,86.52M,0.25,,2016-06,AOR,Restated
2016-03,690.28M,690.28M,426.39M,263.89M,150.10M,14.31M,-0.156M,11.40M,0.549M,-10.85M,,164.41M,99.48M,0.549M,11.40M,-10.85M,-0.156M,-10.85M,88.48M,30.61M,57.87M,,,-0.129M,57.74M,52.82M,99.88M,,2016-03,0.67,0.6712,0.67,,2016-03,0.67,0.6712,0.67,,86.37M,0.25,,2016-03,AOR,Restated
2015-12,618.69M,618.69M,380.51M,238.18M,177.32M,14.33M,0.194M,17.71M,0.406M,-17.30M,,191.65M,46.53M,0.406M,17.71M,-17.30M,0.194M,-17.30M,29.42M,8.268M,21.15M,,,-1.109M,20.04M,44.83M,47.13M,,2015-12,0.26,0.2582,0.26,,2015-12,0.26,0.2582,0.26,,77.71M,0.25,,2015-12,AOR,Restated
2015-09,489.90M,489.90M,280.58M,209.32M,172.46M,14.26M,0.056M,7.485M,0.227M,-7.258M,,186.71M,22.61M,0.227M,7.485M,-7.258M,0.056M,-7.258M,15.40M,7.154M,8.251M,,,0.436M,8.687M,23.74M,22.89M,,2015-09,0.15,0.1494,0.15,,2015-09,0.14,0.1394,0.14,,60.37M,0.25,,2015-09,AOR,Restated
2015-06,439.90M,439.90M,255.81M,184.09M,126.84M,13.76M,0.726M,6.12M,0.482M,-5.638M,,140.60M,43.49M,0.482M,6.12M,-5.638M,0.726M,-5.638M,38.58M,14.27M,24.31M,,,-0.02M,24.29M,22.35M,44.70M,,2015-06,0.41,0.4023,0.41,,2015-06,0.40,0.3924,0.40,,60.29M,0.23,,2015-06,AOR,Restated
2015-03,501.65M,501.65M,288.59M,213.06M,130.99M,14.18M,0.381M,4.735M,0.123M,-4.612M,,145.17M,67.89M,0.123M,4.735M,-4.612M,0.381M,-4.612M,63.66M,22.26M,41.40M,,,0.00,41.40M,22.10M,68.40M,,2015-03,0.69,0.6858,0.69,,2015-03,0.69,0.6859,0.69,,60.20M,0.23,,2015-03,AOR,Restated
2014-12,473.24M,473.24M,276.09M,197.16M,122.37M,14.55M,1.109M,4.822M,0.417M,-4.405M,,136.92M,60.24M,0.417M,4.822M,-4.405M,1.109M,-4.405M,56.94M,18.82M,38.12M,,,0.00,38.12M,21.60M,61.76M,,2014-12,0.64,0.6275,0.64,,2014-12,0.63,0.6176,0.63,,60.15M,0.23,,2014-12,AOR,Restated
2014-09,462.73M,462.73M,268.74M,193.99M,126.29M,13.01M,-1.271M,4.948M,0.036M,-4.912M,,139.30M,54.69M,0.036M,4.948M,-4.912M,-1.271M,-4.912M,48.51M,17.51M,31.00M,,,,31.00M,27.43M,53.46M,,2014-09,0.52,0.5337,0.52,,2014-09,0.52,0.5335,0.52,,60.02M,0.23,,2014-09,AOR,Restated
2014-06,412.64M,412.64M,242.55M,170.09M,113.69M,12.41M,0.172M,4.682M,0.22M,-4.462M,,126.10M,44.00M,0.22M,4.682M,-4.462M,0.172M,-4.462M,39.71M,15.17M,24.54M,,,,24.54M,20.40M,44.39M,,2014-06,0.41,0.4082,0.41,,2014-06,0.41,0.4082,0.41,,59.81M,0.21,,2014-06,AOR,Restated
2014-03,465.29M,465.29M,280.79M,184.50M,100.88M,11.68M,-12.33M,4.243M,-0.376M,-4.619M,,112.56M,71.93M,-0.376M,4.243M,-4.619M,-12.33M,-4.619M,54.99M,16.11M,38.88M,,,,38.88M,19.96M,59.23M,,2014-03,0.66,0.8078,0.66,,2014-03,0.65,0.7959,0.65,,59.74M,0.21,,2014-03,AOR,Restated
2013-12,405.55M,405.55M,241.78M,163.78M,95.50M,11.58M,-0.808M,4.672M,0.241M,-4.431M,,107.08M,56.70M,0.241M,4.672M,-4.431M,-0.808M,-4.431M,51.46M,22.95M,28.51M,,,,28.51M,19.57M,56.13M,,2013-12,0.48,0.4889,0.48,,2013-12,0.48,0.4888,0.48,,59.68M,0.21,,2013-12,AOR,Restated
2013-09,383.76M,383.76M,229.26M,154.51M,90.66M,13.53M,-0.018M,4.869M,0.227M,-4.642M,,104.19M,50.32M,0.227M,4.869M,-4.642M,-0.018M,-4.642M,45.66M,15.92M,29.74M,,,,29.74M,17.78M,50.53M,,2013-09,0.50,0.5002,0.50,,2013-09,0.50,0.5002,0.50,,59.76M,0.21,,2013-09,AOR,Restated
2013-06,367.65M,367.65M,220.81M,146.85M,93.93M,11.85M,-0.052M,4.987M,0.248M,-4.739M,,105.78M,41.06M,0.248M,4.987M,-4.739M,-0.052M,-4.739M,36.27M,3.956M,32.32M,,,,32.32M,18.33M,41.26M,,2013-06,0.55,0.5508,0.55,,2013-06,0.54,0.5408,0.54,,59.79M,0.19,,2013-06,AOR,Restated
2013-03,428.22M,428.22M,250.45M,177.77M,100.93M,11.73M,-0.005M,5.145M,,-5.774M,,112.65M,65.12M,,5.145M,-5.774M,-0.005M,-5.774M,59.34M,17.96M,41.38M,,,,41.38M,20.53M,64.48M,,2013-03,0.71,0.7101,0.71,,2013-03,0.70,0.7001,0.70,,59.46M,0.19,,2013-03,AOR,Restated
2012-12,380.40M,380.40M,227.28M,153.12M,75.95M,10.42M,0.386M,4.207M,0.338M,-3.869M,,86.37M,66.75M,0.338M,4.207M,-3.869M,0.386M,-3.869M,63.27M,15.17M,48.10M,,,,48.10M,18.32M,67.48M,,2012-12,0.82,0.8150,0.82,,2012-12,0.82,0.8150,0.82,,58.97M,0.19,,2012-12,AOR,Restated
2012-09,356.32M,356.32M,203.20M,153.12M,81.04M,9.852M,0.048M,3.406M,0.031M,-3.375M,,90.89M,62.23M,0.031M,3.406M,-3.375M,0.048M,-3.375M,58.90M,18.76M,40.14M,,,,40.14M,15.85M,62.31M,,2012-09,0.69,0.6894,0.69,,2012-09,0.68,0.6794,0.68,,58.79M,0.19,,2012-09,AOR,Restated
2012-06,336.96M,336.96M,199.71M,137.25M,79.77M,9.312M,0.136M,2.972M,0.26M,-2.712M,,89.09M,48.17M,0.26M,2.972M,-2.712M,0.136M,-2.712M,45.59M,15.24M,30.35M,,,,30.35M,14.34M,48.56M,,2012-06,0.52,0.5184,0.52,,2012-06,0.52,0.5184,0.52,,58.31M,0.17,,2012-06,AOR,Restated
2012-03,390.25M,390.25M,226.02M,164.22M,81.97M,9.086M,0.878M,2.982M,-0.091M,-3.073M,,91.06M,73.17M,-0.091M,2.982M,-3.073M,0.878M,-3.073M,70.98M,26.80M,44.17M,,,,44.17M,16.62M,73.96M,,2012-03,0.76,0.7505,0.76,,2012-03,0.76,0.7506,0.76,,58.13M,0.17,,2012-03,AOR,Restated
2011-12,355.22M,355.22M,217.21M,138.01M,73.92M,9.196M,-1.164M,3.005M,0.373M,-2.632M,,83.12M,54.89M,0.373M,3.005M,-2.632M,-1.164M,-2.632M,51.09M,17.44M,33.65M,,,,33.65M,16.10M,54.10M,,2011-12,0.58,0.5933,0.58,,2011-12,0.58,0.5932,0.58,,58.24M,0.17,,2011-12,AOR,Restated
2011-09,342.71M,342.71M,209.40M,133.31M,76.65M,8.915M,-0.099M,3.081M,0.682M,-2.399M,,85.57M,47.74M,0.682M,3.081M,-2.399M,-0.099M,-2.399M,45.24M,15.68M,29.56M,,,,29.56M,15.75M,48.32M,,2011-09,0.50,0.5011,0.50,,2011-09,0.50,0.5011,0.50,,59.38M,0.17,,2011-09,AOR,Restated
2011-06,318.64M,318.64M,185.71M,132.92M,77.01M,8.757M,-0.258M,3.104M,,-3.104M,,85.77M,47.16M,,3.104M,-3.104M,-0.258M,-3.104M,43.80M,15.07M,28.73M,,,,28.73M,14.44M,46.90M,,2011-06,0.48,0.4829,0.48,,2011-06,0.48,0.4828,0.48,,60.10M,0.15,,2011-06,AOR,Restated
2011-03,377.76M,377.76M,221.73M,156.03M,87.88M,9.889M,-0.779M,2.948M,-0.064M,-3.012M,,97.77M,58.25M,-0.064M,2.948M,-3.012M,-0.779M,-3.012M,54.46M,15.46M,39.00M,,,,39.00M,14.65M,57.41M,,2011-03,0.66,0.6694,0.66,,2011-03,0.65,0.6593,0.65,,60.11M,0.15,,2011-03,AOR,Restated
2010-12,328.28M,328.28M,191.27M,137.01M,93.47M,7.739M,0.023M,3.049M,0.321M,-2.728M,,101.21M,35.81M,0.321M,3.049M,-2.728M,0.023M,-2.728M,33.10M,11.34M,21.76M,,,,21.76M,13.43M,36.15M,,2010-12,0.37,0.3697,0.37,,2010-12,0.36,0.3597,0.36,,60.18M,0.15,,2010-12,AOR,Restated
2010-09,312.42M,312.42M,177.37M,135.06M,72.00M,8.043M,-0.105M,2.996M,0.188M,-2.808M,,80.04M,55.01M,0.188M,2.996M,-2.808M,-0.105M,-2.808M,52.10M,16.39M,35.71M,,,,35.71M,13.27M,55.10M,,2010-09,0.60,0.6012,0.60,,2010-09,0.59,0.5912,0.59,,60.05M,0.15,,2010-09,AOR,Restated
2010-06,188.98M,188.98M,170.91M,18.07M,72.12M,8.609M,-0.341M,3.007M,0.162M,-2.845M,,80.73M,-62.66M,0.162M,3.007M,-2.845M,-0.341M,-2.845M,-65.85M,-20.64M,-45.21M,,,,-45.21M,13.04M,-62.84M,,2010-06,-0.76,-0.7561,-0.76,,2010-06,-0.76,-0.7561,-0.76,,59.40M,0.11,,2010-06,AOR,Restated
2010-03,332.13M,332.13M,189.92M,142.21M,75.72M,9.973M,-5.161M,3.667M,0.244M,-3.423M,,85.69M,56.52M,0.244M,3.667M,-3.423M,-5.161M,-3.423M,47.93M,18.10M,29.84M,,,,29.84M,14.19M,51.60M,,2010-03,0.50,0.5543,0.50,,2010-03,0.50,0.5537,0.50,,59.85M,0.11,,2010-03,AOR,Restated
2009-12,327.83M,327.83M,188.35M,139.48M,71.78M,8.265M,-0.014M,3.291M,0.535M,-2.756M,,80.04M,59.44M,0.535M,3.291M,-2.756M,-0.014M,-2.756M,56.67M,15.67M,41.01M,,,,41.01M,14.19M,59.96M,,2009-12,0.70,0.7002,0.70,,2009-12,0.69,0.6902,0.69,,59.76M,0.11,,2009-12,AOR,Restated
2009-09,314.23M,314.23M,181.57M,132.66M,74.52M,8.189M,0.115M,3.13M,0.278M,-2.852M,,82.70M,49.95M,0.278M,3.13M,-2.852M,0.115M,-2.852M,47.21M,15.13M,32.08M,,,,32.08M,13.95M,50.34M,,2009-09,0.55,0.5487,0.55,,2009-09,0.54,0.5387,0.54,,59.24M,0.11,,2009-09,AOR,Restated
2009-06,283.54M,283.54M,158.71M,124.84M,74.60M,7.58M,0.211M,3.083M,0.218M,-2.865M,,82.18M,42.65M,0.218M,3.083M,-2.865M,0.211M,-2.865M,40.00M,14.46M,25.54M,,,,25.54M,13.89M,43.08M,,2009-06,0.44,0.4377,0.44,,2009-06,0.43,0.4277,0.43,,58.84M,0.11,,2009-06,AOR,Restated
2009-03,344.37M,344.37M,204.56M,139.81M,83.07M,8.291M,-0.828M,3.064M,0.315M,-2.749M,,91.36M,48.45M,0.315M,3.064M,-2.749M,-0.828M,-2.749M,44.87M,17.05M,27.82M,,,,27.82M,14.90M,47.93M,,2009-03,0.47,0.4788,0.47,,2009-03,0.47,0.4787,0.47,,58.69M,0.08,,2009-03,AOR,Restated
2008-12,319.47M,319.47M,195.40M,124.07M,67.27M,8.122M,-2.855M,3.214M,0.366M,-2.848M,,75.39M,48.67M,0.366M,3.214M,-2.848M,-2.855M,-2.848M,42.97M,14.40M,28.58M,,,,28.58M,14.30M,46.18M,,2008-12,0.49,0.5224,0.49,,2008-12,0.48,0.5120,0.48,,59.24M,0.08,,2008-12,,Restated
2008-09,323.13M,323.13M,190.76M,132.36M,77.29M,8.068M,-0.037M,2.518M,0.54M,-1.978M,,85.36M,47.00M,0.54M,2.518M,-1.978M,-0.037M,-1.978M,44.99M,16.20M,28.79M,,,,28.79M,14.38M,47.51M,,2008-09,0.49,0.4904,0.49,,2008-09,0.48,0.4804,0.48,,60.38M,0.08,,2008-09,,Restated
2008-06,311.56M,311.56M,181.06M,130.50M,87.35M,8.279M,0.166M,1.766M,0.381M,-1.385M,,95.63M,34.87M,0.381M,1.766M,-1.385M,0.166M,-1.385M,33.66M,8.155M,25.50M,,,,25.50M,15.20M,35.42M,,2008-06,0.43,0.4279,0.43,,2008-06,0.43,0.4279,0.43,,59.65M,0.06,,2008-06,,Restated
2008-03,375.17M,375.17M,223.79M,151.38M,87.94M,8.953M,-12.42M,,,,,96.89M,54.49M,,,,-12.42M,,40.89M,14.78M,26.11M,,,,26.11M,15.28M,54.49M,,2008-03,0.42,0.5488,0.42,,2008-03,0.41,0.5352,0.41,,63.36M,0.06,,2008-03,,
2007-12,313.97M,313.97M,183.78M,130.20M,85.61M,10.17M,-0.952M,,,,,95.78M,34.41M,,,,-0.952M,,32.53M,10.75M,21.78M,,,,21.78M,16.02M,34.41M,,2007-12,0.35,0.3602,0.35,,2007-12,0.34,0.3500,0.34,,64.05M,0.06,,2007-12,,
2007-09,295.00M,295.00M,174.79M,120.21M,84.53M,8.531M,-0.698M,,,,,93.06M,27.15M,,,,-0.698M,,25.58M,9.566M,16.02M,,,,16.02M,15.90M,27.15M,,2007-09,0.25,0.2568,0.25,,2007-09,0.25,0.2568,0.25,,64.21M,0.06,,2007-09,,
2007-06,280.94M,280.94M,162.23M,118.71M,86.50M,9.259M,-1.391M,,,,,95.75M,22.96M,,,,-1.391M,,20.79M,7.591M,13.20M,,,,13.20M,15.58M,22.96M,,2007-06,0.20,0.2134,0.20,,2007-06,0.20,0.2134,0.20,,66.02M,0.05,,2007-06,,
2007-03,349.84M,349.84M,204.87M,144.97M,83.11M,8.87M,-1.142M,,,,,91.98M,52.99M,,,,-1.142M,,50.87M,21.06M,29.81M,0.00,,,29.81M,15.98M,52.99M,,2007-03,0.46,0.4715,0.46,,2007-03,0.45,0.4611,0.45,,66.59M,0.05,,2007-03,,
2006-12,298.97M,298.97M,171.27M,127.70M,82.59M,8.078M,-3.179M,,,,,90.67M,37.03M,,,,-3.179M,,32.73M,11.86M,20.87M,0.431M,,,21.30M,14.60M,37.03M,,2006-12,0.32,0.3514,0.33,,2006-12,0.32,0.3514,0.33,,64.54M,0.05,,2006-12,,
2006-09,283.54M,283.54M,164.78M,118.76M,82.79M,8.283M,-1.158M,,,,-65.69M,25.38M,93.38M,,,,-1.158M,,24.96M,8.599M,16.36M,,,,16.36M,14.79M,93.38M,,2006-09,0.25,0.2616,0.25,,2006-09,0.25,0.2616,0.25,,65.44M,0.04,,2006-09,,
2006-06,265.07M,265.07M,151.69M,113.38M,78.41M,8.395M,-1.105M,,,,,86.81M,26.57M,,,,-1.105M,,24.37M,10.31M,14.06M,0.627M,,,14.68M,14.88M,26.57M,,2006-06,0.21,0.2199,0.22,,2006-06,0.21,0.2199,0.22,,66.75M,0.04,,2006-06,,
2006-03,331.27M,331.27M,197.94M,133.33M,81.39M,8.033M,,,,,,89.42M,43.91M,,,,,,17.76M,10.31M,7.445M,1.009M,,,8.454M,15.81M,43.91M,,2006-03,0.11,0.11,0.13,,2006-03,0.11,0.11,0.13,,67.21M,0.04,,2006-03,,
2005-12,287.49M,287.49M,165.40M,122.10M,74.32M,8.726M,,,,,,83.04M,39.05M,,,,,,38.55M,15.39M,23.16M,4.924M,,,28.09M,13.68M,39.05M,,2005-12,0.34,0.34,0.41,,2005-12,0.34,0.34,0.41,,68.51M,0.04,,2005-12,,
2005-09,273.44M,273.44M,160.25M,113.18M,78.65M,9.096M,,,,,-62.30M,25.44M,87.74M,,,,,,24.50M,9.096M,15.40M,1.01M,,,16.42M,14.54M,87.74M,,2005-09,0.23,0.23,0.24,,2005-09,0.23,0.23,0.24,,68.40M,0.04,,2005-09,,
2005-06,268.08M,268.08M,152.51M,115.58M,81.23M,7.741M,,,,,,88.97M,26.60M,,,,,,27.31M,10.38M,16.93M,0.40M,,,17.33M,13.89M,26.60M,,2005-06,0.24,0.24,0.25,,2005-06,0.24,0.24,0.25,,69.33M,0.04,,2005-06,,
2005-03,307.04M,307.04M,177.58M,129.46M,75.80M,7.325M,,,,,,83.13M,46.34M,,,,,,45.30M,20.21M,25.09M,-0.076M,,,25.01M,13.70M,46.34M,,2005-03,0.36,0.36,0.36,,2005-03,0.36,0.36,0.36,,69.51M,,,2005-03,,
2004-12,273.76M,273.76M,157.30M,116.47M,69.78M,8.107M,,,,,,77.88M,38.58M,,,,,,37.95M,14.32M,23.63M,0.826M,,,24.46M,13.17M,38.58M,,2004-12,0.34,0.34,0.35,,2004-12,0.34,0.34,0.35,,69.88M,,,2004-12,,
2004-09,264.85M,264.85M,153.36M,111.49M,71.94M,8.677M,-0.685M,,,,,80.62M,30.87M,,,,-0.685M,,30.18M,11.29M,18.89M,,,,18.89M,12.62M,30.87M,,2004-09,0.27,0.2761,0.27,,2004-09,0.27,0.2761,0.27,,69.97M,,,2004-09,,
2004-06,254.80M,254.80M,144.90M,109.89M,72.57M,9.311M,0.116M,,,,,81.88M,28.02M,,,,0.116M,,27.31M,9.697M,17.62M,,,,17.62M,11.70M,28.02M,,2004-06,0.25,0.2489,0.25,,2004-06,0.25,0.2489,0.25,,70.47M,,,2004-06,,
2004-03,240.95M,240.95M,129.34M,111.62M,73.34M,5.897M,,,,,,79.23M,32.39M,,,,,,31.55M,9.174M,22.37M,,,,30.31M,12.20M,32.39M,,2004-03,0.32,0.32,0.44,,2004-03,0.31,0.31,0.42,,72.67M,,,2004-03,,
2003-12,274.29M,274.29M,159.19M,115.10M,69.62M,7.648M,,,,,,77.27M,37.83M,,,,,,37.38M,10.28M,27.09M,,,,27.09M,12.58M,37.83M,,2003-12,0.39,0.39,0.39,,2003-12,0.38,0.38,0.38,,71.30M,,,2003-12,,
2003-09,257.39M,257.39M,146.78M,110.61M,71.88M,6.411M,,,,,,78.29M,32.32M,,,,,,31.82M,11.46M,20.37M,,,,20.37M,12.22M,32.32M,,2003-09,0.29,0.29,0.29,,2003-09,0.29,0.29,0.29,,70.24M,,,2003-09,,
2003-06,259.28M,259.28M,152.71M,106.57M,72.68M,7.667M,,,,,,80.35M,26.22M,,,,,,25.74M,9.267M,16.47M,,,,16.47M,11.68M,26.22M,,2003-06,0.24,0.24,0.24,,2003-06,0.23,0.23,0.23,,71.62M,,,2003-06,,
2003-03,273.69M,273.69M,157.02M,116.67M,66.72M,7.985M,,,,,,74.70M,41.96M,,,,,,41.73M,15.02M,26.71M,,,,26.71M,11.96M,41.96M,,2003-03,0.38,0.38,0.38,,2003-03,0.37,0.37,0.37,,72.80M,,,2003-03,,
2002-12,244.31M,244.31M,140.37M,103.94M,63.10M,6.811M,,,,,,69.91M,34.03M,,,,,,33.56M,12.08M,21.48M,,,,21.48M,10.99M,34.03M,,2002-12,0.31,0.31,0.31,,2002-12,0.30,0.30,0.30,,71.60M,,,2002-12,,
2002-09,232.73M,232.73M,136.34M,96.40M,61.46M,5.757M,,,,,,67.21M,29.18M,,,,,,28.77M,10.36M,18.41M,,,,18.41M,12.32M,29.18M,,2002-09,0.27,0.27,0.27,,2002-09,0.26,0.26,0.26,,70.81M,,,2002-09,,
