,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-02,536.72M,536.72M,288.20M,248.53M,129.35M,,,,,,157.96M,90.57M,,,,,,87.74M,32.83M,54.91M,,,54.91M,54.91M,119.18M,28.61M,90.57M,0.32,0.0,,0.32,0.32,0.32,0.0,,0.32,0.32,171.59M,171.59M,0.22
2000-11,539.05M,539.05M,288.95M,250.10M,129.92M,,,,,,156.64M,93.46M,,,,,,90.70M,34.17M,56.53M,,,56.53M,56.53M,120.18M,26.72M,93.46M,0.34,0.0,,0.34,0.34,0.33,0.0,,0.33,0.33,166.27M,171.31M,0.0
2000-08,521.96M,521.96M,277.08M,244.88M,132.94M,,,,,,160.55M,84.33M,,,,,,81.50M,30.65M,50.85M,,,50.85M,50.85M,111.94M,27.62M,84.33M,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.3,169.50M,169.50M,0.0
2000-05,504.84M,504.84M,268.51M,236.33M,122.37M,,,,,,148.18M,88.15M,,,,,,84.69M,31.87M,52.82M,,,52.82M,52.82M,113.96M,25.81M,88.15M,0.32,0.0,,0.32,0.32,0.31,0.0,,0.31,0.31,164.84M,170.50M,0.0
2000-02,473.93M,473.93M,255.25M,218.68M,112.70M,,,,,,136.80M,81.87M,,,,,,79.14M,30.07M,49.06M,,,49.06M,49.06M,105.98M,24.10M,81.87M,0.29,0.0,,0.29,0.29,0.29,0.0,,0.29,0.29,169.18M,169.18M,0.1867
1999-11,465.80M,465.80M,249.50M,216.30M,109.30M,1.10M,,,,,135.40M,80.90M,,,,1.10M,,78.00M,29.70M,48.30M,,,48.30M,47.62M,107.00M,26.10M,80.90M,0.29,0.0,,0.2859,0.29,0.29,0.0,,0.2859,0.29,166.55M,166.55M,0.0
1999-08,457.40M,457.40M,249.60M,207.80M,111.40M,,,,,,134.90M,72.90M,,,,,,70.00M,26.80M,43.20M,,,43.20M,43.20M,96.40M,23.50M,72.90M,0.26,0.0,,0.26,0.26,0.25,0.0,,0.25,0.25,166.15M,172.80M,0.0
1999-05,455.00M,455.00M,263.00M,192.00M,87.12M,,,,,,113.02M,78.98M,,,,,,30.60M,11.00M,19.60M,,,19.60M,19.60M,104.88M,25.90M,78.98M,0.12,0.0,,0.12,0.12,0.12,0.0,,0.12,0.12,164.35M,166.28M,0.0
1999-02,433.70M,433.70M,224.70M,209.00M,111.90M,,,,,,144.20M,64.80M,,,,,,62.10M,23.50M,38.60M,,,38.60M,38.60M,97.10M,22.60M,64.80M,0.23,0.0,,0.23,0.23,0.22,0.0,,0.22,0.22,167.83M,175.45M,0.1467
1998-11,436.50M,436.50M,247.70M,188.80M,99.20M,1.20M,,,,,113.50M,75.30M,,,,1.20M,,72.00M,27.60M,44.40M,,,44.40M,43.66M,94.50M,19.20M,75.30M,0.27,0.0,,0.2655,0.27,0.26,0.0,,0.2557,0.26,164.44M,170.77M,0.0
1998-08,426.40M,426.40M,236.20M,190.20M,105.30M,,,,,,127.80M,62.40M,,,,,,59.30M,23.00M,36.30M,,,36.30M,36.30M,84.90M,22.50M,62.40M,0.22,0.0,,0.22,0.22,0.22,0.0,,0.22,0.22,165.00M,165.00M,0.0
