,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2001-08,64.75M,61.90M,126.65M,248.28M,,248.28M,,,,204.21M,10.58M,,248.98M,838.71M,,,,,,,,1.066B,-355.80M,710.59M,,130.74M,130.74M,,105.23M,946.56M,1.785B,42.54M,,42.54M,78.69M,121.23M,,,20.54M,,20.54M,65.58M,65.58M,18.32M,225.67M,217.74M,,217.74M,53.20M,53.20M,,,270.94M,496.61M,64.17M,1.230B,,,,,,-5.914M,1.289B
2001-05,73.72M,36.50M,110.23M,244.45M,,244.45M,,,,214.35M,8.47M,,242.17M,819.67M,0.0,54.74M,338.64M,589.94M,,74.61M,,1.058B,-355.80M,702.13M,,,,,230.42M,932.55M,1.752B,42.50M,,42.50M,94.96M,137.46M,,,20.60M,,20.60M,57.70M,57.70M,35.14M,250.90M,220.94M,,220.94M,49.07M,49.07M,,,270.01M,520.91M,62.41M,1.174B,,,,,,-5.424M,1.231B
2001-02,39.18M,28.48M,67.66M,,,246.67M,,,,223.33M,,,240.90M,778.56M,,,,,,,,1.013B,-322.33M,690.89M,,,,,255.51M,946.39M,1.725B,49.24M,,49.24M,,49.24M,,,15.61M,,15.61M,,,164.83M,229.68M,232.62M,,232.62M,55.74M,55.74M,,,288.36M,518.05M,60.74M,1.151B,,,,,,-5.126M,1.207B
2000-11,34.18M,37.31M,71.49M,,,252.54M,,,,200.45M,,,238.65M,763.12M,,,,,,,,1.000B,-322.33M,678.06M,,,,,229.59M,907.65M,1.671B,55.36M,,55.36M,,55.36M,,,15.85M,,15.85M,,,156.93M,228.14M,238.94M,,238.94M,53.34M,53.34M,,,292.28M,520.42M,58.94M,1.097B,,,,,,-5.336M,1.150B
2000-08,30.51M,47.75M,78.26M,,,239.02M,,,,175.55M,,,226.41M,719.25M,,,,,,,,985.87M,-322.33M,663.54M,,,,,220.01M,883.56M,1.603B,47.03M,,47.03M,,47.03M,,,16.20M,,16.20M,,,148.19M,211.42M,247.32M,,247.32M,52.04M,52.04M,,,299.35M,510.78M,55.47M,1.040B,,,,,,-3.667M,1.092B
2000-05,52.18M,57.64M,109.82M,,,225.74M,,,,164.91M,,,221.01M,721.47M,,,,,,,,948.00M,-305.49M,642.51M,,,,,217.36M,859.87M,1.581B,50.98M,,50.98M,,50.98M,,,16.60M,,16.60M,,,167.81M,235.39M,254.38M,,254.38M,48.70M,48.70M,,,303.07M,538.47M,54.74M,992.45M,,,,,,-4.312M,1.043B
2000-02,40.81M,74.06M,114.88M,,,231.51M,,,,153.47M,,,216.93M,716.78M,,,,,,,,902.88M,-285.03M,617.86M,,,,,209.24M,827.10M,1.544B,52.41M,,52.41M,,52.41M,,,16.04M,,16.04M,,,154.61M,223.05M,255.39M,,255.39M,45.29M,45.29M,,,300.68M,523.73M,53.96M,969.30M,,,,,,-3.104M,1.020B
1999-11,26.40M,67.30M,93.70M,,,227.00M,,,,136.10M,,,217.20M,674.00M,,,,,,,,911.00M,-295.90M,615.10M,,,,,197.50M,812.60M,1.487B,49.70M,,49.70M,,49.70M,,,16.10M,,16.10M,,,147.40M,213.20M,260.00M,,260.00M,43.70M,43.70M,,,303.70M,516.90M,53.30M,920.00M,,,,,,-3.70M,969.70M
1999-08,31.80M,50.40M,82.20M,,,205.00M,,,,134.70M,,,208.20M,630.10M,,,,,,,,866.20M,-266.50M,599.70M,,,,,199.40M,799.10M,1.429B,47.50M,,47.50M,,47.50M,,,16.20M,,16.20M,,,139.80M,203.50M,266.70M,,266.70M,42.50M,42.50M,,-0.10M,309.10M,512.60M,52.20M,868.40M,,,,,,-4.10M,916.60M
1999-05,15.80M,72.30M,88.10M,,,202.10M,,,,138.00M,,,206.30M,634.50M,,,,,,,,855.40M,-282.30M,573.10M,,,,,200.25M,773.35M,1.408B,46.80M,,46.80M,,46.80M,,,16.40M,,16.40M,,,148.90M,212.10M,283.60M,,283.60M,40.70M,40.70M,,0.048M,324.35M,536.45M,50.00M,825.30M,,,,,,-3.80M,871.40M
1999-02,28.30M,,28.30M,,,172.30M,,,,122.30M,,,235.10M,558.00M,,,,,,,,644.50M,-194.70M,449.80M,,,,,137.30M,587.10M,1.145B,39.90M,,39.90M,,39.90M,,,5.70M,,5.70M,,,133.70M,179.30M,168.40M,,168.40M,28.30M,28.30M,,,196.70M,376.00M,,724.90M,,,,,,,769.10M
1998-11,4.40M,,4.40M,,,187.10M,,,,117.60M,,,232.60M,541.70M,,,,,,,,615.80M,-192.90M,422.90M,,,,,138.40M,561.30M,1.103B,41.60M,,41.60M,,41.60M,,,6.40M,,6.40M,,,129.20M,177.20M,168.50M,,168.50M,27.30M,27.30M,,,195.80M,373.00M,,687.20M,,,,,,,730.00M
1998-08,17.90M,,17.90M,,,164.00M,,,,114.30M,,,224.10M,520.30M,,,,,,,,604.60M,-212.40M,392.20M,,,,,138.30M,530.50M,1.051B,37.70M,,37.70M,,37.70M,,,18.70M,,18.70M,,,123.60M,180.00M,158.80M,,158.80M,26.00M,26.00M,,-0.10M,184.70M,364.70M,,644.30M,,,,,,,686.10M
1998-05,13.40M,88.20M,101.60M,,,185.90M,,,,129.70M,,,186.90M,604.10M,,,,,,,,683.70M,-194.70M,489.00M,,,,,212.30M,701.30M,1.305B,54.30M,,54.30M,,54.30M,,,11.70M,,11.70M,,,136.10M,202.10M,307.60M,,307.60M,38.80M,38.80M,,0.10M,346.50M,548.60M,47.10M,712.20M,,,,,,-2.50M,756.80M
