,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-06,91.87M,,,43.55M,38.51M,1.499M,40.01M,40.01M,-1.475M,,,-19.43M,10.41M,-2.983M,47.88M,-1.14M,34.73M,,208.68M,-186.08M,,-186.08M,0.00,-456.38M,,-642.46M,,,-0.491M,255.59M,,255.59M,,,,255.10M,1.554B,-178.68M,15.82M,1.392B,255.59M,,,,,
2003-03,104.19M,,,61.48M,32.02M,2.272M,34.29M,34.29M,0.616M,,,-77.70M,6.826M,1.258M,57.90M,1.14M,-10.57M,,190.01M,-43.91M,,-43.91M,-4.389M,83.21M,,34.91M,,,-0.307M,217.38M,,217.38M,,,,217.08M,1.109B,441.99M,3.111M,1.554B,217.38M,,,,,
2002-12,87.00M,,,-0.508M,-48.56M,-0.727M,27.29M,27.29M,4.716M,,,-12.38M,12.67M,16.46M,43.56M,4.062M,64.37M,,182.86M,-44.25M,26.25M,-18.00M,-4.801M,45.76M,,23.36M,,,3.729M,148.06M,,148.06M,,,,151.73M,748.62M,357.95M,2.737M,1.109B,148.06M,,,,,
2002-09,61.00M,,,42.80M,17.17M,0.59M,17.76M,17.76M,4.271M,,,-19.80M,-0.549M,5.675M,2.803M,-2.039M,-13.91M,,111.93M,-20.20M,6.646M,-13.56M,0.00,-0.178M,,-13.73M,,,-0.386M,35.68M,,35.68M,,,,35.30M,616.87M,133.49M,-1.734M,748.62M,35.68M,,,,,
2002-06,54.31M,,,35.21M,18.38M,-0.776M,17.60M,17.60M,1.558M,,,-6.391M,2.002M,-11.05M,2.839M,-3.241M,-15.84M,,92.84M,-62.72M,2.883M,-59.84M,-11.05M,-33.70M,,-104.60M,,,-0.111M,41.44M,,41.44M,,,,41.33M,576.85M,29.57M,10.44M,616.87M,41.44M,,,,,
2002-03,47.58M,,,36.70M,13.01M,0.913M,13.92M,13.92M,-2.411M,,,-27.83M,0.507M,-1.561M,24.15M,1.218M,-3.522M,,92.27M,-11.49M,,-11.49M,-43.56M,-7.736M,,-62.79M,,,-3.296M,27.00M,,27.00M,,,,23.71M,523.97M,53.19M,-0.312M,576.85M,27.00M,,,,,
2001-12,25.94M,,,31.86M,26.72M,0.907M,27.63M,27.63M,-13.45M,,,-10.54M,2.602M,10.14M,9.503M,,11.71M,,83.68M,-13.74M,0.00,-13.74M,0.00,-35.64M,0.332M,-49.05M,,,-0.047M,66.84M,,66.84M,,,,66.48M,423.73M,101.11M,-0.872M,523.97M,66.84M,,,,,
2001-09,18.84M,,,28.70M,22.88M,0.676M,23.56M,23.56M,0.00,,,0.062M,-9.555M,0.465M,-0.597M,,-9.625M,,61.47M,-14.62M,0.00,-14.62M,-0.718M,-96.90M,0.00,-112.23M,,,-0.059M,34.00M,,34.00M,,,,33.94M,439.76M,-16.81M,0.777M,423.73M,34.00M,,,,,
2001-06,24.61M,,,24.39M,22.80M,0.747M,23.54M,23.54M,0.017M,,,-32.64M,16.41M,4.246M,8.934M,,-3.052M,,69.51M,-18.34M,0.06M,-18.28M,-1.80M,72.55M,-2.065M,50.40M,,,-15.69M,21.14M,,21.14M,,,,5.446M,314.26M,125.35M,0.149M,439.76M,21.14M,,,,,
2001-03,21.07M,,,28.07M,14.24M,0.761M,15.00M,15.00M,2.024M,,,-7.098M,-13.55M,-8.036M,-0.035M,,-28.72M,,37.45M,-10.72M,4.50M,-6.217M,-109.21M,196.49M,,81.06M,,,-6.091M,1.731M,,1.731M,,,,-4.36M,201.87M,114.15M,-1.756M,314.26M,1.731M,,,,,
2000-12,23.86M,,,31.42M,,,11.20M,11.20M,,,,-33.82M,12.93M,-19.73M,8.606M,,-32.02M,,34.46M,-13.53M,,-13.53M,,-78.71M,120.54M,28.30M,,,3.375M,6.342M,,6.304M,,,,9.533M,130.56M,72.30M,-0.988M,201.87M,6.342M,,,,,
2000-09,15.21M,,,2.631M,-17.52M,-3.359M,13.11M,13.11M,4.976M,,,-2.393M,-10.57M,-8.144M,15.47M,,-5.637M,,30.30M,-6.186M,,-6.186M,,85.39M,-126.39M,-47.19M,,,3.35M,-0.254M,,-0.254M,,,,3.096M,142.92M,-13.79M,1.428M,130.56M,-0.254M,,,,,
2000-06,7.459M,,,11.43M,9.186M,1.376M,10.56M,10.56M,-4.428M,,,-10.39M,1.227M,4.299M,6.683M,,1.822M,,26.85M,-7.541M,,-7.541M,,-170.47M,,-178.01M,,,-3.594M,7.556M,,7.556M,,,,3.962M,290.57M,-147.20M,-0.44M,142.92M,7.556M,,,,,
2000-03,1.758M,,,8.764M,8.332M,1.983M,10.32M,10.32M,-0.548M,,,-2.262M,-3.995M,-17.20M,11.70M,,-11.75M,,8.539M,-22.50M,,-22.50M,,13.34M,,-9.161M,,,-0.262M,69.65M,,69.65M,,,,69.39M,221.80M,68.76M,,290.57M,69.65M,,,,,
1999-12,3.667M,,,11.83M,,,15.92M,15.92M,,,0.10M,-12.78M,9.337M,-0.501M,15.28M,,11.34M,,42.85M,-39.41M,,-39.23M,,-46.88M,-4.35M,-90.46M,,,11.80M,8.214M,,8.214M,,0.008M,2.904M,22.93M,246.50M,-24.68M,,221.80M,8.214M,,,,,
1999-09,1.30M,,,7.30M,,,1.70M,1.70M,,,0.00,-6.30M,-8.80M,-1.10M,5.90M,,-10.30M,,0.00,-14.40M,,-14.40M,,-90.30M,-2.70M,-107.40M,,,-0.60M,3.40M,,3.40M,,0.10M,3.30M,6.20M,347.60M,-101.20M,,246.50M,3.40M,,,,,
1999-06,0.80M,,,0.90M,,,4.90M,4.90M,,,-0.10M,-6.70M,20.20M,0.60M,7.10M,,21.20M,,27.70M,-21.80M,,-21.80M,,-380.70M,,-402.50M,,,-2.70M,698.10M,,698.10M,,-2.70M,,692.70M,29.70M,317.90M,,347.60M,698.10M,,,,,
1999-03,3.80M,,,2.10M,,,3.00M,3.00M,,,,-7.60M,1.40M,-17.70M,7.30M,,-16.60M,,-7.70M,-11.30M,,-11.30M,,8.30M,,-3.00M,,,-0.10M,4.60M,,4.60M,,-1.30M,,3.20M,37.30M,-7.50M,,29.70M,4.60M,,,,,
