,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,2.593B,2.593B,3.11B,2.371B,5.481B,496.00M,469.00M,9.62B,2.464B,,4.508B,,77.00M,7.049B,-3.686B,3.363B,7.619B,6.376B,14.00B,,373.00M,6.57B,24.30B,33.92B,1.513B,,1.513B,3.864B,5.377B,863.00M,439.00M,1.302B,616.00M,1.918B,1.768B,1.768B,789.00M,9.852B,6.092B,,6.092B,,795.00M,795.00M,879.00M,350.00M,844.00M,10.23B,20.08B,3.00M,1.301B,12.21B,85.00M,58.00M,13.49B
2017-12,2.926B,2.926B,5.65B,,5.611B,540.00M,444.00M,9.521B,,,,,,7.471B,-3.659B,3.812B,9.32B,7.927B,17.25B,,458.00M,2.544B,24.06B,33.58B,1.51B,,1.51B,4.216B,5.726B,841.00M,608.00M,1.449B,724.00M,2.173B,1.739B,1.739B,,9.638B,6.367B,,6.367B,,856.00M,856.00M,,365.00M,1.996B,10.74B,20.38B,3.00M,834.00M,12.20B,83.00M,-118.00M,12.84B
2017-09,2.671B,2.671B,5.703B,,5.676B,610.00M,483.00M,9.44B,,,,,,7.242B,-3.497B,3.745B,9.158B,8.004B,17.16B,,386.00M,2.443B,23.74B,33.18B,1.666B,,1.666B,4.06B,5.726B,828.00M,680.00M,1.508B,692.00M,2.20B,1.511B,1.511B,,9.437B,6.325B,,6.325B,,806.00M,806.00M,,367.00M,1.984B,11.23B,20.67B,3.00M,110.00M,12.16B,61.00M,-70.00M,12.14B
2017-06,2.517B,2.517B,5.806B,,5.776B,641.00M,641.00M,9.575B,,,,,,6.543B,-3.209B,3.334B,8.774B,6.85B,15.62B,,445.00M,2.238B,21.64B,31.22B,1.961B,,1.961B,3.637B,5.598B,742.00M,141.00M,883.00M,320.00M,1.203B,1.29B,1.29B,,8.091B,6.249B,,6.249B,,641.00M,641.00M,,340.00M,1.911B,10.78B,18.87B,3.00M,-74.00M,12.12B,53.00M,7.00M,12.00B
2017-03,1.263B,1.263B,732.00M,911.00M,1.643B,223.00M,118.00M,3.247B,873.00M,,2.836B,,10.00M,3.719B,-2.816B,903.00M,1.855B,1.794B,3.649B,,381.00M,483.00M,5.416B,8.663B,410.00M,,410.00M,1.246B,1.656B,646.00M,55.00M,701.00M,37.00M,738.00M,556.00M,556.00M,,2.95B,2.225B,,2.225B,,286.00M,286.00M,342.00M,278.00M,271.00M,3.547B,6.497B,1.00M,-170.00M,2.219B,0.00,-162.00M,1.888B
2016-12,1.111B,1.111B,1.65B,,1.627B,310.00M,,3.048B,,,,,,3.759B,-2.842B,917.00M,1.78B,1.784B,3.564B,,293.00M,480.00M,5.254B,8.302B,367.00M,,367.00M,1.114B,1.481B,622.00M,48.00M,670.00M,36.00M,706.00M,469.00M,469.00M,,2.656B,2.217B,,2.217B,181.00M,310.00M,491.00M,,288.00M,561.00M,3.452B,6.108B,152.00M,-3.00M,2.539B,496.00M,-286.00M,1.906B
2016-09,1.054B,1.054B,1.925B,,1.893B,379.00M,,3.326B,,,,,,3.96B,-2.976B,984.00M,1.843B,1.882B,3.725B,,327.00M,457.00M,5.493B,8.819B,281.00M,,281.00M,1.072B,1.353B,669.00M,76.00M,745.00M,49.00M,794.00M,554.00M,554.00M,,2.701B,2.506B,,2.506B,221.00M,313.00M,534.00M,,284.00M,569.00M,3.793B,6.494B,151.00M,-14.00M,2.515B,496.00M,-115.00M,2.041B
2016-06,1.00B,1.00B,2.016B,,1.983B,421.00M,,3.404B,,,,,,3.942B,-2.93B,1.012B,1.817B,1.185B,3.002B,,338.00M,1.101B,5.453B,8.857B,368.00M,,368.00M,1.109B,1.477B,551.00M,84.00M,635.00M,65.00M,700.00M,586.00M,586.00M,,2.763B,2.543B,,2.543B,221.00M,345.00M,566.00M,222.00M,261.00M,343.00M,3.865B,6.628B,151.00M,-10.00M,2.487B,491.00M,-169.00M,1.968B
2016-03,1.178B,1.178B,1.061B,725.00M,1.831B,403.00M,,3.412B,921.00M,,2.991B,,7.00M,3.919B,-2.894B,1.025B,1.277B,1.328B,2.605B,,345.00M,349.00M,4.324B,7.736B,341.00M,,341.00M,1.008B,1.349B,559.00M,79.00M,638.00M,72.00M,710.00M,549.00M,549.00M,,2.608B,1.934B,,1.934B,,348.00M,348.00M,298.00M,7.00M,160.00M,3.096B,5.704B,149.00M,33.00M,2.439B,485.00M,-111.00M,2.025B
2015-12,1.83B,1.83B,1.697B,,1.67B,361.00M,,3.861B,,,,,,3.856B,-2.828B,1.028B,1.026B,1.064B,2.09B,,387.00M,623.00M,4.128B,7.989B,211.00M,,211.00M,1.105B,1.316B,,,760.00M,,760.00M,510.00M,510.00M,,2.586B,1.909B,,1.909B,,,,,7.00M,818.00M,3.18B,5.766B,149.00M,187.00M,2.461B,475.00M,-106.00M,2.216B
2015-09,1.818B,1.818B,2.168B,,2.127B,500.00M,,4.445B,,,,,,5.086B,-3.567B,1.519B,1.842B,1.112B,2.954B,,,1.095B,5.568B,10.01B,436.00M,,436.00M,1.405B,1.841B,,,894.00M,,894.00M,642.00M,642.00M,,3.377B,1.716B,,1.716B,,,,,29.00M,1.423B,3.59B,6.967B,148.00M,1.091B,2.312B,473.00M,-61.00M,3.017B
2015-06,2.199B,2.199B,2.166B,,2.123B,474.00M,,4.796B,,,,,,5.157B,-3.599B,1.558B,1.671B,1.079B,2.75B,,,1.012B,5.32B,10.12B,412.00M,,412.00M,1.51B,1.922B,,,911.00M,,911.00M,700.00M,700.00M,,3.533B,1.707B,,1.707B,,,,,24.00M,1.447B,3.569B,7.102B,148.00M,954.00M,2.282B,469.00M,75.00M,2.99B
2015-03,2.076B,2.076B,1.014B,668.00M,1.682B,292.00M,,4.856B,912.00M,,2.935B,,3.00M,3.85B,-2.74B,1.11B,838.00M,1.044B,1.882B,,396.00M,1.977B,5.365B,10.22B,295.00M,,295.00M,1.213B,1.508B,,,883.00M,,883.00M,482.00M,482.00M,691.00M,3.564B,1.635B,,1.635B,,354.00M,354.00M,287.00M,28.00M,209.00M,3.692B,7.256B,148.00M,928.00M,2.286B,446.00M,21.00M,2.937B
2014-12,2.393B,2.393B,2.477B,,2.435B,358.00M,,5.186B,,,,,,5.381B,-3.689B,1.692B,1.669B,1.106B,2.775B,,,1.00B,5.467B,10.65B,339.00M,,339.00M,1.645B,1.984B,,,554.00M,,554.00M,652.00M,652.00M,,3.19B,2.17B,,2.17B,,,,,25.00M,1.391B,4.108B,7.298B,151.00M,1.101B,2.381B,444.00M,141.00M,3.33B
2014-09,1.923B,1.923B,2.707B,,2.664B,489.00M,,5.076B,,,,,,5.475B,-3.682B,1.793B,1.684B,1.154B,2.838B,,,866.00M,5.497B,10.57B,380.00M,,380.00M,1.406B,1.786B,,,569.00M,,569.00M,665.00M,665.00M,,3.02B,2.214B,,2.214B,,,,,32.00M,1.061B,3.834B,6.854B,150.00M,1.453B,2.339B,436.00M,181.00M,3.687B
2014-06,2.44B,2.44B,2.798B,,2.751B,458.00M,,5.649B,,,,,,5.594B,-3.658B,1.936B,1.673B,1.209B,2.882B,,,953.00M,5.771B,11.42B,378.00M,,378.00M,1.608B,1.986B,,,685.00M,,685.00M,740.00M,740.00M,,3.411B,2.194B,,2.194B,,,,,27.00M,1.209B,3.971B,7.382B,155.00M,1.596B,2.383B,434.00M,311.00M,4.011B
2014-03,2.443B,2.443B,1.564B,1.195B,2.759B,426.00M,,5.628B,1.226B,,4.397B,,28.00M,5.651B,-3.62B,2.031B,1.667B,1.077B,2.744B,,,986.00M,5.761B,11.39B,394.00M,,394.00M,1.686B,2.08B,,,681.00M,,681.00M,701.00M,701.00M,,3.462B,2.207B,,2.207B,,,,,32.00M,1.219B,3.983B,7.445B,155.00M,1.592B,2.304B,418.00M,279.00M,3.912B
2013-12,2.284B,2.284B,2.783B,,2.735B,389.00M,,5.408B,,,,,,5.539B,-3.51B,2.029B,1.688B,1.064B,2.752B,,,1.037B,5.818B,11.23B,304.00M,,304.00M,1.828B,2.132B,,,637.00M,,637.00M,613.00M,613.00M,,3.382B,2.184B,,2.184B,,,,,27.00M,1.428B,4.119B,7.501B,155.00M,2.736B,2.221B,413.00M,-1.001B,3.698B
2013-09,2.095B,2.095B,2.866B,,2.823B,409.00M,,5.327B,,,,,,5.607B,-3.521B,2.086B,1.474B,1.075B,2.549B,,,811.00M,5.446B,10.77B,306.00M,,306.00M,1.666B,1.972B,,,254.00M,,254.00M,611.00M,611.00M,,2.837B,2.448B,,2.448B,,,,,38.00M,1.686B,4.628B,7.465B,157.00M,2.71B,2.211B,411.00M,-1.397B,3.27B
2013-06,1.929B,1.929B,2.921B,,2.88B,551.00M,,5.36B,,,,,,5.557B,-3.443B,2.114B,1.444B,1.098B,2.542B,,,850.00M,5.506B,10.87B,316.00M,,316.00M,1.86B,2.176B,,,243.00M,,243.00M,660.00M,660.00M,,3.079B,2.461B,,2.461B,,,,,19.00M,1.72B,4.675B,7.754B,157.00M,2.609B,2.158B,407.00M,-1.424B,3.093B
2013-03,2.054B,2.054B,1.627B,1.572B,3.199B,420.00M,,5.673B,1.228B,,4.381B,,42.00M,5.651B,-3.467B,2.184B,1.516B,1.116B,2.632B,,,762.00M,5.578B,11.25B,373.00M,,373.00M,2.078B,2.451B,,,234.00M,,234.00M,664.00M,664.00M,,3.349B,2.498B,,2.498B,,,,,26.00M,1.743B,4.742B,8.091B,159.00M,1.101B,2.167B,401.00M,108.00M,3.134B
2012-12,2.198B,2.198B,2.981B,,2.939B,481.00M,,5.618B,,,,,,5.913B,-3.649B,2.264B,1.523B,1.16B,2.683B,,,695.00M,5.642B,11.26B,373.00M,,373.00M,1.937B,2.31B,,,231.00M,,231.00M,746.00M,746.00M,,3.287B,2.398B,,2.398B,,,,,20.00M,1.898B,4.656B,7.943B,162.00M,2.471B,2.171B,395.00M,-1.112B,3.297B
2012-09,1.85B,1.85B,3.102B,,3.102B,516.00M,,5.468B,,,,,,5.959B,-3.624B,2.335B,1.768B,1.173B,2.941B,,,905.00M,6.181B,11.65B,386.00M,46.00M,432.00M,1.276B,1.708B,,,988.00M,,988.00M,607.00M,607.00M,,4.015B,2.399B,,2.399B,,,,,22.00M,1.992B,4.749B,8.764B,164.00M,2.038B,2.181B,392.00M,-1.128B,2.863B
2012-06,1.00B,1.00B,,,3.252B,547.00M,,4.799B,,,,,,6.021B,-3.662B,2.359B,1.721B,642.00M,2.363B,,,1.405B,6.127B,10.93B,465.00M,60.00M,525.00M,1.264B,1.789B,,,1.257B,,1.257B,610.00M,610.00M,,4.409B,1.461B,,1.461B,,,,,50.00M,1.966B,3.789B,8.198B,164.00M,1.939B,2.173B,391.00M,-1.207B,2.678B
2012-03,1.093B,1.093B,1.794B,1.463B,3.257B,533.00M,,4.883B,1.267B,,4.821B,,56.00M,6.144B,-3.703B,2.441B,1.752B,1.211B,2.963B,,,902.00M,6.306B,11.19B,478.00M,,478.00M,2.128B,2.606B,,,1.254B,,1.254B,676.00M,676.00M,,4.536B,1.486B,,1.486B,,,,,55.00M,1.976B,3.819B,8.355B,164.00M,1.93B,2.168B,390.00M,-1.093B,2.779B
2011-12,898.00M,898.00M,3.296B,,3.296B,477.00M,,4.671B,,,,,,6.337B,-3.867B,2.47B,1.718B,1.268B,2.986B,491.00M,,480.00M,6.427B,11.10B,397.00M,212.00M,609.00M,1.198B,1.807B,,,259.00M,,259.00M,642.00M,642.00M,,3.392B,2.47B,,2.47B,,,,,56.00M,1.99B,4.46B,7.852B,164.00M,2.118B,2.168B,389.00M,-871.00M,3.19B
2011-09,978.00M,978.00M,4.011B,,3.965B,1.733B,,6.676B,,,,,,6.418B,-3.895B,2.523B,1.786B,1.308B,3.094B,,,1.028B,6.645B,13.32B,451.00M,329.00M,780.00M,1.145B,1.925B,,,787.00M,,787.00M,590.00M,590.00M,,4.074B,2.478B,,2.478B,,,,,57.00M,1.526B,4.511B,8.585B,164.00M,3.539B,2.156B,389.00M,-791.00M,4.679B
2011-06,1.666B,1.666B,4.052B,,4.052B,2.062B,,7.78B,,,,,,6.548B,-4.035B,2.513B,4.062B,1.254B,5.316B,,,820.00M,8.649B,16.43B,483.00M,368.00M,851.00M,1.232B,2.083B,,,430.00M,,430.00M,880.00M,880.00M,,4.233B,2.418B,,2.418B,540.00M,,540.00M,,58.00M,1.467B,4.425B,8.658B,164.00M,6.448B,2.138B,389.00M,-648.00M,7.713B
2011-03,1.837B,1.837B,3.719B,,3.719B,2.001B,,7.557B,0.00,1.281B,5.068B,,,6.349B,-3.853B,2.496B,4.038B,1.209B,5.247B,,,820.00M,8.563B,16.12B,517.00M,396.00M,913.00M,1.291B,2.204B,,,170.00M,,170.00M,987.00M,987.00M,,4.178B,2.409B,,2.409B,511.00M,,511.00M,,56.00M,1.462B,4.382B,8.56B,163.00M,6.296B,2.12B,385.00M,-690.00M,7.504B
2010-12,1.629B,1.629B,3.851B,,3.804B,2.032B,,7.465B,,,,,,6.243B,-3.879B,2.364B,3.964B,504.00M,4.468B,,,1.459B,8.291B,15.76B,390.00M,270.00M,660.00M,1.267B,1.927B,,,471.00M,,471.00M,1.085B,1.085B,,4.192B,2.343B,,2.343B,,,,,55.00M,1.466B,4.342B,8.534B,163.00M,6.20B,2.078B,383.00M,-891.00M,7.167B
2010-09,2.657B,2.657B,3.956B,,3.956B,1.994B,,8.607B,,,,,,6.241B,-3.883B,2.358B,3.921B,1.186B,5.107B,,,815.00M,8.28B,16.89B,428.00M,282.00M,710.00M,1.174B,1.884B,,,112.00M,,112.00M,1.177B,1.177B,,3.979B,3.835B,,3.835B,573.00M,,573.00M,,63.00M,1.466B,5.874B,9.853B,163.00M,5.99B,2.054B,383.00M,-853.00M,6.971B
2010-06,2.435B,2.435B,3.831B,,3.831B,1.883B,,8.149B,,,,,,5.956B,-3.713B,2.243B,3.784B,1.12B,4.904B,,,751.00M,7.898B,16.05B,410.00M,266.00M,676.00M,1.917B,2.593B,,,79.00M,,79.00M,1.099B,1.099B,,3.771B,3.735B,,3.735B,545.00M,,545.00M,,58.00M,1.444B,5.724B,9.495B,163.00M,5.829B,2.037B,383.00M,-1.152B,6.494B
2010-03,2.784B,2.784B,3.849B,,3.849B,1.789B,,8.422B,0.00,1.191B,4.781B,,,5.972B,-3.731B,2.241B,3.866B,1.153B,5.019B,,,773.00M,8.033B,16.46B,409.00M,284.00M,693.00M,1.344B,2.037B,,,75.00M,,75.00M,1.189B,1.189B,,4.122B,3.669B,,3.669B,550.00M,,550.00M,,62.00M,1.606B,5.825B,9.947B,162.00M,5.709B,2.006B,379.00M,-1.052B,6.446B
2009-12,2.427B,2.427B,3.935B,,3.935B,1.935B,,8.297B,,,,,,6.173B,-3.843B,2.33B,3.921B,1.12B,5.041B,,,528.00M,7.899B,16.20B,415.00M,280.00M,695.00M,1.176B,1.871B,,,131.00M,,131.00M,795.00M,795.00M,,3.562B,4.176B,,4.176B,476.00M,,476.00M,,59.00M,1.302B,5.954B,9.516B,162.00M,5.45B,1.969B,378.00M,-582.00M,6.621B
2009-09,2.407B,2.407B,3.85B,,3.85B,1.898B,,8.155B,,,,,,6.037B,-3.692B,2.345B,3.924B,1.151B,5.075B,,,562.00M,7.982B,16.14B,532.00M,285.00M,817.00M,1.135B,1.952B,,,65.00M,,65.00M,933.00M,933.00M,,3.791B,4.175B,,4.175B,477.00M,,477.00M,,60.00M,1.314B,5.966B,9.757B,161.00M,5.239B,1.90B,378.00M,-602.00M,6.32B
2009-06,1.92B,1.92B,3.976B,,3.976B,1.888B,,7.784B,,,,,,5.972B,-3.569B,2.403B,3.865B,1.179B,5.044B,,,580.00M,8.027B,15.81B,434.00M,311.00M,745.00M,1.185B,1.93B,,,61.00M,,61.00M,977.00M,977.00M,,3.828B,4.176B,,4.176B,484.00M,,484.00M,,94.00M,1.24B,5.90B,9.728B,160.00M,5.023B,1.856B,377.00M,-673.00M,5.989B
2009-03,2.297B,2.297B,3.786B,,3.786B,1.624B,,7.707B,0.00,1.132B,4.638B,,,5.77B,-3.417B,2.353B,3.784B,1.16B,4.944B,,,615.00M,7.912B,15.62B,636.00M,317.00M,953.00M,1.264B,2.217B,,,62.00M,,62.00M,915.00M,915.00M,,4.016B,4.173B,,4.173B,486.00M,,486.00M,,108.00M,1.326B,5.985B,10.00B,160.00M,4.893B,1.836B,375.00M,-1.004B,5.51B
2008-12,1.673B,1.673B,4.061B,,4.061B,1.677B,10.50M,7.422B,,,,,,5.915B,-3.495B,2.419B,3.852B,1.208B,5.061B,,,551.40M,8.031B,15.45B,415.90M,,415.90M,2.168B,2.584B,,,257.60M,,257.60M,830.60M,830.60M,330.40M,4.002B,4.158B,,4.158B,,,,,,1.618B,5.776B,9.778B,159.70M,4.510B,1.830B,374.40M,-449.90M,5.675B
2008-09,741.60M,741.60M,4.244B,,4.244B,1.818B,10.50M,6.814B,,,,,,6.072B,-3.495B,2.577B,3.868B,1.309B,5.176B,,,611.00M,8.364B,15.18B,539.10M,,539.10M,2.182B,2.721B,,,1.108B,,1.108B,928.00M,928.00M,322.10M,5.079B,2.665B,,2.665B,,,,,,1.695B,4.36B,9.439B,159.60M,4.350B,1.817B,374.00M,-213.50M,5.739B
2008-06,615.60M,615.60M,4.441B,,4.441B,1.953B,,7.010B,,,,,,6.394B,-3.634B,2.760B,4.022B,1.396B,5.419B,,,613.10M,8.791B,15.80B,605.10M,,605.10M,2.388B,2.993B,,,1.142B,,1.142B,1.031B,1.031B,471.10M,5.638B,2.666B,,2.666B,,,,,,1.895B,4.560B,10.20B,159.50M,3.898B,1.794B,373.70M,126.60M,5.604B
2008-03,698.90M,698.90M,4.565B,,4.565B,1.764B,,7.028B,0.00,1.208B,5.052B,,,6.26B,-3.495B,2.765B,3.975B,1.453B,5.428B,,,659.00M,8.852B,15.88B,798.10M,414.90M,1.213B,1.639B,2.852B,,,838.40M,,838.40M,1.078B,1.078B,,5.695B,2.635B,,2.635B,1.236B,,1.236B,,,851.80M,4.723B,10.42B,159.20M,3.802B,1.771B,370.80M,100.60M,5.462B
2007-12,589.10M,589.10M,4.608B,,4.608B,1.794B,,6.991B,,,,,,5.730B,-3.074B,2.657B,3.697B,1.468B,5.166B,,,547.80M,8.370B,15.36B,659.10M,,659.10M,2.58B,3.239B,,,571.40M,,571.40M,1.026B,1.026B,210.20M,5.046B,2.515B,,2.515B,,,,,,2.249B,4.764B,9.810B,171.70M,4.009B,1.892B,370.80M,-150.30M,5.551B
2007-09,490.80M,490.80M,4.502B,,4.502B,1.704B,,6.697B,,,,,,5.729B,-3.074B,2.655B,3.687B,1.508B,5.195B,,,572.10M,8.422B,15.12B,653.10M,,653.10M,2.424B,3.077B,,,472.00M,,472.00M,887.00M,887.00M,248.80M,4.685B,2.512B,,2.512B,,,,,,2.260B,4.772B,9.457B,177.40M,4.078B,1.932B,367.00M,-158.00M,5.662B
2007-06,1.829B,1.829B,4.394B,,4.394B,1.537B,,7.760B,,,,,,5.621B,-3.074B,2.548B,2.517B,1.519B,4.035B,,,426.40M,7.009B,14.77B,626.20M,,626.20M,2.285B,2.911B,,,383.80M,,383.80M,892.70M,892.70M,308.30M,4.496B,2.497B,,2.497B,,,,,,2.174B,4.671B,9.167B,182.30M,4.076B,1.948B,358.40M,-244.90M,5.602B
2007-03,1.050B,1.050B,4.187B,,4.187B,1.464B,,6.702B,0.00,1.001B,4.612B,,,5.613B,-3.074B,2.539B,2.500B,1.543B,4.043B,,,456.70M,7.039B,13.74B,855.70M,934.60M,1.790B,2.014B,3.804B,,,93.70M,,93.70M,1.026B,1.026B,,5.656B,1.412B,,1.412B,0.00,,0.00,,,1.132B,2.544B,8.200B,181.10M,,1.876B,354.00M,-304.30M,5.54B
2006-12,726.00M,726.00M,3.961B,,3.961B,1.487B,,6.174B,,,,,,5.863B,-3.424B,2.439B,2.492B,1.513B,4.004B,,,502.90M,6.947B,13.12B,552.90M,,552.90M,2.271B,2.824B,,,587.10M,,587.10M,589.00M,589.00M,617.00M,4.617B,1.422B,,1.422B,,,,,,804.80M,2.227B,6.843B,180.50M,4.304B,1.845B,353.50M,301.50M,6.277B
2006-09,703.20M,703.20M,3.923B,,3.923B,1.389B,,6.015B,,,,,,5.710B,-3.306B,2.404B,2.370B,1.523B,3.893B,,,484.90M,6.782B,12.80B,639.50M,,639.50M,2.027B,2.666B,,,697.50M,,697.50M,567.10M,567.10M,588.10M,4.519B,1.426B,,1.426B,,,,,,796.90M,2.222B,6.741B,179.70M,4.189B,1.801B,351.00M,236.60M,6.055B
