,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2009-09,4.041B,4.041B,3.215B,826.00M,246.00M,,53.00M,7.00M,-46.00M,-1.00M,520.00M,306.00M,7.00M,53.00M,-46.00M,,-46.00M,260.00M,39.00M,221.00M,,,-5.00M,216.00M,216.00M,607.00M,294.00M,313.00M,1.42,0.0,,1.42,1.42,1.4,0.0,,1.4,1.4,151.84M,154.13M,0.0
2009-06,3.898B,3.898B,3.156B,742.00M,247.00M,,55.00M,7.00M,-48.00M,-8.00M,509.00M,233.00M,7.00M,55.00M,-48.00M,,-48.00M,185.00M,52.00M,133.00M,,,-2.00M,131.00M,131.00M,523.00M,283.00M,240.00M,0.86,0.0,,0.86,0.86,0.85,0.0,,0.85,0.85,151.54M,152.80M,0.0
2009-03,4.112B,4.112B,3.171B,941.00M,259.00M,,69.00M,10.00M,-59.00M,-1.00M,532.00M,409.00M,10.00M,69.00M,-59.00M,,-59.00M,331.00M,-52.00M,383.00M,,,-1.00M,382.00M,382.00M,683.00M,283.00M,400.00M,2.53,0.0,,2.53,2.53,2.51,0.0,,2.51,2.51,151.50M,152.60M,0.0
2008-12,3.952B,3.952B,3.085B,867.00M,261.00M,,68.00M,12.00M,-56.00M,5.00M,548.00M,319.00M,12.00M,68.00M,-56.00M,,-56.00M,263.00M,100.00M,163.00M,,,-2.00M,161.00M,161.00M,637.00M,306.00M,331.00M,1.06,0.0,,1.06,1.06,1.06,0.0,,1.06,1.06,151.48M,151.86M,0.0
2008-09,4.239B,4.239B,3.41B,829.00M,285.00M,,59.00M,9.00M,-50.00M,-4.00M,593.00M,236.00M,9.00M,59.00M,-50.00M,,-50.00M,186.00M,-267.00M,453.00M,,,-1.00M,452.00M,452.00M,585.00M,340.00M,245.00M,2.98,0.0,,2.98,2.98,2.95,0.0,,2.95,2.95,151.40M,153.11M,0.0
2008-06,4.437B,4.437B,3.602B,835.00M,278.00M,,64.00M,10.00M,-54.00M,7.00M,602.00M,233.00M,10.00M,64.00M,-54.00M,,-54.00M,179.00M,53.00M,126.00M,,,-5.00M,121.00M,121.00M,584.00M,341.00M,243.00M,0.8,0.0,,0.8,0.8,0.79,0.0,,0.79,0.79,151.19M,153.22M,0.0
2008-03,4.484B,4.484B,3.498B,986.00M,253.50M,-105.30M,,,,,525.40M,460.60M,,,,-105.30M,,310.30M,128.60M,181.70M,,,,181.70M,250.14M,662.20M,292.10M,341.90M,1.14,0.0,,1.58,1.14,1.12,0.0,,1.555,1.12,155.39M,157.26M,0.0
2007-12,4.16B,4.16B,3.302B,858.40M,240.20M,-1.20M,,,,,547.30M,311.10M,,,,-1.20M,,266.30M,87.30M,179.00M,,,,179.00M,179.81M,701.00M,389.90M,311.10M,1.07,0.0,,1.075,1.07,1.05,0.0,,1.055,1.05,167.29M,170.48M,0.0
2007-09,4.017B,4.017B,3.254B,763.40M,241.10M,-18.50M,,,,,533.30M,230.10M,,,,-18.50M,,171.60M,95.80M,75.80M,,,,75.80M,87.82M,530.90M,300.80M,230.10M,0.44,0.0,,0.5098,0.44,0.43,0.0,,0.4982,0.43,172.27M,176.28M,0.0
2007-06,3.838B,3.838B,3.098B,739.80M,240.60M,-30.80M,,,,,519.60M,220.20M,,,,-30.80M,,169.70M,61.60M,108.10M,,,,108.10M,127.72M,523.80M,303.60M,220.20M,0.62,0.0,,0.7325,0.62,0.61,0.0,,0.7207,0.61,174.35M,177.21M,0.0
2007-03,4.044B,4.044B,3.140B,904.60M,236.30M,-63.40M,,,,,479.40M,425.20M,,,,-63.40M,,311.80M,57.60M,254.20M,,,,254.20M,305.89M,443.00M,253.90M,158.60M,1.44,0.0,,1.735,1.44,1.42,0.0,,1.714,1.42,175.05M,175.51M,0.0
2006-12,3.641B,3.641B,2.901B,739.60M,227.90M,-27.50M,,,,,489.90M,249.70M,,,,-27.50M,,174.20M,60.70M,113.50M,,,,113.50M,131.42M,560.00M,310.30M,249.70M,0.66,0.0,,0.7642,0.66,0.65,0.0,,0.7526,0.65,171.97M,174.62M,0.0
2006-09,3.609B,3.609B,2.894B,715.40M,226.50M,-32.70M,,,,,492.80M,222.60M,,,,-32.70M,,141.40M,51.90M,89.50M,,,,89.50M,110.20M,529.60M,307.00M,222.60M,0.52,0.0,,0.6403,0.52,0.51,0.0,,0.6279,0.51,172.12M,175.49M,0.0
2006-06,3.561B,3.561B,2.879B,681.80M,227.60M,-192.50M,,,,,488.50M,193.30M,,,,-192.50M,,-21.10M,38.80M,-59.90M,,,,-59.90M,55.60M,484.10M,290.80M,193.30M,-0.32,0.0,,0.297,-0.32,-0.32,0.0,,0.297,-0.32,187.19M,187.19M,0.0
2006-03,3.907B,3.907B,3.068B,839.00M,232.10M,-25.30M,,,,,511.60M,327.40M,,,,-25.30M,,268.50M,161.40M,107.10M,0.00,,,102.80M,122.28M,574.80M,283.90M,290.90M,0.58,0.0,,0.6618,0.55,0.57,0.0,,0.65,0.54,185.61M,189.87M,0.0
2005-12,3.577B,3.577B,2.851B,725.60M,213.40M,,,,,,481.30M,244.30M,,,,,,233.50M,74.10M,159.40M,38.40M,,,197.80M,159.40M,512.20M,264.90M,244.30M,0.86,0.21,,0.86,1.07,0.85,0.2,,0.85,1.05,184.86M,188.38M,0.0
2005-09,3.573B,3.573B,2.878B,694.60M,211.60M,-52.00M,,,,,486.30M,208.30M,,,,-52.00M,,139.40M,43.30M,96.10M,,,,96.10M,131.95M,550.70M,342.40M,208.30M,0.52,0.0,,0.714,0.52,0.51,0.0,,0.7002,0.51,184.81M,188.43M,0.0
2005-06,3.582B,3.582B,2.927B,655.80M,205.10M,,,,,,474.80M,181.00M,,,,,,162.20M,53.50M,108.70M,22.90M,,,131.60M,108.70M,477.30M,296.30M,181.00M,0.59,0.12,,0.59,0.71,0.58,0.12,,0.58,0.7,185.35M,188.00M,0.0
2005-03,3.878B,3.878B,3.095B,783.70M,209.80M,,,,,,481.70M,302.00M,,,,,,244.00M,77.40M,166.60M,245.20M,,,411.80M,166.60M,585.80M,296.30M,289.50M,0.88,1.3,,0.88,2.16,0.86,1.28,,0.86,2.14,176.33M,177.32M,0.0
2004-12,3.489B,3.489B,2.804B,684.70M,198.00M,,,,,,465.30M,219.40M,,,,,,183.10M,54.00M,129.10M,28.40M,,,157.50M,129.10M,510.50M,291.10M,219.40M,0.68,0.15,,0.68,0.83,0.67,0.15,,0.67,0.82,189.76M,192.07M,0.0
2004-09,3.394B,3.394B,2.753B,641.40M,189.30M,,,,,,449.30M,192.10M,,,,,,154.00M,46.20M,107.80M,,,,107.80M,107.80M,476.20M,284.10M,192.10M,0.57,0.12,,0.57,0.69,0.56,0.12,,0.56,0.68,156.23M,158.53M,0.0
2004-06,3.298B,3.298B,2.664B,633.70M,210.70M,,,,,,462.50M,171.20M,,,,,,134.30M,41.40M,92.90M,17.50M,,,110.40M,92.90M,445.20M,274.00M,171.20M,0.49,0.09,,0.49,0.59,0.49,0.09,,0.49,0.58,187.12M,190.34M,0.0
2004-03,3.510B,3.510B,2.766B,744.60M,212.80M,0.00,,,,,469.50M,275.10M,,,,0.00,,234.70M,67.40M,167.30M,23.30M,,,190.60M,167.30M,524.20M,262.60M,261.60M,0.89,0.12,,0.89,1.01,0.88,0.12,,0.88,1.01,188.64M,188.64M,0.0
2003-12,3.330B,3.330B,2.662B,667.20M,191.80M,-7.30M,,,,,441.50M,225.70M,,,,-7.30M,,177.40M,54.20M,123.20M,5.20M,,,128.40M,128.27M,506.30M,280.60M,225.70M,0.66,0.03,,0.6872,0.69,0.65,0.03,,0.6768,0.68,186.09M,188.82M,0.0
2003-09,3.591B,3.591B,2.959B,632.60M,199.90M,-9.20M,,,,,428.90M,203.70M,,,,-9.20M,,155.40M,47.30M,108.10M,,,,108.10M,114.50M,446.40M,242.70M,203.70M,0.58,0.0,,0.6143,0.58,0.57,0.0,,0.6037,0.57,186.38M,189.65M,0.0
