,NetIncome,NetForeignCurrencyExchangeGain/Loss,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-12,37.00M,-70.00M,,-71.00M,164.00M,164.00M,,21.00M,,-19.00M,,232.00M,164.00M,,396.00M,563.00M,-112.00M,,-56.00M,-56.00M,0.00,,8.00M,-104.00M,-288.00M,0.00,-288.00M,,0.00,0.00,-20.00M,-20.00M,5.00M,-1.00M,-304.00M,1.054B,155.00M,-98.00M,1.111B,,554.00M,-842.00M,0.00
2016-09,21.00M,78.00M,,78.00M,170.00M,170.00M,,21.00M,,37.00M,,106.00M,-206.00M,,-100.00M,192.00M,-149.00M,,-85.00M,-64.00M,-11.00M,,-12.00M,-172.00M,-50.00M,105.00M,55.00M,,0.00,0.00,-20.00M,-20.00M,6.00M,-19.00M,22.00M,1.00B,42.00M,12.00M,1.054B,,746.00M,-691.00M,0.00
2016-06,-20.00M,12.00M,,12.00M,169.00M,169.00M,,14.00M,,-2.00M,,-42.00M,-81.00M,,-123.00M,50.00M,-121.00M,,-58.00M,-63.00M,-423.00M,,-5.00M,-549.00M,360.00M,0.00,360.00M,,0.00,0.00,-19.00M,-19.00M,36.00M,-23.00M,354.00M,1.178B,-145.00M,-33.00M,1.00B,,1.444B,-1.084B,0.00
2016-03,-133.00M,4.00M,120.00M,222.00M,159.00M,159.00M,,17.00M,,-8.00M,,-213.00M,468.00M,,-168.00M,60.00M,-135.00M,,-79.00M,-56.00M,-289.00M,1.00M,-27.00M,-450.00M,-91.00M,0.00,-91.00M,,-45.00M,-45.00M,-21.00M,-21.00M,10.00M,-102.00M,-249.00M,1.83B,-639.00M,-13.00M,1.178B,,1.484B,-1.575B,-45.00M
2015-12,52.00M,32.00M,-28.00M,15.00M,198.00M,198.00M,,21.00M,,-14.00M,,37.00M,-51.00M,,-14.00M,258.00M,-165.00M,,-93.00M,-72.00M,-26.00M,-71.00M,13.00M,-249.00M,1.34B,343.00M,1.683B,,90.00M,90.00M,-345.00M,-345.00M,27.00M,-1.435B,20.00M,1.818B,29.00M,-17.00M,1.83B,,2.37B,-687.00M,90.00M
2015-09,177.00M,7.00M,,3.00M,203.00M,203.00M,,19.00M,,-1.00M,,-35.00M,-244.00M,,-279.00M,122.00M,-195.00M,,-94.00M,-101.00M,-236.00M,,34.00M,-397.00M,-235.00M,215.00M,-20.00M,,0.00,0.00,-32.00M,-32.00M,21.00M,-9.00M,-40.00M,2.199B,-315.00M,-66.00M,1.818B,,1.606B,-1.626B,0.00
2015-06,167.00M,,,-51.00M,207.00M,207.00M,,-12.00M,,13.00M,,211.00M,-173.00M,,38.00M,362.00M,-146.00M,,-90.00M,-56.00M,34.00M,,28.00M,-84.00M,-66.00M,0.00,-66.00M,,-118.00M,-118.00M,-32.00M,-32.00M,24.00M,-24.00M,-216.00M,2.098B,62.00M,39.00M,2.199B,,3.00M,-69.00M,-118.00M
2015-03,23.00M,,319.00M,315.00M,215.00M,215.00M,,14.00M,15.00M,8.00M,,-171.00M,286.00M,,187.00M,330.00M,-177.00M,,-98.00M,-79.00M,-14.00M,0.00,54.00M,-137.00M,-49.00M,0.00,-49.00M,,-324.00M,-324.00M,-33.00M,-33.00M,45.00M,-38.00M,-399.00M,2.393B,-206.00M,-89.00M,2.098B,,0.00,-49.00M,-324.00M
2014-12,-313.00M,,463.00M,454.00M,238.00M,238.00M,,19.00M,-3.00M,1.00M,,203.00M,54.00M,,257.00M,653.00M,-138.00M,,-82.00M,-56.00M,0.00,0.00,37.00M,-101.00M,-54.00M,0.00,-54.00M,,41.00M,41.00M,-32.00M,-32.00M,26.00M,-4.00M,-23.00M,1.923B,529.00M,-59.00M,2.393B,,0.00,-54.00M,41.00M
2014-09,156.00M,,,7.00M,252.00M,252.00M,,16.00M,-3.00M,7.00M,,-13.00M,-205.00M,,-218.00M,217.00M,-165.00M,,-99.00M,-66.00M,-53.00M,,34.00M,-184.00M,-70.00M,0.00,-70.00M,,-411.00M,-411.00M,-34.00M,-34.00M,37.00M,3.00M,-475.00M,2.44B,-442.00M,-75.00M,1.923B,,0.00,-70.00M,-411.00M
2014-06,151.00M,,,-20.00M,272.00M,272.00M,,19.00M,-9.00M,14.00M,,-19.00M,-135.00M,,-154.00M,273.00M,-168.00M,,-102.00M,-66.00M,5.00M,,49.00M,-114.00M,-101.00M,,-101.00M,,-148.00M,-148.00M,-29.00M,-29.00M,88.00M,9.00M,-181.00M,2.443B,-22.00M,19.00M,2.44B,,0.00,-101.00M,-148.00M
2014-03,273.00M,-10.00M,-145.00M,-145.00M,265.00M,265.00M,,20.00M,5.00M,12.00M,,-122.00M,413.00M,,-41.00M,565.00M,-204.00M,,-133.00M,-71.00M,3.00M,,12.00M,-189.00M,-37.00M,,-37.00M,,-145.00M,-145.00M,-30.00M,-30.00M,102.00M,-113.00M,-223.00M,2.284B,153.00M,6.00M,2.443B,,31.00M,-68.00M,-145.00M
2013-12,276.00M,3.00M,-114.00M,-108.00M,251.00M,251.00M,,20.00M,0.00,14.00M,,62.00M,14.00M,,76.00M,529.00M,-167.00M,,-99.00M,-68.00M,-150.00M,,16.00M,-301.00M,104.00M,,104.00M,,-125.00M,-125.00M,-29.00M,-29.00M,27.00M,-21.00M,-44.00M,2.095B,184.00M,5.00M,2.284B,,408.00M,-304.00M,-125.00M
2013-09,242.00M,-10.00M,,-83.00M,247.00M,247.00M,,16.00M,-2.00M,17.00M,,26.00M,-193.00M,,-167.00M,270.00M,-149.00M,,-87.00M,-62.00M,149.00M,,25.00M,25.00M,-60.00M,,-60.00M,,-124.00M,-124.00M,-30.00M,-30.00M,69.00M,3.00M,-142.00M,1.929B,153.00M,13.00M,2.095B,,,-60.00M,-124.00M
2013-06,177.00M,-12.00M,,-37.00M,255.00M,255.00M,,17.00M,-3.00M,4.00M,,34.00M,-234.00M,,-200.00M,213.00M,-168.00M,,-101.00M,-67.00M,56.00M,,11.00M,-101.00M,-60.00M,,-60.00M,,-127.00M,-127.00M,-30.00M,-30.00M,16.00M,-6.00M,-207.00M,2.054B,-95.00M,-30.00M,1.929B,,,-60.00M,-127.00M
2013-03,86.00M,35.00M,,224.00M,269.00M,269.00M,,13.00M,-2.00M,7.00M,,-131.00M,-132.00M,,-682.00M,41.00M,-151.00M,,-85.00M,-66.00M,150.00M,,-17.00M,-18.00M,49.00M,,49.00M,,-224.00M,-224.00M,-31.00M,-31.00M,51.00M,-1.00M,-156.00M,2.198B,-133.00M,-11.00M,2.054B,,128.00M,-79.00M,-224.00M
2012-12,513.00M,-1.00M,,-701.00M,268.00M,268.00M,,16.00M,-1.00M,17.00M,,76.00M,225.00M,,301.00M,413.00M,-156.00M,,-95.00M,-61.00M,956.00M,,40.00M,840.00M,-813.00M,,-813.00M,,-59.00M,-59.00M,-31.00M,-31.00M,3.00M,-2.00M,-902.00M,1.85B,351.00M,-3.00M,2.198B,,252.00M,-1.065B,-59.00M
2012-09,138.00M,-49.00M,,-41.00M,271.00M,271.00M,,13.00M,0.00,12.00M,,152.00M,-101.00M,,51.00M,444.00M,-166.00M,,-93.00M,-73.00M,-34.00M,,13.00M,-187.00M,621.00M,,621.00M,,0.00,0.00,-31.00M,-31.00M,1.00M,-25.00M,566.00M,1.00B,823.00M,27.00M,1.85B,,771.00M,-150.00M,0.00
2012-06,42.00M,-22.00M,,-19.00M,262.00M,262.00M,,7.00M,0.00,18.00M,,-97.00M,8.00M,,-89.00M,221.00M,-199.00M,,-122.00M,-77.00M,2.00M,,18.00M,-179.00M,-59.00M,,-59.00M,,0.00,0.00,-31.00M,-31.00M,0.00,-7.00M,-97.00M,1.093B,-55.00M,-38.00M,1.00B,,54.00M,-113.00M,0.00
2012-03,3.47B,-13.00M,,490.00M,206.00M,206.00M,-2.357B,0.00,-2.00M,-1.441B,,-109.00M,842.00M,-218.00M,369.00M,496.00M,-228.00M,,-125.00M,-92.00M,-4.00M,,1.00M,-220.00M,-80.00M,,-80.00M,,0.00,0.00,-31.00M,-31.00M,0.00,1.00M,-110.00M,898.00M,166.00M,29.00M,1.093B,,46.00M,-126.00M,0.00
2011-12,-1.391B,-5.00M,,-2.00M,322.00M,322.00M,60.00M,14.00M,0.00,1.485B,,109.00M,-842.00M,965.00M,232.00M,720.00M,-204.00M,,-132.00M,-72.00M,0.00,,19.00M,-185.00M,10.00M,-565.00M,-555.00M,,0.00,0.00,-93.00M,-31.00M,0.00,-4.00M,-590.00M,978.00M,-55.00M,-25.00M,898.00M,,-490.00M,-65.00M,0.00
2011-09,-2.866B,6.00M,,7.00M,319.00M,319.00M,2.685B,17.00M,,264.00M,,,,-429.00M,-429.00M,6.00M,-221.00M,,-140.00M,-81.00M,-360.00M,,12.00M,-569.00M,-358.00M,322.00M,-36.00M,,,,,-31.00M,2.00M,-10.00M,-75.00M,1.666B,-638.00M,-50.00M,978.00M,,332.00M,-368.00M,
2011-06,185.00M,4.00M,,6.00M,292.00M,292.00M,,5.00M,,5.00M,,,,-536.00M,-536.00M,-46.00M,-322.00M,,-161.00M,-161.00M,-8.00M,,-4.00M,-334.00M,-37.00M,243.00M,206.00M,,,,,-31.00M,13.00M,6.00M,194.00M,1.837B,-186.00M,15.00M,1.666B,,252.00M,-46.00M,
2011-03,175.00M,-4.00M,,-45.00M,283.00M,283.00M,23.00M,10.00M,,-52.00M,,,,450.00M,225.00M,760.00M,-246.00M,,-45.00M,-96.00M,65.00M,,-81.00M,-157.00M,-1.523B,1.163B,-360.00M,,,,,-31.00M,47.00M,-4.00M,-413.00M,1.629B,190.00M,18.00M,1.837B,,-277.00M,-83.00M,
2010-12,243.00M,7.00M,,4.00M,286.00M,286.00M,0.00,16.00M,,16.00M,,,,-88.00M,-88.00M,462.00M,-230.00M,,-176.00M,-54.00M,-91.00M,,44.00M,-277.00M,-23.00M,-1.166B,-1.189B,,,,,-23.00M,8.00M,-12.00M,-1.216B,2.657B,-1.031B,3.00M,1.629B,,374.00M,-1.563B,
2010-09,193.00M,-12.00M,,-38.00M,294.00M,294.00M,0.00,16.00M,,40.00M,,,,-75.00M,-75.00M,402.00M,-240.00M,,-160.00M,-80.00M,-9.00M,,44.00M,-205.00M,-29.00M,1.00M,-28.00M,,,,,-23.00M,2.00M,0.00,-49.00M,2.435B,148.00M,74.00M,2.657B,,4.00M,-32.00M,
2010-06,148.00M,,,-4.00M,277.00M,277.00M,,14.00M,,-10.00M,,,,-489.00M,-489.00M,-60.00M,-249.00M,,-177.00M,-72.00M,-4.00M,,,-253.00M,-11.00M,2.00M,-9.00M,,,,,0.00,16.00M,-5.00M,2.00M,2.784B,-311.00M,-38.00M,2.435B,,4.00M,-13.00M,
2010-03,264.00M,44.00M,,46.00M,278.00M,278.00M,,15.00M,,-82.00M,,,,1.265B,638.00M,1.236B,-278.00M,,-59.00M,-137.00M,0.00,,-80.00M,-276.00M,-510.00M,-64.00M,-574.00M,,-1.00M,-1.00M,,0.00,21.00M,-47.00M,-601.00M,2.427B,359.00M,-2.00M,2.784B,,30.00M,-604.00M,-1.00M
2009-12,217.00M,-44.00M,,-47.00M,301.00M,301.00M,,15.00M,,114.00M,,,,-421.00M,-421.00M,132.00M,-295.00M,,-228.00M,-67.00M,2.00M,,65.00M,-228.00M,-10.00M,61.00M,51.00M,,1.00M,1.00M,,0.00,49.00M,4.00M,105.00M,2.407B,9.00M,11.00M,2.427B,,72.00M,-21.00M,1.00M
2009-09,220.00M,,,-4.00M,294.00M,294.00M,,16.00M,,13.00M,,,,22.00M,22.00M,572.00M,-181.00M,,-109.00M,-72.00M,7.00M,,46.00M,-128.00M,-8.00M,1.00M,-7.00M,,-1.00M,-1.00M,,0.00,29.00M,2.00M,23.00M,1.92B,467.00M,20.00M,2.407B,,20.00M,-27.00M,-1.00M
2009-06,133.00M,,,,283.00M,283.00M,,18.00M,,-78.00M,,,,-657.00M,-657.00M,-297.00M,-173.00M,,-100.00M,-73.00M,0.00,,15.00M,-158.00M,-9.00M,-5.00M,-14.00M,,-2.00M,-2.00M,,,1.00M,1.00M,-14.00M,2.297B,-469.00M,92.00M,1.92B,,8.00M,-22.00M,-2.00M
2009-03,383.00M,,,1.00M,283.00M,283.00M,,7.00M,,-38.00M,,,,1.193B,110.00M,1.058B,-227.00M,,-142.00M,-85.00M,0.00,,27.00M,-200.00M,-208.00M,0.00,-208.00M,,0.00,0.00,,,1.00M,-4.00M,-211.00M,1.673B,647.00M,-23.00M,2.297B,,201.00M,-409.00M,0.00
2008-12,163.00M,,,-4.00M,306.00M,306.00M,,13.00M,,112.00M,,,,-16.00M,-16.00M,582.00M,-266.00M,,-195.00M,-71.00M,-37.00M,,22.00M,-281.00M,-8.00M,674.00M,666.00M,,-1.00M,-1.00M,,,0.00,1.00M,666.00M,742.00M,967.00M,-36.00M,1.673B,,895.00M,-229.00M,-1.00M
2008-09,451.00M,,,2.00M,340.00M,340.00M,,17.00M,,-24.00M,,,,-388.00M,-388.00M,402.00M,-266.00M,,-167.00M,-99.00M,-1.00M,,39.00M,-228.00M,-8.00M,-12.00M,-20.00M,,0.00,0.00,,,6.00M,2.00M,-12.00M,616.00M,162.00M,-36.00M,742.00M,,97.00M,-117.00M,0.00
2008-06,126.00M,,,,341.00M,341.00M,,17.00M,,5.00M,,,,-553.00M,-553.00M,-56.00M,-268.00M,,-195.00M,-73.00M,-62.00M,,1.00M,-329.00M,-308.00M,603.00M,295.00M,,-3.00M,-3.00M,,,6.00M,1.00M,299.00M,699.00M,-86.00M,3.00M,616.00M,,655.00M,-360.00M,-3.00M
2008-03,-362.90M,,,-18.50M,292.10M,292.10M,,,,540.70M,,,,931.10M,366.90M,844.40M,-352.10M,,-15.10M,,-275.50M,,68.00M,-559.60M,,,342.40M,-82.40M,-538.30M,-620.70M,,,,10.10M,-182.20M,589.10M,102.60M,7.20M,698.90M,-82.40M,,,-538.30M
2007-12,179.00M,,,5.80M,389.90M,389.90M,,,,-37.60M,,,,53.20M,53.20M,590.30M,-349.90M,,-349.90M,,0.00,,71.20M,-278.70M,,,99.10M,9.20M,-321.80M,-312.60M,,,,0.60M,-212.90M,490.80M,98.70M,-0.40M,589.10M,9.20M,,,-321.80M
2007-09,75.80M,,,-9.60M,300.80M,300.80M,,,,37.60M,,,,-90.70M,-90.70M,313.90M,-252.40M,,-252.40M,,-1.316B,,-68.70M,-1.637B,,,88.10M,28.20M,-148.70M,-120.50M,,,,6.60M,-25.80M,1.829B,-1.349B,10.00M,490.80M,28.20M,,,-148.70M
2007-06,108.10M,,,-2.50M,303.60M,303.60M,,,,,,,,-814.90M,-814.90M,-405.70M,-259.20M,,-259.20M,,,,15.50M,-243.70M,,,1.373B,45.00M,-4.40M,40.60M,,,,5.20M,1.419B,1.050B,769.40M,9.90M,1.829B,45.00M,,,-4.40M
2007-03,-143.10M,,,-48.00M,253.90M,253.90M,,,,,,,,831.70M,734.70M,1.041B,-218.70M,,48.20M,,-0.20M,,-15.50M,-234.40M,,,-522.50M,-72.60M,0.00,-72.60M,,,,11.20M,-489.10M,726.00M,317.90M,6.20M,1.050B,-72.60M,,,0.00
2006-12,113.50M,,,-11.70M,310.30M,310.30M,,,,,,,,57.10M,57.10M,469.20M,-266.80M,,-266.80M,,-131.30M,,44.30M,-353.80M,,,-125.30M,28.40M,0.00,28.40M,,,,0.50M,-96.40M,703.20M,19.00M,3.80M,726.00M,28.40M,,,0.00
2006-09,89.50M,,,3.20M,307.00M,307.00M,,,,,,,,-119.30M,-119.30M,280.40M,-214.20M,,-214.20M,,,,17.00M,-197.20M,,,600.00M,12.10M,-1.00B,-987.90M,,,,2.90M,-385.00M,1.008B,-301.80M,-3.00M,703.20M,12.10M,,,-1.00B
2006-06,-59.90M,,,-12.20M,290.80M,290.80M,,,,,,,,-431.10M,-431.10M,-212.40M,-253.10M,,-253.10M,,,,165.80M,-87.30M,,,-14.50M,32.10M,,32.10M,,,,-2.60M,15.00M,1.291B,-284.70M,2.00M,1.008B,32.10M,,,
2006-03,-425.30M,,,-38.00M,283.90M,283.90M,,,,,,,,555.80M,123.60M,744.90M,-294.80M,-0.50M,98.30M,,0.50M,,-68.50M,-223.20M,,,-49.40M,-62.50M,0.00,-62.50M,,,,1.80M,-9.00M,773.20M,512.70M,4.80M,1.291B,-62.50M,,,0.00
2005-12,197.80M,,,0.00,264.90M,264.90M,,,,,,,,103.20M,103.20M,565.90M,-246.70M,-4.50M,-251.20M,,-44.10M,,17.00M,-278.30M,,,34.80M,45.40M,-0.10M,45.30M,,,,0.90M,81.00M,404.60M,368.60M,0.00,773.20M,45.40M,,,-0.10M
2005-09,95.90M,,,0.00,342.40M,342.40M,,,,,,286.80M,108.70M,-602.80M,-207.30M,231.00M,-443.60M,5.00M,-438.60M,,,,171.70M,-266.90M,,,0.90M,8.40M,0.00,8.40M,,,,2.50M,11.80M,427.30M,-24.10M,1.40M,404.60M,8.40M,,,0.00
2005-06,131.60M,,,-22.90M,296.30M,296.30M,,,,,,-286.80M,-108.70M,,-395.50M,9.50M,-235.40M,,-235.40M,,,,-120.20M,-355.60M,,,-17.20M,8.70M,-227.60M,-218.90M,,,,1.60M,-234.50M,1.010B,-580.60M,-2.40M,427.30M,8.70M,,,-227.60M
2005-03,-369.80M,,,,296.30M,296.30M,,,,,,854.80M,-567.30M,,271.00M,981.40M,-857.10M,-31.30M,-266.80M,,819.10M,,487.60M,501.10M,,,-1.013B,-109.60M,,-109.60M,,,,-6.30M,-1.021B,559.10M,461.40M,-10.20M,1.010B,-109.60M,,,
2004-12,157.50M,,,,291.10M,291.10M,,,,,,-417.30M,333.70M,,-83.60M,365.00M,-173.80M,30.30M,-143.50M,,0.00,,-202.60M,-346.10M,,,2.80M,75.70M,,75.70M,,,,5.90M,84.40M,445.50M,103.30M,10.30M,559.10M,75.70M,,,
2004-09,130.50M,,,,284.10M,284.10M,,,,,,-221.50M,282.10M,,60.60M,475.20M,-211.90M,0.00,-211.90M,,0.00,,-201.30M,-413.20M,,,0.10M,17.00M,,17.00M,,,,2.30M,19.40M,359.90M,81.40M,4.20M,445.50M,17.00M,,,
2004-06,110.40M,,,,274.00M,274.00M,,,,,,-216.00M,-48.50M,,-264.50M,119.90M,-234.00M,1.00M,-233.00M,,-20.50M,,-83.70M,-337.20M,,,-0.40M,16.90M,,16.90M,,,,0.20M,16.70M,562.80M,-200.60M,-2.30M,359.90M,16.90M,,,
2004-03,-328.80M,,,,262.60M,262.60M,,,,,,373.50M,57.10M,,354.50M,1.004B,-815.20M,-26.90M,-220.00M,,,,292.50M,-505.50M,,,-93.90M,-24.80M,,-24.80M,,,,8.90M,-74.40M,148.40M,423.90M,-9.50M,562.80M,-24.80M,,,
2003-12,128.40M,,,,280.60M,280.60M,,,,,,-135.20M,22.90M,,-112.30M,296.70M,-181.20M,16.70M,-164.50M,,,,-93.20M,-257.70M,,,-102.10M,7.20M,,7.20M,,,,2.00M,-92.90M,199.10M,-53.90M,3.20M,148.40M,7.20M,,,
2003-09,108.10M,,,,242.70M,242.70M,,,,,,25.40M,-19.50M,,5.90M,356.70M,-127.40M,10.20M,-117.20M,,,,-85.90M,-203.10M,,,189.10M,8.30M,,8.30M,,,,-293.90M,-96.50M,143.30M,57.10M,-1.30M,199.10M,8.30M,,,
2003-06,92.30M,,,,252.20M,252.20M,,,,,,-263.70M,-60.50M,,-324.20M,20.30M,-223.30M,,-223.30M,,,,-135.70M,-359.00M,,,-128.20M,9.30M,,9.30M,,,,298.70M,179.80M,299.60M,-158.90M,2.60M,143.30M,9.30M,,,
