,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-04,261.57M,,261.57M,551.39M,554.32M,431.78M,,579.44M,,1.011B,18.53M,,5.138M,1.851B,0.0,52.01M,900.14M,1.809B,226.12M,2.987B,-1.633B,1.354B,2.732B,1.251B,3.983B,265.58M,,192.26M,5.979B,7.830B,465.57M,,1.432M,,467.00M,290.62M,757.63M,,,185.00M,185.00M,,,,1.148B,624.76M,624.76M,125.42M,125.42M,535.28M,4.428M,104.18M,1.390B,2.538B,7.766M,5.504B,10.97M,,,,-235.75M,5.287B
2018-01,385.78M,,385.78M,569.10M,569.28M,434.16M,,539.06M,,973.22M,15.58M,,4.417M,1.948B,0.0,51.48M,890.03M,1.777B,174.73M,2.893B,-1.600B,1.293B,2.957B,1.023B,3.981B,262.15M,,196.57M,5.911B,7.859B,532.85M,,46.24M,,579.08M,302.01M,881.09M,,,255.00M,255.00M,,,,1.324B,624.73M,624.73M,114.69M,114.69M,532.65M,4.043M,107.89M,1.380B,2.703B,7.764M,5.367B,19.24M,,,,-242.18M,5.151B
2017-10,444.12M,,444.12M,618.35M,640.70M,409.23M,,511.79M,,921.02M,16.14M,,4.538M,2.027B,0.0,51.25M,866.86M,1.711B,148.06M,2.777B,-1.573B,1.203B,2.120B,1.027B,3.147B,242.37M,,184.95M,4.949B,6.976B,552.71M,,0.525M,,553.24M,268.83M,822.06M,,,,,,,,1.058B,250.00M,250.00M,98.41M,98.41M,530.25M,3.79M,99.34M,978.00M,2.036B,7.741M,5.163B,13.67M,,,,-248.08M,4.936B
2017-07,633.34M,,633.34M,549.01M,549.01M,432.38M,,580.84M,,1.013B,17.10M,,4.433M,2.217B,0.0,46.85M,757.19M,1.666B,152.22M,2.622B,-1.568B,1.054B,1.823B,882.72M,2.705B,248.13M,0.00,184.36M,4.291B,6.508B,421.17M,,1.99M,,423.16M,241.44M,664.60M,,,,,,,,877.77M,250.00M,250.00M,9.571M,9.571M,529.11M,3.467M,88.34M,877.01M,1.755B,7.732M,5.034B,0.00,,,,-291.96M,4.750B
2017-04,548.90M,,548.90M,525.32M,567.35M,425.56M,,562.85M,,988.41M,15.89M,,5.242M,2.126B,0.0,46.61M,742.46M,1.617B,183.20M,2.589B,-1.545B,1.044B,1.823B,884.74M,2.707B,246.84M,0.00,183.93M,4.260B,6.386B,372.36M,,1.666M,,374.03M,254.21M,628.24M,,,,,,,,824.59M,250.00M,250.00M,7.52M,7.52M,526.99M,3.324M,90.18M,874.69M,1.699B,7.743M,4.975B,0.00,,,,-299.15M,4.683B
2017-01,609.82M,,609.82M,530.85M,530.85M,424.24M,,533.89M,,958.13M,15.36M,,5.428M,2.120B,0.0,46.47M,734.12M,1.588B,189.66M,2.558B,-1.523B,1.035B,1.823B,886.80M,2.709B,243.87M,0.00,184.67M,4.247B,6.366B,387.71M,,65.02M,,452.73M,286.98M,739.71M,,,,,,,,919.76M,250.00M,250.00M,6.236M,6.236M,524.75M,3.316M,90.35M,871.34M,1.791B,7.747M,4.866B,0.00,,,,-302.14M,4.572B
2016-10,415.14M,,415.14M,591.31M,609.59M,432.05M,,553.63M,,985.68M,13.78M,,5.719M,2.030B,0.0,67.56M,805.86M,1.676B,218.35M,2.767B,-1.662B,1.105B,1.834B,903.26M,2.738B,239.59M,6.223M,182.24M,4.340B,6.370B,481.83M,,4.331M,,486.16M,278.99M,765.15M,,,,,,,,1.053B,250.00M,250.00M,0.00,0.00,522.36M,3.40M,93.11M,865.46M,1.919B,7.742M,4.737B,0.00,,,,-296.30M,4.448B
2016-07,379.60M,,379.60M,564.92M,571.94M,430.44M,,603.86M,,1.034B,15.83M,0.00,8.432M,2.010B,0.0,67.19M,788.31M,1.658B,181.65M,2.695B,-1.643B,1.053B,1.922B,815.24M,2.737B,257.06M,13.88M,146.27M,4.378B,6.388B,414.69M,,7.198M,,421.89M,308.91M,730.80M,,,145.00M,145.00M,,,,1.129B,250.00M,250.00M,0.00,0.00,516.06M,3.196M,99.57M,865.62M,1.994B,7.752M,4.607B,0.00,,,,-224.36M,4.391B
2016-04,379.88M,,379.88M,548.50M,548.50M,418.97M,,608.47M,,1.027B,13.91M,0.00,5.356M,1.975B,0.0,70.85M,821.30M,1.707B,132.98M,2.732B,-1.683B,1.049B,1.698B,823.13M,2.522B,254.95M,23.16M,145.73M,4.135B,6.110B,389.42M,,10.10M,,399.51M,304.89M,704.40M,,,,,,,,937.38M,250.00M,250.00M,0.00,0.00,513.84M,3.156M,99.48M,863.32M,1.801B,7.765M,4.513B,11.29M,,,,-225.67M,4.306B
2016-01,375.22M,,375.22M,554.74M,554.74M,433.50M,,561.32M,,994.83M,13.82M,0.00,7.484M,1.946B,0.0,70.86M,817.69M,1.690B,94.68M,2.673B,-1.659B,1.014B,1.699B,825.07M,2.524B,253.59M,20.99M,144.88M,4.095B,6.041B,411.03M,,89.86M,,500.89M,317.24M,818.13M,,,,,,,,1.020B,250.00M,250.00M,0.00,0.00,511.62M,3.225M,95.66M,857.28M,1.877B,7.755M,4.375B,5.676M,,,,-227.74M,4.160B
2015-10,347.24M,,347.24M,605.69M,611.82M,439.97M,,553.30M,,993.26M,14.38M,86.90M,9.422M,2.063B,0.0,71.19M,815.64M,1.679B,79.96M,2.646B,-1.634B,1.012B,1.699B,827.22M,2.527B,259.00M,0.00,146.50M,4.077B,6.140B,495.32M,,6.764M,,502.08M,257.63M,759.71M,,,185.00M,185.00M,,,,1.214B,250.00M,250.00M,64.10M,64.10M,509.26M,3.195M,101.06M,924.41M,2.138B,7.741M,4.216B,0.00,,,,-225.67M,3.998B
2015-07,349.17M,,349.17M,549.06M,564.52M,417.16M,,567.30M,,984.45M,17.38M,81.41M,6.85M,2.004B,0.0,70.95M,815.11M,1.679B,63.88M,2.629B,-1.627B,1.002B,1.979B,548.97M,2.528B,245.62M,,145.26M,4.087B,6.091B,393.80M,,6.812M,,400.61M,258.59M,659.20M,,,350.00M,350.00M,,,,1.245B,250.00M,250.00M,40.58M,40.58M,508.67M,3.226M,110.71M,909.96M,2.155B,7.745M,4.107B,10.32M,,,,-191.84M,3.933B
2015-04,624.40M,,624.40M,578.73M,607.46M,396.42M,,567.06M,,963.48M,14.55M,86.85M,5.691M,2.302B,0.0,61.43M,807.31M,1.652B,83.38M,2.605B,-1.614B,990.07M,1.229B,550.85M,1.780B,264.05M,,147.20M,3.321B,5.623B,385.86M,,5.792M,,391.65M,262.74M,654.38M,,,,,,,,870.18M,250.00M,250.00M,43.83M,43.83M,506.74M,3.183M,108.43M,909.00M,1.779B,7.74M,4.026B,6.879M,,,,-199.76M,3.841B
2015-01,527.10M,,527.10M,578.24M,578.24M,445.51M,,571.28M,,1.017B,29.53M,86.85M,7.821M,2.246B,0.0,61.81M,810.67M,1.644B,73.15M,2.590B,-1.593B,997.24M,1.225B,552.82M,1.778B,255.78M,,147.13M,3.313B,5.560B,407.42M,,61.02M,,468.44M,283.51M,751.95M,,,,,,,,937.30M,250.00M,250.00M,29.86M,29.86M,504.65M,5.526M,105.49M,890.00M,1.827B,7.729M,3.912B,7.55M,,,,-200.04M,3.727B
2014-10,334.17M,,334.17M,609.53M,635.20M,449.61M,,604.95M,,1.055B,15.25M,86.85M,6.738M,2.133B,0.0,61.81M,803.72M,1.597B,119.66M,2.582B,-1.580B,1.002B,1.226B,554.89M,1.781B,264.45M,0.00,145.05M,3.323B,5.456B,484.04M,,5.507M,,489.55M,219.86M,709.41M,,,,,,,,954.69M,250.00M,250.00M,24.00M,24.00M,502.69M,6.378M,112.18M,888.87M,1.844B,7.724M,3.806B,0.00,,,,-207.70M,3.606B
2014-07,530.98M,,530.98M,536.50M,543.13M,449.04M,,627.85M,,1.077B,13.14M,71.74M,9.164M,2.245B,0.0,61.56M,789.42M,1.564B,122.53M,2.538B,-1.560B,978.15M,962.58M,373.72M,1.336B,263.14M,22.81M,143.23M,2.943B,5.188B,358.02M,,4.464M,,362.48M,200.83M,563.31M,,,,,,,,785.10M,250.00M,250.00M,,,487.38M,8.277M,86.38M,823.75M,1.609B,7.735M,3.715B,0.00,,,,-151.77M,3.571B
2014-04,499.33M,,499.33M,515.16M,529.76M,466.18M,,587.32M,,1.054B,12.29M,71.75M,5.975M,2.173B,0.0,61.56M,786.82M,1.558B,120.43M,2.527B,-1.551B,976.25M,962.20M,376.06M,1.338B,267.71M,17.91M,142.73M,2.913B,5.086B,339.35M,,4.067M,,343.42M,205.86M,549.29M,,,,,,,,751.99M,250.00M,250.00M,,,485.47M,7.228M,85.21M,820.69M,1.573B,7.733M,3.640B,0.037M,,,,-142.32M,3.506B
2014-01,639.84M,,639.84M,505.02M,505.02M,424.80M,,499.70M,,924.50M,13.89M,73.54M,10.03M,2.167B,0.0,61.52M,783.10M,1.546B,104.61M,2.496B,-1.528B,967.52M,962.10M,378.36M,1.340B,258.13M,23.32M,144.41M,2.900B,5.067B,354.83M,,67.36M,,422.19M,219.24M,641.43M,,,,,,,,824.52M,250.00M,250.00M,,,483.45M,6.677M,84.76M,818.21M,1.643B,7.733M,3.553B,7.794M,,,,-150.99M,3.418B
2013-10,434.01M,,434.01M,551.50M,551.50M,423.12M,,544.86M,,967.98M,13.00M,73.54M,7.379M,2.047B,0.0,58.51M,784.13M,1.533B,85.70M,2.461B,-1.506B,955.33M,934.47M,378.09M,1.313B,270.61M,25.09M,142.34M,2.868B,4.916B,387.28M,,8.637M,,395.92M,157.81M,553.73M,,,,,,,,784.01M,250.00M,250.00M,0.00,0.00,481.23M,5.539M,84.06M,815.29M,1.599B,7.725M,3.453B,,,,,-149.21M,3.311B
2013-07,329.50M,0.00,329.50M,514.40M,517.27M,435.67M,,568.07M,,1.004B,14.87M,76.50M,9.723M,1.952B,0.0,58.59M,782.14M,1.520B,74.15M,2.435B,-1.486B,949.02M,934.47M,380.41M,1.315B,269.22M,137.54M,138.94M,2.810B,4.761B,369.89M,,6.128M,,376.02M,193.71M,569.72M,,,,,,,,789.48M,250.00M,250.00M,,,589.66M,8.349M,78.22M,917.88M,1.707B,7.737M,3.363B,,,,,-325.56M,3.046B
2013-04,262.75M,0.00,262.75M,462.24M,479.42M,438.09M,,560.84M,,998.93M,12.04M,71.28M,7.92M,1.832B,0.0,57.61M,780.88M,1.501B,83.33M,2.423B,-1.465B,957.76M,932.11M,382.82M,1.315B,284.04M,137.62M,140.90M,2.835B,4.668B,315.04M,,6.881M,,321.92M,188.01M,509.93M,,,,,,,,707.89M,250.00M,250.00M,,,612.45M,7.973M,79.46M,941.92M,1.650B,7.763M,3.301B,26.67M,,,,-325.17M,3.010B
2013-01,887.68M,0.00,887.68M,466.54M,466.54M,439.95M,,513.73M,,953.68M,13.28M,70.40M,8.272M,2.400B,0.0,56.51M,771.63M,1.453B,75.42M,2.356B,-1.440B,916.19M,630.88M,120.88M,751.76M,280.89M,141.23M,132.87M,2.223B,4.623B,324.37M,,35.08M,,359.45M,204.24M,563.69M,,,,,,,,737.39M,250.00M,250.00M,,,613.01M,6.814M,88.48M,951.49M,1.689B,7.755M,3.220B,23.49M,,,,-324.46M,2.927B
2012-10,682.39M,77.39M,759.78M,507.04M,523.50M,456.22M,,494.30M,,950.52M,12.77M,68.56M,5.555M,2.321B,0.0,56.26M,767.88M,1.436B,82.25M,2.342B,-1.418B,924.48M,630.88M,123.07M,753.95M,286.54M,144.24M,134.02M,2.243B,4.564B,385.88M,,4.864M,,390.74M,168.55M,559.29M,,,,,,,,786.30M,250.00M,250.00M,,,615.43M,5.47M,87.31M,952.74M,1.739B,7.707M,3.135B,,,,,-323.57M,2.819B
2012-07,533.22M,77.01M,610.23M,474.42M,493.22M,435.25M,,491.80M,,927.05M,12.86M,68.09M,5.806M,2.117B,0.0,56.27M,757.47M,1.415B,91.81M,2.320B,-1.405B,915.79M,630.88M,125.37M,756.24M,296.78M,55.30M,132.48M,2.265B,4.383B,289.21M,,5.845M,42.64M,337.70M,128.44M,466.14M,,,,,,,,676.71M,250.00M,250.00M,,,477.10M,7.312M,82.61M,809.71M,1.486B,7.713M,3.050B,,,,,-168.90M,2.889B
2012-04,524.78M,76.81M,601.59M,439.35M,456.00M,423.32M,,489.36M,,912.67M,11.99M,69.48M,8.345M,2.060B,0.0,56.24M,757.33M,1.406B,73.32M,2.293B,-1.384B,908.53M,630.88M,127.59M,758.47M,301.68M,67.03M,138.98M,2.255B,4.315B,318.43M,,6.776M,40.15M,365.36M,173.34M,538.70M,,,,,,,,699.97M,250.00M,250.00M,,,476.17M,5.286M,82.70M,808.87M,1.509B,7.713M,2.980B,,,,,-187.53M,2.801B
2012-01,548.62M,76.38M,625.00M,422.50M,422.50M,423.43M,,459.40M,,882.83M,12.95M,69.48M,8.96M,2.022B,0.0,56.23M,749.76M,1.401B,62.32M,2.270B,-1.361B,908.28M,630.88M,129.62M,760.50M,292.90M,66.08M,142.58M,2.249B,4.270B,308.72M,,40.88M,42.75M,392.35M,160.31M,552.66M,,,,,,,,724.59M,250.00M,250.00M,,,475.06M,4.208M,81.54M,806.60M,1.531B,7.731M,2.913B,,,,,-185.34M,2.735B
2011-10,463.13M,76.08M,539.21M,461.11M,485.53M,422.33M,,463.49M,,885.82M,10.05M,69.20M,8.417M,1.998B,0.0,56.27M,749.14M,1.393B,50.29M,2.249B,-1.342B,907.09M,630.88M,132.05M,762.93M,295.70M,59.81M,140.42M,2.246B,4.244B,390.17M,,8.137M,,398.31M,152.40M,550.71M,,,,,,,,778.19M,250.00M,250.00M,,,473.69M,3.234M,82.70M,806.39M,1.585B,7.734M,2.824B,,,,,-175.48M,2.657B
2011-07,497.36M,76.12M,573.49M,427.93M,444.76M,388.84M,,477.04M,,865.88M,11.86M,70.30M,10.84M,1.977B,0.0,55.68M,740.66M,1.377B,49.77M,2.223B,-1.327B,895.90M,630.71M,134.33M,765.04M,227.81M,49.05M,147.20M,2.172B,4.150B,301.58M,,9.034M,37.35M,347.96M,176.55M,524.51M,,,,,,,,700.96M,250.00M,250.00M,,,458.26M,6.975M,73.69M,781.95M,1.483B,7.803M,2.806B,,,,,-154.55M,2.660B
2011-04,913.70M,51.00M,964.71M,405.79M,409.98M,395.51M,,414.88M,,810.39M,12.76M,71.44M,17.94M,2.287B,0.0,55.65M,738.89M,1.373B,43.97M,2.212B,-1.306B,905.52M,630.71M,136.60M,767.31M,222.82M,53.53M,150.90M,2.164B,4.451B,277.12M,,8.587M,44.06M,329.76M,326.18M,655.94M,,,350.00M,350.00M,,,,1.006B,250.00M,250.00M,,,457.06M,5.433M,95.18M,802.23M,1.808B,7.835M,2.759B,19.96M,,,,-149.10M,2.638B
2011-01,598.81M,50.72M,649.53M,406.68M,406.68M,374.79M,,412.49M,,787.28M,13.61M,69.47M,22.66M,1.949B,0.0,55.62M,736.01M,1.363B,43.16M,2.198B,-1.282B,915.63M,630.71M,139.02M,769.73M,211.17M,57.05M,155.57M,2.174B,4.123B,267.81M,,61.96M,37.62M,367.39M,302.82M,670.20M,,,350.00M,350.00M,,,,1.020B,,,,,456.23M,4.271M,94.53M,550.76M,1.571B,7.821M,2.684B,18.00M,,,,-161.79M,2.548B
2010-10,467.84M,50.60M,518.44M,430.94M,439.46M,150.74M,211.74M,431.28M,,793.77M,12.15M,70.70M,23.64M,1.858B,0.0,54.02M,729.72M,1.358B,45.28M,2.187B,-1.265B,922.10M,629.02M,141.52M,770.54M,214.39M,72.43M,155.02M,2.196B,4.054B,361.29M,,9.339M,,370.63M,160.45M,531.08M,,,350.00M,350.00M,,,,1.101B,,,,,455.00M,5.982M,91.07M,546.07M,1.647B,7.793M,2.569B,,,,,-175.91M,2.401B
2010-07,376.92M,50.21M,427.13M,383.89M,390.31M,144.67M,205.14M,441.06M,,790.88M,13.34M,71.50M,17.42M,1.711B,0.0,53.07M,726.95M,1.344B,56.38M,2.181B,-1.252B,928.16M,628.82M,144.27M,773.09M,132.43M,105.29M,164.23M,2.134B,3.845B,297.11M,,9.374M,,306.48M,162.65M,469.13M,,,350.00M,350.00M,,,,1.016B,,,,,433.65M,4.464M,87.54M,521.19M,1.537B,7.798M,2.484B,,,,,-188.18M,2.303B
2010-04,355.18M,50.02M,405.20M,356.52M,363.74M,142.58M,196.13M,428.48M,,767.19M,11.91M,69.18M,19.17M,1.636B,0.0,53.06M,730.23M,1.319B,62.35M,2.164B,-1.230B,934.36M,628.76M,146.84M,775.61M,130.87M,110.86M,165.57M,2.148B,3.784B,281.05M,,8.153M,,289.21M,163.44M,452.65M,,,,,,,,651.03M,350.00M,350.00M,,,430.00M,3.448M,87.25M,867.25M,1.518B,7.825M,2.447B,,,,,-192.67M,2.262B
2010-01,449.09M,,449.09M,348.70M,348.70M,142.07M,195.48M,391.67M,,729.23M,11.26M,62.83M,19.48M,1.621B,0.0,52.95M,723.86M,1.319B,53.39M,2.149B,-1.207B,941.90M,620.16M,121.76M,741.92M,110.16M,119.21M,166.30M,2.110B,3.731B,289.04M,,23.92M,,312.97M,166.25M,479.21M,,,,,,,,655.45M,350.00M,350.00M,,,429.99M,2.769M,82.53M,862.52M,1.518B,7.823M,2.400B,,,,,-197.68M,2.210B
2009-10,385.25M,0.00,385.25M,372.29M,372.29M,134.13M,185.39M,402.86M,,722.37M,9.13M,66.44M,19.25M,1.575B,0.0,52.95M,723.55M,1.318B,41.72M,2.136B,-1.183B,952.71M,620.16M,140.85M,761.01M,86.60M,122.01M,165.33M,2.117B,3.692B,313.26M,,15.13M,,328.38M,145.69M,474.08M,,,,,,,,685.03M,350.00M,350.00M,,,429.80M,1.713M,102.90M,882.70M,1.568B,7.828M,2.318B,,,,,-203.61M,2.123B
2009-07,295.10M,,295.10M,355.41M,362.42M,135.97M,200.13M,408.57M,,744.67M,30.92M,47.34M,,1.480B,0.0,52.91M,708.69M,1.318B,45.95M,2.126B,-1.167B,958.70M,619.77M,143.48M,763.25M,87.02M,82.65M,169.05M,2.196B,3.677B,297.33M,25.60M,5.575M,,328.51M,158.49M,487.00M,60.00M,,60.00M,60.00M,,,,679.84M,350.00M,350.00M,,,388.74M,,91.75M,830.49M,1.510B,7.865M,2.258B,3.291M,,,,-103.12M,2.166B
2009-04,312.33M,,312.33M,344.92M,344.92M,342.17M,,406.01M,,748.18M,33.30M,47.56M,,1.486B,0.0,52.94M,672.59M,1.312B,68.69M,2.106B,-1.142B,963.98M,619.70M,146.05M,765.75M,80.59M,89.79M,165.58M,2.147B,3.634B,276.74M,25.58M,14.03M,,316.35M,195.21M,511.57M,100.00M,,100.00M,100.00M,,,84.09M,695.66M,350.00M,350.00M,,,395.20M,,87.39M,832.59M,1.528B,7.869M,2.207B,3.856M,,,,-112.93M,2.106B
2009-01,264.74M,2.371M,267.11M,370.13M,370.13M,139.45M,200.68M,401.82M,,741.94M,40.43M,47.35M,,1.467B,0.0,52.94M,668.52M,1.303B,63.98M,2.089B,-1.116B,972.94M,619.40M,148.63M,768.04M,90.10M,90.45M,159.70M,2.164B,3.631B,310.24M,24.96M,47.67M,,382.87M,172.00M,554.88M,100.00M,,100.00M,100.00M,,,,752.51M,350.00M,350.00M,,,394.62M,,86.37M,830.99M,1.583B,7.866M,2.152B,,,,,-112.79M,2.048B
2008-10,154.78M,,154.78M,411.01M,411.01M,138.09M,215.35M,431.10M,,784.54M,11.45M,45.95M,30.45M,1.438B,0.0,52.94M,662.52M,1.275B,78.08M,2.069B,-1.091B,977.66M,619.32M,151.22M,770.54M,93.62M,89.25M,155.45M,2.178B,3.616B,378.52M,,9.577M,,388.10M,112.70M,500.79M,100.00M,,100.00M,100.00M,,,,781.23M,350.00M,350.00M,,,386.59M,,91.08M,827.67M,1.609B,7.883M,2.113B,,,,,-113.18M,2.008B
