,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2008-09,768.00M,14.00M,,,-200.00M,6.00M,-241.00M,164.00M,2.00M,166.00M,166.00M,-59.00M,,26.00M,26.00M,96.00M,-56.00M,,-17.00M,-19.00M,,99.00M,103.00M,,763.00M,-291.00M,15.00M,15.00M,-15.00M,646.00M,,355.00M,0.00,-8.00M,-8.00M,4.00M,-500.00M,-496.00M,,,,-77.00M,5.00M,,-576.00M,2.175B,542.00M,-121.00M,2.596B,4.00M,0.00,-8.00M,-500.00M
2008-06,3.211B,,,,-239.00M,11.00M,-293.00M,162.00M,3.00M,165.00M,165.00M,-2.471B,,37.00M,37.00M,4.00M,-41.00M,,135.00M,-31.00M,,-26.00M,41.00M,,690.00M,-397.00M,2.00M,2.00M,,-146.00M,,-541.00M,0.00,-3.00M,-3.00M,11.00M,-63.00M,-52.00M,,,,-80.00M,56.00M,2.00M,-77.00M,2.124B,72.00M,-21.00M,2.175B,11.00M,0.00,-3.00M,-63.00M
2008-03,1.029B,,,,-161.00M,-48.00M,-610.00M,157.00M,2.00M,159.00M,159.00M,-2.00M,,41.00M,41.00M,-50.00M,-32.00M,,-224.00M,-21.00M,,5.00M,-322.00M,,295.00M,-467.00M,0.00,0.00,,92.00M,,-375.00M,0.00,-9.00M,-9.00M,4.00M,-62.00M,-58.00M,,,,-78.00M,18.00M,-2.00M,-129.00M,2.216B,-209.00M,117.00M,2.124B,4.00M,,-9.00M,-62.00M
2007-12,717.00M,,,,,,-111.00M,151.00M,3.00M,154.00M,154.00M,-116.00M,,,-230.00M,29.00M,42.00M,,110.00M,-6.00M,,5.00M,180.00M,,732.00M,-386.00M,,876.00M,0.00,151.00M,,-235.00M,,,-2.00M,-85.00M,-125.00M,-210.00M,,,,-79.00M,,-1.00M,-183.00M,1.878B,314.00M,24.00M,2.216B,-85.00M,,,-125.00M
2007-09,617.00M,,,,,,-442.00M,147.00M,2.00M,149.00M,149.00M,18.00M,,,298.00M,-50.00M,31.00M,,11.00M,63.00M,,-18.00M,37.00M,,677.00M,-405.00M,,-405.00M,0.00,-122.00M,,-527.00M,,,-8.00M,24.00M,-125.00M,-101.00M,,,,-79.00M,,-2.00M,-190.00M,1.874B,-40.00M,44.00M,1.878B,24.00M,,,-125.00M
2007-06,489.00M,,,,,,98.00M,149.00M,2.00M,151.00M,151.00M,,,,-151.00M,-79.00M,-26.00M,,10.00M,-27.00M,,10.00M,-112.00M,,475.00M,-214.00M,,-214.00M,-4.00M,436.00M,,218.00M,,,-2.00M,56.00M,,56.00M,,,,,,,54.00M,1.123B,747.00M,4.00M,1.874B,56.00M,,,
2007-03,327.00M,,,,,,-96.00M,150.00M,3.00M,153.00M,153.00M,,,,54.00M,-28.00M,-42.00M,,-121.00M,-57.00M,,3.00M,-245.00M,,193.00M,-262.00M,,-262.00M,,245.00M,,-17.00M,,,-246.00M,26.00M,,26.00M,,,,,,,-220.00M,1.157B,-44.00M,10.00M,1.123B,26.00M,,,
2006-12,646.00M,,,,,,-567.00M,150.00M,3.00M,153.00M,153.00M,-37.00M,,,242.00M,14.00M,39.00M,10.00M,125.00M,-10.00M,,13.00M,191.00M,,628.00M,-290.00M,1.00M,-289.00M,0.00,-178.00M,,-467.00M,,,-25.00M,29.00M,,29.00M,,,,,,-1.00M,3.00M,979.00M,164.00M,14.00M,1.157B,29.00M,,,
2006-09,438.00M,,,,,,2.00M,140.00M,2.00M,142.00M,142.00M,3.00M,,,-79.00M,-122.00M,-11.00M,-10.00M,14.00M,5.00M,,31.00M,-93.00M,,413.00M,-338.00M,3.00M,-335.00M,0.00,-455.00M,,-790.00M,,,230.00M,34.00M,,34.00M,,,,,,-4.00M,260.00M,1.098B,-117.00M,-2.00M,979.00M,34.00M,,,
2006-06,514.00M,,,,,,-158.00M,149.00M,3.00M,152.00M,152.00M,-5.00M,,,54.00M,68.00M,-47.00M,,0.00,3.00M,,,24.00M,,581.00M,-274.00M,8.00M,-266.00M,-16.00M,-162.00M,,-444.00M,,,-337.00M,41.00M,,41.00M,,,,,,-6.00M,-302.00M,1.262B,-165.00M,1.00M,1.098B,41.00M,,,
2006-03,257.00M,,,,,,156.00M,141.00M,3.00M,144.00M,144.00M,-62.00M,,,,-65.00M,-46.00M,,-195.00M,-8.00M,,,-314.00M,,181.00M,-280.00M,,-280.00M,,-200.00M,,-480.00M,,,-4.00M,225.00M,,225.00M,,,,,,-2.00M,219.00M,1.342B,-80.00M,,1.262B,225.00M,,,
2005-12,-32.00M,,,,,,-368.00M,126.00M,2.00M,128.00M,128.00M,436.00M,,,200.00M,1.00M,-16.00M,,204.00M,20.00M,,,295.00M,,659.00M,-477.00M,1.00M,-476.00M,,-69.00M,29.00M,-516.00M,,,-253.00M,69.00M,,69.00M,,,,3.00M,,-5.00M,-186.00M,1.395B,-43.00M,-10.00M,1.342B,69.00M,,,
2005-09,203.00M,,,,,,213.00M,127.00M,3.00M,130.00M,130.00M,-18.00M,,,-1.00M,11.00M,-7.00M,,38.00M,26.00M,,,68.00M,,595.00M,-378.00M,0.00,-378.00M,,-206.00M,0.00,-584.00M,,,-3.00M,95.00M,,95.00M,,,,-3.00M,,-3.00M,86.00M,1.301B,97.00M,-3.00M,1.395B,95.00M,,,
2005-06,164.00M,,,,,,233.00M,126.00M,3.00M,129.00M,129.00M,4.00M,,,50.00M,-35.00M,0.00,,22.00M,-24.00M,,,-37.00M,,543.00M,-375.00M,17.00M,-358.00M,,-113.00M,8.00M,-463.00M,,,-4.00M,382.00M,,382.00M,,,,5.00M,,-6.00M,377.00M,847.00M,457.00M,-3.00M,1.301B,382.00M,,,
2005-03,250.00M,,,,,,14.00M,120.00M,5.00M,125.00M,125.00M,3.00M,,,10.00M,-54.00M,-39.00M,,-151.00M,-16.00M,,,-260.00M,,142.00M,-323.00M,,-323.00M,,172.00M,2.00M,-149.00M,,,-146.00M,21.00M,,21.00M,,,,-5.00M,,,-130.00M,1.009B,-137.00M,-25.00M,847.00M,21.00M,,,
2004-12,97.00M,,,,,,-1.815B,126.00M,10.00M,136.00M,136.00M,61.00M,,,1.815B,-11.00M,-16.00M,,114.00M,18.00M,,,92.00M,,366.00M,-301.00M,-97.00M,-398.00M,,-143.00M,12.00M,-429.00M,,,-4.00M,24.00M,,24.00M,,,,6.00M,,,27.00M,1.147B,-36.00M,43.00M,1.009B,24.00M,,,
2004-09,-2.491B,,,,,,1.683B,119.00M,9.00M,128.00M,128.00M,974.00M,,,44.00M,14.00M,-19.00M,,35.00M,-32.00M,,,-2.00M,,336.00M,-254.00M,111.00M,-143.00M,,204.00M,-5.00M,56.00M,,,-60.00M,16.00M,,16.00M,,,,-1.00M,,,-45.00M,654.00M,347.00M,1.00M,1.147B,16.00M,,,
2004-06,108.00M,,,,,,-38.00M,120.00M,9.00M,129.00M,129.00M,5.00M,,,21.00M,-26.00M,-1.00M,,60.00M,4.00M,,,37.00M,,262.00M,-168.00M,35.00M,-133.00M,,-234.00M,-6.00M,-373.00M,,,-16.00M,28.00M,,28.00M,,,,-3.00M,,,9.00M,760.00M,-102.00M,-4.00M,654.00M,28.00M,,,
2004-03,55.00M,,,,,,13.00M,120.00M,10.00M,130.00M,130.00M,-40.00M,,,-1.00M,-17.00M,-32.00M,,-66.00M,3.00M,,,-112.00M,,45.00M,-134.00M,,-134.00M,,-123.00M,11.00M,-246.00M,,,253.00M,23.00M,,23.00M,,,,-2.00M,,,274.00M,688.00M,73.00M,-1.00M,760.00M,23.00M,,,
2003-12,-29.00M,,,,,,-47.00M,117.00M,9.00M,126.00M,126.00M,-4.00M,,,-33.00M,-5.00M,35.00M,,9.00M,15.00M,,,54.00M,,67.00M,-162.00M,7.00M,-155.00M,,378.00M,-1.00M,216.00M,,,-95.00M,16.00M,,16.00M,,,,-4.00M,,,-84.00M,809.00M,199.00M,30.00M,688.00M,16.00M,,,
2003-09,33.00M,,,,,,-154.00M,113.00M,10.00M,123.00M,123.00M,-25.00M,,,31.00M,-12.00M,39.00M,4.00M,-55.00M,34.00M,,,10.00M,,18.00M,-94.00M,-4.00M,-98.00M,,169.00M,0.00,71.00M,,,-383.00M,370.00M,,370.00M,,,,-9.00M,,,-22.00M,747.00M,67.00M,-5.00M,809.00M,370.00M,,,
2003-06,-22.00M,,,,,,-44.00M,132.00M,9.00M,141.00M,141.00M,-56.00M,,,18.00M,30.00M,27.00M,-4.00M,-55.00M,-10.00M,,,-12.00M,,25.00M,-55.00M,30.00M,-25.00M,,-44.00M,1.00M,-72.00M,,,-626.00M,278.00M,,278.00M,,,,-3.00M,,,-351.00M,1.127B,-398.00M,18.00M,747.00M,278.00M,,,
2003-03,-205.00M,,,,,,410.00M,118.00M,9.00M,127.00M,127.00M,-178.00M,,,-17.00M,-13.00M,7.00M,,-118.00M,10.00M,,,-114.00M,,23.00M,-55.00M,22.00M,-33.00M,,-59.00M,,-88.00M,,,-251.00M,3.00M,,3.00M,,,,-3.00M,,,-251.00M,1.426B,-316.00M,17.00M,1.127B,3.00M,,,
2002-12,-1.139B,,,,,,1.19B,147.00M,10.00M,157.00M,157.00M,-287.00M,,,-50.00M,56.00M,47.00M,,101.00M,-246.00M,,,-42.00M,,-111.00M,-78.00M,817.00M,739.00M,-27.00M,-392.00M,119.00M,439.00M,,,-123.00M,4.00M,-8.00M,-4.00M,,,,-21.00M,,8.00M,-140.00M,983.00M,188.00M,20.00M,1.076B,4.00M,,,-8.00M
2002-09,-181.00M,,,,,,-51.00M,142.00M,11.00M,153.00M,153.00M,-38.00M,,,102.00M,97.00M,88.00M,,-259.00M,-117.00M,,201.00M,10.00M,,-5.00M,-66.00M,26.00M,-40.00M,-29.00M,-177.00M,-117.00M,-363.00M,,,-63.00M,572.00M,-23.00M,549.00M,,,,-67.00M,,-8.00M,411.00M,940.00M,43.00M,0.00,983.00M,572.00M,,,-23.00M
2002-06,-370.00M,,,,,,379.00M,166.00M,11.00M,177.00M,177.00M,-37.00M,,,-70.00M,,,,,,,-56.00M,-56.00M,,23.00M,-111.00M,31.00M,-80.00M,,475.00M,-2.00M,394.00M,,,-482.00M,18.00M,,18.00M,,,,,,,-464.00M,958.00M,-47.00M,29.00M,940.00M,18.00M,,,
2002-03,-90.00M,,,,,,-30.00M,163.00M,11.00M,174.00M,174.00M,-70.00M,,,-10.00M,,,,,,,-145.00M,-145.00M,,-171.00M,-102.00M,5.00M,-97.00M,,317.00M,,219.00M,,,-136.00M,15.00M,,15.00M,,,,,,,-121.00M,1.037B,-73.00M,-6.00M,958.00M,15.00M,,,
2001-12,-689.00M,,,,,,678.00M,145.00M,75.00M,220.00M,220.00M,-346.00M,,,57.00M,666.00M,-47.00M,,-471.00M,92.00M,,-2.00M,238.00M,4.00M,162.00M,-209.00M,18.00M,-191.00M,0.00,-487.00M,4.00M,-674.00M,,,699.00M,1.00M,-17.00M,-16.00M,,,,-1.00M,,,682.00M,1.595B,170.00M,-13.00M,1.037B,1.00M,,,-17.00M
2001-09,-220.00M,,,,,,5.377B,476.00M,364.00M,840.00M,840.00M,-182.00M,,,-5.283B,,,,,,,2.00M,2.00M,0.00,534.00M,-377.00M,22.00M,-355.00M,0.00,-21.00M,,-376.00M,,,-125.00M,227.00M,-6.00M,221.00M,,,,0.00,,,96.00M,614.00M,254.00M,12.00M,1.595B,227.00M,,,-6.00M
2001-06,-4.755B,,,,,,11.00M,,,-311.00M,-311.00M,11.00M,,,5.287B,-117.00M,178.00M,,263.00M,-53.00M,,,271.00M,0.00,514.00M,-579.00M,21.00M,-558.00M,0.00,-72.00M,47.00M,-583.00M,,,297.00M,12.00M,0.00,12.00M,,,,-56.00M,,,253.00M,1.149B,184.00M,-4.00M,614.00M,12.00M,,,0.00
2001-03,132.00M,,,,,,-11.00M,,,311.00M,311.00M,-11.00M,,,26.00M,117.00M,-178.00M,,-263.00M,53.00M,,,-271.00M,-9.00M,167.00M,-576.00M,6.00M,-570.00M,-66.00M,,-47.00M,-683.00M,,,-59.00M,7.00M,-19.00M,-12.00M,,,,-56.00M,,,-127.00M,1.794B,-643.00M,-2.00M,1.149B,7.00M,,,-19.00M
2000-12,-117.00M,,,,,,316.00M,,,226.00M,226.00M,52.00M,,,63.00M,-33.00M,-79.00M,,227.00M,-158.00M,,,-43.00M,7.00M,504.00M,-509.00M,23.00M,-486.00M,-3.792B,-803.00M,50.00M,-5.031B,,,2.021B,2.40B,-2.00M,2.398B,,,,-55.00M,,,4.364B,1.238B,-163.00M,5.00M,1.079B,2.40B,,,-2.00M
2000-09,254.00M,,,,,,319.00M,,,521.00M,521.00M,-99.00M,,,-279.00M,-199.00M,-199.00M,,87.00M,-34.00M,,,-345.00M,0.00,371.00M,-413.00M,57.00M,-356.00M,-16.00M,33.00M,-116.00M,-455.00M,,,-13.00M,23.00M,-8.00M,15.00M,,,,-54.00M,,,-52.00M,1.379B,-136.00M,-6.00M,1.238B,23.00M,,,-8.00M
2000-06,149.00M,,,,,,-134.00M,,,-125.00M,-125.00M,24.00M,,,269.00M,56.00M,82.00M,,214.00M,22.00M,,,374.00M,-1.00M,556.00M,-350.00M,-36.00M,-386.00M,-101.00M,,49.00M,-438.00M,,,-47.00M,54.00M,-5.00M,49.00M,,,,-52.00M,,,-50.00M,1.313B,68.00M,-2.00M,1.379B,54.00M,,,-5.00M
2000-03,77.00M,,,,,,134.00M,,,125.00M,125.00M,-24.00M,,,10.00M,-56.00M,-82.00M,,-214.00M,-22.00M,,,-374.00M,-1.00M,-53.00M,-213.00M,36.00M,-177.00M,-1.144B,,22.00M,-1.299B,,,212.00M,2.267B,-42.00M,2.225B,,,,-50.00M,,,2.387B,280.00M,1.035B,-2.00M,1.313B,2.267B,,,-42.00M
1999-12,145.60M,,,,,,21.60M,,,101.90M,101.90M,19.80M,,,,-48.30M,19.90M,,86.20M,-6.60M,,,51.20M,-2.70M,363.40M,-261.50M,14.80M,-246.70M,-16.70M,-0.60M,-17.40M,-281.40M,,,116.40M,28.50M,-10.50M,18.00M,,,,-44.50M,,,89.90M,109.70M,171.90M,-1.40M,280.00M,28.50M,,,-10.50M
1999-09,141.90M,,,,,,18.90M,,,98.40M,98.40M,5.90M,,,,-4.70M,-2.90M,,92.30M,18.60M,,,103.30M,-5.30M,363.10M,-202.50M,41.60M,-160.90M,-38.70M,-12.70M,-1.90M,-214.20M,,,-31.80M,-2.60M,-46.00M,-48.60M,,,,-44.30M,,,-124.70M,83.80M,24.20M,1.70M,109.70M,-2.60M,,,-46.00M
1999-06,131.00M,,,,,,-4.30M,,,102.10M,102.10M,9.90M,,,,-120.50M,-43.90M,,3.30M,-7.90M,,,-169.00M,-3.60M,66.10M,-143.00M,10.80M,-132.20M,-125.90M,-24.70M,6.60M,-276.20M,,,165.80M,47.40M,-41.90M,5.50M,,,,-44.30M,,,127.00M,168.20M,-83.10M,-1.30M,83.80M,47.40M,,,-41.90M
1999-03,92.50M,,,,,,-9.20M,,,101.60M,101.60M,7.40M,,,,23.50M,-54.10M,,-85.80M,-13.10M,,,-129.50M,-1.40M,61.40M,-150.00M,0.80M,-149.20M,-6.70M,,-5.30M,-161.20M,,,231.60M,39.70M,-15.60M,24.10M,,,,-43.90M,,,211.80M,59.20M,112.00M,-3.00M,168.20M,39.70M,,,-15.60M
1998-12,131.60M,,,,,,7.50M,,,64.90M,64.90M,22.70M,,,,-17.60M,-0.50M,,88.00M,-18.80M,,,51.10M,142.30M,420.10M,-201.80M,-552.40M,-754.20M,,,579.30M,-259.90M,,,32.40M,12.60M,-23.60M,-11.00M,,,,-42.00M,,,-30.70M,0.00,129.50M,-171.90M,59.20M,12.60M,,,-23.60M
1998-09,104.40M,,,,,,32.70M,,,75.80M,75.80M,-17.00M,,,,-55.80M,19.60M,,67.10M,-6.30M,,,24.60M,-104.60M,115.90M,-169.20M,593.30M,424.10M,,,-593.90M,-169.80M,,,18.70M,1.10M,-26.30M,-25.20M,,,,-42.30M,,,-48.80M,0.00,-102.70M,4.40M,0.00,1.10M,,,-26.30M
1998-06,123.80M,,,,,,-4.10M,,,78.30M,78.30M,-1.40M,,,,-33.70M,-23.50M,,30.60M,22.20M,,,-4.40M,-25.50M,166.70M,-226.50M,2.50M,-224.00M,,,586.60M,362.60M,,,-369.90M,8.70M,-14.90M,-6.20M,,,,-41.90M,,,-418.00M,0.00,111.30M,0.50M,0.00,8.70M,,,-14.90M
