,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2018-03,101.74M,,101.74M,2.089B,498.19M,2.587B,94.55M,173.91M,,,2.957B,,,,,2.313B,,2.313B,-1.012B,1.302B,1.903B,270.83M,2.174B,221.09M,3.696B,6.653B,1.041B,,1.041B,,1.041B,,,2.775M,,2.775M,506.20M,506.20M,,,1.550B,882.80M,,882.80M,196.89M,196.89M,3.613M,,377.11M,1.457B,3.006B,0.002M,2.227B,1.921B,276.05M,,-228.41M,3.643B
2017-12,138.28M,,138.28M,1.985B,497.29M,2.482B,80.89M,168.36M,,,2.870B,0.00,48.83M,155.63M,2.005B,,60.59M,2.270B,-981.28M,1.289B,1.869B,263.18M,2.132B,189.87M,3.610B,6.480B,632.93M,19.64M,652.57M,163.73M,816.30M,,,1.22M,,1.22M,449.35M,449.35M,,,1.492B,670.72M,,670.72M,179.38M,179.38M,4.058M,,342.36M,1.192B,2.685B,0.002M,2.191B,1.889B,85.45M,,-203.40M,3.792B
2017-09,91.53M,,91.53M,1.980B,642.78M,2.623B,86.39M,147.30M,,,2.948B,,,,,2.223B,,2.223B,-966.39M,1.256B,1.937B,275.02M,2.212B,223.49M,3.692B,6.640B,1.215B,,1.215B,,1.215B,,,2.804M,,2.804M,374.94M,374.94M,,,1.592B,760.21M,,760.21M,211.98M,211.98M,2.701M,,345.33M,1.318B,2.910B,0.002M,2.077B,1.878B,35.82M,,-192.19M,3.728B
2017-06,99.56M,,99.56M,1.614B,630.88M,2.245B,94.15M,178.49M,,,2.617B,,,,,2.120B,,2.120B,-929.32M,1.190B,1.616B,184.38M,1.801B,145.12M,3.136B,5.753B,969.65M,,969.65M,,969.65M,,,1.375M,,1.375M,314.99M,314.99M,,,1.286B,483.64M,,483.64M,206.87M,206.87M,2.608M,,267.49M,958.00M,2.244B,0.001M,1.988B,1.785B,35.49M,,-231.17M,3.507B
2017-03,106.51M,,106.51M,1.589B,556.53M,2.146B,89.97M,132.64M,,,2.475B,,,,,2.056B,,2.056B,-894.09M,1.162B,1.608B,181.93M,1.790B,116.22M,3.068B,5.543B,995.91M,,995.91M,,995.91M,,,3.99M,,3.99M,264.83M,264.83M,,,1.265B,419.31M,,419.31M,197.71M,197.71M,2.468M,,262.48M,879.50M,2.144B,0.001M,1.924B,1.764B,34.53M,,-257.85M,3.396B
2016-12,112.18M,,112.18M,1.500B,473.31M,1.973B,88.55M,114.59M,,,2.289B,0.00,45.92M,137.52M,1.780B,,73.46M,2.037B,-862.82M,1.174B,1.603B,187.02M,1.790B,101.03M,3.065B,5.354B,529.61M,40.76M,570.37M,142.88M,713.25M,,,7.563M,,7.563M,290.36M,290.36M,,,1.205B,353.56M,,353.56M,192.83M,192.83M,3.275M,,259.73M,806.13M,2.011B,0.001M,1.876B,1.749B,14.29M,,-271.67M,3.339B
2016-09,117.37M,,117.37M,1.565B,497.85M,2.063B,89.11M,135.95M,,,2.405B,,,,,2.018B,,2.018B,-852.07M,1.166B,1.612B,197.56M,1.810B,95.64M,3.071B,5.476B,928.49M,,928.49M,,928.49M,,,5.061M,,5.061M,310.99M,310.99M,,1.367M,1.246B,482.40M,,482.40M,184.34M,184.34M,2.649M,,287.24M,953.98M,2.200B,0.002M,1.788B,3.689B,1.961B,,-242.82M,3.274B
2016-06,162.34M,,162.34M,1.385B,466.48M,1.851B,74.98M,156.04M,,,2.244B,,,,,1.985B,,1.985B,-824.11M,1.161B,1.596B,203.26M,1.799B,93.03M,3.053B,5.297B,811.52M,,811.52M,,811.52M,,,5.603M,,5.603M,388.31M,388.31M,,2.651M,1.208B,401.12M,,401.12M,200.68M,200.68M,2.851M,,284.04M,885.84M,2.094B,0.002M,1.715B,3.677B,1.960B,,-231.02M,3.200B
2016-03,155.32M,,155.32M,1.493B,383.22M,1.876B,72.64M,143.94M,,,2.248B,,,,,1.945B,,1.945B,-791.11M,1.154B,1.595B,211.30M,1.807B,86.56M,3.047B,5.296B,791.21M,,791.21M,,791.21M,,,4.154M,,4.154M,437.46M,437.46M,,3.088M,1.236B,404.06M,,404.06M,205.94M,205.94M,2.684M,,276.38M,886.38M,2.122B,0.002M,1.698B,3.516B,1.810B,,-234.10M,3.171B
2015-12,128.77M,,128.77M,1.621B,317.74M,1.939B,75.28M,134.58M,,,2.278B,0.00,41.43M,116.70M,1.655B,,43.81M,1.857B,-755.27M,1.102B,1.553B,205.07M,1.758B,76.33M,2.936B,5.214B,452.30M,3.923M,456.22M,158.86M,615.08M,,,7.067M,,7.067M,407.24M,407.24M,,15.31M,1.204B,475.36M,,475.36M,186.49M,186.49M,2.321M,,260.13M,921.98M,2.126B,0.002M,1.678B,3.498B,1.795B,,-294.69M,3.085B
2015-09,49.19M,,49.19M,1.700B,352.02M,2.052B,64.69M,196.44M,,,2.363B,,,,,1.859B,,1.859B,-733.23M,1.126B,1.597B,225.41M,1.822B,62.92M,3.011B,5.373B,938.54M,,938.54M,,938.54M,,,2.35M,,2.35M,252.50M,252.50M,,147.15M,1.341B,348.21M,,348.21M,226.08M,226.08M,14.54M,,254.68M,828.97M,2.170B,0.002M,1.683B,3.490B,1.718B,,-264.84M,3.189B
2015-06,65.43M,,65.43M,1.627B,347.51M,1.974B,55.82M,210.91M,,,2.316B,,,,,1.837B,,1.837B,-707.89M,1.130B,1.599B,234.30M,1.833B,852.39M,3.815B,6.131B,875.15M,,875.15M,,875.15M,,,2.638M,,2.638M,233.72M,233.72M,,67.64M,1.179B,214.26M,,214.26M,229.42M,229.42M,13.47M,,249.91M,741.64M,1.921B,0.002M,1.466B,3.620B,692.72M,,-197.34M,4.196B
2015-03,135.53M,,135.53M,1.643B,341.19M,1.984B,45.82M,222.42M,,,2.388B,,,,,2.251B,,2.251B,-770.80M,1.480B,1.922B,252.06M,2.175B,98.56M,3.753B,6.141B,874.63M,,874.63M,,874.63M,,,9.44M,,9.44M,240.24M,240.24M,,,1.124B,115.00M,,115.00M,299.81M,299.81M,13.26M,,290.96M,705.77M,1.830B,0.002M,1.420B,3.610B,520.12M,,-212.24M,4.297B
2014-12,190.52M,,190.52M,1.801B,290.45M,2.092B,38.92M,161.02M,,,2.496B,0.00,40.66M,93.04M,1.579B,,38.50M,1.751B,-651.56M,1.100B,1.597B,243.58M,1.840B,818.03M,3.758B,6.254B,477.37M,20.95M,498.32M,149.06M,647.37M,,,8.876M,,8.876M,264.20M,264.20M,,21.09M,1.106B,72.49M,,72.49M,215.98M,215.98M,11.07M,,227.73M,621.73M,1.728B,0.002M,1.367B,3.593B,321.94M,,-123.29M,4.514B
2014-09,144.16M,,144.16M,1.873B,316.78M,2.190B,39.41M,162.88M,,,2.536B,,,,,2.105B,,2.105B,-716.89M,1.388B,1.880B,229.46M,2.110B,195.14M,3.693B,6.229B,884.17M,,884.17M,,884.17M,,,1.686M,,1.686M,242.27M,242.27M,,,1.128B,83.19M,,83.19M,251.15M,251.15M,17.59M,,278.19M,612.53M,1.741B,0.002M,1.300B,3.518B,273.00M,,-73.94M,4.471B
2014-06,188.95M,,188.95M,1.590B,238.44M,1.828B,40.77M,184.84M,,,2.243B,,,,,2.001B,,2.001B,-688.75M,1.312B,1.843B,214.04M,2.057B,297.24M,3.666B,5.909B,734.60M,,734.60M,,734.60M,,,1.67M,,1.67M,230.93M,230.93M,,,967.20M,4.147M,,4.147M,253.39M,253.39M,15.23M,,283.24M,540.78M,1.508B,0.002M,1.206B,3.477B,272.91M,,-23.88M,4.386B
2014-03,273.34M,,273.34M,1.502B,274.97M,1.777B,35.60M,128.69M,,,2.214B,,,,,1.927B,,1.927B,-657.33M,1.270B,1.832B,219.57M,2.052B,290.89M,3.612B,5.827B,772.18M,,772.18M,,772.18M,,,1.65M,,1.65M,208.64M,208.64M,,,982.48M,4.556M,,4.556M,249.72M,249.72M,10.87M,,273.20M,527.47M,1.510B,0.002M,1.124B,3.463B,226.64M,,-55.22M,4.306B
2013-12,488.78M,,488.78M,1.439B,213.48M,1.653B,31.88M,140.07M,,,2.313B,377.55M,30.74M,77.94M,1.307B,,44.03M,1.838B,-631.94M,1.206B,1.781B,207.88M,1.989B,285.72M,3.480B,5.793B,412.60M,74.50M,487.10M,112.89M,599.99M,,,1.181M,,1.181M,261.87M,278.29M,16.42M,,1.042B,1.053M,,1.053M,244.26M,244.26M,7.131M,,264.15M,509.46M,1.552B,0.002M,1.070B,3.417B,215.24M,,-37.24M,4.234B
2013-09,309.15M,,309.15M,1.435B,232.29M,1.667B,35.59M,125.65M,,,2.137B,,,,,1.781B,,1.781B,-627.84M,1.154B,1.650B,190.75M,1.841B,363.19M,3.358B,5.495B,757.27M,,757.27M,,757.27M,,,2.639M,,2.639M,204.88M,204.88M,,,964.79M,,,,240.39M,240.39M,8.321M,,265.53M,505.93M,1.471B,0.002M,903.38M,3.339B,215.11M,,-11.32M,4.016B
2013-06,363.11M,,363.11M,1.283B,405.03M,1.688B,40.85M,84.88M,,,2.177B,,,,,1.693B,,1.693B,-590.26M,1.103B,1.530B,171.87M,1.702B,205.88M,3.011B,5.188B,612.00M,,612.00M,,612.00M,,,,,,188.42M,188.42M,,,800.42M,,,,233.47M,233.47M,5.321M,,266.21M,499.68M,1.300B,0.002M,810.47M,3.312B,215.04M,,-24.44M,3.883B
2013-03,366.62M,,366.62M,1.284B,407.08M,1.691B,37.67M,90.56M,,,2.186B,,,,,1.642B,,1.642B,-569.82M,1.072B,1.536B,178.52M,1.714B,182.87M,2.969B,5.155B,666.65M,,666.65M,,666.65M,,,,,,163.24M,163.24M,,,829.89M,,,,227.69M,227.69M,4.69M,,266.42M,494.11M,1.324B,0.002M,740.24M,3.298B,212.84M,,0.71M,3.826B
2012-12,394.70M,,394.70M,1.328B,342.78M,1.671B,38.26M,97.91M,,,2.202B,350.52M,16.10M,59.82M,1.141B,,33.55M,1.601B,-555.03M,1.046B,1.538B,183.84M,1.721B,171.57M,2.939B,5.141B,373.95M,85.66M,459.61M,113.49M,573.10M,,,0.009M,,0.009M,196.38M,196.38M,,,881.18M,,,,225.05M,225.05M,5.368M,,262.61M,487.66M,1.369B,0.002M,668.16M,3.287B,203.15M,,14.45M,3.767B
2012-09,128.21M,,128.21M,1.441B,378.96M,1.820B,55.92M,132.32M,,,2.136B,,,,,,,1.640B,-582.96M,1.057B,1.671B,199.08M,1.870B,191.90M,3.119B,5.255B,,,,,771.51M,0.019M,,0.019M,,0.019M,,,,153.83M,925.35M,125.00M,,125.00M,250.35M,250.35M,7.345M,,284.32M,659.67M,1.585B,0.002M,569.17M,3.277B,202.69M,,19.77M,3.663B
2012-06,172.87M,,172.87M,1.139B,,1.139B,57.65M,102.41M,,352.86M,1.825B,,,,,,,1.581B,-563.86M,1.017B,1.665B,206.02M,1.871B,185.08M,3.073B,4.897B,,,,,635.47M,0.033M,,0.033M,,0.033M,,,,148.47M,783.97M,39.00M,,39.00M,242.23M,242.23M,9.62M,,285.95M,567.18M,1.351B,0.002M,472.77M,3.269B,202.63M,,-2.522M,3.537B
2012-03,177.37M,,177.37M,1.114B,,1.114B,72.26M,98.09M,,308.15M,1.770B,,,,,,,1.531B,-545.52M,985.67M,1.647B,209.14M,1.856B,143.79M,2.985B,4.755B,,,,,580.83M,0.056M,,0.056M,,0.056M,,,,181.77M,762.66M,,,,231.86M,231.86M,9.108M,,290.10M,521.96M,1.285B,0.002M,407.23M,3.245B,202.54M,,12.03M,3.462B
2011-12,315.35M,,315.35M,959.89M,189.17M,1.149B,62.52M,105.00M,,,1.765B,319.30M,15.76M,50.46M,998.55M,,29.50M,1.414B,-474.67M,938.90M,1.471B,200.88M,1.672B,323.37M,2.934B,4.699B,316.52M,47.70M,364.23M,93.51M,457.74M,0.056M,,0.056M,,0.056M,159.65M,159.65M,,65.85M,781.08M,,,,233.64M,233.64M,7.311M,,292.55M,528.78M,1.310B,0.002M,361.53M,3.216B,196.49M,,0.71M,3.382B
2011-09,257.84M,,257.84M,1.009B,,1.009B,74.02M,102.73M,,133.35M,1.577B,,,,,,,1.458B,-501.24M,956.60M,1.586B,199.58M,1.786B,144.64M,2.887B,4.464B,,,,,527.94M,0.10M,,0.10M,,0.10M,,,,123.67M,651.71M,,,,231.66M,231.66M,8.30M,,277.59M,509.25M,1.161B,0.002M,295.21M,3.201B,196.11M,,-5.528M,3.295B
2011-06,380.38M,,380.38M,813.06M,,813.06M,62.22M,111.62M,,109.30M,1.477B,,,,,,,1.420B,-481.69M,938.57M,1.564B,186.48M,1.750B,127.36M,2.816B,4.293B,,,,,410.26M,1.215M,,1.215M,,1.215M,,,,92.48M,503.96M,,,,211.07M,211.07M,4.694M,,274.54M,485.61M,989.57M,0.002M,243.22M,3.173B,141.00M,,23.12M,3.299B
2011-03,503.02M,,503.02M,767.13M,,767.13M,53.09M,128.15M,,110.94M,1.562B,,,,,,,1.362B,-451.89M,910.53M,1.564B,189.09M,1.753B,98.23M,2.762B,4.325B,,,,,394.85M,1.156M,,1.156M,,1.156M,,,,86.71M,482.71M,,,,214.19M,214.19M,2.653M,,267.89M,482.07M,964.78M,0.002M,211.42M,3.167B,46.41M,,25.30M,3.357B
2010-12,539.22M,,539.22M,766.39M,,766.39M,51.75M,103.53M,,135.48M,1.596B,0.00,15.70M,42.76M,936.59M,303.96M,29.79M,1.329B,-428.02M,900.77M,1.561B,194.07M,1.755B,88.86M,2.745B,4.341B,,,,,415.95M,1.327M,,1.327M,,1.327M,,,,83.12M,500.40M,,,,212.20M,212.20M,1.364M,,261.70M,473.90M,974.29M,0.002M,229.01M,3.163B,40.36M,,14.12M,3.366B
2010-09,441.25M,,441.25M,787.58M,,787.58M,46.44M,79.96M,,266.03M,1.621B,,,,,,,1.272B,-407.79M,864.28M,1.450B,156.50M,1.606B,39.32M,2.510B,4.131B,,,,,440.88M,0.262M,,0.262M,,0.262M,,,,63.26M,504.40M,,,,176.88M,176.88M,2.991M,,211.61M,388.49M,892.89M,0.002M,195.35M,3.074B,39.99M,,5.775M,3.235B
2010-06,519.82M,,519.82M,671.79M,,671.79M,40.69M,65.09M,,127.98M,1.425B,,,,,,,1.290B,-414.17M,875.98M,1.450B,169.88M,1.619B,39.53M,2.535B,3.960B,,,,,377.12M,0.301M,,0.301M,,0.301M,,,,42.94M,420.36M,,,,156.26M,156.26M,2.071M,,216.97M,373.23M,793.58M,0.002M,132.57M,3.068B,39.90M,,3.812M,3.165B
2010-03,659.82M,,659.82M,672.59M,,672.59M,33.18M,83.22M,,56.67M,1.505B,,,,,,,1.274B,-403.46M,870.26M,1.450B,178.99M,1.629B,44.76M,2.544B,4.049B,,,,,335.72M,0.364M,,0.364M,,0.364M,,,,66.37M,402.46M,127.74M,,127.74M,163.17M,163.17M,1.734M,,217.74M,508.66M,911.12M,0.002M,99.58M,3.070B,39.70M,,6.624M,3.136B
2009-12,699.63M,,699.63M,688.26M,,688.26M,33.45M,100.21M,,61.24M,1.583B,0.00,15.50M,36.21M,873.35M,273.98M,39.11M,1.238B,-383.71M,854.44M,1.450B,184.82M,1.634B,45.34M,2.534B,4.117B,,,,,422.03M,3.426M,,3.426M,,3.426M,,,,70.23M,495.69M,126.61M,,126.61M,167.58M,167.58M,1.378M,,216.52M,510.70M,1.006B,0.002M,75.84M,3.066B,35.74M,,3.502M,3.109B
2009-09,584.04M,,584.04M,663.28M,,663.28M,31.92M,61.37M,,62.35M,1.403B,,,,,,,1.066B,-373.12M,692.54M,1.376B,131.05M,1.507B,31.65M,2.231B,3.634B,,,,,338.59M,0.037M,,0.037M,,0.037M,,,,51.46M,390.09M,125.49M,,125.49M,100.84M,100.84M,0.873M,,193.95M,420.28M,810.36M,0.002M,20.73M,2.836B,35.71M,,1.793M,2.823B
2009-06,524.36M,,524.36M,723.71M,,723.71M,27.97M,60.85M,,49.01M,1.386B,,,,,,,1.037B,-359.56M,677.35M,1.363B,130.90M,1.494B,42.16M,2.214B,3.600B,,,,,364.51M,0.002M,,0.002M,,0.002M,,,,66.21M,430.72M,124.40M,,124.40M,92.00M,92.00M,0.353M,,218.90M,435.30M,866.02M,0.002M,-42.70M,2.812B,35.57M,,-0.45M,2.733B
2009-03,508.81M,,508.81M,683.89M,,683.89M,25.79M,62.73M,,60.16M,1.341B,,,,,,,998.47M,-344.03M,654.44M,1.363B,135.81M,1.499B,36.64M,2.190B,3.531B,,,,,343.28M,1.956M,,1.956M,,1.956M,,,,59.56M,404.80M,123.33M,,123.33M,91.82M,91.82M,0.136M,,219.53M,434.68M,839.48M,0.002M,-76.13M,2.807B,35.32M,,-3.623M,2.692B
2008-12,437.90M,,437.90M,795.25M,,795.25M,25.81M,72.06M,,54.38M,1.385B,0.00,9.628M,30.50M,695.38M,179.06M,50.96M,965.53M,-330.07M,635.46M,1.363B,140.72M,1.504B,33.48M,2.173B,3.558B,,,,,400.25M,1.155M,,1.155M,,1.155M,,,,50.39M,451.80M,122.28M,,122.28M,83.86M,83.86M,0.00,,217.85M,423.99M,875.78M,0.002M,-86.33M,2.804B,32.18M,,,2.682B
2008-09,266.43M,,266.43M,1.030B,,1.030B,26.34M,59.60M,,,1.383B,,,,,,,973.64M,-333.57M,640.08M,1.360B,144.26M,1.504B,35.77M,2.180B,3.563B,511.50M,,511.50M,,511.50M,,,268.85M,,268.85M,,,,,780.35M,143.75M,,143.75M,79.58M,79.58M,,,219.42M,442.75M,1.223B,0.002M,-94.56M,2.465B,32.16M,,1.418M,2.339B
2008-06,304.79M,,304.79M,821.11M,,821.11M,31.03M,78.57M,,82.12M,1.318B,,,,,,,932.22M,-326.68M,605.54M,1.380B,152.68M,1.533B,34.40M,2.173B,3.490B,435.72M,,435.72M,,435.72M,,,270.10M,,270.10M,,,,48.69M,754.51M,143.75M,,143.75M,98.90M,98.90M,,,215.49M,458.14M,1.213B,0.002M,-149.42M,2.457B,31.98M,,2.646M,2.278B
2008-03,372.19M,,372.19M,830.50M,,830.50M,24.98M,79.47M,,,1.307B,,,,,,,878.61M,-317.44M,561.17M,1.355B,142.10M,1.497B,32.35M,2.091B,3.398B,469.54M,,469.54M,,469.54M,,,270.72M,,270.72M,,,,,740.25M,143.75M,,143.75M,97.28M,97.28M,,,206.80M,447.83M,1.188B,0.002M,-189.94M,2.429B,31.78M,,2.461M,2.210B
2007-12,407.08M,,407.08M,719.67M,,719.67M,25.92M,79.66M,,72.42M,1.305B,0.00,9.028M,29.98M,751.66M,,41.79M,832.46M,-300.18M,532.28M,1.355B,152.70M,1.508B,42.99M,2.083B,3.388B,420.82M,,420.82M,,420.82M,,,271.01M,,271.01M,,,,65.60M,757.43M,143.75M,,143.75M,101.42M,101.42M,,,200.09M,445.26M,1.203B,0.002M,-214.19M,2.423B,27.68M,,3.663M,2.185B
2007-09,371.47M,,371.47M,784.49M,,784.49M,26.76M,55.74M,,,1.238B,,,,,,,808.99M,-305.51M,503.47M,1.323B,167.84M,1.491B,42.15M,2.036B,3.275B,437.69M,,437.69M,,437.69M,,,0.151M,,0.151M,,,,,437.84M,413.74M,,413.74M,93.42M,93.42M,,,194.96M,702.12M,1.140B,0.00,-247.78M,2.408B,26.98M,1.697M,1.697M,2.135B
2007-06,405.79M,,405.79M,523.96M,,523.96M,23.39M,33.86M,,,987.00M,,,,,,,601.93M,-308.22M,293.71M,353.71M,7.808M,361.52M,40.20M,695.42M,1.682B,244.82M,,244.82M,,244.82M,,,33.38M,,33.38M,,,,,278.20M,413.75M,,413.75M,181.66M,181.66M,,,,595.42M,873.62M,0.00,-297.10M,1.133B,26.94M,,,808.81M
2007-03,406.43M,,406.43M,507.90M,,507.90M,25.43M,31.22M,,,970.99M,,,,,,,589.54M,-296.90M,292.63M,352.31M,6.281M,358.59M,40.55M,691.78M,1.663B,263.42M,,263.42M,,263.42M,,,33.47M,,33.47M,,,,,296.89M,413.75M,,413.75M,176.69M,176.69M,,,,590.44M,887.33M,0.00,-318.96M,1.121B,26.77M,,,775.44M
2006-12,383.69M,,383.69M,543.87M,,543.87M,28.77M,34.30M,,,990.63M,0.00,3.024M,14.97M,555.70M,,,573.69M,-296.90M,276.79M,330.50M,1.448M,331.94M,39.80M,648.53M,1.639B,136.20M,,136.20M,163.41M,299.61M,,,34.84M,,34.84M,,,,,334.46M,413.75M,,413.75M,161.87M,161.87M,,,,575.62M,910.07M,0.00,-351.64M,1.103B,22.61M,,,729.08M
