,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,791.00M,,,105.00M,33.00M,138.00M,138.00M,,,,31.00M,-139.00M,,,-583.00M,10.00M,-663.00M,308.00M,,,,,-222.00M,40.00M,203.00M,-34.00M,-617.00M,-651.00M,,-320.00M,-320.00M,,,,-292.00M,-43.00M,-335.00M,-7.00M,-483.00M,3.083B,28.00M,3.111B,,7.00M,-41.00M,-320.00M,15.00M,256.00M
2017-12,667.00M,1.00M,1.00M,103.00M,34.00M,137.00M,137.00M,,,,23.00M,-192.00M,,,76.00M,707.00M,902.00M,1.676B,,,,,-1.156B,57.00M,-2.208B,2.914B,-2.978B,-64.00M,,-373.00M,-373.00M,,,,-258.00M,-44.00M,-302.00M,2.00M,505.00M,3.127B,-27.00M,2.956B,,3.383B,-469.00M,-373.00M,153.00M,279.00M
2017-09,648.00M,0.00,0.00,105.00M,34.00M,139.00M,139.00M,,,,35.00M,69.00M,,,35.00M,314.00M,454.00M,1.471B,,,,,-1.327B,-177.00M,-576.00M,-863.00M,1.774B,911.00M,,-920.00M,-920.00M,,,,-262.00M,-43.00M,-305.00M,-54.00M,-1.196B,3.428B,-301.00M,3.127B,,850.00M,-1.713B,-920.00M,89.00M,193.00M
2017-06,674.00M,,0.00,101.00M,36.00M,137.00M,137.00M,,,,44.00M,-53.00M,,,509.00M,-11.00M,393.00M,1.33B,,,,,-284.00M,-213.00M,-1.879B,77.00M,4.123B,4.20B,,-320.00M,-246.00M,,,,-242.00M,-44.00M,-286.00M,189.00M,-503.00M,4.48B,-1.052B,3.428B,,703.00M,-626.00M,-320.00M,166.00M,196.00M
2017-03,426.00M,,392.00M,99.00M,38.00M,137.00M,137.00M,,,,30.00M,56.00M,,,-886.00M,-644.00M,-1.031B,158.00M,,,,,-1.281B,201.00M,-747.00M,-698.00M,613.00M,-85.00M,,,-74.00M,,,,-243.00M,-43.00M,-286.00M,-14.00M,645.00M,4.424B,56.00M,4.48B,,3.947B,-4.645B,,21.00M,151.00M
2016-12,643.00M,-1.00M,-1.00M,107.00M,38.00M,145.00M,145.00M,,,,19.00M,-25.00M,,,351.00M,244.00M,1.568B,2.478B,,,,63.00M,2.814B,106.00M,1.731B,-426.00M,-2.658B,-3.084B,,,-376.00M,0.00,,0.00,-243.00M,-44.00M,-287.00M,210.00M,-3.213B,2.972B,996.00M,4.424B,0.00,850.00M,-1.276B,,138.00M,206.00M
2016-09,642.00M,0.00,0.00,103.00M,38.00M,141.00M,141.00M,,,,31.00M,-362.00M,,-282.00M,69.00M,-407.00M,-824.00M,-224.00M,,,,0.00,-325.00M,303.00M,-653.00M,-1.565B,2.592B,1.027B,,,-135.00M,0.00,,0.00,-243.00M,-43.00M,-286.00M,-54.00M,1.236B,2.613B,359.00M,2.972B,0.00,0.00,-1.565B,,443.00M,174.00M
2016-06,587.00M,0.00,0.00,100.00M,42.00M,142.00M,142.00M,,,,38.00M,8.00M,,33.00M,43.00M,902.00M,105.00M,991.00M,,,,-789.00M,2.11B,34.00M,-273.00M,1.157B,-4.052B,-2.895B,,,9.00M,-1.00M,,-1.00M,-228.00M,-43.00M,-271.00M,159.00M,-883.00M,2.778B,-165.00M,2.613B,-1.00M,3.028B,-1.871B,,172.00M,206.00M
2016-03,570.00M,-45.00M,-46.00M,95.00M,32.00M,127.00M,127.00M,,,,27.00M,87.00M,,249.00M,-481.00M,-307.00M,-1.079B,-130.00M,,,,,-2.234B,-72.00M,-1.781B,-1.137B,537.00M,-600.00M,,,-18.00M,451.00M,,451.00M,-211.00M,-37.00M,-248.00M,10.00M,978.00M,3.711B,-933.00M,2.778B,451.00M,0.00,-1.137B,,91.00M,189.00M
2015-12,542.00M,0.00,0.00,91.00M,32.00M,123.00M,123.00M,107.00M,,,18.00M,-62.00M,,42.00M,280.00M,-367.00M,372.00M,1.229B,,,,-252.00M,-634.00M,417.00M,-1.387B,-969.00M,1.012B,43.00M,,,-59.00M,0.00,,0.00,-210.00M,-37.00M,-247.00M,-22.00M,1.089B,2.78B,931.00M,3.711B,0.00,6.00M,-975.00M,,77.00M,216.00M
2015-09,533.00M,2.00M,2.00M,92.00M,29.00M,121.00M,121.00M,0.00,,,30.00M,126.00M,,-222.00M,230.00M,-92.00M,965.00M,1.88B,,,,-435.00M,-228.00M,-56.00M,-1.293B,1.057B,-2.137B,-1.08B,,,59.00M,,,,-211.00M,-37.00M,-248.00M,-82.00M,-428.00M,2.621B,159.00M,2.78B,,1.249B,-192.00M,,138.00M,158.00M
2015-06,501.00M,1.00M,173.00M,87.00M,23.00M,110.00M,110.00M,-107.00M,,,35.00M,-7.00M,,224.00M,-217.00M,152.00M,-187.00M,615.00M,,,,-174.00M,1.593B,73.00M,38.00M,-247.00M,730.00M,483.00M,,,,0.00,,0.00,-195.00M,-37.00M,-232.00M,-278.00M,-31.00M,1.999B,622.00M,2.621B,0.00,1.017B,-1.264B,,323.00M,216.00M
2015-03,547.00M,0.00,0.00,86.00M,21.00M,107.00M,107.00M,,,,23.00M,71.00M,,-44.00M,-307.00M,-391.00M,-1.44B,-593.00M,,,,1.916B,-829.00M,-44.00M,793.00M,-2.00M,-587.00M,-589.00M,,,,0.00,,0.00,-173.00M,-37.00M,-210.00M,-8.00M,-526.00M,2.325B,-326.00M,1.999B,0.00,,-2.00M,,117.00M,144.00M
2014-12,603.00M,0.00,0.00,86.00M,22.00M,108.00M,108.00M,-3.00M,,,18.00M,56.00M,,931.00M,-567.00M,,841.00M,1.706B,,-178.00M,-178.00M,0.00,862.00M,259.00M,-527.00M,855.00M,332.00M,1.187B,,,298.00M,,,,-173.00M,-37.00M,-210.00M,-291.00M,-871.00M,2.017B,308.00M,2.325B,,1.505B,-650.00M,,62.00M,196.00M
2014-09,553.00M,5.00M,127.00M,86.00M,23.00M,109.00M,109.00M,-50.00M,,,28.00M,-34.00M,,-376.00M,545.00M,,-140.00M,627.00M,,44.00M,44.00M,0.00,-595.00M,97.00M,54.00M,376.00M,-594.00M,-218.00M,,,,,,,-172.00M,-37.00M,-209.00M,6.00M,-1.112B,2.448B,-431.00M,2.017B,,1.598B,-1.222B,,-124.00M,172.00M
2014-06,477.00M,0.00,0.00,80.00M,23.00M,103.00M,103.00M,14.00M,,,36.00M,240.00M,,-400.00M,293.00M,,-699.00M,245.00M,,134.00M,134.00M,1.035B,79.00M,38.00M,-1.877B,-1.517B,694.00M,-823.00M,,,-245.00M,,,,-165.00M,-37.00M,-202.00M,248.00M,1.86B,2.22B,228.00M,2.448B,,0.00,-1.517B,,337.00M,225.00M
2014-03,573.00M,-2.00M,-2.00M,81.00M,23.00M,104.00M,104.00M,,,,20.00M,-161.00M,,-159.00M,75.00M,,38.00M,632.00M,,,,-10.00M,-971.00M,232.00M,-1.665B,1.884B,-853.00M,1.031B,,,245.00M,,,,-156.00M,-37.00M,-193.00M,4.00M,1.088B,2.165B,55.00M,2.22B,,2.407B,-523.00M,,47.00M,172.00M
2013-12,589.00M,-5.00M,-5.00M,82.00M,26.00M,108.00M,108.00M,307.00M,,-25.00M,11.00M,-199.00M,,264.00M,696.00M,,2.712B,3.558B,,63.00M,63.00M,522.00M,-4.038B,243.00M,-4.192B,1.166B,-675.00M,491.00M,,,,0.00,,0.00,-155.00M,-37.00M,-192.00M,41.00M,330.00M,2.469B,-304.00M,2.165B,0.00,1.525B,-359.00M,,167.00M,223.00M
2013-09,309.00M,0.00,0.00,80.00M,26.00M,106.00M,106.00M,235.00M,,14.00M,25.00M,271.00M,,-848.00M,-272.00M,,-1.61B,-558.00M,,140.00M,140.00M,0.00,1.669B,58.00M,1.774B,997.00M,1.621B,2.618B,,,,0.00,,0.00,-155.00M,-37.00M,-192.00M,42.00M,-1.126B,2.379B,90.00M,2.469B,0.00,1.499B,-502.00M,,141.00M,212.00M
2013-06,576.00M,-23.00M,-23.00M,79.00M,27.00M,106.00M,106.00M,0.00,,3.00M,35.00M,87.00M,,522.00M,-564.00M,,925.00M,1.877B,,99.00M,99.00M,0.00,-1.536B,142.00M,-3.354B,1.123B,-47.00M,1.076B,,,15.00M,487.00M,,487.00M,-154.00M,-43.00M,-197.00M,180.00M,1.288B,2.568B,-189.00M,2.379B,487.00M,1.13B,-7.00M,,278.00M,249.00M
2013-03,256.00M,-23.00M,-23.00M,74.00M,27.00M,101.00M,101.00M,281.00M,,8.00M,25.00M,-136.00M,,-750.00M,65.00M,,-353.00M,431.00M,,92.00M,92.00M,-6.00M,1.329B,91.00M,1.563B,-756.00M,375.00M,-381.00M,,,-15.00M,,,,-301.00M,-30.00M,-331.00M,-15.00M,-2.465B,3.039B,-471.00M,2.568B,,10.00M,-766.00M,,91.00M,234.00M
2012-12,549.00M,0.00,0.00,74.00M,28.00M,102.00M,102.00M,419.00M,,16.00M,18.00M,63.00M,-436.00M,-92.00M,443.00M,,-375.00M,1.044B,117.00M,122.00M,239.00M,-17.00M,-2.998B,-119.00M,-3.773B,-75.00M,-229.00M,-304.00M,,,,437.00M,,437.00M,-140.00M,-25.00M,-165.00M,7.00M,3.033B,3.503B,304.00M,3.039B,437.00M,499.00M,-574.00M,,3.00M,281.00M
2012-09,496.00M,1.00M,1.00M,76.00M,31.00M,107.00M,107.00M,0.00,,32.00M,28.00M,-65.00M,167.00M,-261.00M,24.00M,,-792.00M,51.00M,-56.00M,183.00M,127.00M,1.247B,2.098B,131.00M,1.945B,-3.585B,-103.00M,-3.688B,,,,1.12B,,1.12B,-140.00M,-8.00M,-148.00M,-6.00M,-2.224B,2.963B,-228.00M,3.503B,1.12B,756.00M,-4.341B,,27.00M,260.00M
2012-06,538.00M,2.00M,2.00M,67.00M,29.00M,96.00M,96.00M,,,61.00M,26.00M,-37.00M,164.00M,987.00M,-729.00M,,-213.00M,746.00M,-40.00M,256.00M,216.00M,-555.00M,344.00M,-50.00M,-2.964B,-174.00M,-240.00M,-414.00M,,,9.00M,559.00M,,559.00M,-139.00M,0.00,-139.00M,-20.00M,1.897B,4.052B,-321.00M,2.963B,559.00M,14.00M,-188.00M,,257.00M,269.00M
2012-03,445.00M,9.00M,9.00M,64.00M,22.00M,86.00M,86.00M,,,59.00M,25.00M,-122.00M,105.00M,-288.00M,52.00M,,1.083B,1.873B,-21.00M,238.00M,217.00M,0.00,-1.29B,14.00M,-2.255B,1.049B,-130.00M,919.00M,,,-9.00M,,,,-112.00M,0.00,-112.00M,74.00M,90.00M,4.344B,-292.00M,4.052B,,1.058B,-9.00M,,60.00M,310.00M
2011-12,400.00M,-103.00M,-103.00M,68.00M,24.00M,92.00M,92.00M,,,318.00M,25.00M,-145.00M,-629.00M,309.00M,-656.00M,,-1.116B,-72.00M,176.00M,282.00M,458.00M,-86.00M,-3.797B,-369.00M,-7.169B,-317.00M,,-2.424B,-22.00M,,-22.00M,,,0.00,-112.00M,0.00,-112.00M,177.00M,6.711B,4.404B,-530.00M,3.576B,-22.00M,11.00M,-328.00M,,-209.00M,357.00M
2011-09,371.00M,39.00M,39.00M,67.00M,24.00M,91.00M,91.00M,,,337.00M,24.00M,-183.00M,202.00M,320.00M,-88.00M,,-434.00M,495.00M,-72.00M,255.00M,183.00M,0.00,-4.199B,17.00M,-5.899B,-1.47B,,-1.47B,5.00M,,5.00M,,,0.00,-111.00M,0.00,-111.00M,-16.00M,7.022B,2.786B,1.618B,4.404B,5.00M,0.00,-1.47B,,-27.00M,328.00M
2011-06,327.00M,2.00M,2.00M,64.00M,25.00M,89.00M,89.00M,,,,25.00M,86.00M,164.00M,216.00M,380.00M,,965.00M,1.822B,-56.00M,288.00M,232.00M,0.00,-1.458B,36.00M,-2.664B,735.00M,,735.00M,17.00M,,13.00M,,,0.00,-119.00M,,-119.00M,-10.00M,1.428B,2.20B,586.00M,2.786B,17.00M,1.00B,-265.00M,,231.00M,349.00M
2011-03,234.00M,0.00,0.00,65.00M,26.00M,91.00M,91.00M,,,,24.00M,139.00M,263.00M,-273.00M,124.00M,,1.203B,2.031B,-48.00M,192.00M,144.00M,,-2.945B,17.00M,-2.275B,872.00M,,872.00M,,,4.00M,,,,-104.00M,,-104.00M,3.00M,59.00M,2.385B,-185.00M,2.20B,,999.00M,-127.00M,,5.00M,370.00M
2010-12,217.00M,-99.00M,-99.00M,66.00M,28.00M,94.00M,94.00M,,,,21.00M,158.00M,56.00M,-52.00M,-203.00M,339.00M,-480.00M,554.00M,-58.00M,251.00M,193.00M,825.00M,770.00M,-807.00M,-1.071B,-253.00M,,-253.00M,18.00M,,18.00M,,,,-104.00M,,-104.00M,136.00M,448.00M,2.454B,-69.00M,2.385B,18.00M,0.00,-253.00M,,99.00M,460.00M
2010-09,219.00M,-239.00M,-239.00M,64.00M,30.00M,94.00M,94.00M,,,,21.00M,108.00M,184.00M,227.00M,-216.00M,-897.00M,-702.00M,271.00M,-44.00M,265.00M,221.00M,-832.00M,-497.00M,880.00M,-1.891B,-58.00M,,-58.00M,16.00M,,16.00M,,,,-104.00M,,-104.00M,-6.00M,1.565B,2.509B,-55.00M,2.454B,16.00M,0.00,-58.00M,,91.00M,481.00M
2010-06,224.00M,-219.00M,-219.00M,65.00M,32.00M,97.00M,97.00M,,,,21.00M,171.00M,283.00M,580.00M,-469.00M,98.00M,492.00M,1.436B,-63.00M,285.00M,222.00M,5.00M,9.594B,2.00M,8.488B,476.00M,,476.00M,25.00M,,25.00M,,,,-104.00M,,-104.00M,143.00M,-9.653B,2.238B,271.00M,2.509B,25.00M,500.00M,-24.00M,,146.00M,497.00M
2010-03,194.00M,3.00M,3.00M,65.00M,32.00M,97.00M,97.00M,,,,16.00M,114.00M,398.00M,-66.00M,-1.154B,460.00M,-362.00M,637.00M,-263.00M,166.00M,-97.00M,-5.00M,918.00M,-819.00M,453.00M,-1.00M,,-1.00M,51.00M,,51.00M,,,,-103.00M,,-103.00M,4.00M,-1.501B,2.649B,-411.00M,2.238B,51.00M,,-1.00M,,636.00M,430.00M
2009-12,194.00M,1.00M,1.00M,59.00M,36.00M,95.00M,95.00M,,,,12.00M,-113.00M,0.00,-54.00M,-951.00M,404.00M,-601.00M,374.00M,-46.00M,151.00M,105.00M,24.00M,-140.00M,-2.00M,-449.00M,189.00M,,189.00M,19.00M,,19.00M,,0.00,0.00,-103.00M,0.00,-103.00M,-20.00M,333.00M,2.391B,258.00M,2.649B,19.00M,375.00M,-186.00M,0.00,15.00M,571.00M
2009-09,157.00M,-31.00M,-31.00M,57.00M,29.00M,86.00M,86.00M,,,,14.00M,-8.00M,0.00,240.00M,4.035B,-695.00M,3.58B,4.47B,-46.00M,102.00M,56.00M,5.178B,1.437B,-175.00M,6.657B,-533.00M,-1.843B,-2.376B,985.00M,,985.00M,,-67.00M,-67.00M,-98.00M,0.00,-98.00M,56.00M,-10.97B,2.234B,157.00M,2.391B,985.00M,482.00M,-2.858B,-67.00M,23.00M,523.00M
2009-06,208.00M,-19.00M,-19.00M,55.00M,24.00M,79.00M,79.00M,,,,17.00M,-15.00M,0.00,-14.00M,2.96B,,2.946B,3.934B,-39.00M,104.00M,65.00M,17.00M,-12.20B,3.00M,-12.87B,376.00M,-1.09B,-714.00M,1.701B,,1.701B,,-3.134B,-3.134B,-263.00M,-53.00M,-316.00M,74.00M,9.169B,2.00B,234.00M,2.234B,1.701B,-33.00M,-681.00M,-3.134B,255.00M,548.00M
2009-03,318.00M,-150.00M,-150.00M,54.00M,25.00M,79.00M,79.00M,,,,19.00M,73.00M,0.00,-3.562B,-6.74B,,-10.30B,-9.271B,-43.00M,47.00M,4.00M,-717.00M,13.98B,-1.00M,13.89B,-23.00M,2.933B,2.91B,22.00M,,22.00M,,,,-263.00M,-40.00M,-303.00M,1.00M,-5.363B,2.74B,-740.00M,2.00B,22.00M,2.934B,-24.00M,,138.00M,484.00M
2008-12,315.00M,-41.00M,-43.00M,198.00M,100.00M,75.00M,75.00M,,,,75.00M,-789.00M,,4.233B,-2.435B,42.00M,3.755B,4.927B,-72.00M,143.00M,71.00M,470.00M,-12.09B,5.261B,-14.18B,-3.724B,710.00M,-3.014B,160.00M,,32.00M,,,3.134B,-1.019B,0.00,-259.00M,7.00M,9.599B,2.392B,348.00M,2.74B,3.294B,952.00M,-4.525B,,730.00M,2.937B
2008-09,354.00M,-13.00M,-11.00M,-93.00M,-52.00M,78.00M,78.00M,,-51.00M,,-38.00M,1.027B,,-268.00M,556.00M,-495.00M,-1.435B,-629.00M,-40.00M,-63.00M,-103.00M,-13.00M,1.906B,-5.255B,367.00M,713.00M,-559.00M,154.00M,-26.00M,,102.00M,,,,503.00M,,-257.00M,-1.444B,11.00M,2.643B,-251.00M,2.392B,-26.00M,1.516B,-803.00M,,-528.00M,-1.65B
2008-06,431.00M,-10.00M,-10.00M,47.00M,25.00M,72.00M,72.00M,,24.00M,,22.00M,-77.00M,,-705.00M,679.00M,95.00M,409.00M,1.201B,-52.00M,38.00M,-14.00M,-107.00M,401.00M,62.00M,-2.041B,-771.00M,,-771.00M,1.00M,,1.00M,,,0.00,-252.00M,0.00,-252.00M,1.445B,902.00M,2.581B,62.00M,2.643B,1.00M,739.00M,-1.51B,,465.00M,784.00M
2008-03,429.00M,-43.00M,-43.00M,46.00M,27.00M,73.00M,73.00M,,27.00M,,16.00M,18.00M,,973.00M,-1.235B,400.00M,-889.00M,-146.00M,-55.00M,25.00M,-30.00M,-39.00M,-986.00M,33.00M,-2.471B,2.617B,,2.617B,25.00M,,25.00M,,,,-251.00M,0.00,-251.00M,-1.00M,2.081B,3.117B,-536.00M,2.581B,25.00M,2.646B,-29.00M,,63.00M,866.00M
2007-12,411.00M,-1.00M,50.00M,,,73.00M,73.00M,,,,,-356.00M,,,,,635.00M,1.382B,-151.00M,,-47.00M,-137.00M,864.00M,4.226B,-1.38B,-576.00M,-989.00M,-1.565B,,,-125.00M,,,,,,-253.00M,6.00M,647.00M,2.468B,649.00M,3.117B,,426.00M,-1.002B,,,
2007-09,444.00M,-6.00M,-15.00M,,,71.00M,71.00M,,,,,160.00M,,,,,-1.31B,-650.00M,6.00M,,6.00M,-22.00M,-480.00M,-1.618B,-2.114B,479.00M,1.297B,1.776B,,,-111.00M,,,,,,-254.00M,-1.00M,2.517B,2.715B,-247.00M,2.468B,,503.00M,-24.00M,,,
2007-06,458.00M,-1.00M,-23.00M,,,70.00M,70.00M,,,,,135.00M,,,,,-1.038B,-398.00M,-56.00M,,-56.00M,32.00M,-1.183B,-1.735B,-2.942B,-1.78B,2.378B,598.00M,,,21.00M,,,,,,-227.00M,0.00,3.661B,2.394B,321.00M,2.715B,,902.00M,-2.682B,,,
2007-03,421.00M,11.00M,-11.00M,,,69.00M,69.00M,,,,,131.00M,,,,,107.00M,717.00M,-55.00M,,-55.00M,-14.00M,-84.00M,-873.00M,-1.026B,3.999B,-2.686B,1.313B,,,25.00M,,,,,,-228.00M,13.00M,-9.00M,2.712B,-318.00M,2.394B,,4.00B,-1.00M,,,
2006-12,251.00M,,76.00M,,,78.00M,78.00M,,,,,-1.364B,,,,,1.364B,405.00M,-64.00M,,105.00M,-30.00M,85.00M,-1.856B,-1.696B,1.809B,-433.00M,1.376B,,,13.00M,,,,,,-227.00M,3.663B,1.256B,2.747B,-35.00M,2.712B,,2.421B,-612.00M,,,
2006-09,417.00M,,-13.00M,,,77.00M,77.00M,,,,,89.00M,,,,,-1.166B,-596.00M,-150.00M,,-150.00M,51.00M,-156.00M,-1.317B,-1.572B,732.00M,377.00M,1.109B,,,13.00M,,,,,,-226.00M,1.00M,1.898B,3.017B,-270.00M,2.747B,,750.00M,-18.00M,,,
2006-06,429.00M,32.00M,14.00M,,,30.00M,30.00M,,,,,148.00M,,,,,-227.00M,394.00M,-36.00M,,-62.00M,51.00M,-791.00M,-2.057B,-2.859B,2.051B,261.00M,2.312B,,,-553.00M,,,,,,-203.00M,-1.00M,2.84B,2.642B,375.00M,3.017B,,2.099B,-48.00M,,,
2006-03,431.00M,-32.00M,-77.00M,,,107.00M,107.00M,,,,,74.00M,,,,,29.00M,564.00M,,,26.00M,-34.00M,186.00M,-1.338B,-1.16B,-117.00M,-205.00M,-322.00M,,,-318.00M,,,,,,-207.00M,5.00M,441.00M,2.797B,-155.00M,2.642B,,3.00M,-120.00M,,,
2005-12,429.80M,-371.81M,-394.33M,,,80.63M,80.63M,,,,,-233.47M,,,,,577.79M,460.42M,-62.15M,,-62.15M,4.461M,121.43M,-1.650B,-1.586B,748.34M,28.42M,776.75M,,,-246.08M,,,,,,-208.35M,,1.425B,2.619B,299.39M,2.797B,,750.47M,-2.13M,,,
2005-09,442.01M,-0.193M,-21.38M,,,76.51M,76.51M,,,,,313.39M,,,,,-102.20M,708.32M,-52.20M,,-52.20M,-1.41M,48.96M,-1.954B,-1.959B,511.62M,-604.31M,-92.68M,,,23.33M,,,,,,-207.91M,,1.074B,2.796B,-176.42M,2.619B,,1.014B,-502.55M,,,
2005-06,386.80M,0.006M,-16.64M,,,100.83M,100.83M,,,,,-155.59M,,,,,-373.16M,-57.75M,-48.92M,,-48.92M,-115.60M,-317.18M,-2.367B,-2.849B,664.50M,-2.014B,-1.350B,,,-78.87M,,,,,,-192.05M,,3.374B,2.328B,467.75M,2.796B,,828.36M,-163.86M,,,
