,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.869B,2.913B,25.02B,27.93B,,,,,27.93B,,,,,,,,,2.078B,9.617B,1.798B,11.42B,144.21B,1.498B,,142.71B,47.41B,217.62B,220.73B,5.14B,5.14B,5.14B,,4.321B,4.321B,4.321B,9.461B,23.41B,23.41B,158.20B,50.00M,181.61B,191.07B,6.952B,16.71B,7.593B,3.053B,-1.645B,29.61B
2017-12,2.243B,2.713B,24.55B,27.26B,,,,,27.26B,583.00M,1.66B,1.146B,58.00M,52.00M,733.00M,4.232B,-2.177B,2.055B,9.618B,1.767B,11.38B,144.80B,1.49B,,143.31B,47.57B,218.56B,221.64B,5.99B,5.99B,5.99B,,4.938B,4.938B,4.938B,10.93B,23.65B,23.65B,157.37B,47.00M,181.02B,191.95B,6.963B,16.26B,7.893B,3.053B,-1.467B,29.65B
2017-09,2.195B,2.623B,23.18B,25.81B,,,,,25.88B,,,,,,,,,2.043B,9.618B,1.789B,11.41B,144.01B,1.478B,,142.53B,46.63B,217.21B,220.34B,5.573B,5.573B,5.573B,,7.916B,7.916B,7.916B,13.49B,20.86B,20.86B,156.14B,43.00M,177.00B,190.49B,6.998B,15.66B,8.192B,3.053B,-1.036B,29.81B
2017-06,2.201B,2.872B,26.90B,29.77B,,,,,29.91B,,,,,,,,,2.084B,9.618B,1.834B,11.45B,145.12B,1.485B,,143.63B,45.28B,217.76B,221.19B,5.995B,5.995B,5.995B,,6.142B,6.142B,6.142B,12.14B,21.74B,21.74B,156.97B,42.00M,178.71B,190.84B,7.093B,15.32B,8.966B,3.053B,-1.073B,30.31B
2017-03,1.739B,3.795B,26.67B,30.46B,,,,,30.70B,,,,,,,,,2.104B,9.618B,1.906B,11.52B,143.90B,1.487B,,142.41B,44.88B,216.02B,220.50B,5.489B,5.489B,5.489B,,2.019B,2.019B,2.019B,7.508B,21.64B,21.64B,161.33B,44.00M,182.97B,190.48B,7.11B,14.93B,9.063B,3.053B,-1.125B,29.98B
2016-12,1.897B,3.936B,26.93B,30.86B,,,,,30.86B,611.00M,1.628B,1.121B,66.00M,62.00M,791.00M,4.279B,-2.172B,2.107B,9.638B,1.906B,11.54B,145.04B,1.489B,,143.55B,43.61B,214.85B,219.28B,5.745B,5.745B,5.745B,,1.406B,1.406B,1.406B,7.151B,21.96B,21.96B,160.23B,45.00M,182.20B,189.35B,7.10B,14.81B,9.104B,3.053B,-1.132B,29.88B
2016-09,1.85B,2.78B,29.45B,32.23B,,,,,32.42B,,,,,,,,,2.059B,9.627B,1.72B,11.35B,145.11B,1.511B,,143.60B,47.20B,219.00B,222.62B,5.776B,5.776B,5.776B,,4.064B,4.064B,4.064B,9.84B,22.78B,22.78B,159.92B,39.00M,182.69B,192.53B,7.11B,14.46B,9.233B,3.053B,-750.00M,30.05B
2016-06,1.958B,2.468B,28.24B,30.71B,,,,,30.86B,,,,,,,,,2.088B,9.621B,1.731B,11.35B,144.71B,1.507B,,143.20B,47.01B,218.40B,221.86B,6.971B,6.971B,6.971B,,1.472B,1.472B,1.472B,8.443B,24.44B,24.44B,159.24B,39.00M,183.67B,192.12B,7.126B,14.10B,9.311B,3.053B,-837.00M,29.70B
2016-03,1.825B,2.611B,27.13B,29.74B,,,,,29.91B,,,,,,,,,2.001B,8.559B,1.516B,10.08B,136.67B,1.488B,,135.18B,46.48B,208.96B,212.40B,6.713B,6.713B,6.713B,,4.13B,4.13B,4.13B,10.84B,22.82B,22.82B,150.50B,39.00M,173.32B,184.17B,6.966B,13.79B,8.36B,3.054B,-917.00M,28.20B
2015-12,2.123B,3.558B,25.30B,28.86B,,,,,29.01B,596.00M,1.503B,1.03B,67.00M,122.00M,721.00M,4.039B,-2.032B,2.007B,8.548B,1.566B,10.11B,136.99B,1.46B,,135.53B,43.83B,205.78B,209.95B,6.121B,6.121B,6.121B,,,,,9.714B,23.77B,23.77B,149.12B,34.00M,172.89B,182.61B,6.505B,13.46B,8.365B,2.603B,-1.028B,27.31B
2015-09,1.538B,2.653B,24.25B,26.90B,,,,,27.03B,,,,,,,,,2.038B,8.498B,1.548B,10.05B,136.97B,1.458B,,135.51B,43.49B,205.45B,208.81B,6.254B,6.254B,6.254B,,2.581B,2.581B,2.581B,8.835B,24.88B,24.88B,147.83B,40.00M,172.71B,181.54B,6.504B,13.17B,8.344B,2.603B,-796.00M,27.22B
2015-06,1.607B,2.431B,21.18B,23.61B,,,,,23.80B,,,,,,,,,1.90B,7.141B,1.426B,8.567B,124.77B,1.457B,,123.31B,40.62B,188.02B,191.02B,5.948B,5.948B,5.948B,,3.883B,3.883B,3.883B,9.831B,23.27B,23.27B,132.78B,52.00M,156.05B,165.88B,6.27B,12.89B,6.667B,2.603B,-748.00M,25.08B
2015-03,1.452B,1.777B,21.67B,23.45B,,,,,23.67B,,,,,,,,,1.879B,6.95B,1.294B,8.244B,122.03B,1.464B,,120.56B,42.09B,186.72B,189.23B,6.694B,6.694B,6.694B,,3.13B,3.13B,3.13B,9.824B,23.44B,23.44B,131.23B,96.00M,154.67B,164.49B,6.219B,12.63B,6.524B,2.603B,-733.00M,24.64B
2014-12,1.639B,2.168B,20.91B,23.08B,,,,,23.23B,533.00M,1.431B,986.00M,61.00M,47.00M,670.00M,3.728B,-1.901B,1.827B,6.869B,1.349B,8.218B,121.31B,1.474B,,119.83B,41.15B,184.14B,186.83B,6.388B,6.388B,6.388B,,3.717B,3.717B,3.717B,10.10B,23.31B,23.31B,129.04B,88.00M,152.35B,162.46B,6.206B,12.32B,6.517B,2.603B,-751.00M,24.29B
2014-09,1.439B,1.876B,21.17B,23.05B,,,,,23.19B,,,,,,,,,1.842B,6.869B,1.47B,8.339B,120.69B,1.504B,,119.19B,41.89B,184.71B,187.02B,6.073B,6.073B,6.073B,,3.385B,3.385B,3.385B,9.458B,22.36B,22.36B,130.90B,76.00M,153.25B,162.71B,6.204B,11.98B,6.494B,2.603B,-442.00M,24.24B
2014-06,1.718B,2.307B,20.94B,23.24B,,,,,23.38B,,,,,,,,,1.857B,6.868B,1.506B,8.374B,121.22B,1.59B,,119.62B,41.37B,185.27B,188.01B,6.555B,6.555B,6.555B,,3.979B,3.979B,3.979B,10.53B,21.93B,21.93B,131.59B,85.00M,153.51B,164.05B,6.201B,11.63B,6.451B,2.603B,-406.00M,23.88B
2014-03,1.722B,2.076B,20.50B,22.57B,,,,,22.72B,,,,,,,,,1.854B,6.824B,1.554B,8.378B,117.63B,1.642B,,115.99B,41.83B,182.07B,184.65B,6.95B,6.95B,6.95B,,3.285B,3.285B,3.285B,10.24B,23.38B,23.38B,127.48B,94.00M,150.86B,161.10B,6.195B,11.38B,6.385B,2.603B,-500.00M,23.46B
2013-12,1.565B,2.017B,22.10B,24.12B,,,,,24.27B,527.00M,1.288B,1.102B,58.00M,38.00M,633.00M,3.646B,-1.777B,1.869B,6.814B,1.616B,8.43B,117.14B,1.732B,,115.41B,40.20B,180.42B,183.01B,7.095B,7.095B,7.095B,,2.232B,2.232B,2.232B,11.23B,21.49B,21.49B,127.48B,50.00M,148.97B,160.20B,6.136B,11.04B,6.172B,2.603B,-593.00M,22.76B
2013-09,1.811B,2.309B,22.86B,25.17B,,245.00M,245.00M,,25.58B,,,,,,,,,1.876B,6.823B,1.551B,8.374B,118.58B,1.838B,,116.74B,36.92B,177.82B,181.05B,6.257B,6.257B,6.257B,,4.813B,4.813B,4.813B,11.07B,20.40B,20.40B,127.48B,45.00M,147.89B,158.96B,6.128B,10.67B,6.112B,2.603B,-860.00M,22.05B
2013-06,1.444B,2.184B,24.48B,26.66B,,299.00M,299.00M,,27.16B,,,,,,,,,1.893B,6.824B,1.512B,8.336B,118.28B,1.901B,,116.38B,38.76B,179.47B,182.74B,7.106B,7.106B,7.106B,,3.192B,3.192B,3.192B,10.30B,19.36B,19.36B,131.08B,56.00M,150.44B,160.74B,6.118B,10.56B,6.042B,2.603B,-784.00M,21.94B
2013-03,1.322B,2.912B,24.17B,27.08B,,368.00M,368.00M,,27.75B,,,,,,,,,1.88B,6.823B,1.382B,8.205B,117.63B,1.975B,,115.65B,37.92B,177.26B,180.84B,6.701B,6.701B,6.701B,,3.239B,3.239B,3.239B,9.94B,18.32B,18.32B,131.35B,65.00M,149.67B,159.61B,5.623B,10.18B,5.975B,2.116B,-612.00M,21.16B
2012-12,1.975B,2.917B,25.14B,28.05B,,,,,28.18B,547.00M,1.235B,1.141B,59.00M,37.00M,555.00M,3.574B,-1.686B,1.888B,6.804B,1.30B,8.104B,118.36B,2.018B,,116.35B,39.23B,180.71B,184.50B,8.223B,8.223B,8.223B,37.00M,2.309B,2.346B,2.346B,11.09B,19.11B,19.11B,133.08B,65.00M,152.19B,163.28B,5.615B,10.13B,5.973B,2.116B,-559.00M,21.16B
2012-09,,3.341B,,3.341B,656.00M,,656.00M,,4.159B,,,,,,,,,1.94B,6.718B,718.00M,7.436B,117.61B,2.051B,,115.56B,37.81B,177.86B,182.02B,9.157B,9.157B,9.157B,,,,,12.25B,19.22B,19.22B,130.02B,53.00M,149.24B,161.49B,5.177B,9.761B,5.95B,1.679B,-409.00M,20.48B
2012-06,,3.655B,,3.655B,,,831.00M,,4.698B,,,,,,,,,1.816B,6.428B,1.261B,7.689B,113.81B,2.126B,,111.68B,38.18B,173.83B,178.53B,7.787B,7.787B,7.787B,,,,,10.98B,22.56B,22.56B,126.06B,67.00M,148.62B,159.60B,4.053B,9.433B,5.914B,559.00M,-541.00M,18.86B
2012-03,,3.80B,,3.80B,,,949.00M,,5.001B,,,,,,,,,1.822B,6.077B,1.118B,7.195B,110.69B,2.181B,,108.50B,38.45B,169.33B,174.75B,6.509B,6.509B,6.509B,,,,,9.945B,22.77B,22.77B,124.16B,62.00M,146.92B,156.87B,3.492B,9.064B,5.88B,,-616.00M,17.82B
2011-12,1.562B,4.228B,22.31B,26.54B,,1.10B,1.10B,,27.78B,508.00M,1.22B,1.132B,52.00M,37.00M,521.00M,3.47B,-1.615B,1.855B,6.078B,1.006B,7.084B,111.20B,2.256B,,108.95B,36.94B,169.12B,174.58B,6.791B,6.791B,6.791B,,,,,10.36B,21.80B,21.80B,124.94B,62.00M,146.74B,157.10B,3.486B,8.772B,5.873B,,-713.00M,17.42B
2011-09,,4.219B,,4.219B,,,1.221B,,5.625B,,,,,,,,,1.864B,6.016B,1.006B,7.022B,107.45B,2.355B,,105.09B,33.21B,162.03B,167.68B,6.463B,6.463B,6.463B,,,,,10.42B,22.15B,22.15B,117.57B,62.00M,139.72B,150.14B,3.486B,8.493B,5.856B,,-356.00M,17.48B
2011-06,,2.536B,,2.536B,,,1.446B,,4.232B,,,,,,,,,1.846B,6.016B,1.336B,7.352B,105.35B,2.516B,,102.83B,28.52B,155.06B,159.31B,5.975B,5.975B,5.975B,,,,,10.82B,23.38B,23.38B,108.06B,68.00M,131.44B,142.26B,3.484B,8.241B,5.83B,,-574.00M,16.98B
2011-03,,1.895B,,1.895B,,,1.58B,,3.78B,,,,,,,,,1.83B,6.014B,1.411B,7.425B,104.89B,2.641B,,102.25B,26.95B,153.11B,157.04B,5.679B,5.679B,5.679B,,,,,10.86B,22.59B,22.59B,106.91B,59.00M,129.50B,140.37B,3.481B,8.042B,5.794B,,-706.00M,16.61B
2010-12,,2.058B,,2.058B,,,1.922B,,4.307B,495.00M,1.18B,1.117B,,22.00M,540.00M,3.354B,-1.514B,1.84B,6.008B,1.338B,7.346B,107.26B,2.708B,,104.56B,23.80B,152.46B,157.08B,5.967B,5.967B,5.967B,806.00M,3.655B,4.461B,4.461B,11.64B,21.73B,21.73B,107.21B,62.00M,128.94B,140.58B,3.472B,7.935B,5.776B,,-747.00M,16.44B
2010-06,,2.201B,,2.201B,,,,,2.509B,,,,,,,,,1.835B,6.067B,1.234B,7.301B,104.72B,2.723B,,102.00B,24.25B,152.32B,155.08B,5.726B,5.726B,5.726B,,,,,11.81B,22.09B,22.09B,104.45B,64.00M,126.54B,138.34B,3.464B,7.729B,5.72B,,-237.00M,16.68B
2010-03,,1.839B,,1.839B,,,,,2.238B,,,,,,,,,1.798B,6.055B,1.476B,7.531B,104.40B,2.714B,,101.69B,33.30B,161.19B,163.70B,5.001B,5.001B,5.001B,,,,,12.02B,21.43B,21.43B,113.72B,60.00M,135.15B,147.17B,3.459B,7.624B,5.677B,,-292.00M,16.47B
2009-12,,2.251B,,2.251B,,,3.062B,,5.711B,429.00M,1.039B,1.043B,,17.00M,470.00M,2.998B,-1.415B,1.583B,6.053B,1.472B,7.525B,106.21B,2.60B,,103.61B,33.89B,159.78B,165.76B,5.076B,5.076B,5.076B,1.004B,3.484B,4.488B,4.488B,13.18B,21.38B,21.38B,114.96B,50.00M,136.34B,149.52B,3.449B,7.539B,5.62B,,-417.00M,16.19B
2009-09,,1.871B,,1.871B,,,,,2.391B,,,,,,,,,1.591B,6.183B,1.284B,7.467B,107.03B,2.379B,,104.65B,34.82B,162.65B,165.33B,5.002B,5.002B,5.002B,,,,,13.36B,21.32B,21.32B,114.51B,48.00M,135.83B,149.19B,3.437B,7.458B,5.563B,,-364.00M,16.09B
2009-06,,1.987B,,1.987B,,,,,2.234B,,,,,,,,,1.577B,5.491B,1.112B,6.603B,100.33B,2.11B,,98.22B,31.56B,149.90B,152.40B,,,4.701B,,,,,17.33B,18.11B,18.11B,102.16B,45.00M,120.27B,137.61B,3.24B,7.409B,4.828B,,-730.00M,14.75B
2009-03,,1.699B,,1.699B,,,,,2.00B,,,,,,,,,1.583B,5.492B,886.00M,6.378B,100.24B,1.869B,,98.37B,19.49B,141.14B,143.42B,,,4.95B,,,,,18.67B,17.96B,17.96B,90.62B,45.00M,108.57B,127.24B,5.888B,7.385B,3.547B,3.085B,-683.00M,16.14B
2008-12,,2.39B,,2.39B,,,0.00,,2.74B,420.00M,1.008B,1.012B,,69.00M,413.00M,2.922B,-1.342B,1.58B,5.483B,912.00M,6.395B,98.67B,1.574B,,97.10B,33.22B,148.90B,152.02B,8.501B,8.501B,8.501B,1.708B,5.567B,7.275B,7.275B,19.29B,18.03B,18.03B,98.61B,44.00M,116.64B,135.93B,5.878B,7.381B,3.51B,3.082B,-732.00M,16.04B
2008-09,,2.095B,,2.095B,,,,,2.392B,,,,,,,,,1.557B,,,6.448B,96.68B,1.377B,,95.30B,21.08B,134.65B,137.04B,,4.307B,4.307B,,,,,14.38B,21.34B,21.34B,88.39B,,109.72B,124.11B,2.761B,7.357B,3.278B,,-461.00M,12.94B
2008-06,,2.465B,,2.465B,,,,,2.643B,,,,,,,,,1.557B,,,5.811B,95.72B,1.257B,,94.46B,23.17B,133.82B,136.46B,,4.091B,4.091B,,,,,14.90B,20.56B,20.56B,88.21B,,108.77B,123.66B,2.735B,7.258B,3.146B,,-339.00M,12.80B
2008-03,,2.564B,,2.564B,,,,,2.906B,,,,,,,,,1.544B,,,6.106B,93.95B,1.097B,,92.85B,24.10B,133.51B,136.42B,,4.94B,4.94B,,,,,14.55B,21.54B,21.54B,87.48B,,109.02B,123.58B,2.734B,7.087B,3.124B,,-103.00M,12.84B
2007-12,,2.438B,,2.438B,,,,,3.117B,416.00M,989.00M,951.00M,,71.00M,331.00M,2.758B,-1.229B,1.529B,5.194B,961.00M,6.155B,91.69B,1.004B,,90.68B,23.43B,129.29B,132.62B,3.893B,3.893B,3.893B,1.797B,5.117B,6.914B,6.914B,14.53B,18.69B,18.69B,86.77B,,105.46B,119.99B,2.73B,6.919B,3.087B,,-104.00M,12.63B
2007-09,,2.217B,,2.217B,,,,,2.694B,,,,,,,,,1.504B,,,6.156B,90.06B,934.00M,,89.12B,24.65B,128.09B,130.78B,,3.517B,3.517B,,,,,14.14B,19.06B,19.06B,85.18B,,104.24B,118.38B,2.746B,6.759B,3.165B,,-268.00M,12.40B
2007-06,,2.514B,,2.514B,,,,,2.903B,,,,,,,,,1.485B,,,6.195B,88.54B,920.00M,,87.62B,23.32B,124.67B,127.58B,,3.65B,3.65B,,,,,13.06B,18.31B,18.31B,84.08B,,102.39B,115.45B,2.76B,6.568B,3.249B,,-452.00M,12.12B
2007-03,,2.235B,,2.235B,,,,,2.502B,,,,,,,,,1.431B,,,5.833B,85.32B,896.00M,,84.42B,21.80B,119.19B,121.69B,,3.499B,3.499B,,,,,10.27B,19.94B,19.94B,79.84B,,99.78B,110.04B,2.712B,6.364B,2.862B,,-288.00M,11.65B
2006-12,2.024B,2.712B,,2.712B,,,,,2.712B,,,,,,,,,1.41B,4.827B,454.00M,5.281B,82.91B,888.00M,,82.02B,22.87B,118.64B,121.35B,4.644B,4.644B,4.644B,,8.087B,8.087B,8.087B,12.73B,15.90B,15.90B,80.97B,,96.88B,109.61B,2.707B,6.596B,2.801B,,,11.74B
2006-09,,2.521B,,2.521B,,,,,2.861B,,,,,,,,,1.387B,,,5.783B,81.95B,883.50M,,81.07B,21.62B,115.66B,118.52B,,3.330B,3.330B,,,,,10.56B,16.16B,16.16B,80.07B,,96.23B,106.79B,2.703B,6.573B,2.776B,,-317.97M,11.73B
2006-06,,2.722B,,2.722B,,,,,3.087B,,,,,,,,,1.342B,,,5.224B,80.28B,869.88M,,79.41B,21.01B,113.20B,116.28B,,4.615B,4.615B,,,,,11.41B,15.20B,15.20B,78.51B,,93.71B,105.12B,2.684B,6.383B,2.649B,,-551.79M,11.16B
2006-03,,2.306B,,2.306B,,,,,2.716B,,,,,,,,,1.268B,,,4.780B,76.28B,833.23M,,75.45B,20.18B,107.32B,110.03B,,4.098B,4.098B,,,,,10.45B,13.05B,13.05B,75.56B,,88.61B,99.06B,2.678B,6.180B,2.577B,,-464.73M,10.97B
2005-12,,2.596B,,2.596B,,,,,2.882B,,,,,,,,,1.287B,,,4.744B,75.02B,825.00M,,74.20B,20.49B,106.29B,109.17B,,4.078B,4.078B,,,,,10.64B,13.12B,13.12B,74.28B,,87.40B,98.04B,2.715B,5.951B,2.819B,,-356.00M,11.13B
2005-09,,2.322B,,2.322B,,,,,2.652B,,,,,,,,,1.269B,,,4.741B,73.67B,817.78M,,72.85B,20.25B,104.43B,107.08B,,3.794B,3.794B,,,,,10.33B,12.38B,12.38B,73.18B,,85.56B,95.88B,2.740B,5.731B,3.023B,,-298.62M,11.20B
2005-06,,2.465B,,2.465B,,,,,2.829B,,,,,,,,,1.263B,,,4.770B,71.74B,809.32M,,70.93B,20.80B,103.01B,105.84B,,3.821B,3.821B,,,,,10.96B,11.96B,11.96B,71.83B,,83.79B,94.74B,2.734B,5.495B,2.990B,,-128.63M,11.09B
2005-03,,2.053B,,2.053B,,,,,2.328B,,,,,,,,,1.274B,,,4.671B,69.39B,801.57M,,68.59B,20.04B,99.69B,102.02B,,4.074B,4.074B,,3.386B,3.386B,3.386B,13.23B,11.13B,11.13B,66.84B,,77.96B,91.19B,2.743B,5.315B,3.058B,,-290.67M,10.83B
2004-12,,2.785B,,2.785B,,,,,3.025B,,,,,,,,,1.284B,,,4.638B,68.16B,805.00M,,67.36B,19.17B,97.48B,100.51B,,3.827B,3.827B,,1.301B,1.301B,1.301B,10.52B,11.42B,11.42B,67.70B,,79.12B,89.64B,2.752B,5.112B,3.122B,,-111.00M,10.87B
2004-09,,2.087B,,2.087B,,,,,2.343B,,,,,,,,,1.281B,,,4.622B,66.79B,816.59M,,65.98B,18.93B,95.54B,97.88B,,3.722B,3.722B,,6.465B,6.465B,6.465B,10.19B,11.15B,11.15B,65.75B,,76.90B,87.09B,2.762B,4.888B,3.213B,,-69.02M,10.79B
2004-06,,2.281B,,2.281B,,,,,2.458B,,,,,,,,,1.271B,,,4.663B,67.04B,816.33M,,66.22B,17.87B,94.89B,97.35B,,3.404B,3.404B,,6.232B,6.232B,6.232B,9.636B,10.52B,10.52B,66.66B,,77.19B,86.82B,2.777B,4.669B,3.322B,,-242.65M,10.52B
2004-03,,2.118B,,2.118B,,,,,2.378B,,,,,,,,,1.227B,,,4.390B,64.37B,790.27M,,63.58B,17.95B,91.90B,94.28B,,3.356B,3.356B,,5.749B,5.749B,5.749B,9.104B,10.63B,10.63B,64.12B,,74.75B,83.85B,2.740B,4.463B,3.073B,,151.14M,10.43B
2003-12,,2.489B,,2.489B,,,,,2.822B,,,,,,,,,1.201B,,,3.617B,62.31B,784.94M,,61.52B,16.32B,87.64B,90.47B,,3.039B,3.039B,,7.335B,7.335B,7.335B,10.37B,10.81B,10.81B,59.35B,,70.16B,80.53B,2.710B,4.310B,2.894B,,21.57M,9.935B
2003-09,,2.395B,,2.395B,,,,,2.717B,,,,,,,,,1.221B,,,3.642B,61.17B,791.53M,,60.38B,16.80B,87.64B,90.36B,,2.712B,2.712B,,6.295B,6.295B,6.295B,9.007B,9.838B,9.838B,61.30B,,71.13B,80.14B,2.744B,4.181B,3.153B,,137.06M,10.21B
2003-06,,2.597B,,2.597B,,,,,2.597B,,,,,,,,,1.069B,,,1.715B,54.94B,719.58M,,54.22B,16.27B,77.85B,80.44B,,2.926B,2.926B,,4.628B,4.628B,4.628B,7.554B,12.83B,12.83B,52.36B,,65.19B,72.74B,2.361B,4.241B,815.58M,,286.65M,7.703B
2003-03,,2.104B,,2.104B,,,,,2.367B,,,,,,,,,1.072B,,,1.738B,53.78B,716.28M,,53.06B,16.95B,77.28B,79.65B,,3.051B,3.051B,,4.229B,4.229B,4.229B,7.280B,13.57B,13.57B,51.24B,,64.81B,72.09B,2.356B,4.104B,792.96M,,308.36M,7.561B
2002-12,,2.078B,,2.078B,,,,,2.372B,,,,,,,,,1.072B,,,1.723B,53.52B,723.68M,,52.79B,17.80B,77.84B,80.22B,,2.564B,2.564B,,5.397B,5.397B,5.397B,7.961B,13.59B,13.59B,51.28B,,64.87B,72.83B,2.352B,3.912B,793.12M,,330.21M,7.388B
