,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-06,4.971B,5.583B,10.55B,662.00M,3.152B,11.35B,15.17B,,,,1.643B,28.55B,,,,,,,,,,2.781B,7.902B,283.00M,8.185B,5.881B,,,262.00M,17.11B,2015-06,368.00M,101.00M,11.35B,11.82B,3.868B,15.69B,850.00M,,15.00M,865.00M,,865.00M,125.00M,125.00M,,381.00M,17.06B,6.757B,,6.757B,1.913B,,,123.00M,8.793B,25.85B,2.00M,19.61B,14.31B,15.05B,,,,942.00M,19.80B,,2015-06,AOR,Restated
2015-03,5.473B,4.206B,9.679B,703.00M,3.578B,10.89B,15.17B,,,,1.663B,26.51B,,,,,,,,,,2.947B,8.965B,481.00M,9.446B,5.647B,,,287.00M,18.33B,2015-03,393.00M,124.00M,10.89B,11.41B,5.145B,16.55B,850.00M,,18.00M,868.00M,,868.00M,190.00M,190.00M,,,17.61B,6.795B,,6.795B,768.00M,,,129.00M,7.692B,25.30B,2.00M,19.53B,14.08B,15.05B,,,,980.00M,19.54B,,2015-03,AOR,Restated
2014-12,4.105B,3.73B,7.835B,600.00M,,,600.00M,,,,1.048B,26.53B,0.00,535.00M,,3.613B,,143.00M,253.00M,4.544B,-3.058B,1.486B,4.671B,133.00M,4.804B,5.736B,,,6.575B,18.60B,2014-12,107.00M,125.00M,,232.00M,3.83B,4.062B,850.00M,,,850.00M,,850.00M,108.00M,108.00M,,12.51B,17.53B,6.777B,,6.777B,522.00M,,,79.00M,7.695B,25.23B,2.00M,18.90B,13.89B,14.05B,,,,1.171B,19.91B,,2014-12,AOR,Restated
2014-09,4.79B,5.601B,10.39B,755.00M,3.162B,9.962B,13.88B,,,,1.384B,25.65B,,,,,,,,,,2.825B,9.22B,642.00M,9.862B,5.875B,,,260.00M,18.82B,2014-09,339.00M,138.00M,9.962B,10.44B,5.617B,16.06B,250.00M,,,250.00M,,250.00M,185.00M,185.00M,,,16.49B,7.346B,,7.346B,709.00M,,,120.00M,8.175B,24.67B,2.00M,17.88B,13.58B,12.87B,,,,1.223B,19.81B,,2014-09,AOR,Restated
2014-06,3.834B,3.535B,7.369B,765.00M,2.939B,10.04B,13.74B,,,,1.268B,22.38B,,,,,,,,,,2.685B,9.367B,714.00M,10.08B,6.217B,,,279.00M,19.26B,2014-06,312.00M,110.00M,10.04B,10.46B,5.693B,16.15B,,1.20B,3.00M,1.203B,,1.203B,183.00M,183.00M,,,17.54B,4.118B,,4.118B,774.00M,,,240.00M,5.132B,22.67B,2.00M,17.20B,13.40B,12.86B,,,,1.231B,18.97B,,2014-06,AOR,Restated
2014-03,4.415B,3.429B,7.844B,810.00M,2.744B,9.648B,13.20B,,,,1.313B,22.36B,,,,,,,,,,2.686B,9.257B,805.00M,10.06B,5.211B,,,227.00M,18.19B,2014-03,277.00M,120.00M,9.648B,10.04B,5.523B,15.57B,,,4.00M,4.00M,,4.00M,169.00M,169.00M,,,15.74B,4.124B,,4.124B,828.00M,,,243.00M,5.195B,20.94B,2.00M,16.53B,13.20B,11.21B,,,,1.084B,19.61B,,2014-03,AOR,Restated
2013-12,4.494B,4.531B,9.025B,899.00M,2.789B,9.26B,12.95B,,,,1.31B,23.28B,0.00,931.00M,,5.469B,,208.00M,512.00M,7.12B,-4.36B,2.76B,9.267B,941.00M,10.21B,4.971B,,,266.00M,18.20B,2013-12,309.00M,107.00M,9.26B,9.676B,2.799B,12.48B,,,6.00M,6.00M,,6.00M,158.00M,158.00M,,,12.64B,4.117B,,4.117B,841.00M,,,244.00M,5.202B,17.84B,2.00M,18.85B,13.03B,9.396B,,,,1.156B,23.65B,,2013-12,AOR,Restated
2013-09,5.28B,4.991B,10.27B,772.00M,2.434B,9.073B,12.28B,,,,926.00M,23.48B,,,,,,,,,,2.763B,8.566B,863.00M,9.429B,4.138B,,,261.00M,16.59B,2013-09,288.00M,87.00M,9.073B,9.448B,2.008B,11.46B,400.00M,,8.00M,408.00M,,408.00M,164.00M,164.00M,,,12.03B,4.123B,,4.123B,914.00M,,,235.00M,5.272B,17.30B,2.00M,18.00B,12.70B,9.141B,,,,1.205B,22.77B,,2013-09,AOR,Restated
2013-06,6.855B,3.581B,10.44B,743.00M,2.273B,9.012B,12.03B,,,,982.00M,23.45B,,,,,,,,,,2.697B,8.394B,926.00M,9.32B,2.506B,,,581.00M,15.10B,2013-06,313.00M,70.00M,9.012B,9.395B,1.711B,11.11B,400.00M,,10.00M,410.00M,,410.00M,154.00M,154.00M,,,11.67B,4.123B,,4.123B,889.00M,,,217.00M,5.229B,16.90B,2.00M,17.32B,12.50B,8.995B,,,,826.00M,21.65B,,2013-06,AOR,Restated
2013-03,6.53B,2.872B,9.402B,743.00M,2.15B,8.897B,11.79B,,,,1.144B,22.34B,,,,,,,,,,2.575B,8.455B,1.023B,9.478B,3.172B,,,439.00M,15.66B,2013-03,308.00M,70.00M,8.897B,9.275B,1.885B,11.16B,402.00M,,,402.00M,9.00M,411.00M,149.00M,149.00M,,,11.72B,4.10B,5.00M,4.105B,832.00M,,,231.00M,5.168B,16.89B,2.00M,16.68B,12.24B,8.529B,,,,724.00M,21.11B,,2013-03,AOR,Restated
2012-12,6.817B,2.591B,9.408B,822.00M,2.16B,8.094B,11.08B,,,,914.00M,21.40B,0.00,807.00M,,4.39B,,347.00M,413.00M,5.957B,-3.466B,2.491B,8.537B,1.128B,9.665B,3.044B,,,476.00M,15.68B,2012-12,301.00M,63.00M,8.094B,8.458B,1.916B,10.37B,400.00M,,13.00M,413.00M,,413.00M,137.00M,137.00M,,,10.92B,4.106B,,4.106B,972.00M,,,207.00M,5.285B,16.21B,2.00M,16.00B,12.06B,8.053B,,,,856.00M,20.86B,,2012-12,AOR,Restated
2012-09,7.331B,1.804B,9.135B,694.00M,1.792B,4.807B,7.293B,,,,982.00M,17.41B,,,,,,,,,,2.393B,8.492B,1.234B,9.726B,2.50B,,,473.00M,15.09B,2012-09,271.00M,63.00M,4.807B,5.141B,1.776B,6.917B,,,,12.00M,,12.00M,132.00M,132.00M,,,7.061B,4.506B,,4.506B,945.00M,,,77.00M,5.528B,12.59B,2.00M,15.25B,11.81B,7.797B,,,,649.00M,19.91B,,2012-09,AOR,Restated
2012-06,4.038B,1.716B,5.754B,648.00M,1.621B,5.255B,7.524B,,,,,13.28B,,,,,,,,,,2.238B,8.417B,1.272B,9.689B,2.63B,,,423.00M,14.98B,2012-06,257.00M,79.00M,4.295B,4.631B,1.468B,6.099B,,,,564.00M,,564.00M,137.00M,137.00M,,,6.80B,1.518B,,1.518B,956.00M,,,72.00M,2.546B,9.346B,2.00M,14.65B,11.54B,7.75B,,,,464.00M,18.91B,,2012-06,AOR,Restated
2012-03,4.164B,1.707B,5.871B,633.00M,1.517B,4.34B,6.49B,,,,728.00M,13.09B,,,,,,,,,,2.109B,8.44B,1.316B,9.756B,2.861B,,,392.00M,15.12B,2012-03,325.00M,71.00M,4.34B,4.736B,1.53B,6.266B,,,,564.00M,,564.00M,135.00M,135.00M,,,6.965B,1.521B,,1.521B,946.00M,,,66.00M,2.533B,9.498B,2.00M,13.96B,11.28B,7.395B,,,,864.00M,18.71B,,2012-03,AOR,Restated
2011-12,4.691B,1.238B,5.929B,682.00M,1.501B,3.968B,6.196B,169.00M,,48.00M,207.00M,12.66B,0.00,784.00M,,3.519B,,236.00M,338.00M,4.877B,-2.891B,1.986B,8.365B,1.406B,9.771B,2.453B,,,449.00M,14.66B,2011-12,282.00M,397.00M,3.968B,4.647B,388.00M,5.035B,2.00M,550.00M,,552.00M,13.00M,565.00M,110.00M,110.00M,0.00,535.00M,6.734B,1.51B,15.00M,1.525B,1.073B,,,58.00M,2.656B,9.39B,2.00M,13.39B,11.14B,7.155B,,,,549.00M,17.93B,,2011-12,AOR,Restated
2011-09,2.999B,1.014B,4.013B,595.72M,1.187B,3.295B,5.078B,,,,671.77M,9.762B,,,,,,,,,,1.859B,8.342B,1.453B,9.795B,3.019B,,,465.77M,15.14B,2011-09,269.03M,29.20M,3.295B,3.593B,1.428B,5.021B,,,,1.016B,,1.016B,108.27M,108.27M,,,6.145B,1.528B,,1.528B,1.006B,,,56.17M,2.590B,8.735B,1.531M,11.41B,10.99B,6.906B,,,,673.39M,16.17B,,2011-09,AOR,Restated
2011-06,3.266B,1.131B,4.397B,568.86M,1.040B,3.855B,5.464B,,,,,9.861B,,,,,,,,,,1.727B,8.264B,1.444B,9.708B,3.078B,,,459.85M,14.97B,2011-06,246.47M,47.08M,,3.656B,1.367B,5.022B,,,,1.015B,,1.015B,105.39M,105.39M,,,6.143B,1.530B,,1.530B,894.80M,,,,2.481B,8.624B,1.528M,10.92B,10.87B,6.873B,,,,1.291B,16.21B,,2011-06,AOR,Restated
2011-03,5.577B,1.045B,6.623B,454.37M,956.19M,2.551B,3.961B,,,,481.24M,11.07B,,,,,,,,,,1.523B,6.193B,540.71M,6.734B,2.492B,,,189.20M,10.94B,2011-03,184.96M,40.47M,2.551B,2.776B,1.344B,4.120B,,,,300.00M,,300.00M,96.46M,96.46M,,,4.517B,1.494B,,1.494B,645.46M,,,45.38M,2.185B,6.702B,1.513M,10.16B,10.48B,6.091B,,,,751.31M,15.30B,,2011-03,AOR,Restated
2010-12,5.577B,1.045B,6.623B,454.37M,956.19M,2.551B,3.961B,,,,481.24M,11.07B,0.00,688.28M,,2.845B,,140.26M,288.91M,3.963B,-2.439B,1.523B,6.193B,540.71M,6.734B,2.492B,,,189.20M,10.94B,2010-12,184.96M,40.47M,2.551B,2.776B,1.344B,4.120B,,,,300.00M,,300.00M,96.46M,96.46M,,,4.517B,1.494B,,1.494B,645.46M,,,45.38M,2.185B,6.702B,1.513M,10.16B,10.48B,6.091B,,,,751.31M,15.30B,,2010-12,AOR,Restated
2010-09,4.181B,1.182B,5.363B,409.81M,725.58M,2.493B,3.628B,,,,463.76M,9.455B,,,,,,,,,,1.466B,6.121B,586.53M,6.708B,2.101B,,,218.07M,10.49B,2010-09,116.11M,48.55M,2.493B,2.658B,1.057B,3.715B,,,,,,,94.11M,94.11M,,,3.809B,,,,,,,50.20M,1.105B,4.914B,1.505M,9.601B,10.25B,5.678B,,,,858.07M,15.03B,,2010-09,AOR,Restated
2010-06,4.037B,860.44M,4.898B,388.92M,647.32M,2.257B,3.293B,,,,484.20M,8.675B,,,,,,,,,,1.429B,5.922B,610.22M,6.532B,1.828B,,,283.10M,10.07B,2010-06,191.92M,44.85M,2.257B,2.494B,977.96M,3.472B,,,,,,,92.55M,92.55M,,,3.564B,,,,,,,46.86M,1.014B,4.578B,1.50M,9.169B,10.22B,5.378B,,,,161.13M,14.17B,,2010-06,AOR,Restated
2010-03,3.593B,934.90M,4.528B,393.41M,595.27M,2.315B,3.304B,,,,445.70M,8.277B,,,,,,,,,,1.347B,6.130B,703.15M,6.833B,1.978B,,,255.01M,10.41B,2010-03,144.27M,58.58M,2.315B,2.518B,970.88M,3.489B,,,,,,,98.12M,98.12M,,,3.587B,,,,,,,49.60M,978.06M,4.565B,1.495M,8.757B,10.07B,5.377B,,,,674.50M,14.13B,,2010-03,AOR,Restated
2009-12,4.000B,943.99M,4.944B,407.51M,622.85M,2.158B,3.188B,,,,328.11M,8.460B,0.00,431.46M,,2.290B,,331.56M,263.16M,3.316B,-2.002B,1.314B,6.143B,767.81M,6.911B,1.382B,,,341.12M,9.948B,2009-12,192.41M,210.52M,2.158B,2.561B,981.78M,3.543B,,,,,,,99.30M,99.30M,,,3.642B,,,,929.14M,,,49.56M,978.70M,4.621B,1.486M,8.359B,9.986B,5.377B,,,,818.10M,13.79B,,2009-12,AOR,Restated
2009-09,2.558B,601.44M,3.159B,419.98M,511.81M,1.993B,2.925B,,,,389.20M,6.474B,,,,,,,,,,1.294B,8.016B,909.40M,8.926B,479.28M,,,183.86M,10.88B,2009-09,209.33M,50.09M,1.993B,2.253B,961.97M,3.215B,,,,200.00M,,200.00M,231.99M,231.99M,,,3.647B,,,,,,,51.18M,958.53M,4.605B,1.481M,7.004B,9.870B,5.377B,,,,1.253B,12.75B,,2009-09,AOR,Restated
2009-06,2.574B,441.20M,3.015B,422.14M,507.11M,1.906B,2.835B,,,,399.96M,6.250B,,,,,,,,,,1.255B,7.796B,954.36M,8.750B,119.66M,,,191.51M,10.32B,2009-06,186.49M,38.10M,1.906B,2.130B,984.17M,3.115B,,,,400.00M,,400.00M,215.73M,215.73M,,,3.730B,,,,,,,54.66M,914.35M,4.645B,1.478M,6.654B,9.778B,5.377B,,,,865.05M,11.92B,,2009-06,AOR,Restated
2009-03,3.057B,180.28M,3.237B,392.05M,507.57M,1.585B,2.484B,,,,439.21M,6.161B,,,,,,,,,,1.197B,6.783B,657.49M,7.441B,89.36M,,,239.39M,8.967B,2009-03,160.17M,29.60M,1.585B,1.775B,792.19M,2.567B,,,,400.00M,,400.00M,193.20M,193.20M,,,3.160B,,,,,,,47.84M,852.16M,4.012B,1.475M,6.327B,9.646B,5.377B,,,,518.64M,11.12B,,2009-03,AOR,Restated
2008-12,3.189B,163.73M,3.353B,435.20M,570.07M,1.468B,2.473B,,,,460.70M,6.287B,0.00,430.50M,,1.977B,,126.03M,278.40M,2.812B,-1.613B,1.199B,7.025B,736.13M,7.762B,106.18M,,,239.42M,9.306B,2008-12,170.33M,100.42M,1.468B,1.739B,784.77M,2.523B,,,,1.00B,,1.00B,181.60M,181.60M,,,3.705B,,,,,,,49.53M,803.49M,4.509B,1.47M,5.970B,9.586B,5.377B,,,,903.48M,11.08B,,2008-12,AOR,Restated
2008-09,3.343B,301.14M,3.644B,436.46M,,1.556B,1.992B,,,,372.20M,6.008B,,,,,,,,2.527B,-1.311B,1.215B,6.172B,467.61M,6.640B,,,,376.60M,8.232B,2008-09,217.27M,,,217.27M,804.63M,1.022B,,,,,,,180.78M,180.78M,,1.652B,2.855B,,,,639.93M,,,51.80M,691.73M,3.546B,1.465M,5.603B,9.385B,5.377B,,,,1.081B,10.69B,,2008-09,,Restated
