,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2016-06,437.00M,,,,,,167.00M,167.00M,-34.00M,113.00M,113.00M,,,,,,17.00M,-1.00M,763.00M,,2016-06,,-147.00M,,-704.00M,-47.00M,-898.00M,,2016-06,0.00,0.00,45.00M,-500.00M,-455.00M,,,-82.00M,-537.00M,,2016-06,2.686B,-672.00M,2.001B,,2016-06,45.00M,,-500.00M,53.00M,18.00M,,2016-06,AOR
2016-03,482.00M,,,,,,167.00M,167.00M,-28.00M,88.00M,88.00M,,,,,,-120.00M,,641.00M,,2016-03,,-158.00M,,-905.00M,-12.00M,-1.075B,,2016-03,2.216B,2.216B,7.00M,-1.001B,-994.00M,,,,1.222B,,2016-03,1.832B,788.00M,2.686B,,2016-03,7.00M,,-1.001B,31.00M,73.00M,,2016-03,AOR
2015-12,523.00M,,17.00M,17.00M,,,171.00M,171.00M,,78.00M,4.00M,,,,,,371.00M,-86.00M,1.04B,,2015-12,,-129.00M,0.00,-1.09B,-3.00M,-323.00M,,2015-12,-600.00M,-600.00M,48.00M,-637.00M,-589.00M,,,-38.00M,-1.222B,,2015-12,2.415B,-505.00M,1.832B,,2015-12,48.00M,-600.00M,-637.00M,16.00M,14.00M,,2015-12,AOR
2015-09,545.00M,,-110.00M,-110.00M,,,182.00M,182.00M,,93.00M,93.00M,,,,,,-71.00M,-18.00M,686.00M,,2015-09,,-242.00M,-24.00M,525.00M,-12.00M,-867.00M,,2015-09,-250.00M,-250.00M,27.00M,-512.00M,-485.00M,,,-4.00M,-2.354B,,2015-09,4.987B,-2.535B,2.415B,,2015-09,27.00M,-250.00M,-512.00M,41.00M,73.00M,,2015-09,AOR
2015-06,430.00M,,-102.00M,-102.00M,,,174.00M,174.00M,,115.00M,115.00M,,,,,,-136.00M,610.00M,1.156B,,2015-06,,-201.00M,,1.003B,-2.00M,-1.697B,,2015-06,0.00,0.00,108.00M,0.00,108.00M,,,-109.00M,7.00M,,2015-06,5.473B,-534.00M,4.987B,,2015-06,108.00M,0.00,0.00,98.00M,14.00M,,2015-06,AOR
2015-03,449.00M,,,,,,160.00M,160.00M,,93.00M,93.00M,,,,,,-270.00M,650.00M,1.151B,,2015-03,,-96.00M,,-401.00M,-1.00M,-724.00M,,2015-03,,,38.00M,-1.00B,-962.00M,,,-31.00M,-985.00M,,2015-03,6.328B,-558.00M,5.473B,,2015-03,38.00M,,-1.00B,101.00M,74.00M,,2015-03,AOR
2014-12,729.00M,,,,,,164.00M,164.00M,-235.00M,93.00M,18.00M,,,,,,108.00M,803.00M,1.641B,,2014-12,,-200.00M,0.00,1.966B,-6.00M,1.072B,,2014-12,0.00,0.00,122.00M,-1.182B,-1.06B,,,-11.00M,-1.065B,,2014-12,4.79B,1.648B,6.328B,,2014-12,122.00M,0.00,-1.182B,114.00M,15.00M,,2014-12,AOR
2014-09,-19.00M,,,,,,-97.00M,-97.00M,-64.00M,-56.00M,-56.00M,,,,,,135.00M,1.705B,1.368B,,2014-09,,-1.00M,-20.00M,-2.226B,233.00M,-2.616B,,2014-09,2.282B,2.282B,24.00M,-8.00M,16.00M,,,-39.00M,2.281B,,2014-09,3.834B,1.033B,4.79B,,2014-09,24.00M,0.00,-8.00M,87.00M,35.00M,,2014-09,AOR
2014-06,751.00M,,,,,,233.00M,233.00M,-65.00M,158.00M,158.00M,,,,,,248.00M,-59.00M,1.494B,,2014-06,,-215.00M,-31.00M,-1.122B,-235.00M,-1.661B,,2014-06,1.20B,1.20B,99.00M,-1.657B,-1.558B,,,-84.00M,-445.00M,,2014-06,4.415B,-612.00M,3.834B,,2014-06,99.00M,,-1.657B,107.00M,13.00M,,2014-06,AOR
2014-03,-2.326B,,,,,,382.00M,382.00M,3.108B,149.00M,149.00M,,,,,,-343.00M,,1.174B,,2014-03,,-206.00M,-4.00M,745.00M,-3.00M,532.00M,,2014-03,,,55.00M,-1.811B,-1.756B,,,-37.00M,-1.793B,,2014-03,4.494B,-87.00M,4.415B,,2014-03,55.00M,,-1.811B,35.00M,36.00M,,2014-03,AOR
2013-12,61.00M,75.00M,,0.00,,,-373.00M,-373.00M,-291.00M,-114.00M,-226.00M,,,,,,796.00M,,1.713B,,2013-12,,291.00M,-53.00M,-251.00M,387.00M,-2.018B,,2013-12,-400.00M,-400.00M,136.00M,-255.00M,-119.00M,,,-58.00M,-500.00M,,2013-12,5.28B,-805.00M,4.494B,,2013-12,136.00M,,-255.00M,118.00M,14.00M,,2013-12,AOR
2013-09,689.00M,-75.00M,,-75.00M,,,357.00M,357.00M,-89.00M,140.00M,140.00M,,,,,,127.00M,,1.334B,,2013-09,,-317.00M,-70.00M,-2.79B,273.00M,-2.904B,,2013-09,0.00,0.00,57.00M,-146.00M,-89.00M,,,-2.00M,-91.00M,,2013-09,6.855B,-1.661B,5.28B,,2013-09,57.00M,,-146.00M,98.00M,36.00M,,2013-09,AOR
2013-06,640.00M,,,,,,347.00M,347.00M,-103.00M,161.00M,161.00M,,,,,,-227.00M,,1.011B,,2013-06,,-353.00M,-7.00M,152.00M,-163.00M,-371.00M,,2013-06,0.00,0.00,142.00M,-466.00M,-324.00M,,,-28.00M,-352.00M,,2013-06,6.53B,288.00M,6.855B,,2013-06,142.00M,,-466.00M,210.00M,15.00M,,2013-06,AOR
2013-03,677.00M,,,,,,329.00M,329.00M,450.00M,111.00M,111.00M,,,,,,-805.00M,,937.00M,,2013-03,,-299.00M,-8.00M,-378.00M,-34.00M,-719.00M,,2013-03,,,102.00M,-476.00M,-374.00M,,,-37.00M,-411.00M,,2013-03,6.817B,-193.00M,6.53B,,2013-03,102.00M,,-476.00M,40.00M,34.00M,,2013-03,AOR
2012-12,750.00M,0.00,,0.00,,,318.00M,318.00M,,128.00M,-2.00M,,,,,,187.00M,,1.385B,,2012-12,,-296.00M,0.00,-1.175B,-388.00M,-1.859B,,2012-12,0.00,0.00,124.00M,-256.00M,-132.00M,,,1.00M,-131.00M,,2012-12,7.331B,-605.00M,6.817B,,2012-12,124.00M,0.00,-256.00M,32.00M,0.00,,2012-12,AOR
2012-09,597.00M,0.00,,0.00,,,311.00M,311.00M,,122.00M,122.00M,,,,,,-24.00M,,1.154B,,2012-09,,-362.00M,-10.00M,183.00M,-241.00M,-430.00M,,2012-09,2.426B,2.426B,134.00M,-47.00M,87.00M,,,3.00M,2.516B,,2012-09,4.038B,3.24B,7.331B,,2012-09,134.00M,-550.00M,-47.00M,118.00M,0.00,,2012-09,AOR
2012-06,692.00M,-118.00M,,-118.00M,,,290.00M,290.00M,,127.00M,127.00M,,,,,,-354.00M,,768.00M,,2012-06,,-357.00M,14.00M,-107.00M,-131.00M,-581.00M,,2012-06,,,140.00M,-355.00M,-215.00M,,,0.00,-215.00M,,2012-06,4.164B,-28.00M,4.038B,,2012-06,140.00M,,-355.00M,207.00M,15.00M,,2012-06,AOR
2012-03,570.00M,,,,,,281.00M,281.00M,,111.00M,111.00M,,,,,,-565.00M,,531.00M,,2012-03,,-242.00M,-3.00M,-608.00M,-40.00M,-893.00M,,2012-03,,,85.00M,-240.00M,-155.00M,,,-64.00M,-219.00M,,2012-03,4.691B,-581.00M,4.164B,,2012-03,85.00M,,-240.00M,432.00M,0.00,,2012-03,AOR
2011-12,,-1.59B,,-1.59B,,,273.00M,273.00M,,112.00M,-1.329B,,,,,,206.00M,,983.00M,,2011-12,,-291.00M,2.201B,-108.00M,-340.00M,1.462B,,2011-12,250.00M,-450.00M,54.00M,-250.00M,-196.00M,,,-2.00M,-648.00M,,2011-12,2.999B,1.797B,4.691B,,2011-12,54.00M,0.00,-250.00M,91.00M,15.00M,,2011-12,AOR
2011-09,,-56.00M,,-56.00M,,,266.00M,266.00M,,108.00M,491.00M,,,,,,-147.00M,,809.00M,,2011-09,,-284.00M,-308.00M,-217.00M,-155.00M,-964.00M,,2011-09,-13.00M,-13.00M,32.00M,-33.00M,-1.00M,,,-10.00M,-24.00M,,2011-09,3.266B,-179.00M,2.999B,,2011-09,32.00M,750.00M,-33.00M,146.00M,0.00,,2011-09,AOR
2011-06,,239.00M,,239.00M,,,208.00M,208.00M,,119.00M,283.00M,,,,,,-185.00M,,782.00M,,2011-06,,-239.00M,-2.656B,-114.00M,-199.00M,-3.208B,,2011-06,-186.00M,514.00M,83.00M,-424.00M,-341.00M,,,0.00,173.00M,,2011-06,5.464B,-2.253B,3.266B,,2011-06,83.00M,-754.00M,-424.00M,112.00M,14.00M,,2011-06,AOR
2011-03,,,,,,,193.00M,193.00M,,119.00M,476.00M,,,,,,-195.00M,,700.00M,,2011-03,,-149.00M,-191.00M,-255.00M,-2.00M,-597.00M,,2011-03,,0.00,73.00M,-357.00M,-284.00M,,,-55.00M,-339.00M,,2011-03,5.577B,-236.00M,5.464B,,2011-03,73.00M,-195.00M,-357.00M,24.00M,,,2011-03,AOR
2010-12,1.801B,0.00,,0.00,,,191.82M,191.82M,,93.17M,-902.77M,,,,,,-392.95M,,854.24M,,2010-12,,-197.56M,-209.00M,-368.88M,-117.83M,-893.27M,,2010-12,1.789B,1.454B,117.15M,-413.34M,-296.19M,,,336.19M,1.494B,,2010-12,4.181B,1.455B,5.577B,,2010-12,117.15M,0.00,-413.34M,170.97M,,,2010-12,AOR
2010-09,,0.00,,0.00,,,194.34M,194.34M,,93.78M,431.93M,,,,,,-70.90M,,747.11M,,2010-09,,-166.99M,0.00,-297.82M,-90.28M,-555.10M,,2010-09,0.00,334.91M,19.21M,-297.66M,-278.45M,,,-365.91M,-309.45M,,2010-09,4.037B,-117.43M,4.181B,,2010-09,19.21M,99.04M,-297.66M,26.76M,0.00,,2010-09,AOR
2010-06,-397.65M,0.00,,0.00,,,187.82M,187.82M,,91.98M,707.78M,,,,,,-57.64M,,726.38M,,2010-06,,-207.20M,118.00M,143.65M,-189.12M,-134.67M,,2010-06,0.00,0.00,57.52M,0.00,57.52M,,,0.231M,57.75M,,2010-06,3.593B,649.47M,4.037B,,2010-06,57.52M,-99.04M,0.00,136.82M,0.00,,2010-06,AOR
2010-03,397.65M,,,,,,188.02M,188.02M,,102.07M,102.07M,,,,,,-375.51M,,418.26M,,2010-03,,-152.26M,0.00,-684.95M,136.23M,-700.97M,,2010-03,,,42.12M,0.00,42.12M,,,-49.51M,-7.39M,,2010-03,4.000B,-290.10M,3.593B,,2010-03,42.12M,,0.00,311.44M,,,2010-03,AOR
2009-12,1.355B,,,,,,200.78M,200.78M,,92.04M,112.23M,,,,,,300.81M,,770.60M,,2009-12,,-172.94M,1.780B,-597.13M,-128.06M,882.20M,,2009-12,-200.00M,-200.00M,50.73M,0.00,50.73M,,,-14.34M,-163.61M,,2009-12,2.558B,1.489B,4.000B,,2009-12,50.73M,-200.00M,0.00,64.06M,0.129M,,2009-12,AOR
2009-09,349.74M,,,,,,215.07M,215.07M,,92.49M,96.68M,,,,,,-15.73M,,738.24M,,2009-09,,-174.77M,0.00,-394.89M,-33.74M,-603.40M,,2009-09,-200.00M,-200.00M,16.06M,0.00,16.06M,,,-14.44M,-198.38M,,2009-09,2.574B,-63.54M,2.558B,,2009-09,16.06M,-200.00M,0.00,50.29M,0.466M,,2009-09,AOR
2009-06,327.34M,,,,,,197.80M,197.80M,,96.43M,92.68M,,,,,,16.46M,,730.72M,,2009-06,,-128.45M,-1.209B,-38.86M,0.625M,-1.376B,,2009-06,0.00,-116.80M,32.91M,,32.91M,,,114.75M,30.86M,,2009-06,3.057B,-614.55M,2.574B,,2009-06,32.91M,0.00,,94.67M,2.461M,,2009-06,AOR
2009-03,357.11M,,,,,,197.29M,197.29M,,113.85M,81.23M,,,,,,-80.96M,,668.53M,,2009-03,,-90.93M,,-7.65M,46.52M,-52.06M,,2009-03,-600.00M,-483.20M,2.826M,,2.826M,,,-134.14M,-614.52M,,2009-03,3.189B,1.948M,3.057B,,2009-03,2.826M,-600.00M,,133.16M,2.994M,,2009-03,AOR
2008-12,367.19M,,,,,,201.90M,201.90M,-206.64M,83.84M,86.58M,-66.85M,32.80M,-91.19M,10.35M,8.158M,155.77M,,683.94M,,2008-12,,-159.15M,-1.201B,93.81M,-107.87M,-1.374B,,2008-12,1.00B,611.64M,37.18M,0.00,37.18M,,,-46.52M,602.30M,,2008-12,3.343B,-88.18M,3.189B,,2008-12,37.18M,-188.36M,0.00,37.66M,6.502M,,2008-12,AOR
2008-09,492.22M,,,,,,178.58M,178.58M,74.05M,269.48M,-79.62M,229.87M,-5.80M,77.31M,-265.23M,-15.18M,-241.53M,,693.18M,,2008-09,,-150.41M,0.00,-74.52M,-0.165M,-225.10M,,2008-09,-200.00M,0.22M,30.24M,-622.65M,-592.41M,,,-17.65M,-609.84M,,2008-09,3.696B,-141.76M,3.343B,,2008-09,30.24M,-200.00M,-622.65M,329.16M,1.257M,,2008-09,
2008-06,460.34M,,,,,,173.36M,173.36M,-74.05M,-87.38M,254.32M,-229.87M,5.80M,-77.31M,265.23M,15.18M,12.03M,,738.63M,,2008-06,,-121.68M,-10.10M,14.07M,-5.742M,-123.45M,,2008-06,,-0.22M,65.38M,-562.73M,-497.35M,,,14.14M,-483.44M,,2008-06,3.565B,131.74M,3.696B,,2008-06,65.38M,200.00M,-562.73M,-81.98M,-0.851M,,2008-06,
2008-03,459.72M,,,,,,165.98M,165.98M,,87.38M,86.16M,,,,,,-33.00M,,766.24M,,2008-03,,-134.64M,-148.96M,-5.293M,-45.46M,-334.36M,,2008-03,,-200.00M,19.99M,-992.56M,-972.57M,,,-10.31M,-1.183B,,2008-03,4.221B,-751.00M,3.565B,,2008-03,19.99M,-200.00M,-992.56M,81.98M,0.851M,,2008-03,
2007-12,530.89M,,,,,,159.82M,159.82M,-54.44M,,152.19M,38.65M,24.25M,20.74M,58.82M,-138.37M,4.092M,,792.55M,,2007-12,,-127.93M,-543.37M,39.56M,0.782M,-630.96M,,2007-12,,,141.76M,-314.70M,-172.94M,,,15.80M,43.08M,,2007-12,3.913B,204.67M,4.221B,,2007-12,141.76M,,-314.70M,,,,2007-12,
2007-09,-935.64M,,,,,,151.72M,151.72M,-17.76M,,1.545B,-116.69M,4.147M,-414.14M,305.53M,107.48M,-113.67M,,629.49M,,2007-09,,-119.29M,0.00,113.39M,3.411M,-2.489M,,2007-09,,,180.76M,-495.84M,-315.08M,,,39.25M,-275.83M,,2007-09,3.418B,351.17M,3.913B,,2007-09,180.76M,,-495.84M,,,,2007-09,
2007-06,375.82M,,,,,,146.72M,146.72M,-9.145M,,147.92M,-97.40M,0.153M,-4.352M,130.33M,-35.47M,-6.734M,,654.58M,,2007-06,,-121.33M,-61.64M,184.96M,0.959M,2.95M,,2007-06,,,92.29M,-343.78M,-251.49M,,,16.00M,-235.49M,,2007-06,2.967B,422.05M,3.418B,,2007-06,92.29M,,-343.78M,,,,2007-06,
2007-03,377.18M,,,,,,143.45M,143.45M,-42.03M,,141.90M,-35.95M,8.407M,-18.52M,12.43M,-22.36M,-56.00M,,564.49M,,2007-03,,-85.41M,-258.56M,280.17M,1.153M,-62.65M,,2007-03,,,92.16M,-331.08M,-238.93M,,,13.77M,-225.16M,,2007-03,2.663B,276.68M,2.967B,,2007-03,92.16M,,-331.08M,,,,2007-03,
2006-12,346.47M,,,,,,143.62M,143.62M,-96.39M,,170.61M,-145.25M,-30.92M,-104.25M,497.62M,-155.54M,61.66M,,625.96M,,2006-12,,-96.57M,0.00,462.10M,1.638M,367.16M,,2006-12,,,104.41M,-1000.00M,-895.59M,,,15.11M,-880.48M,,2006-12,2.482B,112.64M,2.663B,,2006-12,104.41M,,-1000.00M,,,,2006-12,
2006-09,280.90M,,,-0.002M,,,135.22M,135.22M,-118.16M,,129.60M,-167.62M,-11.39M,-205.79M,322.45M,156.89M,94.55M,,522.11M,,2006-09,,-136.87M,0.00,64.93M,-7.551M,-79.49M,,2006-09,,,34.07M,-666.54M,-632.47M,,,16.29M,-616.18M,,2006-09,2.634B,-173.55M,2.482B,,2006-09,34.07M,,-666.54M,,,,2006-09,
2006-06,249.99M,,,-150.56M,,,142.43M,142.43M,-5.80M,,300.56M,-10.64M,23.34M,-15.76M,-26.82M,8.777M,-21.10M,,515.51M,,2006-06,,-148.43M,-45.50M,282.24M,-1.245M,87.06M,,2006-06,,,94.40M,,94.40M,,,37.60M,132.00M,,2006-06,1.876B,734.57M,2.634B,,2006-06,94.40M,,,,,,2006-06,
2006-03,248.28M,,,150.56M,,,123.29M,123.29M,-7.50M,,,6.847M,51.96M,-117.73M,128.50M,,69.57M,,584.20M,,2006-03,,-133.58M,,-12.31M,,-145.89M,,2006-03,,,80.61M,,80.61M,,,23.37M,103.98M,,2006-03,1.314B,542.30M,1.876B,,2006-03,80.61M,,,,,,2006-03,
2005-12,279.22M,,,,-256.87M,-8.971M,112.33M,112.33M,-38.13M,,177.41M,-116.67M,5.802M,-25.70M,130.03M,1.952M,-4.59M,,526.24M,,2005-12,0.00,-97.75M,-1.613B,118.91M,-12.12M,-1.604B,,2005-12,,0.00,215.46M,,215.46M,,,,215.46M,,2005-12,2.181B,-862.75M,1.314B,,2005-12,215.46M,,,,,,2005-12,
2005-09,254.97M,,,-186.48M,91.90M,5.325M,97.23M,97.23M,62.40M,,293.52M,-22.39M,-8.237M,-11.11M,18.37M,-6.564M,-29.93M,,491.70M,,2005-09,28.29M,-42.18M,-592.13M,346.26M,-0.622M,-288.68M,,2005-09,,0.00,124.72M,,124.72M,,,,124.72M,,2005-09,1.856B,327.75M,2.181B,,2005-09,124.72M,,,,,,2005-09,
2005-06,291.56M,,,57.27M,164.96M,3.646M,88.95M,88.95M,65.19M,,-8.75M,-14.04M,-17.91M,-13.76M,48.02M,,2.309M,,496.53M,,2005-06,,-90.48M,-81.61M,261.45M,-1.953M,87.41M,,2005-06,,0.00,80.39M,,80.39M,,,,80.39M,,2005-06,1.217B,664.33M,1.856B,,2005-06,80.39M,,,,,,2005-06,
