,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2017-12,-12.48M,,,11.45M,5.458M,16.91M,16.91M,-405.15M,,,36.80M,,2.404M,-56.26M,-11.14M,9.727M,618.52M,,,-14.65M,546.20M,184.69M,-6.791M,,-1.364M,-161.73M,-7.962M,-177.84M,0.00,0.00,,-73.29M,-73.29M,-89.49M,-89.49M,0.244M,-3.038M,-165.58M,1.070B,-158.73M,911.46M,,0.00,0.00,-73.29M,3.304M,19.51M
2017-09,173.75M,,,11.73M,3.432M,15.16M,15.16M,12.95M,,,36.37M,,1.478M,-18.45M,-0.187M,-13.36M,-1.618M,,,-3.955M,-37.57M,202.14M,-12.22M,,0.00,108.91M,-5.453M,91.23M,-0.696M,-0.696M,,-170.45M,-170.45M,-86.96M,-86.96M,17.36M,-41.78M,-282.53M,1.059B,10.84M,1.070B,,-0.696M,0.00,-170.45M,16.66M,24.40M
2017-06,157.24M,,,11.23M,3.729M,14.96M,14.96M,24.69M,,,32.04M,,1.23M,-23.65M,11.69M,-5.023M,-13.58M,,,-8.69M,-39.26M,190.91M,-9.926M,,,-219.31M,-3.008M,-232.24M,287.95M,287.95M,,-67.06M,-67.06M,-87.30M,-87.30M,2.003M,-1.596M,134.00M,966.70M,92.66M,1.059B,,745.87M,-457.92M,-67.06M,-1.873M,-5.795M
2017-03,159.05M,0.771M,0.771M,11.51M,4.602M,16.11M,16.11M,-5.761M,,,32.78M,,0.805M,92.64M,-20.95M,7.619M,34.52M,,,-11.26M,102.56M,306.32M,-20.23M,51.82M,,152.21M,2.489M,131.36M,-142.08M,-142.08M,,-108.06M,-108.06M,-81.81M,-81.81M,27.60M,-6.18M,-310.53M,839.55M,127.15M,966.70M,,0.00,-142.08M,-108.06M,-2.156M,12.81M
2016-12,141.85M,0.052M,0.052M,11.11M,4.887M,16.00M,16.00M,42.01M,,,30.87M,,3.019M,-113.10M,-8.886M,-4.854M,8.529M,,,-9.901M,-128.21M,105.58M,-19.88M,-19.88M,,364.82M,-4.905M,340.04M,,,,-213.84M,-213.84M,-83.26M,-83.26M,2.717M,-2.185M,-296.57M,690.49M,149.06M,839.55M,,,,-213.84M,-6.962M,7.875M
2016-09,164.19M,-0.614M,-0.614M,11.18M,4.001M,15.18M,15.18M,34.10M,,,29.80M,,3.018M,-10.74M,-1.581M,-6.809M,-27.36M,,,-15.60M,-62.09M,183.59M,-11.31M,-11.31M,,133.84M,-12.35M,110.18M,0.00,0.00,,-99.98M,-99.98M,-83.88M,-83.88M,25.94M,-27.73M,-185.65M,582.36M,108.13M,690.49M,,0.00,0.00,-99.98M,7.286M,12.81M
2016-06,163.05M,-0.209M,-0.209M,11.62M,3.713M,15.34M,15.34M,-1.493M,,,29.40M,,3.016M,90.44M,-16.83M,3.044M,36.66M,,,16.21M,129.53M,338.64M,-20.64M,-20.64M,,-63.50M,-3.50M,-87.63M,0.00,0.00,,-100.15M,-100.15M,-83.60M,-83.60M,11.92M,-0.626M,-172.46M,503.82M,78.55M,582.36M,,0.00,0.00,-100.15M,1.832M,7.875M
2016-03,145.03M,0.229M,0.229M,12.06M,4.464M,16.52M,16.52M,-5.307M,,,27.52M,,5.015M,-104.28M,17.27M,-1.113M,29.78M,,,-3.911M,-62.25M,126.76M,-14.84M,19.17M,,-309.44M,-4.25M,-328.52M,,,,-143.18M,-143.18M,-78.88M,-78.88M,64.04M,,-192.69M,898.26M,-394.45M,503.82M,,,,-143.18M,5.863M,12.81M
2015-12,130.82M,0.019M,0.019M,13.04M,4.441M,17.48M,17.48M,48.31M,,,31.46M,,3.014M,79.45M,16.93M,8.903M,-9.36M,,,-34.88M,61.05M,292.16M,-6.118M,-6.118M,,30.37M,-5.942M,18.31M,,,,-100.00M,-100.00M,-79.71M,-79.71M,6.897M,,-172.81M,760.61M,137.65M,898.26M,,,,-100.00M,1.441M,7.875M
2015-09,127.30M,-0.388M,-0.388M,12.47M,4.354M,16.83M,16.83M,-0.884M,,,26.68M,,3.009M,-30.64M,9.007M,-8.704M,-27.57M,,,25.71M,-32.20M,140.35M,-5.362M,-5.362M,,143.20M,-0.091M,137.74M,,,,-100.00M,-100.00M,-80.20M,-80.20M,-3.621M,,-183.82M,666.34M,94.27M,760.61M,,,,-100.00M,26.40M,12.81M
2015-06,147.72M,-0.23M,-0.23M,13.25M,4.354M,17.61M,17.61M,2.013M,,,26.32M,,3.01M,-5.373M,9.112M,-0.347M,0.348M,,,-13.18M,-9.443M,186.99M,-7.689M,-7.689M,,-244.11M,0.333M,-251.46M,,,,-100.00M,-100.00M,-80.21M,-80.21M,18.44M,,-161.76M,892.57M,-226.23M,666.34M,,,,-100.00M,19.72M,7.875M
2015-03,134.62M,-6.37M,-6.37M,14.41M,4.092M,18.50M,18.50M,-1.91M,,,19.96M,16.67M,3.13M,-59.12M,14.96M,-1.415M,32.29M,,,14.38M,1.099M,185.70M,-5.937M,-5.937M,,-521.00M,36.74M,-490.20M,,,,-174.99M,-174.99M,-75.61M,-75.61M,71.62M,-54.97M,-233.95M,1.431B,-538.45M,892.57M,,,,-174.99M,16.64M,12.81M
2014-12,168.47M,-3.096M,-3.096M,13.71M,5.048M,18.76M,18.76M,-6.592M,,,29.05M,-2.894M,3.006M,103.13M,16.11M,1.547M,-29.94M,,,-6.815M,84.04M,290.74M,-6.139M,-6.139M,,668.38M,-2.189M,660.05M,,,,-175.00M,-175.00M,-76.17M,-76.17M,13.81M,2.894M,-234.47M,714.70M,716.32M,1.431B,,,,-175.00M,1.113M,7.875M
2014-09,171.52M,-1.742M,-1.742M,13.68M,5.303M,18.98M,18.98M,20.52M,,,28.74M,-11.12M,3.005M,-9.295M,-5.53M,-8.499M,3.396M,,,-6.091M,-26.02M,203.88M,-8.427M,-8.427M,,170.23M,-1.509M,160.29M,,,,-200.00M,-200.00M,-76.96M,-76.96M,-8.663M,11.12M,-274.50M,625.03M,89.67M,714.70M,,,,-200.00M,24.28M,13.03M
2014-06,173.61M,-0.67M,-0.67M,13.47M,5.205M,18.67M,18.67M,5.789M,,,22.11M,-2.66M,3.003M,-13.50M,-22.88M,-4.751M,-57.57M,,,8.971M,-89.73M,130.12M,-9.116M,-9.116M,,-304.32M,-3.742M,-317.18M,,,,-101.02M,-101.02M,-77.42M,-77.42M,14.20M,2.66M,-161.58M,973.68M,-348.64M,625.03M,,,,-101.02M,15.86M,7.875M
2014-03,156.03M,0.055M,9.903M,13.86M,4.98M,18.84M,18.84M,-16.31M,,,25.96M,-10.51M,4.069M,-60.58M,-27.12M,3.175M,84.55M,,,1.384M,1.395M,189.38M,-14.15M,-14.15M,,451.25M,-11.04M,426.06M,,,,-73.96M,-73.96M,-67.04M,-67.04M,100.80M,10.51M,-273.63M,631.88M,341.80M,973.68M,,,,-73.96M,0.88M,10.32M
2013-12,175.88M,0.129M,0.129M,13.60M,5.058M,18.65M,18.65M,26.41M,,,24.34M,-1.334M,3.25M,70.29M,-22.84M,-1.262M,-47.71M,,,-29.42M,-30.94M,216.39M,-10.98M,-10.98M,,17.60M,-10.12M,-3.498M,,,,-97.14M,-97.14M,-67.10M,-67.10M,11.40M,1.334M,-151.51M,570.49M,61.38M,631.88M,,,,-97.14M,1.432M,7.875M
2013-09,141.46M,0.255M,0.255M,13.98M,4.885M,18.86M,18.86M,21.02M,,,23.06M,-16.89M,3.304M,-9.386M,3.261M,-5.617M,66.74M,,,8.881M,63.88M,254.94M,-8.441M,-8.441M,,-159.46M,0.296M,-167.61M,,,,-69.98M,-69.98M,-67.20M,-67.20M,94.03M,16.89M,-26.25M,509.41M,61.08M,570.49M,,,,-69.98M,3.667M,10.78M
2013-06,157.02M,-0.107M,-0.107M,14.03M,4.885M,18.92M,18.92M,22.74M,,,20.95M,-2.021M,4.078M,-38.98M,14.37M,-1.05M,-51.28M,,,-0.44M,-77.37M,144.21M,-11.30M,-11.30M,,-251.92M,36.92M,-226.30M,,,,0.00,0.00,-66.01M,-66.01M,31.94M,2.021M,-32.05M,623.56M,-114.14M,509.41M,,,,0.00,62.24M,7.875M
2013-03,130.62M,-0.326M,-0.326M,13.89M,4.355M,18.25M,18.25M,-92.40M,,,21.25M,-3.844M,6.345M,3.082M,24.91M,-0.021M,70.18M,,,-4.383M,93.77M,173.65M,-6.212M,-6.212M,,-116.14M,-52.73M,-175.08M,,,,0.061M,0.061M,-57.82M,-57.82M,55.77M,3.844M,1.849M,623.14M,0.421M,623.56M,,,,0.061M,0.058M,10.78M
2012-12,103.65M,-0.748M,-0.748M,13.68M,4.423M,18.10M,18.10M,12.40M,,,19.76M,-1.546M,3.774M,-9.987M,-21.69M,-0.91M,2.171M,,,-2.408M,-32.83M,122.57M,-8.075M,-8.075M,,-25.46M,-4.70M,-38.23M,,,,-19.60M,-19.60M,-57.33M,-57.33M,19.06M,1.546M,-56.32M,595.12M,28.02M,623.14M,,,,-19.60M,1.095M,7.875M
2012-09,123.44M,-1.029M,-1.029M,14.15M,4.188M,18.34M,18.34M,15.75M,,,19.25M,-3.96M,3.973M,35.67M,-10.46M,3.283M,3.767M,,,-10.65M,21.62M,197.37M,-7.636M,-7.636M,,19.13M,-23.86M,-12.37M,,,,-87.44M,-87.44M,-57.26M,-57.26M,24.67M,3.96M,-116.07M,526.19M,68.93M,595.12M,,,,-87.44M,1.352M,10.78M
2012-06,129.83M,-0.712M,-0.712M,14.60M,4.267M,18.87M,18.87M,20.15M,,,17.61M,-0.806M,4.567M,-42.98M,11.14M,2.648M,12.77M,,,-10.14M,-26.56M,162.95M,-8.342M,-8.342M,,-273.70M,-3.788M,-285.83M,,,,-90.71M,-90.71M,-58.07M,-58.07M,8.221M,0.806M,-139.75M,788.82M,-262.63M,526.19M,,,,-90.71M,4.47M,7.875M
2012-03,122.40M,-1.104M,-1.104M,14.70M,4.327M,19.03M,19.03M,72.29M,,,18.91M,-3.384M,3.96M,-3.833M,40.50M,-1.903M,-6.032M,,,-52.34M,-23.61M,208.49M,-19.67M,-19.67M,,-55.18M,-4.933M,-79.79M,,,,0.00,0.00,-49.99M,-49.99M,45.40M,3.384M,-1.207M,661.32M,127.50M,788.82M,,,,0.00,-7.532M,10.78M
2011-12,407.67M,-0.34M,-0.34M,13.86M,4.327M,18.19M,18.19M,0.508M,-7.732M,,17.84M,-0.645M,-270.12M,5.284M,2.355M,2.161M,-3.072M,,,8.867M,15.60M,180.97M,-18.98M,-18.98M,,-24.24M,0.621M,-42.60M,,,-51.89M,-42.45M,-94.34M,-150.37M,-49.57M,63.26M,0.645M,-80.00M,602.95M,58.37M,661.32M,-51.89M,,,-42.45M,1.278M,7.875M
2011-09,,-0.737M,-0.737M,13.40M,4.326M,17.72M,17.72M,1.23M,3.876M,,16.90M,-1.899M,127.74M,28.27M,2.787M,0.087M,-3.342M,,,6.959M,34.76M,199.58M,-17.63M,-17.63M,,-402.21M,-4.518M,-424.35M,,,26.47M,-111.54M,-85.07M,50.46M,-50.35M,,1.899M,-133.52M,961.24M,-358.28M,602.95M,26.47M,,,-111.54M,2.189M,10.78M
2011-06,,-0.334M,-0.334M,13.70M,3.71M,17.41M,17.41M,5.301M,3.856M,,13.77M,-6.029M,154.02M,41.78M,14.48M,-7.746M,-3.988M,,,5.178M,49.71M,237.69M,-13.79M,-13.79M,,-370.38M,-29.99M,-414.16M,,,25.42M,-65.65M,-40.23M,-50.46M,-50.46M,,6.029M,-84.66M,1.222B,-261.12M,961.24M,25.42M,,,-65.65M,1.618M,7.875M
2011-03,,-0.257M,-0.257M,12.92M,2.972M,15.90M,15.90M,114.04M,-10.08M,,14.96M,-4.729M,-462.05M,83.22M,-22.05M,0.148M,-137.03M,,,11.03M,-64.68M,244.97M,-16.66M,-16.66M,,-137.33M,-32.68M,-186.67M,0.00,0.00,-69.95M,0.00,-69.95M,-42.12M,-42.12M,200.57M,-25.48M,63.01M,1.101B,121.31M,1.222B,-69.95M,0.00,,0.00,7.032M,10.78M
2010-12,,0.634M,0.634M,12.50M,1.873M,14.37M,14.37M,-0.262M,3.818M,,14.75M,-0.598M,151.91M,187.11M,-72.14M,4.264M,102.53M,,,-73.86M,147.90M,332.53M,-14.88M,-14.88M,,-1.784M,-0.40M,-17.06M,0.00,0.00,24.39M,-2.634M,21.76M,-41.49M,-41.49M,0.00,30.81M,11.08M,774.50M,326.54M,1.101B,24.39M,0.00,,-2.634M,-12.53M,8.137M
2010-09,,-3.65M,-3.65M,12.75M,1.943M,14.69M,14.69M,0.459M,4.203M,,15.42M,-1.058M,170.79M,-201.36M,-18.57M,32.02M,6.213M,,,22.46M,-159.24M,41.62M,-15.18M,-15.18M,,-131.22M,0.00,-146.40M,-0.356M,-0.356M,40.76M,-32.98M,7.782M,-41.64M,-41.64M,0.00,1.058M,-33.16M,912.44M,-137.94M,774.50M,40.76M,-0.356M,,-32.98M,17.26M,10.91M
2010-06,,-0.548M,-0.548M,12.19M,1.743M,13.93M,13.93M,0.188M,2.063M,,15.12M,-1.021M,159.07M,-92.67M,-20.97M,-41.29M,12.00M,,,59.16M,-83.76M,105.04M,-18.27M,-18.27M,,-256.04M,-1.00M,-275.31M,588.00M,588.00M,4.796M,-433.33M,-428.54M,-43.82M,-43.82M,-65.41M,1.021M,51.26M,1.031B,-119.01M,912.44M,4.796M,588.00M,,-433.33M,18.80M,0.00
2010-03,-208.95M,-0.363M,-0.363M,12.25M,3.205M,15.45M,15.45M,61.34M,0.999M,0.764M,15.47M,-14.55M,356.82M,-31.66M,-1.896M,-3.902M,-12.70M,,2.737M,-75.69M,-123.11M,103.87M,-10.61M,-10.61M,,21.54M,-2.27M,8.662M,0.00,0.00,35.84M,-125.00M,-89.16M,,-44.03M,0.00,14.55M,-118.64M,1.038B,-6.107M,1.031B,35.84M,0.00,,-125.00M,6.631M,10.78M
2009-12,106.91M,-0.085M,-0.085M,12.87M,3.21M,16.08M,16.08M,-7.662M,0.982M,3.041M,15.52M,-4.156M,0.008M,-4.405M,-27.74M,-3.482M,58.30M,,1.64M,30.53M,54.85M,185.48M,-8.693M,-8.693M,,-114.40M,2.816M,-120.28M,0.00,0.00,13.12M,-25.00M,-11.88M,,-44.30M,0.00,0.429M,-55.75M,1.028B,9.444M,1.038B,13.12M,0.00,,-25.00M,6.953M,0.00
2009-09,64.04M,0.031M,0.031M,12.06M,3.26M,15.32M,15.32M,,0.964M,,11.76M,3.316M,0.173M,-30.74M,0.118M,20.41M,20.52M,,26.02M,-13.96M,22.38M,117.98M,-4.133M,-4.133M,,103.06M,-2.10M,96.83M,0.00,0.00,15.48M,0.00,15.48M,,-38.74M,0.00,0.195M,-23.07M,836.38M,191.74M,1.028B,15.48M,0.00,,0.00,1.294M,10.78M
2009-06,38.01M,0.066M,0.066M,13.01M,5.307M,18.32M,18.32M,,0.947M,,13.73M,16.71M,-0.723M,20.46M,18.74M,-22.20M,11.78M,,-12.63M,43.77M,59.92M,146.97M,-4.714M,-4.714M,,-316.51M,-0.716M,-321.94M,0.00,0.00,0.436M,0.00,0.436M,,-38.57M,0.00,-16.49M,-54.63M,1.066B,-229.61M,836.38M,0.436M,0.00,,0.00,16.99M,
2009-03,78.04M,0.034M,-16.71M,13.46M,3.262M,16.73M,16.73M,,0.992M,0.967M,13.32M,3.556M,-0.895M,-2.80M,29.32M,4.129M,-29.18M,,-9.147M,-75.30M,-82.97M,60.85M,-6.398M,-6.398M,,69.20M,-0.30M,62.50M,-46.86M,-46.86M,20.24M,0.00,20.24M,,-38.55M,,0.02M,-65.15M,1.008B,58.20M,1.066B,20.24M,,-46.86M,0.00,15.98M,11.77M
2008-12,119.44M,0.549M,-57.74M,13.44M,4.069M,17.51M,17.51M,,1.218M,19.54M,13.04M,-0.823M,1.086M,20.49M,-7.60M,33.23M,-20.72M,,-22.63M,12.44M,15.21M,128.48M,-11.06M,-11.06M,,370.65M,0.00,359.59M,-146.32M,-146.32M,2.792M,0.00,2.792M,,-38.36M,,0.20M,-181.69M,701.41M,306.38M,1.008B,2.792M,,-146.32M,0.00,2.948M,1.43M
2008-09,81.06M,-2.884M,-2.884M,13.31M,4.176M,17.48M,17.48M,,1.301M,29.00M,13.72M,-2.717M,0.011M,-28.60M,-1.484M,-12.16M,-12.54M,,-5.648M,18.15M,-42.28M,94.70M,-11.78M,-11.78M,,-36.66M,-0.493M,-48.93M,,,48.16M,-125.00M,-76.84M,,-38.70M,,1.695M,-113.84M,769.48M,-68.07M,701.41M,48.16M,,,-125.00M,11.42M,15.62M
2008-06,83.18M,-0.405M,-0.405M,15.42M,4.175M,19.60M,19.60M,,1.278M,4.621M,14.42M,-0.551M,-0.299M,43.67M,-10.21M,-14.89M,12.34M,,-11.89M,17.64M,36.66M,158.50M,-9.873M,-9.873M,,-88.75M,,-98.62M,,,28.67M,-150.00M,-121.33M,,-38.93M,,2.864M,-157.40M,867.00M,-97.52M,769.48M,28.67M,,,-150.00M,45.03M,
2008-03,96.48M,,3.942M,13.88M,4.219M,18.10M,18.10M,-48.81M,,,,,11.88M,-19.86M,1.572M,13.54M,29.41M,,-23.68M,19.30M,20.28M,101.87M,-6.238M,-6.238M,,548.14M,-0.75M,541.15M,,,47.27M,-200.00M,-152.73M,,-34.09M,,10.40M,-176.42M,400.40M,466.60M,867.00M,47.27M,,,-200.00M,,
2007-12,103.59M,,0.245M,13.50M,4.328M,17.82M,17.82M,22.16M,,,,,17.76M,7.307M,-3.284M,10.57M,-0.483M,,53.75M,-21.71M,46.15M,207.74M,-10.74M,-10.74M,,49.18M,8.776M,47.22M,,,9.775M,-200.00M,-190.22M,,-34.48M,,1.835M,-222.87M,368.30M,32.10M,400.40M,9.775M,,,-200.00M,,
2007-09,89.70M,,0.195M,14.38M,4.604M,18.98M,18.98M,9.094M,,,,,16.42M,-28.21M,16.80M,8.201M,18.35M,,-8.60M,4.123M,10.67M,145.07M,-13.02M,-13.02M,,-235.72M,-1.041M,-249.78M,,,28.36M,-150.00M,-121.64M,,-35.68M,,2.378M,-154.94M,627.96M,-259.66M,368.30M,28.36M,,,-150.00M,,
2007-06,84.28M,,0.757M,12.45M,4.605M,17.05M,17.05M,18.22M,,,,,16.80M,-26.10M,28.55M,2.847M,-19.04M,,1.159M,1.798M,-10.78M,126.32M,-15.60M,-15.60M,,-129.37M,-1.60M,-146.57M,,,40.20M,,40.20M,,-35.72M,,7.843M,12.33M,635.88M,-7.915M,627.96M,40.20M,,,,,
2007-03,87.63M,,0.085M,17.90M,4.536M,22.43M,22.43M,29.91M,,,,,25.72M,-34.58M,10.41M,13.55M,18.84M,,-70.37M,2.015M,-60.14M,105.63M,-63.18M,-63.18M,,81.62M,0.00,18.44M,,,43.02M,-1.03B,-986.98M,,-29.61M,,8.357M,-28.24M,540.05M,95.83M,635.88M,43.02M,,,-1.03B,,
2006-12,87.51M,,-0.269M,12.59M,4.437M,17.03M,17.03M,-24.32M,,,,,26.20M,38.51M,13.37M,9.871M,-13.76M,,28.88M,-9.859M,67.02M,173.17M,-20.60M,-20.60M,,-370.94M,-0.583M,-392.12M,,,29.48M,-150.00M,-120.52M,,-30.06M,,5.999M,-144.58M,903.58M,-363.54M,540.05M,29.48M,,,-150.00M,,
2006-09,93.05M,,-1.846M,12.82M,4.467M,17.29M,17.29M,3.792M,,,,,21.30M,-34.01M,-4.731M,16.05M,1.297M,,13.88M,-6.574M,-14.09M,119.50M,-14.03M,-14.03M,,93.07M,0.00,79.04M,,,26.96M,-125.00M,-98.04M,,-30.33M,,4.174M,-124.19M,829.24M,74.35M,903.58M,26.96M,,,-125.00M,,
2006-06,82.49M,,0.813M,12.68M,4.486M,17.17M,17.17M,1.241M,,,,,29.58M,41.99M,9.562M,-3.817M,1.529M,,-26.08M,-1.218M,21.97M,153.26M,-12.96M,-12.96M,,24.81M,-0.981M,10.88M,,,28.68M,-125.00M,-96.32M,,-30.83M,,8.883M,-118.27M,783.37M,45.87M,829.24M,28.68M,,,-125.00M,,
2006-03,110.74M,,21.19M,14.15M,4.408M,18.56M,18.56M,29.32M,,,,,,-51.81M,10.85M,3.233M,-7.827M,47.76M,-69.07M,,-96.76M,83.78M,-22.48M,-22.48M,,225.84M,-0.327M,183.56M,,,41.23M,-125.00M,-83.77M,,-24.11M,,,-107.88M,623.91M,159.46M,783.37M,41.23M,,,-125.00M,,
2005-12,80.97M,,10.05M,12.73M,3.947M,16.68M,16.68M,-3.271M,,,,,,49.24M,-12.22M,-4.54M,-11.40M,10.79M,53.86M,,85.74M,190.16M,-13.83M,-13.83M,,24.64M,-8.599M,2.215M,,,13.64M,-125.15M,-111.51M,,-23.98M,,,-135.50M,567.03M,56.88M,623.91M,13.64M,,,-125.15M,,
2005-09,85.60M,,12.70M,13.05M,4.088M,17.14M,17.14M,1.569M,,,,,,3.089M,-17.67M,-30.01M,13.78M,-46.05M,21.82M,,-55.05M,61.96M,-15.72M,-15.72M,,106.13M,-4.134M,86.28M,,,32.92M,-86.74M,-53.82M,,-24.54M,,,-78.36M,497.15M,69.88M,567.03M,32.92M,,,-86.74M,,
