,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-12,598.60M,598.60M,177.97M,420.63M,92.75M,166.23M,0.353M,,11.22M,17.74M,6.514M,,259.34M,161.30M,17.74M,11.22M,6.514M,-1.045M,6.514M,166.77M,179.25M,-12.48M,,-12.48M,-12.48M,194.90M,16.91M,177.99M,-0.05,,,-0.05,-0.05,-0.05,,,-0.05,-0.05,254.09M,254.09M,0.35
2017-09,627.42M,627.42M,185.68M,441.73M,91.05M,157.98M,0.51M,,11.03M,13.83M,2.803M,,249.55M,192.19M,13.83M,11.03M,2.803M,-0.972M,2.803M,194.02M,20.27M,173.75M,,173.75M,173.75M,220.21M,15.16M,205.05M,0.7,,,0.7,0.7,0.67,,,0.67,0.67,248.09M,258.22M,0.35
2017-06,602.81M,602.81M,190.82M,411.99M,89.18M,153.05M,0.705M,,12.08M,13.41M,1.333M,,242.93M,169.06M,13.41M,12.08M,1.333M,0.506M,1.333M,170.89M,13.65M,157.24M,,157.24M,157.24M,197.94M,14.96M,182.98M,0.63,,,0.63,0.63,0.59,,,0.59,0.59,247.91M,265.80M,0.35
2017-03,616.86M,616.86M,186.23M,430.64M,84.80M,164.26M,1.184M,,12.34M,13.05M,0.71M,,250.24M,180.40M,13.05M,12.34M,0.71M,-2.894M,0.71M,178.22M,19.17M,159.05M,,159.05M,159.05M,206.67M,16.11M,190.56M,0.62,,,0.62,0.62,0.57,,,0.57,0.57,250.77M,267.71M,0.33
2016-12,585.69M,585.69M,178.23M,407.46M,83.78M,159.25M,1.455M,,13.87M,14.50M,0.632M,,244.48M,162.97M,14.50M,13.87M,0.632M,-1.024M,0.632M,162.58M,20.73M,141.85M,,141.85M,141.85M,192.45M,16.00M,176.45M,0.57,,,0.57,0.57,0.52,,,0.52,0.52,250.98M,270.78M,0.33
2016-09,579.21M,579.21M,175.88M,403.33M,83.46M,141.81M,1.244M,,13.87M,12.10M,-1.772M,,226.52M,176.81M,12.10M,13.87M,-1.772M,0.621M,-1.772M,175.66M,11.47M,164.19M,,164.19M,164.19M,204.72M,15.18M,189.53M,0.65,,,0.65,0.65,0.61,,,0.61,0.61,253.47M,270.37M,0.33
2016-06,574.98M,574.98M,168.30M,406.68M,83.11M,136.12M,1.244M,,13.87M,11.47M,-2.402M,,220.48M,186.20M,11.47M,13.87M,-2.402M,-2.185M,-2.402M,181.62M,18.57M,163.05M,,163.05M,163.05M,210.82M,15.34M,195.49M,0.64,,,0.64,0.64,0.61,,,0.61,0.61,252.90M,266.21M,0.33
2016-03,571.07M,571.07M,175.80M,395.27M,80.28M,135.64M,1.244M,,13.86M,11.44M,-2.424M,,217.17M,178.10M,11.44M,13.86M,-2.424M,-5.839M,-2.424M,169.84M,24.80M,145.03M,,145.03M,145.03M,200.23M,16.52M,183.70M,0.57,,,0.57,0.57,0.54,,,0.54,0.54,256.26M,268.52M,0.31
2015-12,566.24M,566.24M,178.51M,387.72M,84.47M,141.38M,1.769M,,13.87M,12.64M,-1.226M,,227.62M,160.10M,12.64M,13.87M,-1.226M,-3.827M,-1.226M,155.05M,24.23M,130.82M,,130.82M,130.82M,186.40M,17.48M,168.92M,0.51,,,0.51,0.51,0.49,,,0.49,0.49,256.45M,269.61M,0.31
2015-09,527.57M,527.57M,157.64M,369.93M,84.76M,130.22M,1.769M,,13.86M,8.124M,-5.738M,,216.75M,153.18M,8.124M,13.86M,-5.738M,-3.475M,-5.738M,143.97M,16.67M,127.30M,,127.30M,127.30M,174.66M,16.83M,157.83M,0.49,,,0.49,0.49,0.48,,,0.48,0.48,257.64M,266.05M,0.31
2015-06,549.01M,549.01M,159.95M,389.05M,82.14M,126.65M,1.769M,,13.86M,7.975M,-5.887M,,210.56M,178.49M,7.975M,13.86M,-5.887M,-4.64M,-5.887M,167.97M,20.25M,147.72M,,147.72M,147.72M,199.44M,17.61M,181.83M,0.57,,,0.57,0.57,0.55,,,0.55,0.55,258.02M,270.73M,0.31
2015-03,566.90M,566.90M,170.38M,396.52M,79.20M,131.94M,2.37M,,13.86M,7.608M,-6.256M,,213.51M,183.01M,7.608M,13.86M,-6.256M,-17.28M,-6.256M,159.48M,24.86M,134.62M,,134.62M,134.62M,191.84M,18.50M,173.34M,0.52,,,0.52,0.52,0.5,,,0.5,0.5,263.02M,271.36M,0.29
2014-12,593.55M,593.55M,179.64M,413.91M,88.08M,133.46M,2.371M,,13.86M,11.38M,-2.484M,,223.90M,190.01M,11.38M,13.86M,-2.484M,-1.523M,-2.484M,186.00M,17.54M,168.47M,,168.47M,168.47M,218.62M,18.76M,199.86M,0.64,,,0.64,0.64,0.62,,,0.62,0.62,262.88M,273.80M,0.29
2014-09,604.26M,604.26M,169.62M,434.64M,93.88M,138.34M,2.378M,,13.84M,8.392M,-5.453M,,234.60M,200.05M,8.392M,13.84M,-5.453M,-0.278M,-5.453M,194.32M,22.80M,171.52M,,171.52M,171.52M,227.14M,18.98M,208.16M,0.64,,,0.64,0.64,0.62,,,0.62,0.62,265.94M,275.80M,0.29
2014-06,612.63M,612.63M,189.19M,423.44M,92.51M,122.01M,2.418M,,13.86M,8.501M,-5.364M,,216.94M,206.50M,8.501M,13.86M,-5.364M,-0.858M,-5.364M,200.28M,26.67M,173.61M,,173.61M,173.61M,232.82M,18.67M,214.14M,0.65,,,0.65,0.65,0.62,,,0.62,0.62,267.65M,281.58M,0.29
2014-03,617.82M,617.82M,199.94M,417.88M,98.09M,127.81M,2.462M,-9.848M,13.08M,7.568M,-5.512M,,228.36M,189.52M,7.568M,13.08M,-5.512M,-8.155M,-5.512M,175.85M,19.82M,156.03M,,156.03M,164.76M,207.77M,18.84M,188.93M,0.58,,,0.6127,0.58,0.53,,,0.5598,0.53,267.52M,293.44M,0.25
2013-12,586.82M,586.82M,180.79M,406.02M,91.79M,128.09M,2.589M,19.19M,14.05M,9.545M,-4.505M,,222.48M,183.55M,9.545M,14.05M,-4.505M,18.89M,-4.505M,197.93M,22.06M,175.88M,,175.88M,158.80M,230.64M,18.65M,211.98M,0.66,,,0.5962,0.66,0.61,,,0.5507,0.61,267.78M,288.20M,0.25
2013-09,598.94M,598.94M,182.82M,416.12M,96.34M,125.00M,2.418M,-28.60M,13.05M,5.363M,-7.684M,,223.76M,192.36M,5.363M,13.05M,-7.684M,-31.91M,-7.684M,152.76M,11.30M,141.46M,,141.46M,168.06M,184.67M,18.86M,165.81M,0.53,,,0.6291,0.53,0.49,,,0.5815,0.49,268.48M,290.68M,0.25
2013-06,578.96M,578.96M,179.70M,399.26M,92.39M,111.54M,2.418M,,13.86M,5.603M,-8.256M,,206.35M,192.91M,5.603M,13.86M,-8.256M,-1.674M,-8.256M,182.98M,25.96M,157.02M,,157.02M,157.02M,215.76M,18.92M,196.84M,0.59,,,0.59,0.59,0.56,,,0.56,0.56,264.15M,280.29M,0.25
2013-03,532.17M,532.17M,180.59M,351.58M,90.73M,111.13M,2.487M,0.00,13.53M,6.391M,-7.135M,,204.35M,147.23M,6.391M,13.53M,-7.135M,-1.767M,-7.135M,138.32M,7.705M,130.62M,,130.62M,130.62M,170.10M,18.25M,151.85M,0.5,,,0.5,0.5,0.47,,,0.47,0.47,261.44M,274.71M,0.22
2012-12,509.77M,509.77M,170.49M,339.27M,86.82M,129.06M,2.554M,0.00,13.52M,7.12M,-6.397M,,218.43M,120.84M,7.12M,13.52M,-6.397M,1.248M,-6.397M,115.69M,12.04M,103.65M,,103.65M,103.65M,147.31M,18.10M,129.21M,0.4,,,0.4,0.4,0.38,,,0.38,0.38,260.69M,271.17M,0.22
2012-09,543.93M,543.93M,187.71M,356.22M,91.93M,113.89M,2.319M,0.00,13.72M,6.271M,-7.446M,,208.13M,148.09M,6.271M,13.72M,-7.446M,-2.557M,-7.446M,138.08M,14.65M,123.44M,,123.44M,123.44M,170.14M,18.34M,151.80M,0.47,,,0.47,0.47,0.46,,,0.46,0.46,260.60M,270.26M,0.22
2012-06,582.78M,582.78M,198.41M,384.37M,96.20M,121.45M,2.148M,,13.70M,5.792M,-7.903M,,219.80M,164.58M,5.792M,13.70M,-7.903M,-1.769M,-7.903M,154.90M,25.07M,129.83M,,129.83M,129.83M,187.47M,18.87M,168.60M,0.49,,,0.49,0.49,0.47,,,0.47,0.47,263.06M,273.82M,0.22
2012-03,558.97M,558.97M,187.58M,371.40M,91.26M,115.24M,1.981M,-15.40M,13.67M,6.269M,-7.405M,,208.48M,162.91M,6.269M,13.67M,-7.405M,-15.12M,-7.405M,140.39M,17.98M,122.40M,,122.40M,135.83M,173.09M,19.03M,154.06M,0.47,,,0.5211,0.47,0.45,,,0.4991,0.45,262.58M,273.49M,0.19
2011-12,511.09M,511.09M,174.80M,336.29M,88.93M,108.24M,1.982M,0.00,13.65M,5.886M,-7.768M,,199.16M,137.12M,5.886M,13.65M,-7.768M,0.581M,-7.768M,129.94M,2.924M,127.01M,,127.01M,127.01M,161.78M,18.19M,143.59M,0.49,,,0.49,0.49,0.47,,,0.47,0.47,261.26M,267.88M,0.19
2011-09,555.21M,555.21M,200.56M,354.64M,88.68M,105.77M,1.982M,-4.533M,13.63M,6.20M,-7.434M,,196.44M,158.21M,6.20M,13.63M,-7.434M,-4.533M,-7.434M,146.24M,19.96M,126.29M,,126.29M,130.18M,177.60M,17.72M,159.88M,0.48,0.0,,0.4948,0.48,0.47,0.0,,0.4846,0.47,264.01M,267.93M,0.19
2011-06,615.46M,615.46M,223.13M,392.33M,96.40M,106.02M,1.623M,0.461M,13.61M,5.342M,-8.272M,,204.04M,188.30M,5.342M,13.61M,-8.272M,0.461M,-8.272M,180.48M,26.11M,154.37M,,154.37M,153.98M,211.51M,17.41M,194.10M,0.58,0.0,,0.5785,0.58,0.56,0.0,,0.5586,0.56,265.31M,276.08M,0.19
2011-03,587.85M,587.85M,203.70M,384.15M,92.86M,102.97M,1.034M,-11.66M,13.59M,4.815M,-8.779M,,196.86M,187.28M,4.815M,13.59M,-8.779M,-9.694M,-8.779M,168.81M,8.76M,160.05M,,160.05M,171.11M,198.30M,15.90M,182.41M,0.61,,,0.6523,0.61,0.6,,,0.6416,0.6,261.12M,265.91M,0.16
2010-12,567.19M,567.19M,194.42M,372.77M,86.53M,98.45M,0.00,1.213M,13.34M,4.55M,-8.791M,,184.98M,187.79M,4.55M,13.34M,-8.791M,1.213M,-8.791M,180.21M,27.87M,152.34M,,152.34M,151.32M,207.92M,14.37M,193.55M,0.59,0.0,,0.586,0.59,0.58,0.0,,0.5761,0.58,259.42M,263.61M,0.16
2010-09,619.67M,619.67M,213.26M,406.41M,87.17M,96.58M,0.00,1.98M,10.01M,4.542M,-5.464M,,183.75M,222.65M,4.542M,10.01M,-5.464M,1.98M,-5.464M,219.17M,48.28M,170.90M,,170.90M,169.35M,243.87M,14.69M,229.18M,0.66,0.0,,0.6541,0.66,0.65,0.0,,0.6441,0.65,260.15M,263.29M,0.16
2010-06,594.74M,594.74M,208.18M,386.56M,84.06M,94.48M,0.00,-5.13M,7.773M,4.519M,-3.254M,,178.54M,208.02M,4.519M,7.773M,-3.254M,-5.13M,-3.254M,202.89M,44.30M,158.59M,,158.59M,162.60M,224.60M,13.93M,210.66M,0.58,0.0,,0.5947,0.58,0.58,0.0,,0.5946,0.58,272.10M,275.54M,0.16
2010-03,529.02M,529.02M,185.48M,343.54M,90.35M,94.24M,0.00,4.762M,6.457M,4.739M,-1.718M,,184.59M,158.95M,4.739M,6.457M,-1.718M,4.762M,-1.718M,161.99M,13.46M,148.53M,,148.53M,144.17M,183.90M,15.45M,168.45M,0.54,0.0,,0.5242,0.54,0.54,0.0,,0.5242,0.54,276.08M,276.72M,0.16
2009-12,513.35M,513.35M,184.32M,329.03M,85.04M,101.87M,0.00,-7.127M,6.44M,4.453M,-1.987M,,186.90M,142.12M,4.453M,6.44M,-1.987M,-7.127M,-1.987M,133.01M,26.10M,106.91M,,106.91M,112.64M,155.53M,16.08M,139.45M,0.39,0.0,,0.4107,0.39,0.38,0.0,,0.4006,0.38,276.83M,278.57M,0.16
2009-09,414.95M,414.95M,158.18M,256.77M,78.62M,90.14M,0.00,-5.613M,6.363M,4.279M,-2.084M,,168.77M,88.01M,4.279M,6.363M,-2.084M,-5.613M,-2.084M,80.31M,16.27M,64.04M,,64.04M,68.51M,101.99M,15.32M,86.67M,0.23,0.0,,0.2462,0.23,0.23,0.0,,0.2462,0.23,276.35M,276.99M,0.14
2009-06,376.24M,376.24M,143.82M,232.41M,73.56M,83.23M,2.493M,-25.26M,6.729M,5.311M,-1.418M,,159.28M,73.13M,5.311M,6.729M,-1.418M,-25.26M,-1.418M,46.45M,8.444M,38.01M,,38.01M,58.68M,71.50M,18.32M,53.18M,0.14,0.0,,0.215,0.14,0.14,0.0,,0.2148,0.14,275.52M,276.26M,0.14
2009-03,395.01M,395.01M,149.91M,245.11M,77.65M,88.19M,1.006M,12.87M,6.565M,7.103M,0.538M,,166.85M,78.26M,7.103M,6.565M,0.538M,12.87M,0.538M,91.66M,13.63M,78.04M,,78.04M,67.08M,114.96M,16.73M,98.23M,0.28,0.0,,0.2401,0.28,0.28,0.0,,0.2401,0.28,274.70M,274.70M,0.14
2008-12,458.39M,458.39M,165.33M,293.06M,85.03M,86.97M,1.475M,33.12M,8.492M,12.38M,3.886M,,173.47M,119.58M,12.38M,8.492M,3.886M,33.12M,3.886M,156.59M,37.14M,119.44M,,119.44M,94.18M,182.59M,17.51M,165.08M,0.44,0.0,,0.3478,0.44,0.44,0.0,,0.3479,0.44,274.00M,274.22M,0.14
2008-09,483.54M,483.54M,177.41M,306.13M,88.08M,89.50M,1.426M,-31.49M,9.251M,16.49M,7.24M,,179.01M,127.12M,16.49M,9.251M,7.24M,-31.49M,7.24M,102.88M,21.82M,81.06M,,81.06M,105.87M,129.61M,17.48M,112.13M,0.29,0.0,,0.3798,0.29,0.29,0.0,,0.3793,0.29,276.17M,277.71M,0.14
2008-06,488.25M,488.25M,176.51M,311.74M,93.00M,90.73M,1.425M,-24.75M,9.227M,14.30M,5.068M,,185.16M,126.58M,14.30M,9.227M,5.068M,-24.75M,5.068M,106.90M,23.72M,83.18M,,83.18M,102.43M,135.72M,19.60M,116.12M,0.3,0.0,,0.3692,0.3,0.3,0.0,,0.3686,0.3,278.16M,280.88M,0.14
2008-03,475.76M,475.76M,173.97M,301.79M,92.47M,90.89M,1.426M,-8.827M,,,,,184.78M,117.00M,,,,-8.827M,,119.48M,23.00M,96.48M,,96.48M,103.61M,217.00M,18.10M,198.90M,0.33,0.0,,0.3546,0.33,0.33,0.0,,0.3545,0.33,290.06M,291.45M,0.12
2007-12,474.81M,474.81M,174.41M,300.39M,92.45M,91.01M,1.582M,-1.908M,,,,,185.05M,115.35M,,,,-1.908M,,129.73M,26.14M,103.59M,,103.59M,105.12M,133.17M,17.82M,115.35M,0.36,0.0,,0.3653,0.36,0.35,0.0,,0.3552,0.35,289.70M,293.04M,0.12
2007-09,444.89M,444.89M,170.12M,274.77M,90.20M,88.29M,1.897M,2.009M,,,,,180.40M,94.38M,,,,2.009M,,113.88M,24.18M,89.70M,,89.70M,88.12M,113.36M,18.98M,94.38M,0.3,0.0,,0.2947,0.3,0.3,0.0,,0.2948,0.3,298.01M,302.23M,0.12
2007-06,445.91M,445.91M,168.48M,277.43M,90.20M,87.87M,1.897M,-3.395M,,,,,179.97M,97.47M,,,,-3.395M,,111.00M,26.72M,84.28M,,84.28M,86.86M,114.52M,17.05M,97.47M,0.28,0.0,,0.2887,0.28,0.28,0.0,,0.2885,0.28,297.72M,303.20M,0.12
2007-03,443.47M,443.47M,168.04M,275.43M,95.66M,98.48M,1.94M,0.00,,,,0.00,196.07M,79.36M,,,,0.00,,101.27M,13.65M,87.63M,,87.63M,87.63M,101.79M,22.43M,79.36M,0.27,0.0,,0.27,0.27,0.26,0.0,,0.26,0.26,332.97M,338.50M,0.09
2006-12,450.72M,450.72M,177.96M,272.76M,89.97M,96.09M,2.007M,-4.013M,,,,2.50M,190.57M,82.19M,,,,-4.013M,,103.12M,15.61M,87.51M,,87.51M,90.91M,99.22M,17.03M,82.19M,0.26,0.0,,0.2702,0.26,0.26,0.0,,0.27,0.26,334.06M,339.67M,0.09
2006-09,467.18M,467.18M,180.58M,286.60M,95.46M,95.95M,2.031M,,,,,,193.44M,93.16M,,,,,,119.29M,26.24M,93.05M,,93.05M,93.05M,110.45M,17.29M,93.16M,0.27,0.0,,0.27,0.27,0.27,0.0,,0.27,0.27,339.43M,343.19M,0.09
2006-06,481.36M,481.36M,192.06M,289.30M,96.63M,97.58M,2.031M,-2.15M,,,,,196.24M,93.06M,,,,-2.15M,,107.47M,24.98M,82.49M,,82.49M,84.14M,110.23M,17.17M,93.06M,0.24,0.0,,0.2448,0.24,0.24,0.0,,0.2447,0.24,341.85M,348.99M,0.09
2006-03,472.34M,472.34M,178.19M,294.14M,81.89M,86.40M,1.929M,-5.918M,,,,0.00,170.21M,123.93M,,,,-5.918M,,127.78M,17.03M,110.74M,,110.74M,115.87M,142.49M,18.56M,123.93M,0.31,0.0,,0.3248,0.31,0.31,0.0,,0.3245,0.31,347.08M,352.62M,0.07
2005-12,449.60M,449.60M,166.48M,283.13M,80.68M,81.07M,1.536M,,,,,,163.29M,119.84M,,,,,,130.78M,49.81M,80.97M,,80.97M,80.97M,136.51M,16.68M,119.84M,0.23,0.0,,0.23,0.23,0.23,0.0,,0.23,0.23,348.20M,353.24M,0.07
2005-09,398.93M,398.93M,153.97M,244.96M,77.74M,79.95M,1.755M,-3.165M,,,,3.165M,162.62M,82.34M,,,,-3.165M,,98.25M,12.66M,85.60M,,85.60M,88.36M,99.49M,17.14M,82.34M,0.25,0.0,,0.2579,0.25,0.24,0.0,,0.2477,0.24,349.25M,356.36M,0.07
2005-06,405.38M,405.38M,158.48M,246.90M,75.99M,78.70M,1.756M,,,,,,156.45M,90.45M,,,,,,99.79M,22.95M,76.84M,,76.84M,76.84M,107.62M,17.17M,90.45M,0.22,0.0,,0.22,0.22,0.21,0.0,,0.21,0.21,350.70M,358.04M,0.07
2005-03,390.98M,390.98M,152.00M,238.98M,74.06M,80.03M,1.75M,0.00,,,,0.00,155.85M,83.13M,,,,0.00,,92.76M,25.55M,67.20M,,67.20M,67.20M,99.30M,16.17M,83.13M,0.19,0.0,,0.19,0.19,0.19,0.0,,0.19,0.19,348.58M,357.27M,0.05
2004-12,355.40M,355.40M,135.10M,220.30M,71.86M,77.36M,1.759M,-3.099M,,,,,150.97M,69.33M,,,,-3.099M,,75.04M,10.98M,64.06M,,64.06M,66.70M,85.12M,15.79M,69.33M,0.18,0.0,,0.1876,0.18,0.18,0.0,,0.1874,0.18,348.44M,358.21M,0.05
2004-09,403.28M,403.28M,145.02M,258.25M,77.09M,78.14M,1.757M,,,,,,156.98M,101.28M,,,,,,108.60M,22.39M,86.21M,,86.21M,86.21M,117.26M,15.99M,101.28M,0.25,0.0,,0.25,0.25,0.24,0.0,,0.24,0.24,347.86M,357.83M,0.05
2004-06,423.58M,423.58M,144.16M,279.42M,80.59M,71.92M,,-7.198M,,,,,153.92M,125.50M,,,,-7.198M,,124.15M,28.90M,95.25M,,95.25M,100.77M,141.13M,15.62M,125.50M,0.27,0.0,,0.2859,0.27,0.26,0.0,,0.2754,0.26,347.17M,359.42M,0.05
2004-03,403.38M,403.38M,142.30M,261.08M,74.82M,62.60M,0.942M,-6.969M,,,,0.00,138.36M,122.72M,,,,-6.969M,,121.08M,-9.812M,130.89M,,130.89M,135.07M,137.57M,14.85M,122.72M,0.38,0.0,,0.3922,0.38,0.36,0.0,,0.3717,0.36,343.41M,358.05M,
2003-12,365.63M,365.63M,139.67M,225.96M,68.99M,66.18M,1.713M,-3.376M,,,,3.376M,140.26M,85.69M,,,,-3.376M,,92.60M,23.15M,69.45M,,69.45M,71.98M,103.30M,17.61M,85.69M,0.2,0.0,,0.2074,0.2,0.19,0.0,,0.1971,0.19,342.86M,356.23M,
2003-09,315.55M,315.55M,122.90M,192.65M,60.83M,59.29M,3.535M,,,,,,123.65M,69.00M,,,,,,75.21M,18.80M,56.41M,,56.41M,56.41M,88.51M,19.51M,69.00M,0.17,0.0,,0.17,0.17,0.16,0.0,,0.16,0.16,341.30M,353.37M,
2003-06,313.29M,313.29M,125.10M,188.19M,62.01M,59.54M,3.535M,-6.40M,,,,6.40M,131.49M,56.70M,,,,-6.40M,,61.66M,15.41M,46.24M,,46.24M,51.04M,76.41M,19.71M,56.70M,0.14,0.0,,0.1541,0.14,0.13,0.0,,0.1436,0.13,339.76M,351.78M,
2003-03,305.51M,305.51M,122.35M,183.16M,61.65M,57.00M,3.539M,-2.171M,,,,0.00,122.19M,60.97M,,,,-2.171M,,66.77M,17.36M,49.41M,,49.41M,51.02M,80.12M,19.14M,60.97M,0.14,0.0,,0.1448,0.14,0.14,0.0,,0.1446,0.14,337.43M,348.01M,
2002-12,282.74M,282.74M,117.12M,165.62M,56.22M,53.09M,3.597M,-62.94M,,,,54.69M,167.60M,-1.981M,,,,-62.94M,,-4.635M,-1.205M,-3.43M,,-3.43M,43.15M,17.19M,19.17M,-1.981M,-0.01,0.0,,0.1281,-0.01,-0.01,0.0,,0.1281,-0.01,337.24M,337.24M,
2002-09,277.87M,277.87M,113.74M,164.13M,58.58M,55.27M,3.722M,,,,,-10.00M,107.58M,56.55M,,,,,,52.32M,13.60M,38.72M,,38.72M,38.72M,76.31M,19.76M,56.55M,0.11,0.0,,0.11,0.11,0.11,0.0,,0.11,0.11,337.48M,346.90M,
2002-06,289.85M,289.85M,120.34M,169.52M,58.90M,56.78M,3.722M,,,,,,119.40M,50.12M,,,,,,55.41M,14.41M,41.01M,,41.01M,41.01M,70.89M,20.77M,50.12M,0.12,0.0,,0.12,0.12,0.12,0.0,,0.12,0.12,336.52M,351.86M,
